gene	length	logFC	logCPM	F	PValue	FDR
Syt11	5783	-1.176539269	6.805946711	222.1974195	3.97E-10	4.47E-06
Irf7	1934	-1.544284704	6.083122843	178.6296921	1.72E-09	7.07E-06
Susd3	3651	-1.298882578	6.783277188	176.2377097	1.88E-09	7.07E-06
Wnt10a	1962	3.9747882	2.942828666	129.8854829	1.40E-08	1.13E-05
Cd86	3513	2.675748303	4.229969085	142.5844748	7.64E-09	1.13E-05
Socs3	2732	-2.347844961	3.787617509	141.313748	8.10E-09	1.13E-05
Tox2	4623	-2.213407041	6.270373307	145.5143698	6.69E-09	1.13E-05
Klrb1c	2632	2.094462328	4.348264704	131.5236477	1.29E-08	1.13E-05
Tnfrsf25	2541	-1.746970566	5.179038918	129.2811664	1.45E-08	1.13E-05
Slfn5	6354	-1.6674741	5.775908812	154.6999932	4.47E-09	1.13E-05
Rxra	5703	1.604260731	6.152080529	126.0597685	1.71E-08	1.13E-05
Sell	3206	-1.360002298	7.827835039	134.6762103	1.11E-08	1.13E-05
Chchd10	1555	1.315227808	4.784568351	133.227581	1.19E-08	1.13E-05
Pear1	4715	-1.295097922	5.229138482	136.8979223	9.97E-09	1.13E-05
Icos	4325	-1.04608414	9.179900257	126.1889318	1.69E-08	1.13E-05
Emb	2622	-0.86781075	7.553644139	143.4238215	7.35E-09	1.13E-05
Acp5	2880	-0.860502839	6.888977151	128.1894396	1.53E-08	1.13E-05
Selenop	2218	-1.226515262	7.0429226	120.9641411	2.23E-08	1.25E-05
Gmfg	2451	-1.199236803	7.788822413	122.7333609	2.03E-08	1.25E-05
S1pr1	3029	-1.096021026	7.845542041	119.2159565	2.45E-08	1.25E-05
Unc93b1	2281	1.016356154	5.575818078	119.5146389	2.41E-08	1.25E-05
Dennd2d	5454	-0.972408334	8.958824391	120.5548346	2.28E-08	1.25E-05
Slc9a9	3492	-1.279378983	6.353096577	114.5536838	3.16E-08	1.55E-05
Lta	1627	1.051644854	6.084412985	111.0178242	3.87E-08	1.81E-05
Kbtbd11	8904	-0.900768175	6.646881991	109.9887408	4.10E-08	1.85E-05
Gramd4	8624	-1.311710319	4.741435525	108.7606461	4.41E-08	1.91E-05
Trp53i13	1777	-0.938249919	4.964662787	108.100475	4.58E-08	1.91E-05
Faah	5155	-0.901619277	7.709095132	107.3616485	4.79E-08	1.93E-05
Cpm	5402	-0.925518035	6.138206467	104.7183016	5.61E-08	2.18E-05
Npm1	3519	0.697377277	10.07552184	103.2477851	6.14E-08	2.30E-05
Tesc	1036	-1.552725481	6.116939262	100.6557686	7.22E-08	2.46E-05
Chst10	3248	-1.063635131	5.381176088	101.3213151	6.92E-08	2.46E-05
Ppid	2804	0.759547973	7.119081619	100.2923084	7.38E-08	2.46E-05
Gimap3	2145	-0.72271953	9.633337958	100.2009547	7.43E-08	2.46E-05
Cish	4293	1.697191408	4.692615901	98.50986295	8.27E-08	2.66E-05
Ripor2	10616	-1.154841281	7.761554841	96.48715573	9.43E-08	2.95E-05
Trib2	4448	-1.195947054	7.461993158	95.75862638	9.89E-08	3.01E-05
Itga7	7267	-3.044405927	2.090674398	88.61111352	1.61E-07	4.52E-05
Akap12	6247	-0.912604682	5.611509068	88.66465307	1.60E-07	4.52E-05
Kif21b	9297	-0.730719004	7.321389842	88.69417747	1.60E-07	4.52E-05
Nav2	114472	-2.614480447	3.596160945	87.7597412	1.71E-07	4.69E-05
Abtb2	4558	-0.780537316	6.754338758	87.28634588	1.76E-07	4.73E-05
Nkg7	813	2.627614075	3.655277643	85.72959125	1.97E-07	5.17E-05
Sik1	4553	2.002353737	3.813072122	80.69594427	2.87E-07	7.34E-05
Il17re	3592	-4.184534502	0.110744505	80.05947076	3.01E-07	7.53E-05
Irf8	3435	1.18174776	6.079301007	79.20093461	3.22E-07	7.71E-05
Capn2	3318	-1.122949601	5.753058842	79.42453168	3.16E-07	7.71E-05
Rorc	3564	-2.169213014	2.933684585	78.90327645	3.29E-07	7.72E-05
Nop16	1768	0.788749976	5.893846284	78.53572569	3.39E-07	7.79E-05
Kcna2	14395	-1.678672265	3.150028833	77.87914342	3.57E-07	8.03E-05
Cxcr5	2638	-1.4579052	7.331926021	77.48201478	3.68E-07	8.13E-05
Sema4f	5004	-1.28538373	5.300369346	76.90920119	3.85E-07	8.18E-05
Lap3	2267	0.956588286	5.804409205	77.02852263	3.82E-07	8.18E-05
Jakmip1	10511	-0.812057048	6.026932135	76.43855018	4.00E-07	8.34E-05
Il1r1	6138	-3.379400533	4.209533968	75.73648433	4.23E-07	8.51E-05
Tha1	1840	-2.215119524	3.46858898	75.7263769	4.23E-07	8.51E-05
Acss1	3613	-1.815315378	4.26446686	75.35736393	4.36E-07	8.62E-05
Rtp4	2945	-1.721976428	4.771038726	73.15304914	5.23E-07	0.00010142
Slc26a11	3862	-1.140736229	5.295762887	71.80053765	5.85E-07	0.000111633
Il17ra	3989	-0.750359797	7.75447743	71.46682625	6.02E-07	0.000112908
S1pr3	4484	3.804874219	1.375216883	71.21370648	6.15E-07	0.000113464
Tbx21	2552	2.474810286	2.66108488	70.56727232	6.50E-07	0.000116079
Dgka	4601	-0.702632926	9.441834768	70.69912138	6.42E-07	0.000116079
Gnl3	1940	0.932576377	5.745777958	70.24543818	6.68E-07	0.000117271
Gramd3	2841	-0.803154376	5.892898629	70.08360278	6.77E-07	0.000117271
