gene	length	logFC	logCPM	F	PValue	FDR
Sftpc	804	5.578774908	1.925589597	10.21163775	0.006311599	0.040907301
Klk1b27	889	4.923403947	0.963268956	13.03468449	0.003427176	0.027480877
Wnt10a	1962	3.9747882	2.942828666	129.8854829	1.40E-08	1.13E-05
S1pr3	4484	3.804874219	1.375216883	71.21370648	6.15E-07	0.000113464
Serpinc1	2088	3.093247587	3.073573953	42.89721473	1.15E-05	0.000655995
Cd22	4689	3.0155816	1.827585978	45.22407619	8.58E-06	0.000538319
Plac8	3910	2.872024736	3.241247695	34.74807868	3.54E-05	0.00128481
Krt19	1416	2.815240881	-0.089180548	4.078929999	0.062513305	0.192762199
Gm6637	1502	2.736448034	1.474914219	39.67691419	1.75E-05	0.000843704
Cd86	3513	2.675748303	4.229969085	142.5844748	7.64E-09	1.13E-05
Nkg7	813	2.627614075	3.655277643	85.72959125	1.97E-07	5.17E-05
Ifi211	2007	2.598172333	3.054527481	42.01361304	1.29E-05	0.000709831
Car2	1947	2.576830887	1.843779895	54.27480078	3.06E-06	0.000291672
Timp3	4681	2.566136555	0.279167059	3.543616946	0.080223354	0.226581664
Tbx21	2552	2.474810286	2.66108488	70.56727232	6.50E-07	0.000116079
Pla1a	3899	2.473055985	0.537963961	21.28435331	0.000378229	0.006207153
Gm35113	9767	2.372289135	0.932090533	39.01569501	1.92E-05	0.000872624
Slc30a2	3483	2.361815831	0.563266303	18.91061935	0.000632833	0.008669555
Ajuba	3503	2.328029214	1.23541131	34.01790539	3.95E-05	0.001351367
Coro2a	5326	2.321843228	3.083867015	39.10140404	1.90E-05	0.000871593
Emp2	3440	2.269636321	0.68339849	4.412674618	0.053812596	0.173986849
Gm3739	5766	2.267767358	3.083617811	14.91778039	0.001655562	0.016596902
Macc1	4301	2.258861065	0.748225956	18.47538383	0.000698421	0.009272198
Cd300lf	1908	2.245978402	1.195697033	37.46689238	2.38E-05	0.0010005
Ccdc148	25202	2.225684366	0.615844188	19.16533744	0.000597726	0.008395942
Gm32643	14800	2.214126349	1.318300015	9.429226344	0.008109288	0.048794425
Cldn18	3121	2.147403838	0.53341676	2.194112374	0.160173924	0.354052535
Stra6	4384	2.099093353	2.249089884	37.60466695	2.34E-05	0.000988583
Il18	2593	2.094890741	1.872788363	62.07103069	1.40E-06	0.000182891
Klrb1c	2632	2.094462328	4.348264704	131.5236477	1.29E-08	1.13E-05
Ifng	1210	2.033430897	1.10096174	9.35941078	0.00829655	0.049471692
Sik1	4553	2.002353737	3.813072122	80.69594427	2.87E-07	7.34E-05
Ctsw	1498	1.997213287	2.783897517	36.02436022	2.93E-05	0.001126344
Nrn1	1769	1.931390875	3.485173999	57.74411176	2.13E-06	0.000226734
Gm4956	1148	1.882974719	2.300271687	11.29686732	0.004524954	0.032993476
Nedd4	7090	1.824733254	1.160493827	21.13832208	0.000389982	0.006335373
Eomes	3718	1.787733344	0.875088692	8.757870986	0.010133882	0.056703404
9530036M11Rik	12763	1.78439699	1.081523211	22.58812535	0.000289471	0.00524024
Ctsh	1670	1.780187796	1.67740737	5.314619332	0.036572107	0.133678177
Smim10l2a	3133	1.769723584	2.614770563	40.41192348	1.59E-05	0.000794775
Gjb2	2404	1.743682843	2.239541584	32.66512194	4.87E-05	0.00153854
Gpr25	2013	1.743089582	1.450112704	15.48845476	0.001430855	0.015068818
Hes5	4386	1.715637985	1.416509822	15.0826629	0.001586736	0.016137253
Cish	4293	1.697191408	4.692615901	98.50986295	8.27E-08	2.66E-05
Rhbdf1	4991	1.650235182	0.646646233	13.38101348	0.002491787	0.022045609
Vcam1	3398	1.650111228	2.431708141	18.03608838	0.00077262	0.009929399
Ncf1	2969	1.636776381	2.844692772	39.49632975	1.80E-05	0.00085012
Runx2	8554	1.632269893	3.278975222	50.76755165	4.48E-06	0.000362628
Rgs16	2335	1.608018443	4.67857459	21.21313841	0.000383909	0.006272934
Rxra	5703	1.604260731	6.152080529	126.0597685	1.71E-08	1.13E-05
Penk	1593	1.585987318	4.035022238	23.64729888	0.000234632	0.004520539
Il2ra	4428	1.575726124	4.848228925	36.28594232	2.82E-05	0.001110301
Fut4	3664	1.569674748	0.346730322	6.400546197	0.023698715	0.100565449
Msln	2178	1.531516706	0.414727855	1.45972559	0.246519703	0.458503025
Ptprk	7097	1.516440895	3.353642666	50.31162683	4.72E-06	0.000366196
Tcf4	44311	1.509689635	2.594485684	48.10868971	6.07E-06	0.00043277
Bco2	2565	1.473675634	0.197280978	9.990670493	0.006768089	0.042878531
Bcam	2407	1.467491499	1.675317894	15.56602226	0.001403095	0.014905919
Esr1	9756	1.450536631	0.381586767	7.728061147	0.01448678	0.072744053
Plpp1	1765	1.436228912	2.966577297	38.18802773	2.15E-05	0.000935493
Gm30569	2455	1.428366528	0.334975766	4.152994792	0.060446903	0.188861946
Fgr	4030	1.410797986	3.60657815	42.27261432	1.24E-05	0.000693804
Adamts20	13066	1.396284524	0.187402247	2.441141188	0.139982409	0.324731498
Per2	6106	1.393341523	2.040393231	21.00055914	0.000401452	0.006465734
Actg2	1315	1.38957069	2.585431455	8.2056493	0.012244312	0.064838413
Ccrl2	2249	1.377583824	0.881394986	3.941550083	0.066572113	0.201296708
Soat2	2283	1.371042866	1.650568596	11.19725958	0.004662145	0.033645144
Lad1	2992	1.359854849	0.574806151	7.196455027	0.017562421	0.08253368
Tubb6	1744	1.359094065	1.543575342	11.80263755	0.003895993	0.029884351
Rab11fip5	6171	1.349432849	2.024607781	18.63849087	0.000672971	0.009051745
LOC115488162	12601	1.344462902	0.814662755	5.00218155	0.041686306	0.146256257
Gm26885	2969	1.341274132	0.452906323	12.63154427	0.003069714	0.02554238
Ciart	2394	1.31878378	2.481323153	11.96372235	0.00371719	0.029041032
Chchd10	1555	1.315227808	4.784568351	133.227581	1.19E-08	1.13E-05
Dusp22	3058	1.305653311	3.003242044	35.9399681	2.97E-05	0.001135831
Igsf9b	17242	1.299821601	0.82506583	3.593816423	0.078328694	0.223758968
Bspry	2211	1.297999395	2.273751154	18.99483773	0.000620971	0.008599117
Gbp5	3021	1.289773018	2.699762721	27.59963901	0.000112747	0.002661025
Cd74	1415	1.283976524	5.001946851	59.64164747	1.77E-06	0.000207231
LOC118567636	10085	1.272999464	0.345860996	6.204573028	0.025571253	0.105838663
Fasl	1935	1.271353677	3.502923965	13.48011771	0.002425137	0.021582758
Snord14c	87	1.267093542	0.459585469	10.32222301	0.006096495	0.040053479
Tbc1d16	7135	1.263589329	0.611759213	7.271520019	0.017085347	0.081090572
Pogk	10686	1.263451547	1.510097096	10.43663187	0.005882772	0.039072709
Mir155hg	1264	1.259094443	2.540738615	36.77623471	2.63E-05	0.001060461
Gm51701	3421	1.236473394	0.651340114	4.580775594	0.049974958	0.165855272
Tsc22d1	9939	1.235666579	1.419518939	7.63705387	0.014966091	0.074453492
Gm31813	2673	1.233118004	2.3381595	21.40766218	0.00036862	0.006132847
Gm51666	24977	1.232525902	1.621891595	6.003392234	0.027674962	0.111602368
Apol10b	2744	1.230265092	1.301542477	12.45652691	0.003225937	0.026432023
Gm46762	4775	1.22951097	2.341062456	24.99194565	0.000181284	0.003751656
Iftap	2580	1.229196543	0.105562108	8.938914088	0.009535635	0.054163559
Hip1	25858	1.222963238	0.677768031	9.924599707	0.006911876	0.043471452
Ifitm2	1666	1.222393105	2.645907495	18.64046656	0.00067267	0.009051745
