"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"4324"	"Il17rb"	2061	1.19916880474475	5.93977904224369	164.557032090267	2.78648766181655e-09	2.92859853256919e-05
"7509"	"Rorc"	3416	-2.99958838463005	2.95221342555694	104.002418808763	5.58152253074694e-08	0.000242951553827427
"8869"	"Tesc"	942	-1.49481414673346	6.15290070797734	100.51840533001	6.93486832999317e-08	0.000242951553827427
"8525"	"Ssbp4"	1475	-0.75514646296902	6.8937159912525	91.2959692169968	1.27430456929976e-07	0.000334823525583512
"1930"	"Cish"	2161	1.56262009991594	4.68589998539093	79.1158785190049	3.1076068724913e-07	0.000556944053967165
"1872"	"Chdh"	5891	1.06165057296318	6.13518872706591	75.0179448169091	4.30785055230968e-07	0.000556944053967165
"7119"	"Rab2a"	2057	-0.996743330163758	7.08591831769355	75.4497550866388	4.15918382228956e-07	0.000556944053967165
"407"	"Abhd17a"	1473	-0.69671551273921	7.49003799835734	76.1396866861686	3.93361278079537e-07	0.000556944053967165
"8239"	"Smap2"	2905	-0.602854196271058	6.45464106920611	73.7787038945719	4.76926402065127e-07	0.000556944053967165
"6235"	"Pcbd2"	546	-0.922815579098206	5.16335167573017	71.1964262406402	5.92368775850499e-07	0.000622579583418875
"2911"	"Emb"	2622	-0.601467849648663	7.58419669542088	67.3101764903676	8.31463074364156e-07	0.000794425173778843
"3935"	"H2-Ke6"	964	-0.867024199814631	6.30899759906607	66.271210439411	9.12881479885174e-07	0.000799532029466099
"8295"	"Smtn"	3548	1.98144196894358	7.67747010037891	63.652284211791	1.16167404181624e-06	0.000838421076449675
"4883"	"Lrp10"	3012	-0.975155964591401	8.80846294473156	63.3363704948412	1.19660477133636e-06	0.000838421076449675
"9195"	"Tnfrsf1b"	4913	0.737304746155061	7.55366152976993	64.0169406876741	1.12278929697015e-06	0.000838421076449675
"9976"	"Xpa"	955	-1.21130557251468	3.94079459101447	59.5707494358241	1.7200561580762e-06	0.00111297678025148
"2225"	"Ctdnep1"	1614	-0.722981326532437	5.38608990320018	59.1111703154934	1.80024788432684e-06	0.00111297678025148
"2129"	"Cpm"	5195	-0.67882064511624	6.16552515023055	55.9909295446987	2.47237539565939e-06	0.00144359252268779
"9733"	"Usp30"	2790	-1.22998227271591	3.51731131457596	54.7485583913311	2.81652368032964e-06	0.00152004985843965
"2856"	"Eif3f"	1507	-0.707762719908151	7.90142260540397	54.4973172083854	2.89257822728764e-06	0.00152004985843965
"594"	"Ahnak"	18792	0.806481918881035	5.92674673518496	52.9375821641978	3.42058215148702e-06	0.00164878499359329
"7781"	"Scand1"	760	-0.795783630680607	5.2313727285194	52.8554036875616	3.4513101673694e-06	0.00164878499359329
"2182"	"Cry1"	3016	-1.2646385022234	4.9347732156099	51.0804635406274	4.19830928163708e-06	0.00170266791927546
"7461"	"Rnf166"	1783	-1.20109529776191	5.79305786854251	51.0018441224618	4.23543141654741e-06	0.00170266791927546
"6278"	"Pdcd2"	1120	-1.00813477409097	5.1723476661889	50.3925915552827	4.5361276631506e-06	0.00170266791927546
"3948"	"H2afy"	2053	-0.877460995791488	8.18820517540224	50.8554695242801	4.30554655065204e-06	0.00170266791927546
