NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.026100606	Yes	
row_1	MRPL17	118	4.477055549621582	0.03719501	Yes	
row_2	SLC7A1	120	4.465780258178711	0.057495385	Yes	
row_3	SLC7A5	147	4.288360118865967	0.07457462	Yes	
row_4	MRPS7	150	4.276183605194092	0.09391261	Yes	
row_5	GJB2	160	4.205478668212891	0.112252645	Yes	
row_6	FAM162A	162	4.181758403778076	0.13125579	Yes	
row_7	PABPC4	184	4.025240898132324	0.14761543	Yes	
row_8	MRPS35	194	3.9668338298797607	0.16486548	Yes	
row_9	DRG2	242	3.6897401809692383	0.17718554	Yes	
row_10	HSPBP1	277	3.5025551319122314	0.18990427	Yes	
row_11	NME1	281	3.48171067237854	0.20551719	Yes	
row_12	PRDX3	287	3.4644837379455566	0.22085856	Yes	
row_13	PIN1	382	3.1424951553344727	0.22614685	Yes	
row_14	NDUFAF6	406	3.0600149631500244	0.23790509	Yes	
row_15	ELP3	415	3.032257318496704	0.25098303	Yes	
row_16	TXNL4A	436	2.9675939083099365	0.26260844	Yes	
row_17	SHMT2	458	2.9282169342041016	0.27395758	Yes	
row_18	PDCD5	470	2.9063775539398193	0.2861713	Yes	
row_19	LSM2	473	2.9005680084228516	0.29922637	Yes	
row_20	ELAC2	498	2.8412015438079834	0.30988878	Yes	
row_21	WDR46	514	2.8123579025268555	0.32128733	Yes	
row_22	ATIC	530	2.7891526222229004	0.3325799	Yes	
row_23	EIF3D	583	2.6590957641601562	0.33971047	Yes	
row_24	TRMT1	602	2.619614839553833	0.3499394	Yes	
row_25	RPS19BP1	665	2.481886148452759	0.35529628	Yes	
row_26	POLR2D	720	2.3721086978912354	0.36092323	Yes	
row_27	SNHG6	787	2.2724013328552246	0.36493757	Yes	
row_28	TOMM20	796	2.2638473510742188	0.3745059	Yes	
row_29	SLC7A6	812	2.24470853805542	0.38331184	Yes	
row_30	PIM2	829	2.222820520401001	0.3919213	Yes	
row_31	ILF2	867	2.1771883964538574	0.39829734	Yes	
row_32	DDX51	888	2.1408441066741943	0.4061467	Yes	
row_33	STOML2	889	2.13523268699646	0.41589907	Yes	
row_34	YBX3	911	2.1144206523895264	0.4235313	Yes	
row_35	MRPL11	916	2.111513137817383	0.4327896	Yes	
row_36	POLDIP2	947	2.066363573074341	0.43933445	Yes	
row_37	SIVA1	967	2.0341873168945312	0.4467931	Yes	
row_38	MRPL22	969	2.032845973968506	0.4559814	Yes	
row_39	CHCHD1	986	2.0045723915100098	0.4635941	Yes	
row_40	AARSD1	991	2.002941370010376	0.47235653	Yes	
row_41	TRIM28	1022	1.9500844478607178	0.47837028	Yes	
row_42	NUDT19	1037	1.9328644275665283	0.4858483	Yes	
row_43	SPRYD4	1058	1.8895630836486816	0.49255	Yes	
row_44	EIF4A3	1104	1.826635479927063	0.49655345	Yes	
row_45	PSMG3	1108	1.8236722946166992	0.5045935	Yes	
row_46	ADCK1	1109	1.8232181072235107	0.5129208	Yes	
row_47	VDAC1	1117	1.8182207345962524	0.52055025	Yes	
row_48	DHX30	1133	1.8008278608322144	0.5273288	Yes	
row_49	SENP3	1143	1.7922579050064087	0.53464675	Yes	
row_50	JAGN1	1155	1.7770558595657349	0.54170245	Yes	
row_51	EXOG	1208	1.7209910154342651	0.5445484	Yes	
row_52	PRR3	1272	1.656586766242981	0.5460394	Yes	
row_53	TIMM13	1318	1.610130786895752	0.54905397	Yes	
row_54	ADCK5	1346	1.5889633893966675	0.55370766	Yes	
row_55	RABEPK	1351	1.5851712226867676	0.560562	Yes	
row_56	RBM15B	1407	1.5349653959274292	0.562269	Yes	
row_57	ADI1	1409	1.5342639684677124	0.5691801	Yes	
row_58	DNPH1	1413	1.5281356573104858	0.57587034	Yes	
row_59	ALKBH6	1414	1.5271656513214111	0.5828454	Yes	
row_60	P3H1	1423	1.517675757408142	0.5890057	Yes	
row_61	NDUFAF2	1426	1.5161062479019165	0.59573746	Yes	
row_62	GTF2H3	1532	1.4261752367019653	0.59212595	No	
row_63	HMGXB3	1630	1.3526761531829834	0.5889502	No	
row_64	ALG9	1764	1.2546958923339844	0.58185536	No	
row_65	GGA2	1828	1.2022056579589844	0.58127105	No	
row_66	TPI1	1910	1.1432522535324097	0.5786817	No	
row_67	TMEM69	1982	1.0935078859329224	0.5768295	No	
row_68	RAE1	1991	1.0874595642089844	0.5810248	No	
row_69	NOP9	2029	1.0562416315078735	0.5822811	No	
row_70	RABL3	2045	1.0456995964050293	0.5856107	No	
row_71	PGP	2064	1.0327463150024414	0.5885918	No	
row_72	CYB5B	2134	0.9894819855690002	0.5864574	No	
row_73	EIF2B5	2179	0.9691480994224548	0.5866408	No	
row_74	DCTPP1	2226	0.9430134892463684	0.58651197	No	
row_75	PFKL	2306	0.8911892175674438	0.58296424	No	
row_76	POLR2C	2342	0.8762421607971191	0.5835912	No	
row_77	ALDOA	2350	0.872502326965332	0.58690125	No	
row_78	ACOT7	2405	0.8503227233886719	0.5855776	No	
row_79	RAD1	2478	0.8132739067077637	0.58234906	No	
row_80	PPM1F	2605	0.7554478049278259	0.573649	No	
row_81	RCCD1	2623	0.7516193389892578	0.57544255	No	
row_82	GPX1	2627	0.7510102987289429	0.5785834	No	
row_83	ACSF3	2633	0.7483375072479248	0.5815192	No	
row_84	CHCHD5	2653	0.7377846240997314	0.5830567	No	
row_85	KLHDC3	2698	0.7158603072166443	0.5820833	No	
row_86	GINS2	2740	0.6968902349472046	0.5813125	No	
row_87	RPL36	2865	0.6430280208587646	0.57229185	No	
