NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MACC1	515	2.812058210372925	-0.03536851	No	
row_1	BRAF	703	2.4209303855895996	-0.04101174	No	
row_2	CNOT4	984	2.006254196166992	-0.05778616	No	
row_3	ALKBH6	1414	1.5271656513214111	-0.09144152	No	
row_4	RAVER1	1653	1.3336869478225708	-0.10761103	No	
row_5	CASP4	1963	1.1040233373641968	-0.13183154	No	
row_6	PEX26	2000	1.0788342952728271	-0.1297665	No	
row_7	AGPAT1	2341	0.8764093518257141	-0.15815713	No	
row_8	CCNT1	2373	0.8624014854431152	-0.15672138	No	
row_9	SF1	2437	0.8366084098815918	-0.15851457	No	
row_10	RAB33B	2589	0.7606990933418274	-0.16921292	No	
row_11	RBM39	2708	0.7123118042945862	-0.17696707	No	
row_12	CNEP1R1	3111	0.5578534007072449	-0.21299504	No	
row_13	TDRD3	3153	0.5412992835044861	-0.21417828	No	
row_14	MAEA	3232	0.5160483121871948	-0.21907146	No	
row_15	SLK	3263	0.5036071538925171	-0.21938422	No	
row_16	WWOX	3268	0.5022889971733093	-0.21718803	No	
row_17	PQBP1	3451	0.4450731575489044	-0.23250912	No	
row_18	FAM53C	3552	0.4134323000907898	-0.24005874	No	
row_19	ZBTB48	3592	0.40043553709983826	-0.2417729	No	
row_20	CHD1	3626	0.3888930380344391	-0.2429659	No	
row_21	BAG3	3707	0.3685348629951477	-0.24881124	No	
row_22	NEURL4	3924	0.3114788234233856	-0.2681092	No	
row_23	AKAP5	4012	0.28546544909477234	-0.27505907	No	
row_24	POLR2A	4251	0.22594185173511505	-0.2969256	No	
row_25	MBD1	4280	0.2211337387561798	-0.2984976	No	
row_26	TADA3	4345	0.20874522626399994	-0.30361658	No	
row_27	TOR3A	4371	0.20258644223213196	-0.30499366	No	
row_28	USP21	4400	0.1933434158563614	-0.30670854	No	
row_29	MAP2K7	4450	0.1797921508550644	-0.31052506	No	
row_30	TTC33	4457	0.17854253947734833	-0.3101874	No	
row_31	FHIT	4503	0.16865797340869904	-0.31367412	No	
row_32	GBP4	4572	0.14846444129943848	-0.31949016	No	
row_33	MON1B	4699	0.12459641695022583	-0.33104098	No	
row_34	CABLES2	4746	0.11520279943943024	-0.3348994	No	
row_35	CARF	4772	0.11093838512897491	-0.3367478	No	
row_36	CREBBP	4802	0.1052137017250061	-0.3390127	No	
row_37	ZSCAN26	4838	0.09891501069068909	-0.34189054	No	
row_38	KMT2D	4906	0.08793558925390244	-0.34792113	No	
row_39	RILPL2	5055	0.06059306487441063	-0.36192977	No	
row_40	SUOX	5189	0.03761531785130501	-0.3746052	No	
row_41	TRRAP	5236	0.030135363340377808	-0.37890112	No	
row_42	MAPK8	5290	0.020703231915831566	-0.38392285	No	
row_43	CYHR1	5388	0.0031515760347247124	-0.39329222	No	
row_44	ASB3	5389	0.0031316489912569523	-0.39327613	No	
row_45	TTLL3	5408	-0.0017680820310488343	-0.39500868	No	
row_46	AGRN	5412	-0.002568803960457444	-0.39528576	No	
row_47	KIF13B	5458	-0.009259389713406563	-0.39959225	No	
row_48	CSPP1	5467	-0.01118725910782814	-0.4003088	No	
row_49	RIC1	5472	-0.011741232126951218	-0.40063545	No	
row_50	CCDC97	5477	-0.012159323319792747	-0.40095994	No	
row_51	TCIRG1	5492	-0.013654910959303379	-0.40224433	No	
row_52	MAP4K3	5493	-0.013698585331439972	-0.40217388	No	
row_53	PCMTD1	5919	-0.08298268169164658	-0.4428695	No	
row_54	ZFAND2A	5926	-0.08438383787870407	-0.44301608	No	
row_55	ACCS	5957	-0.08978793770074844	-0.44545707	No	
row_56	HNRNPUL1	5990	-0.09551950544118881	-0.4480621	No	
row_57	CD6	6007	-0.09799882024526596	-0.44910625	No	
row_58	UNC45A	6017	-0.09978007525205612	-0.4494639	No	
row_59	CHIC1	6090	-0.11344973742961884	-0.45584705	No	
row_60	NAIF1	6109	-0.1160978153347969	-0.45699164	No	
row_61	POLG2	6172	-0.12818381190299988	-0.46233144	No	
row_62	RFX3	6181	-0.12996524572372437	-0.4624371	No	
row_63	DCP1B	6200	-0.1340705305337906	-0.46348923	No	
row_64	GBA2	6219	-0.1381181925535202	-0.46452057	No	
row_65	AP4E1	6271	-0.14834898710250854	-0.4686923	No	
row_66	CCDC82	6317	-0.15845581889152527	-0.47223154	No	
row_67	ACTR3	6399	-0.17881521582603455	-0.47914934	No	
row_68	APLP2	6498	-0.19850055873394012	-0.48761082	No	
row_69	SEC24B	6542	-0.2095629870891571	-0.49069366	No	
row_70	DCLK2	6560	-0.21276827156543732	-0.49124432	No	
row_71	MCM9	6574	-0.2181212157011032	-0.4913804	No	
row_72	SPRED2	6624	-0.22962705790996552	-0.4949406	No	
row_73	STRADA	6693	-0.2482280731201172	-0.5002436	No	
row_74	CHD8	6753	-0.2619738280773163	-0.50460505	No	
row_75	WDTC1	6790	-0.27019891142845154	-0.5066987	No	
row_76	TPR	6796	-0.2727878987789154	-0.5057796	No	
row_77	RC3H2	6878	-0.29543423652648926	-0.51209766	No	
row_78	CAPZB	6924	-0.3079381585121155	-0.5148681	No	
row_79	ARID4A	6939	-0.311071515083313	-0.5146229	No	
row_80	RNPEPL1	6998	-0.3292856514453888	-0.5185414	No	
row_81	ARNT	7032	-0.3372167646884918	-0.52000016	No	
row_82	BTBD6	7122	-0.364195317029953	-0.52673864	No	
row_83	HIPK2	7152	-0.37272465229034424	-0.52762777	No	
row_84	OPA3	7184	-0.381127268075943	-0.5286672	No	
row_85	SLC35A5	7188	-0.38207924365997314	-0.52699244	No	
row_86	HIGD2A	7225	-0.3911527097225189	-0.5284641	No	
row_87	SFI1	7229	-0.39179927110671997	-0.5267394	No	
