NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPATCH4	157	4.244081020355225	-0.001252825	No	
row_1	PPIC	392	3.097787857055664	-0.013701707	No	
row_2	RPL14	422	3.014019250869751	-0.006622271	No	
row_3	RPS8	634	2.532282590866089	-0.01870325	No	
row_4	APOBR	860	2.1878161430358887	-0.033265885	No	
row_5	PPP2R1B	937	2.075336456298828	-0.03380391	No	
row_6	ATP8B4	1493	1.4585410356521606	-0.08263522	No	
row_7	CTSH	1542	1.419916033744812	-0.082617104	No	
row_8	RUNX3	1545	1.4160182476043701	-0.07816818	No	
row_9	RBM17	1557	1.4042789936065674	-0.07462715	No	
row_10	PADI2	1692	1.3074690103530884	-0.08328525	No	
row_11	DAPL1	1740	1.2716341018676758	-0.08365665	No	
row_12	GPR180	1754	1.2628976106643677	-0.0807723	No	
row_13	ID2	2030	1.0556106567382812	-0.10387662	No	
row_14	SUGT1	2351	0.8720844388008118	-0.13192958	No	
row_15	BPNT1	2495	0.8030278086662292	-0.14311077	No	
row_16	LYPD6B	2531	0.7864689230918884	-0.1439135	No	
row_17	SNHG8	2542	0.7824587821960449	-0.14231436	No	
row_18	HEXIM1	2626	0.7511672973632812	-0.14786959	No	
row_19	SLC38A2	3019	0.5900042057037354	-0.18380246	No	
row_20	THEMIS	3059	0.5765212178230286	-0.18567984	No	
row_21	EPAS1	3124	0.55423903465271	-0.19004527	No	
row_22	ATXN7L3B	3370	0.4697690010070801	-0.21217215	No	
row_23	ENC1	3702	0.370060533285141	-0.24293348	No	
row_24	CCR7	3768	0.35251256823539734	-0.24805683	No	
row_25	RPS29	3927	0.31025052070617676	-0.2623025	No	
row_26	GPD2	3936	0.3077271580696106	-0.26206645	No	
row_27	TEC	3938	0.3073485493659973	-0.2611555	No	
row_28	CDR2	4069	0.27046114206314087	-0.2728268	No	
row_29	DUSP7	4289	0.2201051563024521	-0.29326057	No	
row_30	VTI1B	4425	0.18646080791950226	-0.30569026	No	
row_31	LMO4	4585	0.1465422362089157	-0.3205692	No	
row_32	MCTP2	4587	0.14601580798625946	-0.3201871	No	
row_33	TANC1	4600	0.14423494040966034	-0.32087347	No	
row_34	AP2B1	4737	0.11636481434106827	-0.33362955	No	
row_35	DUSP10	4839	0.09873043745756149	-0.34306243	No	
row_36	CNN3	4929	0.08387758582830429	-0.35138485	No	
row_37	AQR	4984	0.07281941175460815	-0.3563625	No	
row_38	HS3ST3B1	5283	0.02191006951034069	-0.3850774	No	
row_39	TMEM186	5344	0.01161795575171709	-0.3908353	No	
row_40	ITGB3	5874	-0.07494158297777176	-0.44169083	No	
row_41	METTL9	5949	-0.08847486227750778	-0.44854915	No	
row_42	FNTB	5961	-0.08991420269012451	-0.44931698	No	
row_43	SLC20A1	5993	-0.09565047919750214	-0.451998	No	
row_44	ANKRD13A	6021	-0.10030078142881393	-0.4542774	No	
row_45	KCNMB4	6041	-0.10406672209501266	-0.45577163	No	
row_46	PITPNA	6106	-0.11566407978534698	-0.46157482	No	
row_47	MYO10	6143	-0.12323981523513794	-0.4646484	No	
row_48	DYRK2	6249	-0.1446993201971054	-0.47431698	No	
row_49	TMIE	6356	-0.16709284484386444	-0.4840088	No	
row_50	RAPGEF4	6424	-0.18399743735790253	-0.48987776	No	
row_51	DNTT	6881	-0.2963327169418335	-0.53295577	No	
row_52	GALNT6	6978	-0.3227454721927643	-0.54117125	No	
row_53	TYROBP	7088	-0.3535420596599579	-0.55054164	No	
row_54	XKRX	7116	-0.362589955329895	-0.5519611	No	
row_55	APP	7231	-0.3921118378639221	-0.56168807	No	
row_56	RNF145	7517	-0.49770835041999817	-0.58758736	No	
row_57	PKNOX1	7746	-0.590642511844635	-0.6076758	No	
row_58	CBX4	7844	-0.6288133263587952	-0.6149845	No	
row_59	AMPD1	7847	-0.6300832033157349	-0.6131121	No	
row_60	IKBKB	8000	-0.6924185156822205	-0.6255253	No	
row_61	LBP	8003	-0.6945131421089172	-0.6234417	No	
row_62	PPM1H	8091	-0.7352428436279297	-0.62943554	No	
row_63	GPR18	8187	-0.7805295586585999	-0.6360537	No	
row_64	BBS9	8216	-0.7971977591514587	-0.63614506	No	
row_65	APPL2	8223	-0.8021414279937744	-0.634095	No	
row_66	ITK	8224	-0.8023334741592407	-0.6314647	No	
row_67	RANBP10	8254	-0.8211999535560608	-0.631574	No	
row_68	ZADH2	8258	-0.8230414986610413	-0.6291656	No	
row_69	PXYLP1	8275	-0.829282283782959	-0.6279926	No	
row_70	DNASE1L3	8353	-0.8710523843765259	-0.63257515	No	
row_71	LDLRAP1	8358	-0.8759050965309143	-0.6300901	No	
row_72	SNN	8392	-0.9087029695510864	-0.6302989	No	
row_73	OSTF1	8440	-0.9367303848266602	-0.6317682	No	
row_74	IBTK	8487	-0.9590392112731934	-0.6330678	No	
row_75	TMEM203	8488	-0.9596309065818787	-0.62992185	No	
row_76	FEZ2	8491	-0.9608256816864014	-0.62696517	No	
row_77	PDE3B	8558	-1.0068836212158203	-0.63003993	No	
row_78	ARHGAP29	8657	-1.0630815029144287	-0.6360216	No	
row_79	ACTN1	8660	-1.0645071268081665	-0.632725	No	
row_80	CAMKK2	8814	-1.1599050760269165	-0.64370227	No	
row_81	CSNK1E	8821	-1.1668740510940552	-0.6404565	No	
row_82	MAN2A2	8834	-1.1851578950881958	-0.6377304	No	
row_83	COMMD8	8970	-1.2910709381103516	-0.64653885	Yes	
row_84	THNSL1	8996	-1.3169316053390503	-0.6446366	Yes	
row_85	SIKE1	8997	-1.3176385164260864	-0.64031696	Yes	
row_86	ARL4C	9037	-1.3413797616958618	-0.63968694	Yes	
row_87	PPP2R5A	9085	-1.3921892642974854	-0.63966316	Yes	
row_88	GALNT9	9136	-1.4406975507736206	-0.6397701	Yes	
row_89	MSRA	9143	-1.4471125602722168	-0.63560563	Yes	
row_90	SCP2	9183	-1.5063844919204712	-0.63443464	Yes	
row_91	ALS2CL	9186	-1.5095834732055664	-0.629679	Yes	
row_92	GPRC5B	9285	-1.6037062406539917	-0.63388836	Yes	
row_93	XYLT2	9299	-1.6177562475204468	-0.6298407	Yes	
row_94	LYST	9329	-1.6490334272384644	-0.62723607	Yes	
row_95	ICAM2	9427	-1.7718204259872437	-0.6307977	Yes	
row_96	ACVR1B	9432	-1.7764832973480225	-0.62536025	Yes	
row_97	NTRK3	9477	-1.8398572206497192	-0.6235791	Yes	
row_98	RPA1	9483	-1.8478174209594727	-0.6180044	Yes	
row_99	RAMP3	9503	-1.879115343093872	-0.6136795	Yes	
row_100	GRAMD1A	9508	-1.8877383470535278	-0.6078774	Yes	
row_101	SCML4	9509	-1.8913787603378296	-0.6016769	Yes	
row_102	TTYH3	9511	-1.8939083814620972	-0.59556466	Yes	
row_103	PIK3IP1	9532	-1.918428897857666	-0.5912075	Yes	
row_104	CD247	9582	-2.0098631381988525	-0.58935195	Yes	
row_105	TDRP	9631	-2.08907413482666	-0.5871402	Yes	
row_106	GPR183	9688	-2.193458318710327	-0.585359	Yes	
row_107	TGFBR3	9750	-2.3320326805114746	-0.5836065	Yes	
row_108	TMEM9B	9756	-2.3397529125213623	-0.57641906	Yes	
row_109	AFP	9764	-2.3534183502197266	-0.5693801	Yes	
row_110	PDLIM4	9766	-2.3554177284240723	-0.56175494	Yes	
row_111	PCED1B	9769	-2.3641607761383057	-0.5541977	Yes	
