NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.027005428	Yes	
row_1	NHP2	20	6.136864185333252	0.053752176	Yes	
row_2	PNO1	31	5.830062389373779	0.07847055	Yes	
row_3	FAM136A	53	5.392937660217285	0.10019969	Yes	
row_4	EIF2S2	60	5.300622940063477	0.12297224	Yes	
row_5	LYAR	70	4.969549179077148	0.14399618	Yes	
row_6	MRTO4	74	4.910591125488281	0.16534042	Yes	
row_7	CINP	106	4.547486305236816	0.18237807	Yes	
row_8	PLAC8	114	4.489916801452637	0.20148227	Yes	
row_9	SHMT1	115	4.489349365234375	0.2212607	Yes	
row_10	PPA1	183	4.027491092681885	0.23252717	Yes	
row_11	PRMT7	189	3.9930367469787598	0.24963564	Yes	
row_12	UCK2	238	3.7200465202331543	0.26138443	Yes	
row_13	RANBP1	263	3.5571353435516357	0.2747357	Yes	
row_14	NME1	281	3.48171067237854	0.28843135	Yes	
row_15	COPS4	364	3.20306134223938	0.29461557	Yes	
row_16	MRPL42	369	3.1783347129821777	0.30823144	Yes	
row_17	SHMT2	458	2.9282169342041016	0.31262475	Yes	
row_18	LSM2	473	2.9005680084228516	0.32405013	Yes	
row_19	RAN	494	2.8468964099884033	0.33465904	Yes	
row_20	CDK4	505	2.8296611309051514	0.34615874	Yes	
row_21	LSM3	539	2.776625871658325	0.35520127	Yes	
row_22	AGPAT5	547	2.7621889114379883	0.36669374	Yes	
row_23	SFXN1	554	2.73966383934021	0.37818366	Yes	
row_24	TIMM17A	562	2.708137273788452	0.389438	Yes	
row_25	PSMA5	574	2.6788904666900635	0.40017676	Yes	
row_26	ACADL	650	2.51387357711792	0.4040014	Yes	
row_27	PSMD6	674	2.4623825550079346	0.41262624	Yes	
row_28	TNFRSF9	697	2.430006504058838	0.42120513	Yes	
row_29	PSMD12	707	2.4126157760620117	0.43096414	Yes	
row_30	ACP1	713	2.3932011127471924	0.44102433	Yes	
row_31	ETFB	714	2.391188144683838	0.45155904	Yes	
row_32	PSMB2	721	2.369584560394287	0.4614185	Yes	
row_33	POLR3K	767	2.299379348754883	0.4671984	Yes	
row_34	COPS5	775	2.2900633811950684	0.47661084	Yes	
row_35	MYL4	865	2.179328203201294	0.47760814	Yes	
row_36	SNRPA1	878	2.158540725708008	0.4859578	Yes	
row_37	ERH	885	2.1491353511810303	0.49484605	Yes	
row_38	MRPS18A	892	2.1329140663146973	0.5036628	Yes	
row_39	UBE2N	926	2.0959300994873047	0.5097065	Yes	
row_40	RCC1	942	2.0711886882781982	0.51738125	Yes	
row_41	HAT1	946	2.06778621673584	0.5262011	Yes	
row_42	ORC6	981	2.0106232166290283	0.53177226	Yes	
row_43	DUT	1009	1.9733777046203613	0.53785604	Yes	
row_44	NANS	1067	1.8713842630386353	0.5405902	Yes	
row_45	PSMA1	1097	1.8360759019851685	0.5458758	Yes	
row_46	PSAT1	1231	1.699216365814209	0.5405042	Yes	
row_47	SLC25A5	1232	1.699173927307129	0.54799014	Yes	
row_48	NDC1	1257	1.6700509786605835	0.5530276	Yes	
row_49	TKT	1331	1.5979785919189453	0.55301046	Yes	
row_50	SLC25A13	1335	1.5954355001449585	0.5597493	Yes	
row_51	IRF4	1416	1.5249395370483398	0.5587337	Yes	
row_52	CKS2	1473	1.4795353412628174	0.55983824	Yes	
row_53	MRPL46	1550	1.4105043411254883	0.55870515	Yes	
row_54	GGT1	1633	1.3484549522399902	0.55671865	Yes	
row_55	PMPCB	1711	1.2909756898880005	0.5549623	Yes	
row_56	MRPL18	1763	1.2557836771011353	0.5555644	Yes	
row_57	MTX1	1780	1.2435028553009033	0.55949605	Yes	
row_58	STARD3NL	1799	1.2240272760391235	0.5631485	Yes	
row_59	SDHB	1845	1.1883832216262817	0.56403375	Yes	
row_60	MDH2	1863	1.1763404607772827	0.5675728	Yes	
row_61	SSR2	1866	1.1733533143997192	0.5725488	Yes	
row_62	RBBP7	1881	1.1664161682128906	0.5763342	Yes	
row_63	CCRL2	1908	1.1447722911834717	0.5788641	Yes	
row_64	TPI1	1910	1.1432522535324097	0.58380413	Yes	
row_65	LSM12	1942	1.1196236610412598	0.5857399	Yes	
row_66	TFDP1	1961	1.1058663129806519	0.5888718	Yes	
row_67	ALYREF	2003	1.0773075819015503	0.5896544	Yes	
row_68	TRIP13	2104	1.006113052368164	0.5844195	No	
row_69	RFC3	2146	0.9860947132110596	0.5848002	No	
row_70	CCDC34	2148	0.9857829213142395	0.58904654	No	
row_71	DPAGT1	2272	0.9114482402801514	0.5811711	No	
row_72	SPDL1	2560	0.7715078592300415	0.5568245	No	
row_73	CDC123	2595	0.7595726847648621	0.556884	No	
row_74	HAUS1	2672	0.7310096025466919	0.5527573	No	
row_75	PMM1	2705	0.7132356762886047	0.55280596	No	
row_76	CSTF2	2717	0.7091303467750549	0.55486673	No	
row_77	DSCC1	2726	0.7049956917762756	0.5571993	No	
row_78	HAVCR2	2799	0.6732461452484131	0.5532048	No	
row_79	PSMC3IP	2918	0.6218574047088623	0.5445369	No	
row_80	FKBP2	2962	0.6085118651390076	0.5430608	No	
row_81	HIRIP3	3008	0.5937936902046204	0.54132646	No	
row_82	UGP2	3039	0.5826203227043152	0.54099303	No	
row_83	GMNN	3303	0.49090376496315	0.5177304	No	
row_84	SPC24	3401	0.4606136679649353	0.5103823	No	
row_85	C1D	3405	0.4589807093143463	0.51211435	No	
row_86	CYP20A1	3545	0.41533392667770386	0.50050646	No	
row_87	IDI1	3643	0.3850947320461273	0.4928256	No	
row_88	SNF8	3645	0.3841746151447296	0.49442145	No	
row_89	PRIM1	3646	0.3838987350463867	0.4961128	No	
row_90	ISOC1	3660	0.3794192671775818	0.49652758	No	
row_91	MCM10	3860	0.326842725276947	0.47872934	No	
row_92	COPS3	3900	0.31713637709617615	0.47635624	No	
row_93	CKAP2L	3987	0.29222825169563293	0.46932968	No	
row_94	RAD51	3999	0.2890496551990509	0.4695397	No	
row_95	FBXO5	4021	0.2831849157810211	0.46875715	No	
row_96	FAM72A	4060	0.272602915763855	0.4662845	No	
row_97	CKS1B	4077	0.2695036232471466	0.46592507	No	
row_98	HMGN2	4079	0.26889440417289734	0.46701303	No	
row_99	SYCE2	4122	0.25868338346481323	0.46409237	No	
row_100	TUBB4B	4136	0.25573819875717163	0.4639623	No	
row_101	GINS1	4165	0.24898847937583923	0.46235237	No	
row_102	CDC45	4347	0.20823360979557037	0.4457717	No	
row_103	MCM7	4424	0.1866273134946823	0.43924665	No	
row_104	FIGNL1	4428	0.18596157431602478	0.4397759	No	
row_105	PRIM2	4651	0.13524143397808075	0.41891003	No	
row_106	NME7	4660	0.13230176270008087	0.4187195	No	
row_107	GEN1	4663	0.1316847801208496	0.4191063	No	
row_108	BCKDK	4673	0.1297195553779602	0.41880772	No	
row_109	CENPP	4691	0.1262054443359375	0.4177203	No	
row_110	EME1	4693	0.12611210346221924	0.4181792	No	
row_111	PBK	4716	0.12093323469161987	0.41658515	No	
row_112	UBE2S	4751	0.1142919585108757	0.41380176	No	
row_113	EIF1AD	4797	0.10569916665554047	0.4099171	No	
row_114	TUBG1	4807	0.10444916784763336	0.4095072	No	
row_115	CDK1	4927	0.08435365557670593	0.39837456	No	
row_116	PRELID1	4931	0.08322308212518692	0.39845118	No	
row_117	RAD51AP1	4936	0.08213125914335251	0.39842632	No	
row_118	MAD2L1	4971	0.07565922290086746	0.39547274	No	
row_119	POLE2	4999	0.06921974569559097	0.39316747	No	
row_120	TUBGCP2	5111	0.04926775395870209	0.38265365	No	
row_121	IMPA2	5177	0.03880046308040619	0.37654078	No	
row_122	AURKA	5215	0.03251472860574722	0.37310708	No	
row_123	RRM2	5245	0.02855096198618412	0.3704293	No	
row_124	HMMR	5287	0.02126924879848957	0.36655936	No	
row_125	CCNA2	5352	0.009331496432423592	0.36041328	No	
row_126	AURKB	5465	-0.010311707854270935	0.3496312	No	
row_127	NUF2	5599	-0.03187758848071098	0.33691394	No	
row_128	PSMC3	5617	-0.03461199626326561	0.33542296	No	
row_129	PLK1	5706	-0.04740852862596512	0.32712448	No	
row_130	SURF4	5744	-0.05496709421277046	0.3237897	No	
row_131	CDCA8	5808	-0.06554873287677765	0.31798798	No	
row_132	PIGT	5865	-0.07317356020212173	0.3128966	No	
row_133	KIF15	6038	-0.10377135127782822	0.29672578	No	
row_134	CENPN	6045	-0.10465129464864731	0.29660678	No	
row_135	BUB1	6154	-0.12456119805574417	0.28671473	No	
row_136	CCNB2	6334	-0.16132594645023346	0.27012074	No	
row_137	CDKN3	6536	-0.20826172828674316	0.25160673	No	
row_138	MKI67	6632	-0.23145423829555511	0.24344236	No	
row_139	SPC25	6701	-0.24989597499370575	0.23796944	No	
row_140	BIRC5	6713	-0.25199952721595764	0.23801625	No	
row_141	SPAG5	6738	-0.2582606077194214	0.23683387	No	
row_142	TROAP	6739	-0.2583092451095581	0.23797187	No	
row_143	CDCA3	6865	-0.29135867953300476	0.2271712	No	
row_144	BUB3	6873	-0.29315078258514404	0.22778599	No	
row_145	STMN1	6914	-0.30452960729599	0.22526066	No	
row_146	ASF1B	6965	-0.3185229003429413	0.22183023	No	
row_147	KIF22	7191	-0.38282984495162964	0.2017651	No	
row_148	MIS18BP1	7400	-0.4506686329841614	0.18364231	No	
row_149	FLNB	7430	-0.46177518367767334	0.18287316	No	
row_150	NRM	7435	-0.46279555559158325	0.18452537	No	
row_151	SC5D	7486	-0.48576951026916504	0.18183178	No	
row_152	ZBTB32	7525	-0.5014423131942749	0.18036732	No	
row_153	DBI	7801	-0.6103975176811218	0.15647104	No	
row_154	CDC14A	7995	-0.6907142996788025	0.14085592	No	
row_155	ROM1	8177	-0.7745151519775391	0.1267701	No	
row_156	LGALS1	8616	-1.0387541055679321	0.08900307	No	
row_157	PRKAG1	8674	-1.0726804733276367	0.088218465	No	
row_158	SLC16A3	9384	-1.7145013809204102	0.027229784	No	
row_159	ADAP1	9462	-1.8153620958328247	0.027783673	No	
row_160	DCK	9621	-2.0724363327026367	0.021639513	No	
row_161	ANXA2	9637	-2.100144386291504	0.029441861	No	
row_162	ARSB	10072	-3.1719448566436768	0.0014595976	No	
row_163	VIM	10279	-4.195784091949463	2.9755978E-5	No	
row_164	RIPK3	10385	-4.996357440948486	0.0118910605	No	
