NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRN1	23	6.067599773406982	0.0389606	No	
row_1	CD226	57	5.338651657104492	0.072017215	No	
row_2	HIP1	645	2.5159127712249756	0.03282244	No	
row_3	PDCD4	995	1.9993435144424438	0.012935276	No	
row_4	RAP2A	1947	1.1166869401931763	-0.070641726	No	
row_5	F2R	3823	0.3365781009197235	-0.24807645	No	
row_6	EDARADD	3848	0.33105507493019104	-0.24813083	No	
row_7	CRIM1	4730	0.11745822429656982	-0.33177754	No	
row_8	CXCR6	4899	0.08829529583454132	-0.34728125	No	
row_9	PDE4D	5629	-0.0359916165471077	-0.4169115	No	
row_10	CCNI	5721	-0.05011192709207535	-0.42529386	No	
row_11	ZC3H6	5760	-0.05835404619574547	-0.42854026	No	
row_12	MAML2	5816	-0.06615743786096573	-0.43336314	No	
row_13	YPEL1	6026	-0.10171782225370407	-0.45270562	No	
row_14	TSR3	6276	-0.1492062360048294	-0.47555992	No	
row_15	RAP2B	6286	-0.1515795886516571	-0.4753942	No	
row_16	FAM117A	6462	-0.19100508093833923	-0.49087206	No	
row_17	KIZ	6658	-0.23705103993415833	-0.5079545	No	
row_18	ACSS2	6666	-0.24114827811717987	-0.50698936	No	
row_19	AS3MT	6980	-0.3230942189693451	-0.5347983	No	
row_20	USE1	7069	-0.3473348617553711	-0.5408766	No	
row_21	ABRACL	7170	-0.3773515522480011	-0.5479015	No	
row_22	DVL3	7221	-0.39069828391075134	-0.55004334	No	
row_23	APC	7227	-0.39123809337615967	-0.54786825	No	
row_24	ATG2A	7631	-0.5448981523513794	-0.58279884	No	
row_25	CX3CR1	7713	-0.5747388601303101	-0.5866634	No	
row_26	DZIP1	7734	-0.5829924941062927	-0.5846251	No	
row_27	ARF6	7790	-0.6080159544944763	-0.58577186	No	
row_28	USP3	8017	-0.7003816962242126	-0.6026822	No	
row_29	KLF3	8027	-0.7035914063453674	-0.5987714	No	
row_30	PPM1H	8091	-0.7352428436279297	-0.59982175	No	
row_31	ADCY7	8208	-0.7937609553337097	-0.60555506	No	
row_32	GABARAPL2	8292	-0.8362122178077698	-0.6078374	No	
row_33	EID2B	8590	-1.0213416814804077	-0.6293756	No	
row_34	CNNM2	8694	-1.0842012166976929	-0.6318924	No	
row_35	SH2B1	8797	-1.1430418491363525	-0.6339142	Yes	
row_36	CARD6	8818	-1.1638872623443604	-0.6279349	Yes	
row_37	BTG1	8843	-1.1930826902389526	-0.6221409	Yes	
row_38	EPSTI1	8909	-1.2369627952575684	-0.6199791	Yes	
row_39	VAMP2	9010	-1.325218915939331	-0.62057316	Yes	
row_40	PACS1	9106	-1.4169113636016846	-0.620066	Yes	
row_41	TOR4A	9151	-1.461220145225525	-0.61436987	Yes	
row_42	SNX33	9215	-1.5388665199279785	-0.60996807	Yes	
row_43	RASGRP1	9220	-1.5449825525283813	-0.59986967	Yes	
row_44	CROT	9307	-1.6279956102371216	-0.5970677	Yes	
row_45	RNF166	9331	-1.6503971815109253	-0.5880753	Yes	
row_46	ARID3B	9336	-1.655759572982788	-0.5772253	Yes	
row_47	ANTXR2	9363	-1.686618685722351	-0.5682747	Yes	
row_48	FBXO32	9436	-1.7783372402191162	-0.5631109	Yes	
row_49	IL18R1	9488	-1.8554984331130981	-0.55541074	Yes	
row_50	NIPAL3	9512	-1.895025372505188	-0.5447586	Yes	
row_51	CD96	9527	-1.911523461341858	-0.53313196	Yes	
row_52	CD247	9582	-2.0098631381988525	-0.5246721	Yes	
row_53	SFXN3	9783	-2.385002374649048	-0.52766114	Yes	
row_54	TECPR1	9901	-2.615955114364624	-0.5211278	Yes	
row_55	MAFG	10025	-2.9620158672332764	-0.5128218	Yes	
row_56	HID1	10066	-3.130038261413574	-0.49542028	Yes	
row_57	SMAD3	10096	-3.2441225051879883	-0.47619045	Yes	
row_58	CD2	10111	-3.3026833534240723	-0.45512554	Yes	
row_59	BCAS3	10131	-3.379657030105591	-0.4340177	Yes	
row_60	RNF167	10176	-3.547485828399658	-0.41416743	Yes	
row_61	FAM78A	10187	-3.6265575885772705	-0.39052185	Yes	
row_62	SLC25A45	10188	-3.627394914627075	-0.36591208	Yes	
row_63	SPN	10202	-3.6835410594940186	-0.34216744	Yes	
row_64	CD84	10230	-3.858182430267334	-0.31857985	Yes	
row_65	SYP	10235	-3.894205093383789	-0.29254332	Yes	
row_66	RINL	10240	-3.9509687423706055	-0.2661217	Yes	
row_67	ARHGEF18	10244	-3.9867897033691406	-0.2393612	Yes	
row_68	TCP11L2	10247	-4.006086826324463	-0.21237391	Yes	
row_69	ARNTL	10251	-4.024789810180664	-0.1853556	Yes	
row_70	YPEL3	10318	-4.4369940757751465	-0.16157925	Yes	
row_71	EZH1	10341	-4.585873126983643	-0.13257547	Yes	
row_72	SYNE1	10354	-4.703028202056885	-0.101818345	Yes	
row_73	TMEM71	10438	-5.682821273803711	-0.07121923	Yes	
row_74	TXNIP	10440	-5.710038661956787	-0.03257578	Yes	
row_75	CTSA	10444	-5.748120307922363	0.0061343326	Yes	
