NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2L11	50	5.4120917320251465	0.010826597	No	
row_1	PLAC8	114	4.489916801452637	0.017729046	No	
row_2	PPIC	392	3.097787857055664	-7.446499E-5	No	
row_3	RPL7	704	2.4203128814697266	-0.023123354	No	
row_4	SOX4	1538	1.4218405485153198	-0.09950063	No	
row_5	GGT1	1633	1.3484549522399902	-0.10468235	No	
row_6	CLIC4	1698	1.302371621131897	-0.10709857	No	
row_7	DAPL1	1740	1.2716341018676758	-0.10738128	No	
row_8	ID2	2030	1.0556106567382812	-0.13225265	No	
row_9	AGO2	2040	1.0491586923599243	-0.13008693	No	
row_10	FOXP1	2116	0.9991675615310669	-0.13444325	No	
row_11	ITM2A	2190	0.9648249745368958	-0.1387057	No	
row_12	SLC19A2	2248	0.925462007522583	-0.14153598	No	
row_13	IGF2R	2313	0.8888471722602844	-0.14514859	No	
row_14	ETS2	2360	0.8678755760192871	-0.14708257	No	
row_15	PRR5L	2404	0.8515872955322266	-0.14877379	No	
row_16	N4BP2L2	2458	0.8259408473968506	-0.15150549	No	
row_17	IFIH1	2524	0.7891051769256592	-0.15550329	No	
row_18	LYPD6B	2531	0.7864689230918884	-0.15380768	No	
row_19	RBM39	2708	0.7123118042945862	-0.16875334	No	
row_20	DUSP6	2831	0.6576946377754211	-0.1786391	No	
row_21	THEMIS	3059	0.5765212178230286	-0.19890563	No	
row_22	EPAS1	3124	0.55423903465271	-0.20348631	No	
row_23	FILIP1L	3428	0.45316004753112793	-0.23145343	No	
row_24	SLC35G1	3489	0.4325554668903351	-0.23599966	No	
row_25	ENC1	3702	0.370060533285141	-0.2554141	No	
row_26	CCR7	3768	0.35251256823539734	-0.260675	No	
row_27	MMP14	3878	0.32299891114234924	-0.27027294	No	
row_28	GPD2	3936	0.3077271580696106	-0.27489042	No	
row_29	TEC	3938	0.3073485493659973	-0.27409786	No	
row_30	MIPOL1	3962	0.2996445596218109	-0.27545336	No	
row_31	PTGIR	4041	0.2783951163291931	-0.2821849	No	
row_32	PHF6	4062	0.2717535197734833	-0.28333122	No	
row_33	RTN3	4093	0.2652877867221832	-0.28546253	No	
row_34	CPNE1	4282	0.22089415788650513	-0.30298945	No	
row_35	ARID2	4423	0.18682633340358734	-0.31597683	No	
row_36	LMO4	4585	0.1465422362089157	-0.3311099	No	
row_37	MCTP2	4587	0.14601580798625946	-0.3307841	No	
row_38	DUSP10	4839	0.09873043745756149	-0.354752	No	
row_39	BRD4	4874	0.09270879626274109	-0.35776913	No	
row_40	CNN3	4929	0.08387758582830429	-0.36274436	No	
row_41	TAF15	4946	0.07992948591709137	-0.36405915	No	
row_42	SFT2D2	4955	0.07832247018814087	-0.36460558	No	
row_43	AQR	4984	0.07281941175460815	-0.36710048	No	
row_44	POLE2	4999	0.06921974569559097	-0.368253	No	
row_45	NXF1	5007	0.06832557171583176	-0.3687317	No	
row_46	DGKD	5166	0.0405828133225441	-0.38388148	No	
row_47	TRRAP	5236	0.030135363340377808	-0.3904616	No	
row_48	ITGB3	5874	-0.07494158297777176	-0.45179662	No	
row_49	METTL9	5949	-0.08847486227750778	-0.4586911	No	
row_50	SLC20A1	5993	-0.09565047919750214	-0.46256936	No	
row_51	FANCD2	6112	-0.11631801724433899	-0.4736349	No	
row_52	TMIE	6356	-0.16709284484386444	-0.496632	No	
row_53	NIPBL	6442	-0.18672648072242737	-0.5043051	No	
row_54	UBN1	6446	-0.18763600289821625	-0.50405216	No	
row_55	NRP2	6501	-0.19917632639408112	-0.5086938	No	
row_56	USP53	6853	-0.28925153613090515	-0.54177326	No	
row_57	APBB1IP	6925	-0.308422327041626	-0.54774153	No	
row_58	KLHDC2	6970	-0.31958332657814026	-0.55106854	No	
row_59	ACBD3	6999	-0.3293018341064453	-0.5528214	No	
row_60	CRYBG3	7024	-0.335793137550354	-0.554169	No	
row_61	MAU2	7305	-0.41932785511016846	-0.58001155	No	
row_62	ALPK1	7730	-0.5821956992149353	-0.6192973	No	
row_63	SV2C	7736	-0.5843091011047363	-0.61809	No	
row_64	PKNOX1	7746	-0.590642511844635	-0.6172508	No	
row_65	MYB	7756	-0.5938759446144104	-0.61640227	No	
row_66	GPR171	7782	-0.6057239770889282	-0.6170655	No	
row_67	FAM160B1	7923	-0.6622071862220764	-0.62867755	No	
row_68	IL4	8102	-0.7383607029914856	-0.6437411	No	
