NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIK1	17	6.4805498123168945	0.034536134	No	
row_1	SYTL2	780	2.2834556102752686	-0.026037106	No	
row_2	TSACC	1235	1.6963374614715576	-0.060252074	No	
row_3	RHBDD2	1454	1.492466926574707	-0.072897375	No	
row_4	PPARGC1B	1665	1.3259432315826416	-0.0857024	No	
row_5	SEMA4B	2173	0.9716702103614807	-0.12906176	No	
row_6	METAP1D	2396	0.8550134301185608	-0.14564994	No	
row_7	TMEM42	2940	0.6155092120170593	-0.19446112	No	
row_8	TRAF5	3135	0.5507460236549377	-0.21005349	No	
row_9	B3GAT3	3141	0.5483954548835754	-0.20747365	No	
row_10	TOMM40L	3770	0.35217738151550293	-0.26593322	No	
row_11	RIN3	4126	0.2577902674674988	-0.29865193	No	
row_12	FAM160A2	4160	0.2499232441186905	-0.3004322	No	
row_13	KMT2C	4298	0.21827630698680878	-0.3123958	No	
row_14	USP21	4400	0.1933434158563614	-0.32103473	No	
row_15	SLC39A11	4451	0.1789415031671524	-0.32484686	No	
row_16	FHIT	4503	0.16865797340869904	-0.32881263	No	
row_17	BLVRB	4668	0.13051097095012665	-0.34386402	No	
row_18	STAU1	4678	0.12814997136592865	-0.3440147	No	
row_19	TNIP1	4729	0.11763042956590652	-0.3481691	No	
row_20	CREBBP	4802	0.1052137017250061	-0.35450956	No	
row_21	MAP3K4	5137	0.04455631971359253	-0.38639787	No	
row_22	FEM1A	5207	0.0330737829208374	-0.39285237	No	
row_23	CCL5	5220	0.03164792060852051	-0.39383033	No	
row_24	KHK	5302	0.018518885597586632	-0.40152067	No	
row_25	MYO7A	5397	-1.539719960419461E-4	-0.41056436	No	
row_26	IVD	5445	-0.0070094880647957325	-0.41504753	No	
row_27	HSCB	5481	-0.012758334167301655	-0.41834396	No	
row_28	FKBPL	5895	-0.07898766547441483	-0.45764136	No	
row_29	VPS33B	6192	-0.13256411254405975	-0.48538217	No	
row_30	FOSB	6307	-0.1559673398733139	-0.49548054	No	
row_31	TTF1	6469	-0.19313623011112213	-0.5098937	No	
row_32	ADAM22	6723	-0.2551229000091553	-0.532813	No	
row_33	LDHD	6744	-0.25988686084747314	-0.5332868	No	
row_34	DNTT	6881	-0.2963327169418335	-0.54471856	No	
row_35	ABLIM2	7020	-0.3354657292366028	-0.55612427	No	
row_36	CHKB	7135	-0.36730003356933594	-0.5650431	No	
row_37	HMCES	7203	-0.3860935866832733	-0.5693347	No	
row_38	CCL25	7205	-0.38654667139053345	-0.5672734	No	
row_39	TMEM119	7210	-0.3878052532672882	-0.56549364	No	
row_40	RNASEK	7266	-0.4045591354370117	-0.5685276	No	
row_41	GPATCH2	7318	-0.4231839179992676	-0.5710727	No	
row_42	SLC25A44	7341	-0.4325844943523407	-0.570775	No	
row_43	DEAF1	7366	-0.44135868549346924	-0.5706208	No	
row_44	FAM193B	7448	-0.4677239656448364	-0.5758038	No	
row_45	MLYCD	7484	-0.48520588874816895	-0.5764632	No	
row_46	DAPK3	7560	-0.513788640499115	-0.58081186	No	
row_47	DSTYK	7621	-0.5371676683425903	-0.58358675	No	
row_48	ACAD10	7722	-0.5775061845779419	-0.5899852	No	
row_49	TBC1D17	7738	-0.5850093364715576	-0.5881632	No	
row_50	SMAD7	7747	-0.5907418131828308	-0.58563566	No	
row_51	ATP10D	7755	-0.5938705205917358	-0.5829944	No	
row_52	UBL5	7812	-0.6142816543579102	-0.58495396	No	
row_53	RFTN2	7824	-0.6201716661453247	-0.5825508	No	
row_54	GPR34	7953	-0.6754570007324219	-0.5910967	No	
row_55	LBP	8003	-0.6945131421089172	-0.5919349	No	
row_56	ZFP14	8214	-0.7959204316139221	-0.6076983	Yes	
row_57	TPGS1	8241	-0.8125118017196655	-0.60566485	Yes	
row_58	FAHD2A	8306	-0.8415541052818298	-0.60712564	Yes	
row_59	BSDC1	8333	-0.8583133816719055	-0.6048366	Yes	
row_60	JUNB	8340	-0.8619195222854614	-0.600603	Yes	
row_61	OAZ2	8431	-0.9340618848800659	-0.6040491	Yes	
row_62	VPS9D1	8505	-0.972034752368927	-0.60564756	Yes	
