NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	4	7.80339241027832	0.034152444	No	
row_1	GSAP	135	4.338417053222656	0.040813558	No	
row_2	VCAM1	393	3.0930886268615723	0.029711178	No	
row_3	HOPX	604	2.6146621704101562	0.021025304	No	
row_4	IL17RB	629	2.5444393157958984	0.029971896	No	
row_5	HSPA5	1134	1.7982889413833618	-0.010689252	No	
row_6	EHD1	1174	1.7531132698059082	-0.006692159	No	
row_7	CLTB	1442	1.5001189708709717	-0.025809819	No	
row_8	IFITM3	1803	1.2187999486923218	-0.055144254	No	
row_9	SEC31A	1937	1.123115062713623	-0.06300368	No	
row_10	ASB13	2092	1.0142111778259277	-0.07337098	No	
row_11	AKAP8	2111	1.0040037631988525	-0.07066364	No	
row_12	DHX38	2732	0.7006983160972595	-0.12737322	No	
row_13	ABCG1	2749	0.6923328638076782	-0.12585242	No	
row_14	TSC1	2817	0.6633746027946472	-0.12937972	No	
row_15	BBS2	2871	0.6389906406402588	-0.13166438	No	
row_16	IL2RB	2894	0.6288431882858276	-0.1310034	No	
row_17	ZC3H11A	3058	0.5768924355506897	-0.14417452	No	
row_18	IQCB1	3068	0.5736027956008911	-0.14250395	No	
row_19	RC3H1	3080	0.5681292414665222	-0.14105052	No	
row_20	RNF138	3181	0.5335244536399841	-0.14833604	No	
row_21	CTDSP1	3297	0.4921463429927826	-0.15725173	No	
row_22	SVIL	3681	0.3732036054134369	-0.19254762	No	
row_23	SFMBT2	3809	0.34034931659698486	-0.2032928	No	
row_24	SLC22A5	3995	0.2901003360748291	-0.2198556	No	
row_25	LGALS9	4226	0.23353880643844604	-0.24100988	No	
row_26	HAAO	4253	0.2259257286787033	-0.24251811	No	
row_27	TAOK1	4441	0.1826673150062561	-0.25974935	No	
row_28	WNK1	4513	0.1674690842628479	-0.26585743	No	
row_29	PRKAR2B	4563	0.15081685781478882	-0.26991692	No	
row_30	MBTD1	4590	0.1453421413898468	-0.2717818	No	
row_31	ATP8B2	4702	0.12417323142290115	-0.2819403	No	
row_32	MEGF9	4706	0.12339752167463303	-0.28168353	No	
row_33	ATP2B4	4924	0.08522390574216843	-0.30224016	No	
row_34	OSBPL7	5053	0.06062833592295647	-0.31431988	No	
row_35	THRAP3	5060	0.05982588976621628	-0.3146339	No	
row_36	KMT2B	5081	0.05480002611875534	-0.31632075	No	
row_37	BACE1	5101	0.05139455571770668	-0.31792617	No	
row_38	MDM4	5330	0.01416552159935236	-0.33985847	No	
row_39	DDHD1	5375	0.005137958098202944	-0.34408036	No	
row_40	RNF20	5456	-0.008616950362920761	-0.35175976	No	
row_41	ACTR1B	5515	-0.017663417384028435	-0.3572768	No	
row_42	PSD4	5716	-0.04962066188454628	-0.37635103	No	
row_43	PDE7A	5847	-0.07099757343530655	-0.3885778	No	
row_44	OGFOD2	5885	-0.07791952043771744	-0.39180228	No	
row_45	RLF	5914	-0.08219451457262039	-0.39413962	No	
row_46	NR2F6	5925	-0.08424346148967743	-0.39473143	No	
row_47	TGM2	5981	-0.09345931559801102	-0.39962357	No	
row_48	WASL	5995	-0.09583466500043869	-0.4004535	No	
row_49	FECH	6150	-0.12390116602182388	-0.4147614	No	
row_50	HERPUD2	6178	-0.12886112928390503	-0.4167957	No	
row_51	MTA3	6279	-0.14990860223770142	-0.4257791	No	
row_52	BPTF	6322	-0.1591607928276062	-0.42912638	No	
row_53	ITM2C	6662	-0.2388169765472412	-0.46077242	No	
row_54	MTMR10	6688	-0.2471061497926712	-0.46209043	No	
row_55	CENPL	7103	-0.3591451048851013	-0.5004391	No	
row_56	CDADC1	7129	-0.3662634789943695	-0.5012297	No	
