NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.040348757	Yes	
row_1	CCDC50	64	5.075274467468262	0.06433017	Yes	
row_2	MTAP	85	4.789093971252441	0.089850895	Yes	
row_3	CINP	106	4.547486305236816	0.113986894	Yes	
row_4	DKC1	112	4.5052490234375	0.13932605	Yes	
row_5	SHMT1	115	4.489349365234375	0.16486312	Yes	
row_6	POLR2E	182	4.038355350494385	0.18164912	Yes	
row_7	PRELID2	201	3.9322762489318848	0.20245187	Yes	
row_8	PSME3	237	3.7232120037078857	0.22041848	Yes	
row_9	MECR	310	3.37142276763916	0.23280402	Yes	
row_10	EIF3I	348	3.246763229370117	0.24784726	Yes	
row_11	DNMT3A	357	3.2205121517181396	0.26553416	Yes	
row_12	PPIC	392	3.097787857055664	0.28001267	Yes	
row_13	CHSY1	397	3.0825767517089844	0.2972944	Yes	
row_14	FAM111A	423	3.010160446166992	0.3121378	Yes	
row_15	MRPL39	443	2.9550678730010986	0.32724354	Yes	
row_16	POLR2F	444	2.94885516166687	0.34414428	Yes	
row_17	TBL3	457	2.929062843322754	0.35977542	Yes	
row_18	DHX33	512	2.815446138381958	0.37070873	Yes	
row_19	LSM3	539	2.776625871658325	0.38411734	Yes	
row_20	CAD	560	2.7120721340179443	0.39773405	Yes	
row_21	SMYD2	608	2.5967161655426025	0.4080882	Yes	
row_22	RPS8	634	2.532282590866089	0.42019275	Yes	
row_23	TMEM147	643	2.5165061950683594	0.4338448	Yes	
row_24	SLC25A39	646	2.515636920928955	0.44806996	Yes	
row_25	TNFRSF9	697	2.430006504058838	0.4571796	Yes	
row_26	MRPS17	795	2.2644307613372803	0.4608119	Yes	
row_27	ANXA6	868	2.1735904216766357	0.46633232	Yes	
row_28	SUZ12	977	2.0155036449432373	0.46747813	Yes	
row_29	MED22	1001	1.9852086305618286	0.47663993	Yes	
row_30	PDXK	1138	1.7947397232055664	0.4738227	Yes	
row_31	GRPEL1	1198	1.7302039861679077	0.47805446	Yes	
row_32	PTPN6	1261	1.6649576425552368	0.48162323	Yes	
row_33	FUBP3	1263	1.6637957096099854	0.49106258	Yes	
row_34	PRR3	1272	1.656586766242981	0.49978617	Yes	
row_35	ANAPC15	1295	1.6321265697479248	0.5070207	Yes	
row_36	DYNLL1	1381	1.5572808980941772	0.5077563	Yes	
row_37	SF3B3	1388	1.553826093673706	0.51608366	Yes	
row_38	NDUFAF2	1426	1.5161062479019165	0.521208	Yes	
row_39	SNRPE	1427	1.5157277584075928	0.52989507	Yes	
row_40	COX7A2	1428	1.5146126747131348	0.53857577	Yes	
row_41	RGS1	1483	1.468706488609314	0.54179054	Yes	
row_42	E2F4	1547	1.4138840436935425	0.54382396	Yes	
row_43	ALG8	1571	1.397263765335083	0.5496161	Yes	
row_44	EIF3L	1579	1.3921047449111938	0.55692023	Yes	
row_45	PRDX2	1598	1.3745362758636475	0.5630638	Yes	
row_46	SGSM3	1632	1.3489012718200684	0.5676153	Yes	
row_47	TRAPPC4	1635	1.3448766469955444	0.57513046	Yes	
row_48	DAPL1	1740	1.2716341018676758	0.5723983	Yes	
row_49	CSTF1	1844	1.190014362335205	0.56929475	Yes	
row_50	SDHB	1845	1.1883832216262817	0.5761057	Yes	
row_51	UNG	1882	1.1658742427825928	0.5793191	Yes	
row_52	CHPF	1919	1.134980320930481	0.5823555	Yes	
row_53	XXYLT1	2050	1.0414055585861206	0.5757988	No	
row_54	PGM2	2212	0.9475327730178833	0.5657173	No	
row_55	ALKBH7	2305	0.8912703990936279	0.56196135	No	
