NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.024530848	Yes	
row_1	IRF8	13	6.579859733581543	0.044082522	Yes	
row_2	RPF2	22	6.088015079498291	0.062383648	Yes	
row_3	WDR77	24	6.038822650909424	0.08120867	Yes	
row_4	NDUFAF4	30	5.845912456512451	0.09904178	Yes	
row_5	WDR43	54	5.387223243713379	0.11369415	Yes	
row_6	PTGER4	56	5.3617262840271	0.13039757	Yes	
row_7	METTL1	65	5.024819850921631	0.14536731	Yes	
row_8	MRTO4	74	4.910591125488281	0.15997912	Yes	
row_9	NOP2	91	4.713138580322266	0.17319736	Yes	
row_10	IL2RA	102	4.590158939361572	0.18661141	Yes	
row_11	GCSH	105	4.552402019500732	0.20068207	Yes	
row_12	CINP	106	4.547486305236816	0.21493104	Yes	
row_13	PHB	113	4.494336128234863	0.2284323	Yes	
row_14	MRPL17	118	4.477055549621582	0.24207313	Yes	
row_15	RRP9	130	4.393106460571289	0.2547729	Yes	
row_16	SYNGR2	136	4.322700023651123	0.26783323	Yes	
row_17	MRPS18B	145	4.292644023895264	0.2805088	Yes	
row_18	FAM162A	162	4.181758403778076	0.292062	Yes	
row_19	CCT3	166	4.142268180847168	0.30475068	Yes	
row_20	MRPL45	178	4.0678253173828125	0.31643122	Yes	
row_21	PPA1	183	4.027491092681885	0.3286634	Yes	
row_22	AIMP2	205	3.913670778274536	0.3388923	Yes	
row_23	CCT6A	207	3.906320571899414	0.3510354	Yes	
row_24	TIMM9	216	3.8439483642578125	0.36230502	Yes	
row_25	RRP1B	220	3.8092150688171387	0.37395012	Yes	
row_26	SRM	224	3.7798802852630615	0.38550332	Yes	
row_27	SLC19A1	252	3.652541399002075	0.39433283	Yes	
row_28	GALK1	260	3.5634148120880127	0.4048203	Yes	
row_29	HK2	261	3.5615415573120117	0.41597992	Yes	
row_30	RPL7L1	305	3.392265558242798	0.4224441	Yes	
row_31	ENOPH1	313	3.363833427429199	0.43230623	Yes	
row_32	MOGS	326	3.312930107116699	0.44152454	Yes	
row_33	PLSCR1	385	3.137037992477417	0.44573605	Yes	
row_34	MRPS10	388	3.1142706871032715	0.4553005	Yes	
row_35	XPOT	389	3.1106975078582764	0.46504748	Yes	
row_36	NCBP2	394	3.093069553375244	0.47435176	Yes	
row_37	SPR	395	3.089552164077759	0.48403248	Yes	
row_38	POLR2F	444	2.94885516166687	0.488623	Yes	
row_39	SOD2	469	2.9084057807922363	0.49541143	Yes	
row_40	POLR1A	471	2.9052910804748535	0.50441796	Yes	
row_41	LSM2	473	2.9005680084228516	0.5134096	Yes	
row_42	POLR3D	485	2.8637447357177734	0.52131736	Yes	
row_43	MTX2	542	2.773937463760376	0.5245849	Yes	
row_44	CAD	560	2.7120721340179443	0.53143615	Yes	
row_45	OLA1	565	2.6991260051727295	0.5395061	Yes	
row_46	ACAD9	595	2.6249969005584717	0.5449222	Yes	
row_47	TSPAN31	640	2.520629644393921	0.54855835	Yes	
row_48	RBPJ	691	2.440864086151123	0.5513634	Yes	
row_49	TNFRSF9	697	2.430006504058838	0.5584932	Yes	
row_50	POLD2	702	2.421182155609131	0.5656922	Yes	
row_51	PSMD12	707	2.4126157760620117	0.5728644	Yes	
row_52	POLR3K	767	2.299379348754883	0.57435435	Yes	
row_53	PDIA4	859	2.1886072158813477	0.57239765	Yes	
row_54	DDX1	870	2.1693758964538574	0.5782265	Yes	
row_55	MRPS22	875	2.165330648422241	0.5846239	Yes	
row_56	MRPL2	924	2.10198712348938	0.5865608	Yes	
row_57	ALDH18A1	932	2.0833988189697266	0.59241086	Yes	
row_58	RCC1	942	2.0711886882781982	0.5980289	Yes	
row_59	HMBS	944	2.0696840286254883	0.60441715	Yes	
row_60	IFNG	953	2.0643882751464844	0.6101107	Yes	
row_61	SIVA1	967	2.0341873168945312	0.6152254	Yes	
row_62	ORC6	981	2.0106232166290283	0.6202662	Yes	
row_63	HAX1	1003	1.9827693700790405	0.6244449	Yes	
row_64	TMEM97	1015	1.9650577306747437	0.6295366	Yes	
row_65	COQ5	1094	1.8402907848358154	0.6277478	Yes	
row_66	JAGN1	1155	1.7770558595657349	0.6275042	Yes	
row_67	ESF1	1161	1.7695883512496948	0.6325647	Yes	
row_68	EMC8	1168	1.7620620727539062	0.63750476	Yes	
row_69	LRRC59	1206	1.7220016717910767	0.63931656	Yes	
row_70	TAMM41	1238	1.6884112358093262	0.64160424	Yes	
row_71	TMEM109	1247	1.6795644760131836	0.64609206	Yes	
row_72	HDHD2	1248	1.6783154010772705	0.65135086	Yes	
row_73	PDAP1	1265	1.6609686613082886	0.65500546	Yes	
row_74	CARM1	1282	1.6495705842971802	0.6586244	Yes	
row_75	COMT	1302	1.6244910955429077	0.6618742	Yes	
row_76	RPN1	1307	1.618484616279602	0.666558	Yes	
row_77	PGAM1	1330	1.5988037586212158	0.66943675	Yes	
row_78	MRPL37	1341	1.5900511741638184	0.67345035	Yes	
row_79	POLR2L	1391	1.549486517906189	0.67355925	Yes	
row_80	RPA3	1395	1.5474492311477661	0.6781174	Yes	
row_81	IRF4	1416	1.5249395370483398	0.6809584	Yes	
row_82	SERPINB9	1446	1.4980210065841675	0.6828432	Yes	
row_83	POLD3	1556	1.4044435024261475	0.6766859	Yes	
row_84	NVL	1560	1.4010785818099976	0.6807855	Yes	
row_85	NUP85	1694	1.3062076568603516	0.6719957	Yes	
row_86	CLIC4	1698	1.302371621131897	0.67578596	Yes	
row_87	GFM1	1755	1.2618484497070312	0.6743155	Yes	
row_88	MRPL18	1763	1.2557836771011353	0.6775723	Yes	
row_89	PIGF	1786	1.2397270202636719	0.6793259	Yes	
row_90	DTD2	1826	1.2039904594421387	0.6793208	Yes	
row_91	RAD50	1837	1.194657802581787	0.6820955	Yes	
row_92	TNF	1857	1.1795778274536133	0.6839512	Yes	
row_93	TPI1	1910	1.1432522535324097	0.68249667	Yes	
row_94	ARL2	1950	1.114457607269287	0.68221104	Yes	
row_95	TAF11	2028	1.056954026222229	0.6780645	Yes	
row_96	ARMC1	2070	1.0268425941467285	0.6773107	Yes	
row_97	ELOF1	2093	1.0139917135238647	0.67835695	Yes	
row_98	THAP7	2095	1.011544942855835	0.6814296	Yes	
row_99	TRIP13	2104	1.006113052368164	0.68380725	Yes	
row_100	SAAL1	2108	1.0049324035644531	0.6866655	Yes	
row_101	CYB5B	2134	0.9894819855690002	0.6873444	Yes	
row_102	ABCD3	2159	0.9786478877067566	0.68808615	Yes	
row_103	DCTPP1	2226	0.9430134892463684	0.6846481	No	
row_104	HRAS	2268	0.9133395552635193	0.6835386	No	
row_105	RHOT1	2319	0.886650025844574	0.68147373	No	
row_106	RNASEH2B	2345	0.8749719858169556	0.6817938	No	
row_107	INO80E	2395	0.8554880023002625	0.67972815	No	
row_108	ACOT7	2405	0.8503227233886719	0.68152076	No	
row_109	PREP	2439	0.8360342383384705	0.68094397	No	
row_110	RFC5	2539	0.7835363745689392	0.67380977	No	
row_111	MTHFD2	2555	0.773978054523468	0.674782	No	
row_112	PLP2	2649	0.7382998466491699	0.6680872	No	
row_113	JMJD6	2723	0.7067117094993591	0.6632307	No	
row_114	GZMB	2775	0.6828221678733826	0.6604303	No	
row_115	LGALS3	2842	0.6543209552764893	0.65608764	No	
row_116	CHERP	2843	0.654309093952179	0.65813786	No	
row_117	MRPS36	2860	0.6450315713882446	0.6586092	No	
row_118	FKBP2	2962	0.6085118651390076	0.6507329	No	
row_119	TGDS	2973	0.6043152213096619	0.65165776	No	
row_120	GTF2H4	3072	0.5719911456108093	0.6439576	No	
row_121	PDCD2	3159	0.5389865040779114	0.63731635	No	
row_122	RFC2	3224	0.5177375078201294	0.6327394	No	
row_123	TRIM37	3257	0.5076300501823425	0.6312305	No	
row_124	GMNN	3303	0.49090376496315	0.62840986	No	
row_125	POMP	3322	0.4837189316749573	0.62818205	No	
row_126	NUDT1	3397	0.46193361282348633	0.6224617	No	
row_127	CSNK2A2	3469	0.43795591592788696	0.6169568	No	
row_128	NDUFS6	3483	0.43470489978790283	0.61705965	No	
row_129	DUSP12	3546	0.41505417227745056	0.61235476	No	
row_130	MCM5	3629	0.38817083835601807	0.6056284	No	
row_131	IDI1	3643	0.3850947320461273	0.60557586	No	
row_132	TPD52L2	3756	0.3553394079208374	0.59584075	No	
row_133	MCM2	3767	0.35269156098365784	0.59597725	No	
row_134	GIT1	3793	0.3436580300331116	0.5946325	No	
row_135	RBM10	3839	0.33337074518203735	0.5913183	No	
row_136	NEURL4	3924	0.3114788234233856	0.5841579	No	
row_137	ARHGEF7	3951	0.3023765981197357	0.58258694	No	
row_138	CKS1B	4077	0.2695036232471466	0.5713237	No	
row_139	CENPK	4146	0.25288093090057373	0.56552947	No	
row_140	RFC4	4233	0.23128023743629456	0.5579241	No	
row_141	CISD1	4316	0.21453818678855896	0.55065364	No	
row_142	LIG1	4346	0.20847102999687195	0.54849786	No	
row_143	RCN2	4378	0.19934628903865814	0.54611975	No	
row_144	RRM1	4430	0.18582472205162048	0.5417621	No	
row_145	PAFAH1B2	4492	0.1704626977443695	0.5363876	No	
row_146	NBN	4580	0.14777961373329163	0.5284237	No	
row_147	PRIM2	4651	0.13524143397808075	0.5220672	No	
row_148	TUBG1	4807	0.10444916784763336	0.5073809	No	
row_149	MTMR9	4904	0.08800210058689117	0.49835792	No	
row_150	ANLN	4908	0.08760447800159454	0.49834183	No	
row_151	CDK1	4927	0.08435365557670593	0.49686262	No	
row_152	RAD51AP1	4936	0.08213125914335251	0.49634507	No	
row_153	CRCP	4938	0.08188577741384506	0.4965048	No	
row_154	PSPH	4939	0.08168978244066238	0.49676076	No	
row_155	MAD2L1	4971	0.07565922290086746	0.49399513	No	
row_156	PLK4	4979	0.07392414659261703	0.49354872	No	
row_157	IFT27	5096	0.052098967134952545	0.48247603	No	
row_158	MNS1	5183	0.03783368691802025	0.47426444	No	
row_159	CRTAP	5315	0.016251934692263603	0.4616265	No	
row_160	ZDHHC16	5390	0.0021638190373778343	0.4544655	No	
row_161	CDC20	5494	-0.014125377871096134	0.44453302	No	
row_162	CKAP2	5548	-0.022583043202757835	0.4394701	No	
row_163	TACC3	5908	-0.08166879415512085	0.40495268	No	
row_164	DHCR7	6320	-0.15912312269210815	0.36564112	No	
row_165	CKAP5	6518	-0.20392414927482605	0.34719834	No	
row_166	MKI67	6632	-0.23145423829555511	0.3369782	No	
row_167	BIRC5	6713	-0.25199952721595764	0.33001888	No	
row_168	BLMH	6730	-0.2567954361438751	0.32927373	No	
row_169	BRCA1	6780	-0.2684691250324249	0.3253687	No	
row_170	TOP2A	6863	-0.29128628969192505	0.31833875	No	
row_171	CNPY2	6996	-0.32884928584098816	0.30658343	No	
row_172	IFI30	7041	-0.33922114968299866	0.30338442	No	
row_173	HAUS4	7067	-0.34690728783607483	0.30204988	No	
row_174	LMNB1	7169	-0.3767668306827545	0.29344738	No	
row_175	DDX52	7261	-0.40334874391555786	0.2858968	No	
row_176	CDKN2AIPNL	7362	-0.44013193249702454	0.27758974	No	
row_177	GADD45G	7698	-0.5703427195549011	0.24692817	No	
row_178	GCLM	7708	-0.5737435221672058	0.24785417	No	
row_179	KIF23	7724	-0.5796715617179871	0.24821758	No	
row_180	MSMO1	7759	-0.5941400527954102	0.24678594	No	
row_181	PDS5B	8805	-1.1503583192825317	0.14916998	No	
row_182	RNH1	9044	-1.346976637840271	0.13033749	No	
row_183	CD200	9199	-1.5258013010025024	0.12020169	No	
row_184	DCK	9621	-2.0724363327026367	0.08591664	No	
