NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.021012265	Yes	
row_1	MRPL12	40	5.616093158721924	0.038138997	Yes	
row_2	HSPD1	42	5.5952887535095215	0.057422347	Yes	
row_3	HSPA9	100	4.595105171203613	0.067815036	Yes	
row_4	IFRD2	125	4.432302474975586	0.0808415	Yes	
row_5	COQ7	139	4.314727306365967	0.09452661	Yes	
row_6	COPS7A	173	4.098850727081299	0.105526015	Yes	
row_7	PABPC4	184	4.025240898132324	0.118499145	Yes	
row_8	MRPL13	187	4.009195327758789	0.13219188	Yes	
row_9	MRPS25	223	3.7808709144592285	0.14189611	Yes	
row_10	RUVBL2	278	3.501028060913086	0.14878997	Yes	
row_11	PRDX3	287	3.4644837379455566	0.16001461	Yes	
row_12	PSMG1	298	3.4283275604248047	0.17092024	Yes	
row_13	ZRANB2	302	3.4091804027557373	0.18243782	Yes	
row_14	HSPA4	318	3.348585844039917	0.19258274	Yes	
row_15	PSMD7	328	3.3062021732330322	0.20316225	Yes	
row_16	WDR61	335	3.291626214981079	0.21398197	Yes	
row_17	EXOSC7	344	3.2569289207458496	0.22448772	Yes	
row_18	MTCH2	367	3.1837363243103027	0.23338336	Yes	
row_19	EIF2B1	373	3.171718120574951	0.24388465	Yes	
row_20	PRPF31	375	3.1682252883911133	0.25476146	Yes	
row_21	PSMA4	391	3.0986063480377197	0.26404053	Yes	
row_22	FARSA	412	3.0402119159698486	0.27263284	Yes	
row_23	CLPP	419	3.0159895420074463	0.28249785	Yes	
row_24	DRG1	420	3.0147101879119873	0.2929398	Yes	
row_25	PSMD5	455	2.9300642013549805	0.29979402	Yes	
row_26	CUL2	465	2.9173736572265625	0.30902678	Yes	
row_27	LSM2	473	2.9005680084228516	0.31839508	Yes	
row_28	PEBP1	474	2.899533748626709	0.32843813	Yes	
row_29	ETF1	489	2.8532042503356934	0.3369641	Yes	
row_30	CDK4	505	2.8296611309051514	0.34531164	Yes	
row_31	MRPL35	506	2.8266608715057373	0.35510227	Yes	
row_32	PGD	508	2.8189244270324707	0.3647692	Yes	
row_33	LSM3	539	2.776625871658325	0.37147954	Yes	
row_34	ABCE1	543	2.7715656757354736	0.38078865	Yes	
row_35	SFXN1	554	2.73966383934021	0.38930896	Yes	
row_36	PSMA5	574	2.6788904666900635	0.39674667	Yes	
row_37	GART	588	2.6419854164123535	0.40463796	Yes	
row_38	PSMB7	613	2.588310718536377	0.41127744	Yes	
row_39	RNPS1	632	2.5350122451782227	0.4183137	Yes	
row_40	PSMA7	652	2.5079452991485596	0.4251593	Yes	
row_41	TIMM8B	655	2.501312732696533	0.43362924	Yes	
row_42	METAP1	678	2.4552245140075684	0.44000155	Yes	
row_43	POLD2	702	2.421182155609131	0.44615906	Yes	
row_44	ACP1	713	2.3932011127471924	0.45347935	Yes	
row_45	SSBP1	738	2.3485801219940186	0.45928848	Yes	
row_46	OGT	752	2.3278307914733887	0.46609163	Yes	
row_47	UBFD1	762	2.3069217205047607	0.47320995	Yes	
row_48	DTYMK	782	2.2796010971069336	0.47926468	Yes	
row_49	EIF6	834	2.214841842651367	0.4819943	Yes	
row_50	RBMXL1	879	2.158264636993408	0.48520625	Yes	
row_51	STOML2	889	2.13523268699646	0.49172992	Yes	
row_52	UQCC2	908	2.1178205013275146	0.49732116	Yes	
row_53	YBX3	911	2.1144206523895264	0.50445104	Yes	
row_54	MRPL11	916	2.111513137817383	0.51137704	Yes	
row_55	DPY30	917	2.110111713409424	0.51868576	Yes	
row_56	PHF5A	940	2.072814464569092	0.5237335	Yes	
row_57	HAT1	946	2.06778621673584	0.5304112	Yes	
row_58	BSG	957	2.0554099082946777	0.5365614	Yes	
row_59	TARDBP	959	2.04406476020813	0.54354453	Yes	
row_60	UQCR11	966	2.0371439456939697	0.5500191	Yes	
row_61	MRPS33	978	2.0149590969085693	0.5559324	Yes	
row_62	FASN	979	2.0140769481658936	0.5629085	Yes	
row_63	SMN1	1014	1.9678218364715576	0.5664298	Yes	
row_64	NUTF2	1020	1.9547337293624878	0.5727159	Yes	
row_65	IPO11	1066	1.8727980852127075	0.57484215	Yes	
row_66	NANS	1067	1.8713842630386353	0.58132404	Yes	
row_67	EIF3B	1080	1.85782790184021	0.58659613	Yes	
row_68	PSMA1	1097	1.8360759019851685	0.59140533	Yes	
row_69	PSMD1	1112	1.8214486837387085	0.59635764	Yes	
row_70	ASF1A	1113	1.821175456047058	0.6026656	Yes	
row_71	ARL1	1164	1.7644644975662231	0.60393214	Yes	
row_72	GPN1	1180	1.7489041090011597	0.6085363	Yes	
row_73	HNRNPLL	1200	1.7276579141616821	0.61267924	Yes	
row_74	LRRC59	1206	1.7220016717910767	0.61815923	Yes	
row_75	MRPL51	1220	1.7111833095550537	0.6228265	Yes	
row_76	PSAT1	1231	1.699216365814209	0.62774307	Yes	
row_77	GSPT1	1246	1.6815073490142822	0.6322107	Yes	
row_78	PDAP1	1265	1.6609686613082886	0.6362195	Yes	
row_79	COX17	1296	1.630185604095459	0.638959	Yes	
row_80	CDC34	1315	1.6116358041763306	0.64279693	Yes	
row_81	TIMM13	1318	1.610130786895752	0.6481801	Yes	
row_82	COA3	1359	1.575156569480896	0.64976	Yes	
row_83	PHF23	1379	1.5583010911941528	0.6533163	Yes	
row_84	FAM98A	1471	1.4806201457977295	0.6496269	Yes	
row_85	LONP1	1507	1.4508978128433228	0.65126085	Yes	
row_86	PSMC1	1536	1.4237849712371826	0.6534792	Yes	
row_87	NASP	1562	1.400080680847168	0.65590614	Yes	
row_88	PRDX2	1598	1.3745362758636475	0.6572756	Yes	
row_89	SNRNP40	1629	1.3543497323989868	0.65905964	Yes	
row_90	PPP1R7	1700	1.3014007806777954	0.65678436	Yes	
row_91	ABCF1	1701	1.3001607656478882	0.66128767	Yes	
row_92	PIGF	1786	1.2397270202636719	0.65744215	Yes	
row_93	BANF1	1829	1.201941967010498	0.65753555	Yes	
row_94	GNPAT	1835	1.1958951950073242	0.6611932	Yes	
row_95	SSR2	1866	1.1733533143997192	0.66235036	Yes	
row_96	UBAC1	1896	1.156522512435913	0.6635461	Yes	
row_97	PDIA6	1940	1.1209138631820679	0.6632619	Yes	
row_98	TFDP1	1961	1.1058663129806519	0.6651543	Yes	
row_99	GPN2	1973	1.0990828275680542	0.66789526	Yes	
row_100	MRPL27	2051	1.0407966375350952	0.664039	Yes	
row_101	ELOF1	2093	1.0139917135238647	0.6635783	Yes	
row_102	TNPO3	2135	0.9893927574157715	0.66303235	Yes	
row_103	ZNHIT1	2162	0.9760594964027405	0.6638937	Yes	
row_104	EIF2B5	2179	0.9691480994224548	0.66570014	Yes	
row_105	NDUFAF1	2218	0.9463885426521301	0.66529596	Yes	
row_106	DYNLL2	2222	0.9448121786117554	0.66827774	Yes	
row_107	AHCY	2273	0.9107756018638611	0.6665874	Yes	
row_108	EXOSC10	2297	0.8960273265838623	0.6674623	Yes	
row_109	PFKL	2306	0.8911892175674438	0.6697739	Yes	
row_110	TMEM208	2337	0.8773555755615234	0.6699058	Yes	
row_111	ALDOA	2350	0.872502326965332	0.671765	Yes	
row_112	PLRG1	2372	0.8629045486450195	0.672719	Yes	
row_113	CDC16	2386	0.8587530255317688	0.6744337	Yes	
row_114	CAPG	2392	0.8560428023338318	0.6769143	Yes	
row_115	NDUFA8	2399	0.8538303971290588	0.6792903	Yes	
row_116	MARCKSL1	2421	0.8429960608482361	0.68017524	Yes	
row_117	PDCL3	2438	0.8362597227096558	0.6815214	Yes	
row_118	ARL5A	2440	0.8355869054794312	0.6843187	Yes	
row_119	HSPA14	2467	0.8183649778366089	0.68463385	Yes	
row_120	MTHFD2	2555	0.773978054523468	0.67888445	No	
row_121	MRPS12	2563	0.77006995677948	0.68087345	No	
row_122	CDC123	2595	0.7595726847648621	0.68050045	No	
row_123	UBE2M	2689	0.7219800353050232	0.67398953	No	
row_124	CDC6	2722	0.7071229219436646	0.673338	No	
row_125	FDX1	2926	0.6194353699684143	0.655813	No	
row_126	THUMPD3	2927	0.6187943816184998	0.6579563	No	
row_127	SEC23B	2935	0.6174436211585999	0.6594166	No	
row_128	NUP93	2969	0.6051742434501648	0.65831506	No	
row_129	POLD1	2999	0.5968096852302551	0.65757215	No	
row_130	PRDX1	3002	0.5942285060882568	0.6594366	No	
row_131	CPSF4	3024	0.588200569152832	0.659439	No	
row_132	MANF	3162	0.5381234884262085	0.6480277	No	
row_133	SEC13	3192	0.52762770652771	0.64704514	No	
row_134	PGK1	3219	0.5188577175140381	0.6463229	No	
row_135	REEP5	3254	0.5097563862800598	0.644794	No	
row_136	DTL	3291	0.49384433031082153	0.6430161	No	
row_137	CCNC	3359	0.471485435962677	0.63815695	No	
row_138	NDUFB7	3390	0.46475595235824585	0.6368597	No	
row_139	XPO1	3637	0.38586992025375366	0.614359	No	
row_140	NUP62	3753	0.355721652507782	0.6044477	No	
row_141	LITAF	3824	0.3364775478839874	0.5988302	No	
row_142	MCM10	3860	0.326842725276947	0.59657085	No	
row_143	PRDX4	4195	0.24266017973423004	0.565047	No	
row_144	CDC45	4347	0.20823360979557037	0.5511365	No	
row_145	MCM7	4424	0.1866273134946823	0.5444186	No	
row_146	RRM1	4430	0.18582472205162048	0.54457766	No	
row_147	SLC25A17	4510	0.16763854026794434	0.5375033	No	
row_148	DNAJB1	4714	0.12124504894018173	0.51825273	No	
row_149	UBE2S	4751	0.1142919585108757	0.5151602	No	
row_150	CCNF	4758	0.11305660009384155	0.5149704	No	
row_151	DPP3	4762	0.11243205517530441	0.5150691	No	
row_152	ANKRD40	4778	0.10965394228696823	0.51399547	No	
row_153	KPNA2	4792	0.10701455175876617	0.5131064	No	
row_154	PRELID1	4931	0.08322308212518692	0.5000226	No	
row_155	MAD2L1	4971	0.07565922290086746	0.49650556	No	
row_156	UBE2T	5035	0.06332289427518845	0.49062026	No	
row_157	SAR1B	5041	0.06296209245920181	0.49035382	No	
row_158	PGRMC1	5089	0.05346870794892311	0.48598477	No	
row_159	TOPBP1	5190	0.0369698591530323	0.4764229	No	
row_160	TTK	5216	0.03223900496959686	0.4741121	No	
row_161	RRM2	5245	0.02855096198618412	0.4714978	No	
row_162	SSNA1	5249	0.027588805183768272	0.47130266	No	
row_163	TRIM59	5251	0.027379512786865234	0.4713006	No	
row_164	EZH2	5422	-0.00432036817073822	0.4548427	No	
row_165	TMPO	5560	-0.02467113733291626	0.44165295	No	
row_166	SMC2	5567	-0.026299018412828445	0.44116265	No	
row_167	HMGN5	5570	-0.026935098692774773	0.44106215	No	
row_168	ITPA	5610	-0.0339323915541172	0.4374006	No	
row_169	S100PBP	5614	-0.03426596149802208	0.4372286	No	
row_170	PKM	5722	-0.05028301849961281	0.42703453	No	
row_171	ANAPC4	6304	-0.15486708283424377	0.3712725	No	
row_172	ASPM	6330	-0.16065390408039093	0.36940646	No	
row_173	HMGB2	6414	-0.18261617422103882	0.36199635	No	
row_174	NCAPH	6515	-0.20336703956127167	0.35301083	No	
row_175	OXCT1	6535	-0.20812956988811493	0.35189062	No	
row_176	PRC1	6727	-0.25613874197006226	0.33427006	No	
row_177	KIF11	6795	-0.2726915776729584	0.32872233	No	
row_178	ECT2	6898	-0.30055510997772217	0.31987962	No	
row_179	STMN1	6914	-0.30452960729599	0.31948093	No	
row_180	NUBP1	7102	-0.3588999807834625	0.3026039	No	
row_181	KIF22	7191	-0.38282984495162964	0.29540277	No	
row_182	ACOT9	7292	-0.4145699143409729	0.28714877	No	
row_183	DBI	7801	-0.6103975176811218	0.24003819	No	
row_184	DDT	8006	-0.6950480937957764	0.22267815	No	
row_185	NCAPH2	8088	-0.7338217496871948	0.21737105	No	
row_186	CD9	8193	-0.7851164937019348	0.21001291	No	
row_187	MTERF2	8831	-1.180533766746521	0.15237708	No	
row_188	HTATIP2	9994	-2.8946425914764404	0.049806282	No	
