NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNL3	21	6.126562595367432	0.025423396	Yes	
row_1	MRPL12	40	5.616093158721924	0.048849054	Yes	
row_2	MTAP	85	4.789093971252441	0.06606259	Yes	
row_3	DENR	104	4.5703301429748535	0.08480301	Yes	
row_4	LTV1	122	4.442068099975586	0.10306521	Yes	
row_5	ATAD3A	144	4.294410705566406	0.120280184	Yes	
row_6	MRPS7	150	4.276183605194092	0.13895626	Yes	
row_7	BYSL	156	4.244655609130859	0.15749109	Yes	
row_8	GPATCH4	157	4.244081020355225	0.17650545	Yes	
row_9	MTDH	161	4.183718681335449	0.19496012	Yes	
row_10	DDX18	170	4.116891384124756	0.21263325	Yes	
row_11	REXO2	190	3.9929111003875732	0.2286903	Yes	
row_12	SRM	224	3.7798802852630615	0.242443	Yes	
row_13	DRG2	242	3.6897401809692383	0.25733462	Yes	
row_14	EIF5A	271	3.5260114669799805	0.27043205	Yes	
row_15	EIF4E	284	3.4708878993988037	0.28482527	Yes	
row_16	SRSF6	296	3.436363697052002	0.29916024	Yes	
row_17	PSMG1	298	3.4283275604248047	0.31442344	Yes	
row_18	HSPA4	318	3.348585844039917	0.32759377	Yes	
row_19	PPIC	392	3.097787857055664	0.33443365	Yes	
row_20	NCBP2	394	3.093069553375244	0.3481948	Yes	
row_21	FARSA	412	3.0402119159698486	0.3601764	Yes	
row_22	PRMT3	426	3.0083892345428467	0.37240112	Yes	
row_23	ARHGAP24	434	2.9738996028900146	0.38504985	Yes	
row_24	PDCD5	470	2.9063775539398193	0.39469624	Yes	
row_25	BOP1	478	2.8917932510375977	0.40697712	Yes	
row_26	POLR3D	485	2.8637447357177734	0.41922873	Yes	
row_27	CDK4	505	2.8296611309051514	0.4300742	Yes	
row_28	SLC52A2	544	2.767543077468872	0.43880928	Yes	
row_29	MRPS28	553	2.7475831508636475	0.45034766	Yes	
row_30	UBE2W	556	2.7296674251556396	0.46238428	Yes	
row_31	ACAD9	595	2.6249969005584717	0.47048074	Yes	
row_32	DCAF13	616	2.5752134323120117	0.48008978	Yes	
row_33	MPHOSPH8	664	2.4839394092559814	0.48668647	Yes	
row_34	ZC3H8	855	2.1904492378234863	0.47817984	Yes	
row_35	GLMN	921	2.1042823791503906	0.48134	Yes	
row_36	SRSF10	931	2.084455728530884	0.48981097	Yes	
row_37	BSG	957	2.0554099082946777	0.49660906	Yes	
row_38	FASN	979	2.0140769481658936	0.5036077	Yes	
row_39	TESK1	1005	1.9800527095794678	0.5100682	Yes	
row_40	LRRC58	1102	1.8288596868515015	0.50900525	Yes	
row_41	HNRNPDL	1130	1.8036130666732788	0.5144824	Yes	
row_42	MRPL41	1149	1.785048246383667	0.52074414	Yes	
row_43	UQCRFS1	1154	1.778124451637268	0.52832484	Yes	
row_44	ARL1	1164	1.7644644975662231	0.5353622	Yes	
row_45	LRRC59	1206	1.7220016717910767	0.5391238	Yes	
row_46	DDX10	1275	1.6539580821990967	0.53997713	Yes	
row_47	NDUFB4	1277	1.6526912450790405	0.54728514	Yes	
row_48	CDC25A	1333	1.5965558290481567	0.5491348	Yes	
row_49	SRSF1	1383	1.5568795204162598	0.5513852	Yes	
row_50	PBDC1	1430	1.5110421180725098	0.5537195	Yes	
row_51	OTUD6B	1448	1.4965695142745972	0.55878526	Yes	
row_52	B3GALNT2	1452	1.4936766624450684	0.565188	Yes	
row_53	ECD	1499	1.4553788900375366	0.56727296	Yes	
row_54	POLE3	1570	1.3974171876907349	0.5667841	Yes	
row_55	KCMF1	1640	1.34348726272583	0.56615	Yes	
row_56	RRN3	1664	1.3264187574386597	0.56987494	Yes	
row_57	HINT1	1725	1.2823779582977295	0.5698349	Yes	
row_58	STT3A	1750	1.2651649713516235	0.57318896	Yes	
row_59	USP39	1758	1.2593082189559937	0.57815593	Yes	
row_60	EIF4G2	1760	1.2585585117340088	0.58369815	Yes	
row_61	DUSP2	1776	1.2447173595428467	0.5878284	Yes	
row_62	IPO7	1802	1.2189699411392212	0.590879	Yes	
row_63	ABCC1	1949	1.115222692489624	0.5817978	No	
row_64	CLCC1	1987	1.0901821851730347	0.5831144	No	
row_65	SLC31A1	2087	1.0171034336090088	0.57812536	No	
row_66	FAM133B	2201	0.9590367078781128	0.5715263	No	
row_67	SSRP1	2219	0.9458783864974976	0.5741248	No	
row_68	RPA2	2252	0.9245012998580933	0.57518125	No	
row_69	ECE1	2284	0.9028067588806152	0.5762369	No	
row_70	CHID1	2291	0.9002305865287781	0.5796916	No	
row_71	GTF2E2	2308	0.8900399804115295	0.5821364	No	
row_72	SPRYD7	2348	0.8725647330284119	0.58228517	No	
row_73	DDB1	2422	0.8429474830627441	0.5790229	No	
row_74	ANP32B	2429	0.8390957117080688	0.5822037	No	
row_75	NOC2L	2449	0.8332217931747437	0.58410466	No	
row_76	RAB10	2682	0.7248347401618958	0.564982	No	
row_77	JMJD6	2723	0.7067117094993591	0.5642913	No	
row_78	ELK3	2870	0.6390976309776306	0.55307686	No	
row_79	RNF11	2952	0.6127004623413086	0.54801166	No	
row_80	STUB1	2966	0.6066774725914001	0.5494762	No	
row_81	TPP2	3089	0.5621250867843628	0.54023105	No	
row_82	MANF	3162	0.5381234884262085	0.53569955	No	
row_83	MTF2	3176	0.5341096520423889	0.53683895	No	
row_84	TMA7	3251	0.5102159380912781	0.5319896	No	
row_85	ACO1	3258	0.5072216987609863	0.5336835	No	
row_86	ASH2L	3285	0.49580851197242737	0.5333978	No	
row_87	MED8	3371	0.4696348309516907	0.52730596	No	
row_88	COX6A1	3627	0.38866668939590454	0.50445944	No	
row_89	UFM1	3636	0.3865548372268677	0.5054199	No	
row_90	ACLY	3908	0.3148668110370636	0.48070005	No	
row_91	PEX12	3942	0.3057008683681488	0.4788877	No	
row_92	RAD51	3999	0.2890496551990509	0.47478303	No	
row_93	GTF3A	4154	0.25131669640541077	0.46105987	No	
row_94	SPRY1	4187	0.2448483407497406	0.45907134	No	
row_95	GSS	4209	0.2392638921737671	0.4581184	No	
row_96	RAP1GDS1	4216	0.23695635795593262	0.45860147	No	
row_97	APPBP2	4287	0.22042329609394073	0.45283943	No	
row_98	CTU1	4304	0.21708768606185913	0.45226926	No	
row_99	RNF26	4307	0.21682794392108917	0.45304784	No	
row_100	MCM3	4361	0.2048187106847763	0.44885507	No	
row_101	LMO4	4585	0.1465422362089157	0.42800936	No	
row_102	SLC25A10	4662	0.13211439549922943	0.42127314	No	
row_103	DPP3	4762	0.11243205517530441	0.412231	No	
row_104	ITSN1	5237	0.029907366260886192	0.36666062	No	
row_105	IVD	5445	-0.0070094880647957325	0.34673253	No	
row_106	FDPS	5786	-0.06247095391154289	0.31422868	No	
row_107	TUBGCP5	5818	-0.06633090227842331	0.31153676	No	
row_108	LAMTOR1	6170	-0.12792308628559113	0.2782655	No	
row_109	HJURP	6221	-0.1383994072675705	0.27406442	No	
row_110	TOMM6	6299	-0.153840109705925	0.26732913	No	
row_111	PDLIM7	6313	-0.15741324424743652	0.26678085	No	
row_112	AP4S1	6564	-0.21305425465106964	0.24362971	No	
row_113	FAM122A	6637	-0.23224246501922607	0.23772778	No	
row_114	ACSS2	6666	-0.24114827811717987	0.23610833	No	
row_115	GHDC	7060	-0.34468692541122437	0.19975847	No	
row_116	RNASEK	7266	-0.4045591354370117	0.18180433	No	
row_117	FTH1	7455	-0.4726134240627289	0.16579425	No	
row_118	DNAJB6	7519	-0.4986439347267151	0.16195366	No	
row_119	DNAJC10	7576	-0.518403172492981	0.15887654	No	
row_120	IKBKB	8000	-0.6924185156822205	0.12119191	No	
row_121	RHOA	8056	-0.7166740894317627	0.11909951	No	
row_122	LYRM2	8157	-0.7671068906784058	0.112894036	No	
row_123	DENND6A	8417	-0.9238824248313904	0.09205974	No	
row_124	ATXN7L3	8584	-1.0192633867263794	0.08062008	No	
row_125	FDFT1	8631	-1.047461748123169	0.08087748	No	
row_126	MYO5A	8658	-1.0633877515792847	0.08313469	No	
row_127	FAM118A	8755	-1.1199023723602295	0.0788955	No	
row_128	ANGPTL2	8932	-1.2583258152008057	0.06756267	No	
row_129	NCKAP1L	8982	-1.3068561553955078	0.06869294	No	
row_130	XYLT2	9299	-1.6177562475204468	0.045471247	No	
row_131	ACVR1B	9432	-1.7764832973480225	0.040702462	No	
row_132	NFATC3	9563	-1.9812945127487183	0.037044123	No	
row_133	CYB5A	9628	-2.0868303775787354	0.040222503	No	
row_134	TRAF3IP2	9684	-2.1909000873565674	0.04473494	No	
row_135	HADHB	9701	-2.2212138175964355	0.053143676	No	
row_136	SFXN3	9783	-2.385002374649048	0.056018744	No	
row_137	PRKCB	10053	-3.0783300399780273	0.04387259	No	
