NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.03061957	Yes	
row_1	IRF8	13	6.579859733581543	0.057863407	Yes	
row_2	TBX21	18	6.246183395385742	0.0838895	Yes	
row_3	WDR77	24	6.038822650909424	0.108942136	Yes	
row_4	PNO1	31	5.830062389373779	0.13301538	Yes	
row_5	MRPL12	40	5.616093158721924	0.15599062	Yes	
row_6	LYAR	70	4.969549179077148	0.17420287	Yes	
row_7	MIR155HG	95	4.646803855895996	0.19153348	Yes	
row_8	IL2RA	102	4.590158939361572	0.21036369	Yes	
row_9	MRPL17	118	4.477055549621582	0.22784606	Yes	
row_10	HOMER1	140	4.307103157043457	0.24403006	Yes	
row_11	BYSL	156	4.244655609130859	0.2605297	Yes	
row_12	TNFRSF4	180	4.043571949005127	0.2754061	Yes	
row_13	CCDC86	225	3.77258563041687	0.28710762	Yes	
row_14	UCK2	238	3.7200465202331543	0.30167878	Yes	
row_15	SLC19A1	252	3.652541399002075	0.31586784	Yes	
row_16	UMPS	285	3.4682865142822266	0.32744202	Yes	
row_17	PFAS	307	3.385099411010742	0.33972725	Yes	
row_18	NUDCD1	352	3.2331490516662598	0.3491477	Yes	
row_19	CHAC2	362	3.2069711685180664	0.36183912	Yes	
row_20	EXOSC2	368	3.179539918899536	0.374801	Yes	
row_21	PRMT1	387	3.128174066543579	0.38628966	Yes	
row_22	GEMIN6	390	3.106204032897949	0.39923128	Yes	
row_23	POLR2F	444	2.94885516166687	0.40658003	Yes	
row_24	POLR3D	485	2.8637447357177734	0.4148249	Yes	
row_25	MRPL35	506	2.8266608715057373	0.42484534	Yes	
row_26	EIF2B3	551	2.750967025756836	0.43222684	Yes	
row_27	TSEN2	576	2.6739089488983154	0.4412149	Yes	
row_28	MMACHC	593	2.6323752403259277	0.45080024	Yes	
row_29	TRMT2A	611	2.5909223556518555	0.46011367	Yes	
row_30	TEX30	633	2.53230619430542	0.46879277	Yes	
row_31	GFOD1	660	2.490902900695801	0.4768137	Yes	
row_32	ELP5	669	2.476346731185913	0.48651224	Yes	
row_33	TNFRSF9	697	2.430006504058838	0.49417904	Yes	
row_34	CMSS1	743	2.3404786586761475	0.49972814	Yes	
row_35	POLR3K	767	2.299379348754883	0.5072291	Yes	
row_36	DTYMK	782	2.2796010971069336	0.5155159	Yes	
row_37	STIP1	832	2.217149257659912	0.52015704	Yes	
row_38	BCAT1	845	2.1989550590515137	0.5282961	Yes	
