NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.03332366	Yes	
row_1	MRPL12	40	5.616093158721924	0.05593879	Yes	
row_2	GBP2	79	4.838768482208252	0.07449838	Yes	
row_3	NLE1	98	4.633648872375488	0.094049826	Yes	
row_4	SLC7A1	120	4.465780258178711	0.11253972	Yes	
row_5	FTSJ3	124	4.435980796813965	0.13263367	Yes	
row_6	ECI1	132	4.3715972900390625	0.15204488	Yes	
row_7	TOMM5	202	3.9275851249694824	0.16341905	Yes	
row_8	CCT6A	207	3.906320571899414	0.1809824	Yes	
row_9	SLC19A1	252	3.652541399002075	0.19351074	Yes	
row_10	RUVBL2	278	3.501028060913086	0.20718054	Yes	
row_11	PSMG1	298	3.4283275604248047	0.2210966	Yes	
row_12	NIFK	345	3.253063917160034	0.23159583	Yes	
row_13	THYN1	346	3.2529804706573486	0.24654384	Yes	
row_14	WDR36	350	3.2375288009643555	0.2611307	Yes	
row_15	NUDCD1	352	3.2331490516662598	0.27589086	Yes	
row_16	MTCH2	367	3.1837363243103027	0.2891666	Yes	
row_17	GAR1	374	3.170020818710327	0.30315307	Yes	
row_18	ACAA2	402	3.0699868202209473	0.31464872	Yes	
row_19	CLPP	419	3.0159895420074463	0.32696018	Yes	
row_20	ACY1	430	2.9844019412994385	0.3397068	Yes	
row_21	POLR2F	444	2.94885516166687	0.35199994	Yes	
row_22	SLC25A15	447	2.946988821029663	0.36534843	Yes	
row_23	ARMC6	467	2.913853883743286	0.3769004	Yes	
row_24	TIMM50	496	2.8457443714141846	0.3872689	Yes	
row_25	MTHFD1	527	2.79106068611145	0.3971927	Yes	
row_26	MRPS28	553	2.7475831508636475	0.40740028	Yes	
row_27	ETFB	714	2.391188144683838	0.40291283	Yes	
row_28	PSMB2	721	2.369584560394287	0.41322115	Yes	
row_29	INTS2	746	2.335207462310791	0.42163053	Yes	
row_30	NUP88	760	2.307795286178589	0.43097788	Yes	
row_31	DTYMK	782	2.2796010971069336	0.4394219	Yes	
row_32	ZC3HAV1L	804	2.2509303092956543	0.44773418	Yes	
row_33	MIPEP	821	2.2328717708587646	0.45644706	Yes	
row_34	PPP1R14B	844	2.202648401260376	0.46444076	Yes	
row_35	SCFD2	874	2.1655476093292236	0.4715869	Yes	
row_36	STOML2	889	2.13523268699646	0.48004457	Yes	
row_37	MRPS18A	892	2.1329140663146973	0.48965225	Yes	
row_38	NIF3L1	960	2.0434482097625732	0.49256194	Yes	
row_39	PAICS	965	2.0372884273529053	0.5015367	Yes	
row_40	MRPS33	978	2.0149590969085693	0.5096352	Yes	
row_41	DNAJA3	1048	1.9157612323760986	0.5117647	Yes	
row_42	NAA10	1199	1.7282572984695435	0.5051982	Yes	
row_43	ACAT1	1223	1.7065032720565796	0.51081526	Yes	
row_44	TIPIN	1229	1.7008109092712402	0.5181472	Yes	
row_45	DCPS	1234	1.6975852251052856	0.525561	Yes	
row_46	NDC1	1257	1.6700509786605835	0.5311073	Yes	
row_47	ARMT1	1285	1.6432693004608154	0.5360469	Yes	
row_48	EED	1297	1.6300023794174194	0.54247314	Yes	
row_49	POLE4	1336	1.5921993255615234	0.5461142	Yes	
row_50	COA3	1359	1.575156569480896	0.5512244	Yes	
row_51	MEA1	1384	1.5562580823898315	0.5560544	Yes	
row_52	SF3B3	1388	1.553826093673706	0.56290436	Yes	
row_53	WDR3	1403	1.5380481481552124	0.5686179	Yes	
row_54	DNPH1	1413	1.5281356573104858	0.57476944	Yes	
row_55	CKS2	1473	1.4795353412628174	0.5758616	Yes	
row_56	RBM14	1590	1.3788906335830688	0.57097816	Yes	
row_57	SNRPG	1596	1.375427484512329	0.5768149	Yes	
row_58	SAP30	1678	1.314574122428894	0.5750212	Yes	
row_59	SDF2L1	1696	1.3034244775772095	0.5793664	Yes	
row_60	QDPR	1731	1.278323769569397	0.581952	Yes	
row_61	MRPL18	1763	1.2557836771011353	0.5847242	Yes	
row_62	MTX1	1780	1.2435028553009033	0.58889073	Yes	
row_63	GOT2	1815	1.210995078086853	0.591167	Yes	
row_64	CCDC34	2148	0.9857829213142395	0.5635854	No	
row_65	MRPL23	2338	0.8772006630897522	0.549336	No	
row_66	ACTL6A	2470	0.817503809928894	0.5404221	No	
row_67	RMI1	2535	0.784128725528717	0.5378351	No	
row_68	SUV39H2	2587	0.7621217370033264	0.53640443	No	
row_69	SLC43A3	2603	0.7557829022407532	0.5384266	No	
row_70	ATP6V1A	2615	0.7535630464553833	0.5408254	No	
row_71	TMEM126B	2662	0.7335144877433777	0.5397469	No	
row_72	TPRN	2676	0.7289485931396484	0.5418391	No	
row_73	PDHA1	2707	0.7125114798545837	0.5422116	No	
row_74	ASNS	2712	0.7100778222084045	0.54508764	No	
row_75	SND1	2718	0.7087672352790833	0.547861	No	
row_76	CBR4	2742	0.6964093446731567	0.5488365	No	
row_77	PHF19	2777	0.6819726824760437	0.5486818	No	
row_78	POLA2	2790	0.676858127117157	0.5506314	No	
row_79	LRRC42	2803	0.6701579689979553	0.55255026	No	
row_80	TDP1	2810	0.6661443114280701	0.55503094	No	
row_81	AIFM1	2822	0.6603174805641174	0.5570013	No	
row_82	DCLRE1B	2835	0.6570178866386414	0.55885977	No	
row_83	DESI1	2868	0.6405752301216125	0.55870825	No	
row_84	PRDX1	3002	0.5942285060882568	0.5485749	No	
row_85	HIRIP3	3008	0.5937936902046204	0.5508199	No	
row_86	PSMB10	3037	0.5839934945106506	0.55079526	No	
row_87	MTFMT	3057	0.5769469141960144	0.55160874	No	
row_88	TBL2	3079	0.5690394043922424	0.5521924	No	
row_89	TMEM14A	3103	0.5592104196548462	0.5525375	No	
row_90	CCDC124	3144	0.5459932684898376	0.55117756	No	
row_91	MED20	3193	0.5273146033287048	0.54895806	No	
row_92	HAUS7	3204	0.524098813533783	0.5503992	No	
row_93	RFC2	3224	0.5177375078201294	0.5509406	No	
row_94	CENPJ	3244	0.5119628310203552	0.55145544	No	
row_95	CHAF1B	3342	0.4774821400642395	0.5442676	No	
row_96	RNASEH2A	3472	0.4373248517513275	0.5338001	No	
row_97	CREB3	3515	0.42373958230018616	0.531685	No	
row_98	MED31	3571	0.4064742624759674	0.5282332	No	
row_99	LCMT2	3603	0.39784738421440125	0.527063	No	
row_100	PPIL1	3615	0.3938753306865692	0.52780896	No	
row_101	MCM5	3629	0.38817083835601807	0.52833533	No	
row_102	PRIM1	3646	0.3838987350463867	0.5285519	No	
row_103	FEN1	3804	0.34133413434028625	0.51493514	No	
row_104	HDDC3	3852	0.3299247920513153	0.5119053	No	
row_105	PAF1	3950	0.3023822009563446	0.50391287	No	
row_106	WDHD1	3970	0.29840824007987976	0.5034464	No	
row_107	SNRNP25	3985	0.29268619418144226	0.5034372	No	
row_108	CKS1B	4077	0.2695036232471466	0.49587405	No	
row_109	MCTS1	4168	0.2485852837562561	0.4883114	No	
row_110	PRDX4	4195	0.24266017973423004	0.48691174	No	
row_111	WRAP53	4318	0.2139841765165329	0.47609505	No	
row_112	PHPT1	4627	0.14004205167293549	0.44694847	No	
row_113	VPS25	4643	0.13684363663196564	0.44612646	No	
row_114	GSTP1	4712	0.12232507020235062	0.44011152	No	
row_115	PI4K2B	4749	0.11507140100002289	0.43715835	No	
row_116	MPLKIP	4799	0.10552594065666199	0.43290392	No	
row_117	RNF8	4821	0.10267695784568787	0.4313446	No	
row_118	PRELID1	4931	0.08322308212518692	0.4211844	No	
row_119	RAD51AP1	4936	0.08213125914335251	0.4211749	No	
row_120	FADD	4973	0.07463923841714859	0.41803595	No	
row_121	ZWILCH	4991	0.07106395065784454	0.41671824	No	
row_122	MRPL52	5012	0.067715585231781	0.41509497	No	
row_123	IMPA2	5177	0.03880046308040619	0.399411	No	
row_124	TBC1D19	5191	0.03632277250289917	0.39832056	No	
row_125	OARD1	5223	0.031558386981487274	0.3954672	No	
row_126	SLC39A14	5305	0.01823180913925171	0.38771656	No	
row_127	DYM	5329	0.01435833889991045	0.38555795	No	
row_128	CCNA2	5352	0.009331496432423592	0.38347298	No	
row_129	TK1	5353	0.00922568328678608	0.38351536	No	
row_130	CKLF	5371	0.0058255731128156185	0.38189787	No	
row_131	EZH2	5422	-0.00432036817073822	0.37708166	No	
row_132	WSB2	5464	-0.01022957544773817	0.3731631	No	
row_133	BRIP1	5718	-0.049681369215250015	0.34892094	No	
row_134	LSM4	5769	-0.059729937463998795	0.34435937	No	
row_135	ZW10	5807	-0.06549198925495148	0.34108162	No	
