NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAC8	114	4.489916801452637	0.0094183665	No	
row_1	CHST15	158	4.2371721267700195	0.024539212	No	
row_2	CDYL2	552	2.7500879764556885	-8.80453E-4	No	
row_3	DUS4L	823	2.227350950241089	-0.016807226	No	
row_4	FAR1	884	2.1491403579711914	-0.012823341	No	
row_5	TSPAN13	935	2.0795300006866455	-0.00819098	No	
row_6	PABPC1	1432	1.5094395875930786	-0.04919327	No	
row_7	HNRNPK	1489	1.460379958152771	-0.047955837	No	
row_8	TNS1	1546	1.4152113199234009	-0.04692383	No	
row_9	AIM2	1697	1.3026505708694458	-0.055475354	No	
row_10	SH3BGRL	1832	1.2002707719802856	-0.0629484	No	
row_11	NCOA1	1854	1.1805611848831177	-0.059605855	No	
row_12	EIF2AK4	1997	1.08085036277771	-0.06839407	No	
row_13	CYBA	2238	0.9301607012748718	-0.08732527	No	
row_14	CAPG	2392	0.8560428023338318	-0.098197475	No	
row_15	MARCKSL1	2421	0.8429960608482361	-0.09706572	No	
row_16	ACTG1	2441	0.8354474306106567	-0.09509973	No	
row_17	TMEM263	3164	0.5380890965461731	-0.16233018	No	
row_18	LAIR1	3197	0.5267273187637329	-0.16302283	No	
row_19	IL10RB	3215	0.5198072791099548	-0.16229936	No	
row_20	MSL2	3290	0.493954598903656	-0.16719434	No	
row_21	TPT1	3462	0.4408949315547943	-0.18169177	No	
row_22	PLEK	3617	0.3936557173728943	-0.19476342	No	
row_23	TRIO	3710	0.3670180141925812	-0.20197281	No	
row_24	ARGLU1	3838	0.3334715962409973	-0.21271251	No	
row_25	CSDE1	3841	0.3326217234134674	-0.21139276	No	
row_26	SERPINE2	3975	0.29693809151649475	-0.22287765	No	
row_27	GCH1	4045	0.2766793966293335	-0.22827826	No	
row_28	OSBPL8	4169	0.24790580570697784	-0.2390211	No	
row_29	SLC35F2	4306	0.21683165431022644	-0.25115982	No	
row_30	PERP	4386	0.19708287715911865	-0.25788748	No	
row_31	FIGNL1	4428	0.18596157431602478	-0.26099852	No	
row_32	CASD1	4437	0.1841350793838501	-0.26093313	No	
row_33	TOP3A	4447	0.18075759708881378	-0.2609796	No	
row_34	FYCO1	4463	0.17749673128128052	-0.26161993	No	
row_35	AMN1	4715	0.12123516201972961	-0.28529167	No	
row_36	PARP11	4858	0.09533720463514328	-0.29856202	No	
row_37	EP300	4880	0.09217341989278793	-0.30016944	No	
row_38	SUOX	5189	0.03761531785130501	-0.32972234	No	
row_39	RASA2	5258	0.026193803176283836	-0.33616567	No	
row_40	GLYR1	5291	0.020321300253272057	-0.33916146	No	
row_41	FAM174B	5485	-0.012944471091032028	-0.35772833	No	
row_42	CELF2	5551	-0.02308986894786358	-0.36389625	No	
row_43	FKBP7	5600	-0.03249616175889969	-0.36838076	No	
row_44	S100PBP	5614	-0.03426596149802208	-0.3694795	No	
row_45	ANKRD50	5640	-0.03715944662690163	-0.37172318	No	
row_46	SLC10A3	5656	-0.03966408595442772	-0.37299037	No	
row_47	IWS1	5666	-0.04128023982048035	-0.37367117	No	
row_48	EBPL	5669	-0.04154958948493004	-0.37367523	No	
row_49	CCNI	5721	-0.05011192709207535	-0.37836915	No	
row_50	CCDC25	5796	-0.06342694163322449	-0.38522217	No	
row_51	ITGB3	5874	-0.07494158297777176	-0.39231232	No	
row_52	RNF146	5905	-0.08131274580955505	-0.3948377	No	
row_53	PCMTD1	5919	-0.08298268169164658	-0.39571488	No	
row_54	CHD3	6032	-0.10301496088504791	-0.4060551	No	
row_55	MORF4L1	6052	-0.10662306845188141	-0.4074038	No	
row_56	ADGRD1	6159	-0.1254682093858719	-0.41706285	No	
row_57	PHF8	6294	-0.1535048931837082	-0.42929658	No	
row_58	RBM5	6373	-0.17100924253463745	-0.43604633	No	
row_59	SPATA1	6508	-0.2004856914281845	-0.4480664	No	
row_60	PLOD2	6511	-0.20200781524181366	-0.4473407	No	
row_61	C2CD3	6592	-0.22325780987739563	-0.45404583	No	
row_62	TMEM106C	6862	-0.2910879850387573	-0.47868222	No	
row_63	ECT2	6898	-0.30055510997772217	-0.480693	No	
row_64	STMN1	6914	-0.30452960729599	-0.4807556	No	
row_65	STAG1	6949	-0.3146795630455017	-0.48260567	No	
row_66	SMG6	7207	-0.38740023970603943	-0.50564593	No	
row_67	CHRNB1	7269	-0.40518152713775635	-0.50969005	No	
row_68	CPQ	7273	-0.4069695770740509	-0.5081287	No	
row_69	TXNDC12	7302	-0.4186907112598419	-0.5089267	No	
row_70	FLII	7376	-0.4441377818584442	-0.5139517	No	
row_71	MFSD8	7421	-0.45893770456314087	-0.5161108	No	
row_72	TMCC3	7548	-0.5106744766235352	-0.52594805	No	
row_73	CELSR1	7568	-0.5159642696380615	-0.52543503	No	
row_74	ATP10D	7755	-0.5938705205917358	-0.54068434	No	
row_75	MYB	7756	-0.5938759446144104	-0.5379834	No	
row_76	CEP68	7791	-0.6080196499824524	-0.53849936	No	
row_77	CDK6	7828	-0.6221491694450378	-0.53914404	No	
row_78	TRIM14	7905	-0.6553353071212769	-0.5434981	No	
row_79	RNASEL	7928	-0.6635506749153137	-0.5426034	No	
row_80	NUP210	8051	-0.7147834897041321	-0.55112636	No	
row_81	CNTLN	8117	-0.7451141476631165	-0.5540105	No	
row_82	PNRC1	8134	-0.7536782026290894	-0.5521269	No	
row_83	HSPA2	8209	-0.7945796847343445	-0.55565464	No	
row_84	UGGT1	8380	-0.893191933631897	-0.56799847	No	
row_85	NME4	8382	-0.8952942490577698	-0.5640232	No	
row_86	INSR	8390	-0.906408965587616	-0.56057644	No	
row_87	CHD9	8441	-0.9368568062782288	-0.5611409	No	
row_88	FBXL12	8627	-1.0462907552719116	-0.5742361	No	
row_89	CYLD	8823	-1.1688588857650757	-0.5877389	No	
row_90	LGALSL	8896	-1.229691982269287	-0.58909476	Yes	
row_91	FAM13B	8911	-1.2380183935165405	-0.5848153	Yes	
row_92	LY96	8954	-1.2768023014068604	-0.5830617	Yes	
row_93	NCKAP1L	8982	-1.3068561553955078	-0.57972383	Yes	
row_94	CEP164	9020	-1.3305803537368774	-0.5772431	Yes	
row_95	TRPV2	9039	-1.3440173864364624	-0.57286763	Yes	
row_96	KLHL28	9074	-1.3841321468353271	-0.56985384	Yes	
row_97	POLR3GL	9114	-1.4249906539916992	-0.5671367	Yes	
row_98	TAGAP	9134	-1.4376683235168457	-0.5624319	Yes	
row_99	LCP2	9146	-1.45304274559021	-0.556885	Yes	
row_100	RCN3	9155	-1.4662821292877197	-0.5509884	Yes	
row_101	ESYT1	9192	-1.515831708908081	-0.5475686	Yes	
row_102	LRP10	9206	-1.5319628715515137	-0.5418559	Yes	
row_103	DOCK8	9241	-1.5637969970703125	-0.53802496	Yes	
row_104	ITGB2	9274	-1.5902782678604126	-0.5338806	Yes	
row_105	CDKN1B	9292	-1.6107325553894043	-0.5281956	Yes	
row_106	SLC4A2	9338	-1.6571729183197021	-0.5250016	Yes	
row_107	MANBA	9344	-1.6665211915969849	-0.5179048	Yes	
row_108	OSBPL9	9457	-1.8096983432769775	-0.520483	Yes	
row_109	PPT1	9469	-1.8287098407745361	-0.51322764	Yes	
row_110	ANKRD6	9502	-1.878289818763733	-0.5077734	Yes	
row_111	ATF7IP	9535	-1.927258849143982	-0.5020965	Yes	
row_112	CDKN2C	9551	-1.9635486602783203	-0.49461386	Yes	
row_113	PTPRCAP	9617	-2.0659103393554688	-0.49149102	Yes	
row_114	ARHGAP15	9740	-2.309075117111206	-0.49276316	Yes	
row_115	PNPLA7	9763	-2.3523733615875244	-0.48418772	Yes	
row_116	ADAR	9837	-2.490891695022583	-0.47990415	Yes	
row_117	SGPL1	9846	-2.516005754470825	-0.46923342	Yes	
row_118	HELZ2	9873	-2.562983989715576	-0.46008617	Yes	
row_119	SLC12A6	9879	-2.568972110748291	-0.44888502	Yes	
row_120	RAB37	9930	-2.716784715652466	-0.44135445	Yes	
row_121	ARMCX2	9936	-2.738664150238037	-0.42938155	Yes	
row_122	CCPG1	9953	-2.782846450805664	-0.4182693	Yes	
row_123	FLNA	9974	-2.8486111164093018	-0.40724397	Yes	
row_124	IKZF1	9975	-2.8504042625427246	-0.39428034	Yes	
row_125	SESN3	10043	-3.036569118499756	-0.38693598	Yes	
row_126	KLHDC1	10047	-3.048352003097534	-0.37336162	Yes	
row_127	HSH2D	10054	-3.0788211822509766	-0.3599382	Yes	
row_128	PLCB4	10120	-3.355653762817383	-0.35094965	Yes	
row_129	CCNG2	10144	-3.4478213787078857	-0.33748865	Yes	
row_130	ABCA2	10160	-3.4745934009552	-0.32313383	Yes	
row_131	PTPN22	10168	-3.514885902404785	-0.3078237	Yes	
row_132	CDC14B	10223	-3.7846715450286865	-0.29582238	Yes	
row_133	OAS2	10226	-3.812650442123413	-0.2786755	Yes	
row_134	TGFBR2	10227	-3.8226187229156494	-0.26129025	Yes	
row_135	CD84	10230	-3.858182430267334	-0.24393629	Yes	
row_136	RSAD2	10252	-4.0341386795043945	-0.22761568	Yes	
row_137	IRF9	10293	-4.257012844085693	-0.2121151	Yes	
row_138	DHX58	10303	-4.3432936668396	-0.19323039	Yes	
row_139	ARMCX6	10311	-4.402843475341797	-0.17388183	Yes	
row_140	FLOT1	10344	-4.6105055809021	-0.15600151	Yes	
