NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.019223444	Yes	
row_1	WDR77	24	6.038822650909424	0.039755635	Yes	
row_2	MAPKAPK3	90	4.721996307373047	0.049741194	Yes	
row_3	HSPA9	100	4.595105171203613	0.06471399	Yes	
row_4	DKC1	112	4.5052490234375	0.07918321	Yes	
row_5	PSME2	119	4.474827766418457	0.09403189	Yes	
row_6	IFRD2	125	4.432302474975586	0.10883081	Yes	
row_7	DDX56	142	4.30035400390625	0.12210916	Yes	
row_8	SLC7A5	147	4.288360118865967	0.13650861	Yes	
row_9	BYSL	156	4.244655609130859	0.15036988	Yes	
row_10	POLR2H	169	4.124131202697754	0.16342808	Yes	
row_11	PPAT	176	4.081175804138184	0.17691939	Yes	
row_12	POLR2E	182	4.038355350494385	0.1903599	Yes	
row_13	AATF	193	3.981710910797119	0.20312075	Yes	
row_14	GTPBP4	213	3.8796870708465576	0.21465798	Yes	
row_15	CCND2	217	3.8307712078094482	0.22757645	Yes	
row_16	FASTKD3	229	3.7586262226104736	0.23947121	Yes	
row_17	PSME3	237	3.7232120037078857	0.25163132	Yes	
row_18	HK2	261	3.5615415573120117	0.26168403	Yes	
row_19	MORF4L2	286	3.4675424098968506	0.27131575	Yes	
row_20	FKBP4	292	3.450495481491089	0.28272927	Yes	
row_21	EIF3A	293	3.449751377105713	0.29462454	Yes	
row_22	PSMG1	298	3.4283275604248047	0.30605847	Yes	
row_23	POP1	315	3.353630781173706	0.31607237	Yes	
row_24	CLUH	324	3.322787046432495	0.3267549	Yes	
row_25	WDR61	335	3.291626214981079	0.3371362	Yes	
row_26	PRPF19	361	3.2075374126434326	0.34577453	Yes	
row_27	VCAM1	393	3.0930886268615723	0.35343698	Yes	
row_28	RPP30	416	3.0283939838409424	0.3617482	Yes	
row_29	ALG3	448	2.944918394088745	0.36889973	Yes	
row_30	DDX21	460	2.9268064498901367	0.37792623	Yes	
row_31	GADD45GIP1	524	2.798612356185913	0.3814734	Yes	
row_32	SERBP1	526	2.791968822479248	0.39100367	Yes	
row_33	NUDC	564	2.70238995552063	0.39673772	Yes	
row_34	UTP18	567	2.6956472396850586	0.405839	Yes	
row_35	NDUFB6	592	2.632450819015503	0.4125912	Yes	
row_36	PHGDH	607	2.5995421409606934	0.42019862	Yes	
row_37	XRCC6	622	2.5539777278900146	0.42764893	Yes	
row_38	NAT10	637	2.530890464782715	0.43501964	Yes	
row_39	RAB8B	642	2.5174081325531006	0.44331256	Yes	
row_40	PSMA7	652	2.5079452991485596	0.45108852	Yes	
row_41	TIMM8B	655	2.501312732696533	0.45951968	Yes	
row_42	POLD2	702	2.421182155609131	0.46341223	Yes	
row_43	ETFB	714	2.391188144683838	0.47059184	Yes	
row_44	POLR2D	720	2.3721086978912354	0.4782869	Yes	
row_45	BHLHE40	751	2.3283045291900635	0.4834091	Yes	
row_46	NUP88	760	2.307795286178589	0.4905918	Yes	
row_47	MRPL40	768	2.2957513332366943	0.4978298	Yes	
row_48	NFKB1	798	2.2595603466033936	0.50281185	Yes	
row_49	DNAAF2	803	2.2517459392547607	0.51018876	Yes	
row_50	HSPA8	818	2.2368874549865723	0.51654565	Yes	
row_51	RTCB	831	2.2194719314575195	0.5230363	Yes	
row_52	DNAJC2	835	2.21451997756958	0.53038174	Yes	
row_53	PDIA4	859	2.1886072158813477	0.5357003	Yes	
row_54	ERH	885	2.1491353511810303	0.5406891	Yes	
row_55	MIF	887	2.1453709602355957	0.54798985	Yes	
row_56	STOML2	889	2.13523268699646	0.5552556	Yes	
row_57	MRPS18A	892	2.1329140663146973	0.56241643	Yes	
row_58	POLDIP2	947	2.066363573074341	0.56431055	Yes	
row_59	ORC6	981	2.0106232166290283	0.56804675	Yes	
row_60	NXT1	988	2.0038511753082275	0.5743751	Yes	
row_61	PPM1G	1008	1.9743667840957642	0.5793425	Yes	
row_62	HNRNPD	1049	1.9044471979141235	0.58203447	Yes	
row_63	HILPDA	1070	1.8690366744995117	0.5865418	Yes	
row_64	EIF3B	1080	1.85782790184021	0.592076	Yes	
row_65	PWP1	1092	1.8423036336898804	0.597363	Yes	
row_66	UTP14A	1107	1.823742389678955	0.60229534	Yes	
row_67	GNL2	1150	1.782841682434082	0.6043743	Yes	
row_68	IPO5	1152	1.7818317413330078	0.6104214	Yes	
row_69	CRELD2	1158	1.7704874277114868	0.616042	Yes	
row_70	DLD	1166	1.7624629735946655	0.6214411	Yes	
