NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.020445218	Yes	
row_1	NOP16	15	6.486106872558594	0.03932581	Yes	
row_2	NDUFAF4	30	5.845912456512451	0.055337347	Yes	
row_3	C1QBP	32	5.812370300292969	0.07250674	Yes	
row_4	NIP7	34	5.753580570220947	0.0895015	Yes	
row_5	CHCHD4	72	4.921378135681152	0.10054183	Yes	
row_6	NOP56	78	4.855929374694824	0.11448311	Yes	
row_7	NOP2	91	4.713138580322266	0.1273231	Yes	
row_8	NLE1	98	4.633648872375488	0.14050737	Yes	
row_9	COQ4	108	4.538275718688965	0.15311812	Yes	
row_10	PHB	113	4.494336128234863	0.16608198	Yes	
row_11	MRPL15	128	4.421436786651611	0.177862	Yes	
row_12	SMYD5	129	4.412929058074951	0.19097097	Yes	
row_13	SLC7A5	147	4.288360118865967	0.20206548	Yes	
row_14	AHR	152	4.259438991546631	0.21433157	Yes	
row_15	SIGMAR1	167	4.137570858001709	0.22526833	Yes	
row_16	REXO2	190	3.9929111003875732	0.23500153	Yes	
row_17	PSMG2	211	3.8847663402557373	0.24460694	Yes	
row_18	SRM	224	3.7798802852630615	0.2546746	Yes	
row_19	IMP4	258	3.575809955596924	0.26210475	Yes	
row_20	NOB1	267	3.5448877811431885	0.27186128	Yes	
row_21	EIF4E	284	3.4708878993988037	0.28062415	Yes	
row_22	PRDX3	287	3.4644837379455566	0.29072222	Yes	
row_23	TSR2	294	3.4462897777557373	0.30037934	Yes	
row_24	SET	303	3.4067649841308594	0.30972555	Yes	
row_25	NAA15	306	3.3886873722076416	0.31959847	Yes	
row_26	POP1	315	3.353630781173706	0.32878688	Yes	
row_27	HSPA4	318	3.348585844039917	0.33854067	Yes	
row_28	WDR36	350	3.2375288009643555	0.34515935	Yes	
row_29	CHAC2	362	3.2069711685180664	0.3536219	Yes	
row_30	NAF1	365	3.2023470401763916	0.36294127	Yes	
