NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.03316397	Yes	
row_1	TCF4	45	5.465462684631348	0.055756446	Yes	
row_2	RSL1D1	58	5.337189197540283	0.07986798	Yes	
row_3	NLE1	98	4.633648872375488	0.09803857	Yes	
row_4	SLC7A1	120	4.465780258178711	0.11715411	Yes	
row_5	PTGES3	131	4.389127731323242	0.13696991	Yes	
row_6	SLC7A5	147	4.288360118865967	0.15582532	Yes	
row_7	PPAT	176	4.081175804138184	0.17244318	Yes	
row_8	POLR2E	182	4.038355350494385	0.19108136	Yes	
row_9	NSUN2	226	3.771775007247925	0.2047844	Yes	
row_10	EIF4E	284	3.4708878993988037	0.21570955	Yes	
row_11	NAA15	306	3.3886873722076416	0.2297251	Yes	
row_12	MPHOSPH6	322	3.335570812225342	0.24406907	Yes	
row_13	PIN1	382	3.1424951553344727	0.25324598	Yes	
row_14	ELP3	415	3.032257318496704	0.26451063	Yes	
row_15	NUP35	435	2.9698281288146973	0.2767362	Yes	
row_16	CUL2	465	2.9173736572265625	0.28774685	Yes	
row_17	PWP2	480	2.8871116638183594	0.30006403	Yes	
row_18	POLR1E	497	2.8454012870788574	0.3119904	Yes	
row_19	MRPL19	540	2.7763102054595947	0.3210766	Yes	
row_20	MTX2	542	2.773937463760376	0.33411446	Yes	
row_21	BCL7C	600	2.6211886405944824	0.34101632	Yes	
row_22	PHGDH	607	2.5995421409606934	0.35274512	Yes	
row_23	RNPS1	632	2.5350122451782227	0.36242858	Yes	
row_24	DDX31	676	2.459876298904419	0.3699198	Yes	
row_25	TIMM44	684	2.4448747634887695	0.38081962	Yes	
row_26	PCBP2	706	2.4147582054138184	0.39022362	Yes	
row_27	AHSA1	801	2.256523370742798	0.39182255	Yes	
row_28	PPP1R14B	844	2.202648401260376	0.39819247	Yes	
row_29	TRMT10C	891	2.133017063140869	0.40384609	Yes	
row_30	TRA2B	904	2.119415283203125	0.41272157	Yes	
row_31	GLMN	921	2.1042823791503906	0.42113876	Yes	
row_32	PHF5A	940	2.072814464569092	0.42921367	Yes	
row_33	DHX15	955	2.062919855117798	0.43762836	Yes	
row_34	SLC16A1	961	2.042922258377075	0.44681823	Yes	
row_35	PAICS	965	2.0372884273529053	0.45617476	Yes	
row_36	CHCHD1	986	2.0045723915100098	0.46373323	Yes	
row_37	ABHD11	1002	1.984631896018982	0.47168055	Yes	
row_38	ZC3H15	1012	1.969024419784546	0.4801339	Yes	
row_39	NUTF2	1020	1.9547337293624878	0.4887129	Yes	
row_40	PCMT1	1045	1.9219259023666382	0.4954934	Yes	
row_41	DHX37	1063	1.8803589344024658	0.50275373	Yes	
row_42	FASTKD2	1077	1.8634841442108154	0.5103207	Yes	
row_43	P4HB	1083	1.854249358177185	0.5186172	Yes	
row_44	LIG3	1202	1.726035475730896	0.51538455	Yes	
row_45	LRRC59	1206	1.7220016717910767	0.52324826	Yes	
row_46	SRFBP1	1226	1.7026687860488892	0.52947384	Yes	
row_47	ADO	1233	1.6988766193389893	0.536938	Yes	
row_48	SRSF3	1252	1.6751505136489868	0.54313004	Yes	
row_49	PPA2	1288	1.639514446258545	0.5475101	Yes	
row_50	EED	1297	1.6300023794174194	0.55445486	Yes	
row_51	MED17	1310	1.6149507761001587	0.56094176	Yes	
row_52	TIMM13	1318	1.610130786895752	0.56788903	Yes	
row_53	MMGT1	1325	1.6017205715179443	0.57489324	Yes	
row_54	LIPT1	1350	1.5858666896820068	0.5800825	Yes	
row_55	PBDC1	1430	1.5110421180725098	0.5796014	Yes	
row_56	CAPRIN1	1431	1.5103815793991089	0.586753	Yes	
row_57	MEMO1	1525	1.432368516921997	0.58454627	Yes	
row_58	RBM17	1557	1.4042789936065674	0.58819914	Yes	
row_59	PRDX2	1598	1.3745362758636475	0.5908413	Yes	
row_60	KLHDC4	1708	1.292911171913147	0.5864277	Yes	
row_61	SNRPB	1742	1.2680326700210571	0.58924216	Yes	
row_62	LSM6	1765	1.2536792755126953	0.59305185	Yes	
row_63	GTF2F2	1877	1.16850745677948	0.58785594	Yes	
row_64	PCNA	1898	1.1550743579864502	0.59139204	Yes	
row_65	PEX10	1938	1.12296724319458	0.5929397	Yes	
row_66	TFDP1	1961	1.1058663129806519	0.5960495	Yes	
row_67	TMEM69	1982	1.0935078859329224	0.5992941	Yes	
row_68	RCE1	2039	1.049466609954834	0.59885055	Yes	
row_69	ALKBH2	2062	1.0339412689208984	0.60161984	Yes	
row_70	TXLNA	2228	0.9425684809684753	0.5901346	Yes	
row_71	EWSR1	2374	0.8623459935188293	0.58020276	Yes	
row_72	ARL5A	2440	0.8355869054794312	0.5778766	Yes	
row_73	CCDC90B	2444	0.83504319190979	0.5815405	Yes	
row_74	GFER	2451	0.8317919969558716	0.5848991	Yes	
row_75	VCPKMT	2468	0.8178518414497375	0.58722514	Yes	
row_76	TIMM17B	2504	0.7985379695892334	0.58762324	Yes	
row_77	SF3A2	2518	0.7916849851608276	0.5901153	Yes	
row_78	ORAI1	2641	0.7405916452407837	0.58182997	Yes	
row_79	NEDD8	2661	0.733597457408905	0.58346707	Yes	
row_80	NUP155	2677	0.7288364171981812	0.58546823	Yes	
row_81	RPSA	2693	0.7191480994224548	0.58742356	Yes	
row_82	ATP6V1B2	2696	0.7163544297218323	0.5906221	Yes	
row_83	CMTR2	2719	0.708085298538208	0.5918485	Yes	
row_84	PGAM5	2721	0.7077108025550842	0.5951028	Yes	
row_85	MCM8	2741	0.6964579820632935	0.59656405	Yes	
row_86	HSD17B10	2769	0.6855514645576477	0.5972004	Yes	
row_87	ETFA	2778	0.6818848252296448	0.59965587	Yes	
row_88	PARS2	2787	0.677596926689148	0.602091	Yes	
row_89	PWWP2A	2920	0.6211236715316772	0.5922735	No	
row_90	KHDRBS1	3085	0.5648887157440186	0.5790967	No	
row_91	JADE3	3120	0.5548831820487976	0.57843775	No	
row_92	WDR83	3133	0.5509340167045593	0.5798865	No	
row_93	BTAF1	3137	0.5506837368011475	0.582204	No	
row_94	NDUFV1	3200	0.5252190828323364	0.5786982	No	
row_95	SUB1	3227	0.5167969465255737	0.57863224	No	
row_96	NUP205	3229	0.5165188312530518	0.58098125	No	
row_97	NDUFS1	3267	0.502350926399231	0.5797836	No	
row_98	NUP107	3296	0.49228328466415405	0.57940817	No	
row_99	MED8	3371	0.4696348309516907	0.57447934	No	
row_100	MRPL44	3488	0.433246374130249	0.5653187	No	
row_101	ALAS1	3502	0.4292509853839874	0.5660947	No	
row_102	LCMT2	3603	0.39784738421440125	0.5583129	No	
row_103	MCM5	3629	0.38817083835601807	0.5577345	No	
row_104	SNF8	3645	0.3841746151447296	0.5581037	No	
row_105	MAP2K4	3683	0.3730744421482086	0.5562939	No	
row_106	TPD52L2	3756	0.3553394079208374	0.5510172	No	
row_107	GLRX5	3758	0.355091392993927	0.55260193	No	
row_108	COX6B1	3786	0.3460179567337036	0.5516306	No	
row_109	TMEM216	3820	0.33717939257621765	0.5500375	No	
row_110	NDUFA2	3854	0.3293665945529938	0.5484074	No	
row_111	EXOSC6	4006	0.2870798408985138	0.5351717	No	
row_112	POP7	4046	0.2766779959201813	0.53271216	No	
row_113	FAM72A	4060	0.272602915763855	0.53274643	No	
row_114	PCCB	4063	0.27135026454925537	0.533838	No	
row_115	CSNK2B	4097	0.26365745067596436	0.5318967	No	
row_116	TAF2	4112	0.26116251945495605	0.5317801	No	
row_117	TUBB4B	4136	0.25573819875717163	0.530768	No	
row_118	PEX7	4192	0.24371904134750366	0.5266059	No	
row_119	IPPK	4211	0.23894862830638885	0.5259975	No	
row_120	RFC4	4233	0.23128023743629456	0.52506286	No	
row_121	MRPL34	4294	0.21936416625976562	0.5203022	No	
row_122	SUCLA2	4337	0.21001486480236053	0.51723707	No	
row_123	ACBD6	4359	0.2055426836013794	0.5161805	No	
row_124	AFG3L2	4422	0.1869170069694519	0.51107293	No	
row_125	COG2	4549	0.1545669436454773	0.49962616	No	
row_126	ECHDC1	4586	0.14611774682998657	0.49683842	No	
row_127	RAP1A	4601	0.14422018826007843	0.49616814	No	
row_128	JOSD2	4868	0.09362073987722397	0.47090098	No	
row_129	MRPL52	5012	0.067715585231781	0.45739985	No	
row_130	SAR1B	5041	0.06296209245920181	0.4549916	No	
row_131	AHCYL1	5091	0.05317835882306099	0.45050728	No	
row_132	ARL6	5102	0.05085264891386032	0.4497815	No	
row_133	DPP9	5139	0.04449078440666199	0.44651258	No	
row_134	TMED7	5637	-0.03641809895634651	0.39864713	No	
row_135	CYB561D2	5641	-0.037225838750600815	0.39853343	No	
row_136	CLPX	5675	-0.04271102324128151	0.39554602	No	
row_137	RAB23	5791	-0.06274763494729996	0.38472772	No	
row_138	TEN1	5797	-0.0637691542506218	0.3845464	No	
row_139	FKBPL	5895	-0.07898766547441483	0.3755448	No	
row_140	NDUFS2	5978	-0.09296979755163193	0.36805922	No	
row_141	SNX12	6083	-0.11205556243658066	0.3585376	No	
row_142	HBS1L	6157	-0.1250276416540146	0.35207376	No	
row_143	FOCAD	6359	-0.16799139976501465	0.33344138	No	
row_144	ATF2	6520	-0.20412753522396088	0.318943	No	
row_145	TXNDC17	6636	-0.2321798950433731	0.30892697	No	
row_146	EIF5A2	6714	-0.2520831823348999	0.30267808	No	
row_147	BLMH	6730	-0.2567954361438751	0.30244416	No	
row_148	GTPBP3	6735	-0.2580142319202423	0.30327922	No	
row_149	ARV1	7082	-0.3505149483680725	0.27149603	No	
row_150	PIH1D1	7204	-0.38639986515045166	0.26163027	No	
row_151	MDH1	7250	-0.3989254832267761	0.25916967	No	
row_152	UBE2J2	7385	-0.44614923000335693	0.2483303	No	
row_153	SH2D2A	7524	-0.5007660388946533	0.23736292	No	
row_154	P4HA1	7564	-0.5144960880279541	0.23602946	No	
row_155	MRPS6	7727	-0.5809069275856018	0.2231218	No	
row_156	USP40	7748	-0.5913972854614258	0.22398894	No	
row_157	MACROD1	8139	-0.7575103044509888	0.18988	No	
row_158	GGH	8368	-0.8823683857917786	0.17202048	No	
row_159	CD2BP2	8539	-0.9920408725738525	0.16028629	No	
row_160	SNAI3	8737	-1.110687255859375	0.14650418	No	
row_161	RGS10	9695	-2.2079460620880127	0.064459205	No	
row_162	MAFG	10025	-2.9620158672332764	0.046684515	No	
