NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.025497863	Yes	
row_1	PHTF2	87	4.771925449371338	0.040447053	Yes	
row_2	GCSH	105	4.552402019500732	0.059152484	Yes	
row_3	COQ4	108	4.538275718688965	0.07924503	Yes	
row_4	NDUFAB1	109	4.53490686416626	0.099515885	Yes	
row_5	PHB	113	4.494336128234863	0.11931533	Yes	
row_6	MRPS35	194	3.9668338298797607	0.12931223	Yes	
row_7	NSUN2	226	3.771775007247925	0.14317471	Yes	
row_8	PSME3	237	3.7232120037078857	0.15885049	Yes	
row_9	DRG2	242	3.6897401809692383	0.17495674	Yes	
row_10	NOB1	267	3.5448877811431885	0.18848184	Yes	
row_11	MPHOSPH10	269	3.5360121726989746	0.20419098	Yes	
row_12	CDV3	289	3.4604408740997314	0.21782203	Yes	
row_13	WDR18	304	3.395955801010132	0.23164825	Yes	
row_14	ZNHIT3	309	3.3785650730133057	0.24636357	Yes	
row_15	THUMPD1	312	3.3666422367095947	0.26121897	Yes	
row_16	EIF3I	348	3.246763229370117	0.27234793	Yes	
row_17	EIF2B1	373	3.171718120574951	0.28420496	Yes	
row_18	DOHH	376	3.164525270462036	0.29815692	Yes	
row_19	NME6	401	3.0704476833343506	0.30956128	Yes	
row_20	CLNS1A	453	2.9335432052612305	0.3177432	Yes	
row_21	BOP1	478	2.8917932510375977	0.32834902	Yes	
row_22	SUPV3L1	528	2.790513277053833	0.336085	Yes	
row_23	MCCC2	550	2.753502368927002	0.34636268	Yes	
row_24	IDH3A	558	2.7161848545074463	0.35782713	Yes	
row_25	MMACHC	593	2.6323752403259277	0.36630648	Yes	
row_26	LUC7L	614	2.5817081928253174	0.37591296	Yes	
row_27	STRAP	620	2.560087203979492	0.38687304	Yes	
row_28	XRCC6	622	2.5539777278900146	0.39819252	Yes	
row_29	TEX30	633	2.53230619430542	0.408545	Yes	
row_30	RPLP0	635	2.5317580699920654	0.41976517	Yes	
row_31	MYCBP	711	2.3959717750549316	0.4232238	Yes	
row_32	NUP43	788	2.2719192504882812	0.4260312	Yes	
row_33	ZC3H8	855	2.1904492378234863	0.4294413	Yes	
row_34	SCFD2	874	2.1655476093292236	0.4373809	Yes	
row_35	SNRPA1	878	2.158540725708008	0.44673944	Yes	
row_36	DPY30	917	2.110111713409424	0.45249757	Yes	
row_37	FKTN	920	2.1074106693267822	0.46172425	Yes	
row_38	ALDH18A1	932	2.0833988189697266	0.46997344	Yes	
row_39	FANCF	954	2.063983917236328	0.477169	Yes	
row_40	ORC6	981	2.0106232166290283	0.48364264	Yes	
row_41	CEBPZ	993	2.0026516914367676	0.4915309	Yes	
row_42	ABHD11	1002	1.984631896018982	0.49962863	Yes	
row_43	PPM1G	1008	1.9743667840957642	0.5079706	Yes	
row_44	NPEPL1	1062	1.883521556854248	0.5112656	Yes	
row_45	FASTKD2	1077	1.8634841442108154	0.5182417	Yes	
row_46	PPWD1	1098	1.8353651762008667	0.52451205	Yes	
row_47	PSMD1	1112	1.8214486837387085	0.531397	Yes	
row_48	POP5	1194	1.7349680662155151	0.5313208	Yes	
row_49	NAA10	1199	1.7282572984695435	0.53865933	Yes	
row_50	YDJC	1204	1.7223981618881226	0.54597163	Yes	
row_51	SLC35A4	1386	1.5552486181259155	0.5354238	Yes	
row_52	ANGPTL4	1398	1.5442438125610352	0.541263	Yes	
row_53	NDUFAF2	1426	1.5161062479019165	0.54542947	Yes	
row_54	DNAJC24	1434	1.5083930492401123	0.55149513	Yes	
row_55	DEGS1	1498	1.4562771320343018	0.55191356	Yes	
row_56	TAF9	1516	1.4415918588638306	0.55671376	Yes	
row_57	NOP10	1573	1.3965778350830078	0.55754215	Yes	
row_58	HLCS	1587	1.3810374736785889	0.56245846	Yes	
row_59	STT3B	1593	1.3771462440490723	0.5681308	Yes	
row_60	NFIC	1621	1.3579256534576416	0.57159024	Yes	
row_61	SDHA	1660	1.3275562524795532	0.57385033	Yes	
row_62	RRN3	1664	1.3264187574386597	0.57948935	Yes	
row_63	RAD17	1669	1.3234262466430664	0.5850183	Yes	
row_64	LCLAT1	1682	1.312557578086853	0.58972514	Yes	
row_65	EXOSC5	1716	1.2895888090133667	0.592299	Yes	
row_66	USP39	1758	1.2593082189559937	0.59396404	Yes	
row_67	GNPAT	1835	1.1958951950073242	0.5919617	Yes	
row_68	SNRPB2	1879	1.167508840560913	0.593023	Yes	
row_69	IMP3	1887	1.1601253747940063	0.5975319	Yes	
row_70	DCUN1D2	1891	1.1588138341903687	0.6024217	Yes	
row_71	TTLL4	1923	1.1327378749847412	0.6044878	Yes	
row_72	ALYREF	2003	1.0773075819015503	0.6016653	No	
row_73	DGCR8	2046	1.0452390909194946	0.60227674	No	
row_74	PPP1R21	2125	0.995190441608429	0.5991839	No	
row_75	TMEM208	2337	0.8773555755615234	0.5827054	No	
row_76	NDUFA8	2399	0.8538303971290588	0.5806242	No	
row_77	PREB	2442	0.8354122638702393	0.58029777	No	
row_78	PHF10	2463	0.8223285675048828	0.5820399	No	
row_79	MTPAP	2475	0.8158170580863953	0.58462304	No	
row_80	COX10	2620	0.7521944046020508	0.5740629	No	
row_81	FAM199X	2648	0.7389077544212341	0.5747553	No	
row_82	RP9	2744	0.6952241659164429	0.56867796	No	
row_83	GTF2A2	2779	0.681442141532898	0.56843674	No	
row_84	METTL25	2901	0.6257157325744629	0.5595349	No	
row_85	F2RL3	2912	0.6232563853263855	0.56135404	No	
row_86	IARS2	2928	0.6186975240707397	0.56266934	No	
row_87	TMEM42	2940	0.6155092120170593	0.5643571	No	
row_88	TYMS	3053	0.5777892470359802	0.5561112	No	
row_89	ATP13A3	3117	0.5561612248420715	0.55250615	No	
row_90	ERAL1	3142	0.5474912524223328	0.552633	No	
row_91	MANF	3162	0.5381234884262085	0.5532014	No	
row_92	LAIR1	3197	0.5267273187637329	0.5522686	No	
row_93	COPRS	3398	0.46146732568740845	0.5349946	No	
row_94	LRRC20	3573	0.40614554286003113	0.5199871	No	
row_95	IDI1	3643	0.3850947320461273	0.51503724	No	
row_96	PRIM1	3646	0.3838987350463867	0.5165599	No	
row_97	SOCS6	3653	0.3818991780281067	0.51768684	No	
row_98	SVIL	3681	0.3732036054134369	0.5167446	No	
row_99	CWF19L1	3698	0.3704080581665039	0.5168534	No	
row_100	MYADM	3720	0.36461886763572693	0.51645285	No	
row_101	CHST11	3833	0.3342786133289337	0.50711846	No	
row_102	INTS7	3949	0.30336517095565796	0.49735588	No	
row_103	THOC7	3965	0.29918372631073	0.497243	No	
row_104	AP3S2	3996	0.29004165530204773	0.49563894	No	
row_105	UPF3B	4002	0.287942111492157	0.49644262	No	
row_106	CDR2	4069	0.27046114206314087	0.49127042	No	
row_107	CLPTM1L	4082	0.26807987689971924	0.49130854	No	
row_108	TFB2M	4147	0.2526855170726776	0.48625028	No	
row_109	CISD1	4316	0.21453818678855896	0.47096637	No	
row_110	FBXL6	4432	0.1852901726961136	0.46067598	No	
row_111	PRPSAP2	4484	0.17301824688911438	0.4565185	No	
row_112	MAP7D1	4625	0.1401611864566803	0.4436093	No	
row_113	OTULIN	4645	0.1362287849187851	0.44238123	No	
row_114	PRIM2	4651	0.13524143397808075	0.44250235	No	
row_115	KIF20B	4684	0.12752483785152435	0.43997848	No	
row_116	RBMX	4718	0.12084627151489258	0.4373281	No	
row_117	WDR76	4739	0.11621461063623428	0.4359139	No	
row_118	TOM1	4942	0.08134845644235611	0.41674742	No	
row_119	MEPCE	4957	0.07811824977397919	0.41574302	No	
row_120	GLE1	5029	0.06423281133174896	0.4091656	No	
row_121	OSBPL7	5053	0.06062833592295647	0.40721288	No	
row_122	FRA10AC1	5134	0.04518815129995346	0.39968017	No	
row_123	RPL37A	5186	0.037682950496673584	0.39491773	No	
row_124	TOPBP1	5190	0.0369698591530323	0.39479294	No	
row_125	SMDT1	5213	0.03262333944439888	0.39281172	No	
row_126	AURKA	5215	0.03251472860574722	0.39286038	No	
row_127	SLC4A7	5233	0.030379226431250572	0.39135253	No	
row_128	PLA2G12A	5234	0.030370473861694336	0.3914883	No	
row_129	CCNA2	5352	0.009331496432423592	0.38021803	No	
row_130	DAGLB	5354	0.009016248397529125	0.38016164	No	
row_131	TAF6	5398	-1.6449599934276193E-4	0.37600496	No	
row_132	TTF2	5444	-0.006851937156170607	0.37168482	No	
row_133	BRWD1	5602	-0.0327126681804657	0.3566517	No	
row_134	COPA	5609	-0.03380760923027992	0.35622272	No	
row_135	PIGN	5634	-0.03626984357833862	0.35406443	No	
row_136	PDXDC1	5711	-0.04885159060359001	0.34693483	No	
row_137	ARFGAP2	5871	-0.074012391269207	0.33189294	No	
row_138	KNTC1	6037	-0.10373591631650925	0.31640384	No	
row_139	HNRNPR	6111	-0.11630388349294662	0.3098658	No	
row_140	CDCA5	6395	-0.17789427936077118	0.28329948	No	
row_141	TTC4	6502	-0.19919797778129578	0.2739414	No	
row_142	ZBTB22	6534	-0.20767052471637726	0.2718725	No	
row_143	ANGEL1	6763	-0.2646562159061432	0.25101158	No	
row_144	BUB3	6873	-0.29315078258514404	0.24178344	No	
row_145	PLK3	6936	-0.31072139739990234	0.23717795	No	
row_146	ALG5	7004	-0.33061161637306213	0.23217796	No	
row_147	TMEM259	7559	-0.5137688517570496	0.18091169	No	
