NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCA	46	5.457050800323486	0.010826871	No	
row_1	CCND2	217	3.8307712078094482	0.0051052603	No	
row_2	TSR1	466	2.9159536361694336	-0.010723072	No	
row_3	TNFRSF9	697	2.430006504058838	-0.026170487	No	
row_4	BCL2	1075	1.864920973777771	-0.057420608	No	
row_5	CD274	1230	1.7002699375152588	-0.067558676	No	
row_6	RAB21	1466	1.4857068061828613	-0.08613334	No	
row_7	IL15RA	1480	1.470443606376648	-0.083274476	No	
row_8	DEGS1	1498	1.4562771320343018	-0.080842234	No	
row_9	STT3B	1593	1.3771462440490723	-0.08608049	No	
row_10	CD164	1674	1.3178209066390991	-0.09013047	No	
row_11	ATP1A1	1843	1.190119981765747	-0.10305105	No	
row_12	FOXP1	2116	0.9991675615310669	-0.12656714	No	
row_13	NRROS	2544	0.7821248769760132	-0.16568552	No	
row_14	NFKBIE	3023	0.5882351398468018	-0.21028043	No	
row_15	ST8SIA6	3115	0.557076632976532	-0.21752423	No	
row_16	VPS54	3392	0.463849812746048	-0.2429259	No	
row_17	SLC35G1	3489	0.4325554668903351	-0.25100198	No	
row_18	ALKBH1	3628	0.38843613862991333	-0.2632647	No	
row_19	AHCYL2	3714	0.3657286465167999	-0.2704637	No	
row_20	UPF2	3743	0.3589695394039154	-0.2721675	No	
row_21	GNS	3869	0.32467129826545715	-0.28335106	No	
row_22	OSM	3925	0.3112547993659973	-0.2878004	No	
row_23	ARIH2	4108	0.26178398728370667	-0.3046742	No	
row_24	FBXO33	4295	0.219321608543396	-0.32205385	No	
row_25	LIMD1	4357	0.20567311346530914	-0.3273792	No	
row_26	TOR3A	4371	0.20258644223213196	-0.3280697	No	
row_27	TRIM21	4732	0.11716246604919434	-0.36256802	No	
row_28	PPP3CA	4781	0.10914579033851624	-0.366906	No	
row_29	MBD2	4950	0.07917998731136322	-0.38293663	No	
row_30	RCN1	5018	0.06711136549711227	-0.3892303	No	
row_31	DGKD	5166	0.0405828133225441	-0.40333748	No	
row_32	SLC4A7	5233	0.030379226431250572	-0.40963727	No	
row_33	HS3ST3B1	5283	0.02191006951034069	-0.41431618	No	
row_34	IDNK	5715	-0.04961119964718819	-0.45587218	No	
row_35	CCNI	5721	-0.05011192709207535	-0.4562156	No	
row_36	EIF3F	5734	-0.05281037464737892	-0.45722863	No	
row_37	FAM8A1	5798	-0.06414932757616043	-0.46314365	No	
row_38	RBM33	5896	-0.07907388359308243	-0.47230604	No	
row_39	RNF146	5905	-0.08131274580955505	-0.47285232	No	
row_40	PCMTD1	5919	-0.08298268169164658	-0.47387764	No	
row_41	SLC20A1	5993	-0.09565047919750214	-0.48067188	No	
row_42	RABAC1	6108	-0.11592559516429901	-0.49137568	No	
row_43	NRIP1	6241	-0.14331868290901184	-0.5037441	No	
row_44	DYRK2	6249	-0.1446993201971054	-0.5040162	No	
row_45	HACD3	6387	-0.174296572804451	-0.5167817	No	
row_46	ZBTB2	6429	-0.18460986018180847	-0.5202312	No	
row_47	STIM2	6543	-0.2099035680294037	-0.53057516	No	
row_48	SLC2A3	6555	-0.21141164004802704	-0.53104746	No	
row_49	PPP1R12A	6629	-0.23103900253772736	-0.5374627	No	
row_50	RNF111	6784	-0.26937657594680786	-0.55160654	No	
