NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.025325447	Yes	
row_1	CISH	8	7.22438907623291	0.05059396	Yes	
row_2	GNL3	21	6.126562595367432	0.07094536	Yes	
row_3	RPF2	22	6.088015079498291	0.09232062	Yes	
row_4	PUS1	44	5.471492767333984	0.10950265	Yes	
row_5	WDR43	54	5.387223243713379	0.12754801	Yes	
row_6	IPO4	63	5.189187049865723	0.14499465	Yes	
row_7	NLE1	98	4.633648872375488	0.15797918	Yes	
row_8	HSPA9	100	4.595105171203613	0.17401616	Yes	
row_9	SLC7A1	120	4.465780258178711	0.18786031	Yes	
row_10	PUS7	126	4.427617073059082	0.20292284	Yes	
row_11	RRP9	130	4.393106460571289	0.21805741	Yes	
row_12	HSP90AB1	138	4.3175764083862305	0.2325404	Yes	
row_13	GPATCH4	157	4.244081020355225	0.24570273	Yes	
row_14	FAM162A	162	4.181758403778076	0.25999865	Yes	
row_15	PCBP1	188	4.006737232208252	0.27165148	Yes	
row_16	SNRPD3	196	3.9591190814971924	0.2848759	Yes	
row_17	SRM	224	3.7798802852630615	0.29553902	Yes	
row_18	RRP15	247	3.667435646057129	0.30629033	Yes	
row_19	HK2	261	3.5615415573120117	0.31753924	Yes	
row_20	NME1	281	3.48171067237854	0.32792827	Yes	
row_21	G3BP1	295	3.441646099090576	0.33875623	Yes	
row_22	PFAS	307	3.385099411010742	0.34957886	Yes	
row_23	PUSL1	342	3.2752764225006104	0.35779408	Yes	
row_24	EIF3I	348	3.246763229370117	0.36871058	Yes	
row_25	PRPF31	375	3.1682252883911133	0.37732276	Yes	
row_26	HEMK1	427	3.0045547485351562	0.3829453	Yes	
row_27	POLR1B	452	2.934499979019165	0.39093003	Yes	
row_28	PES1	477	2.893566370010376	0.39877108	Yes	
row_29	PWP2	480	2.8871116638183594	0.40871462	Yes	
row_30	TRA2A	534	2.7841200828552246	0.41337	Yes	
row_31	FAM185A	549	2.756757974624634	0.4216967	Yes	
row_32	MRPS28	553	2.7475831508636475	0.43105376	Yes	
row_33	CAD	560	2.7120721340179443	0.43999636	Yes	
row_34	DPH5	638	2.5302743911743164	0.44144207	Yes	
row_35	THOP1	680	2.451569080352783	0.44608903	Yes	
row_36	POLD2	702	2.421182155609131	0.45256132	Yes	
row_37	GEMIN5	712	2.3950796127319336	0.46010113	Yes	
row_38	MDN1	718	2.3808038234710693	0.46797723	Yes	
row_39	TIMM10	729	2.355945110321045	0.47528306	Yes	
row_40	GPHN	741	2.3432023525238037	0.48244753	Yes	
row_41	PPP5C	747	2.3349246978759766	0.49016255	Yes	
row_42	GUK1	766	2.3008155822753906	0.49650198	Yes	
row_43	GSTO1	799	2.2591562271118164	0.5013428	Yes	
row_44	AHSA1	801	2.256523370742798	0.5091689	Yes	
row_45	BCAT1	845	2.1989550590515137	0.5127358	Yes	
row_46	GBP6	905	2.1193013191223145	0.5144773	Yes	
row_47	MRFAP1	913	2.113658905029297	0.5212223	Yes	
