NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSW	127	4.425944805145264	0.0037948908	No	
row_1	CASP1	133	4.365180492401123	0.019145442	No	
row_2	TNFRSF18	165	4.163341999053955	0.031254243	No	
row_3	PISD	330	3.2983338832855225	0.027387688	No	
row_4	RAB11FIP5	372	3.1742475032806396	0.03494364	No	
row_5	WLS	411	3.0436925888061523	0.042315625	No	
row_6	DHRS3	531	2.789059638977051	0.04094548	No	
row_7	ACADL	650	2.51387357711792	0.038673725	No	
row_8	SYTL2	780	2.2834556102752686	0.034504432	No	
row_9	STAMBPL1	819	2.2355799674987793	0.03894527	No	
row_10	GBP6	905	2.1193013191223145	0.038427666	No	
row_11	CALCRL	1190	1.7393667697906494	0.017323487	No	
row_12	LANCL1	1210	1.7191740274429321	0.021725217	No	
row_13	NEFH	1582	1.3856545686721802	-0.009059613	No	
row_14	MDFIC	1646	1.337157130241394	-0.01029062	No	
row_15	FRMD6	1747	1.266099452972412	-0.0153507935	No	
row_16	NCOA1	1854	1.1805611848831177	-0.021300377	No	
row_17	ABCA1	1889	1.1595016717910767	-0.02037654	No	
row_18	CASP4	1963	1.1040233373641968	-0.023418412	No	
row_19	FOXJ2	1965	1.103630542755127	-0.019511899	No	
row_20	RWDD3	2154	0.9832413196563721	-0.03409225	No	
row_21	IGF2R	2313	0.8888471722602844	-0.04611923	No	
row_22	IRF1	2314	0.888796865940094	-0.04289543	No	
row_23	LAPTM4B	2533	0.7859350442886353	-0.061087195	No	
row_24	KANSL1L	2569	0.7673697471618652	-0.061682206	No	
row_25	INSL6	2638	0.7448389530181885	-0.06554426	No	
row_26	ANXA4	2681	0.7259070873260498	-0.06696534	No	
row_27	TBC1D24	2752	0.6904468536376953	-0.071217746	No	
row_28	ID3	3066	0.5741572976112366	-0.09934754	No	
row_29	PARN	3209	0.5214523673057556	-0.11116272	No	
row_30	DBP	3382	0.46637144684791565	-0.12607343	No	
row_31	RASL11B	3658	0.379915326833725	-0.15123983	No	
row_32	ISOC1	3660	0.3794192671775818	-0.14996015	No	
row_33	ENC1	3702	0.370060533285141	-0.1525754	No	
row_34	SERPINE2	3975	0.29693809151649475	-0.17775318	No	
row_35	LY6D	4246	0.22656211256980896	-0.20299318	No	
row_36	B2M	4265	0.22289039194583893	-0.20392218	No	
row_37	GBP4	4572	0.14846444129943848	-0.23292036	No	
row_38	TANC1	4600	0.14423494040966034	-0.23500337	No	
row_39	ALCAM	4856	0.09541144222021103	-0.2592712	No	
row_40	FBXO28	5106	0.05007609724998474	-0.28312433	No	
row_41	QPCT	5162	0.04131142422556877	-0.28828335	No	
row_42	TOB2	5174	0.03979254141449928	-0.28920078	No	
row_43	SLC30A4	5323	0.015227065421640873	-0.30343127	No	
row_44	DECR2	5382	0.004266820847988129	-0.30901426	No	
row_45	PHLPP1	5410	-0.0022684580180794	-0.31161222	No	
row_46	MXI1	5425	-0.004581613931804895	-0.31294695	No	
row_47	SLCO3A1	5756	-0.05781795457005501	-0.3445905	No	
row_48	MPP1	5977	-0.09269203245639801	-0.3654898	No	
