NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.029885825	Yes	
row_1	NHP2	20	6.136864185333252	0.059145227	Yes	
row_2	NDUFAF4	30	5.845912456512451	0.08651703	Yes	
row_3	PNO1	31	5.830062389373779	0.11468007	Yes	
row_4	GRWD1	49	5.446915626525879	0.13935307	Yes	
row_5	PTPRK	52	5.405017852783203	0.16527002	Yes	
row_6	IPO4	63	5.189187049865723	0.18937299	Yes	
row_7	NOP56	78	4.855929374694824	0.2114804	Yes	
row_8	NCF1	83	4.803915977478027	0.23430078	Yes	
row_9	WDR74	101	4.591402530670166	0.2548411	Yes	
row_10	GCSH	105	4.552402019500732	0.27654293	Yes	
row_11	RABGGTB	164	4.174664497375488	0.29111677	Yes	
row_12	POLR2H	169	4.124131202697754	0.31065336	Yes	
row_13	PSMG2	211	3.8847663402557373	0.325466	Yes	
row_14	NSUN2	226	3.771775007247925	0.34233624	Yes	
row_15	SLC25A3	268	3.5408856868743896	0.35548773	Yes	
row_16	HSPBP1	277	3.5025551319122314	0.371636	Yes	
row_17	EIF4E	284	3.4708878993988037	0.38782412	Yes	
row_18	EIF2S1	356	3.221670627593994	0.3965409	Yes	
row_19	MRPL42	369	3.1783347129821777	0.41073728	Yes	
row_20	FARSA	412	3.0402119159698486	0.42137375	Yes	
row_21	CLNS1A	453	2.9335432052612305	0.4316878	Yes	
row_22	CUL2	465	2.9173736572265625	0.44471997	Yes	
row_23	ELAC2	498	2.8412015438079834	0.4553593	Yes	
row_24	AGPAT5	547	2.7621889114379883	0.46407422	Yes	
row_25	FAM185A	549	2.756757974624634	0.47729474	Yes	
row_26	CAD	560	2.7120721340179443	0.48943162	Yes	
row_27	OLA1	565	2.6991260051727295	0.5020845	Yes	
row_28	TIMM8B	655	2.501312732696533	0.50558585	Yes	
row_29	ELP5	669	2.476346731185913	0.5162947	Yes	
row_30	POLD2	702	2.421182155609131	0.52490515	Yes	
row_31	TIMM10	729	2.355945110321045	0.5337789	Yes	
row_32	PPIE	736	2.3520004749298096	0.54456204	Yes	
row_33	METAP2	750	2.3296051025390625	0.5545621	Yes	
row_34	ANKRD49	851	2.19596791267395	0.5555278	Yes	
row_35	AARSD1	991	2.002941370010376	0.55180055	Yes	
row_36	PRADC1	1082	1.8556004762649536	0.5520863	Yes	
row_37	P4HB	1083	1.854249358177185	0.56104356	Yes	
row_38	IPO5	1152	1.7818317413330078	0.5630942	Yes	
row_39	TUBA1B	1176	1.7516191005706787	0.56933796	Yes	
row_40	LRRC59	1206	1.7220016717910767	0.5748601	Yes	
row_41	ZFYVE21	1266	1.6608610153198242	0.5771942	Yes	
row_42	MMGT1	1325	1.6017205715179443	0.5793391	Yes	
row_43	CDC25A	1333	1.5965558290481567	0.58637655	Yes	
row_44	OAT	1338	1.5912688970565796	0.5936777	Yes	
row_45	TEFM	1373	1.5631587505340576	0.5979504	Yes	
row_46	SRSF9	1445	1.4983713626861572	0.59834254	Yes	
row_47	TFG	1563	1.3996851444244385	0.5938225	Yes	
row_48	STT3B	1593	1.3771462440490723	0.5976787	Yes	
row_49	ACACA	1600	1.3733702898025513	0.6037345	Yes	
row_50	NFIC	1621	1.3579256534576416	0.6083657	Yes	
row_51	SRRM1	1693	1.3063737154006958	0.60783035	Yes	
row_52	SCAP	1818	1.2099286317825317	0.60171866	Yes	
row_53	SPRED1	1819	1.2089951038360596	0.6075589	Yes	
row_54	SLC25A22	1871	1.170497179031372	0.6082956	Yes	
row_55	TMEM69	1982	1.0935078859329224	0.6029715	Yes	
row_56	LMNA	2048	1.0442410707473755	0.6017484	Yes	
row_57	NDUFB2	2096	1.0103328227996826	0.6020971	Yes	
row_58	SSR3	2176	0.9708088636398315	0.5991693	Yes	
row_59	REPIN1	2189	0.9650740623474121	0.6026742	Yes	
row_60	NCBP1	2208	0.9500609636306763	0.605528	Yes	
row_61	AMMECR1	2250	0.9252690672874451	0.60604435	Yes	
row_62	HRAS	2268	0.9133395552635193	0.6088172	Yes	
row_63	DPAGT1	2272	0.9114482402801514	0.61293083	Yes	
row_64	ASNSD1	2536	0.7840814590454102	0.59135926	No	
row_65	IRAK1BP1	2552	0.7774266600608826	0.5936684	No	
row_66	SUV39H2	2587	0.7621217370033264	0.59407157	No	
row_67	SMPD4	2656	0.736843466758728	0.5910743	No	
row_68	PCGF6	2756	0.6894799470901489	0.5848591	No	
row_69	TDP1	2810	0.6661443114280701	0.5829666	No	
row_70	MRPL48	2815	0.6636136174201965	0.5857866	No	
row_71	MFSD12	3172	0.5355154871940613	0.554047	No	
row_72	CLYBL	3182	0.5328283905982971	0.5557531	No	
row_73	DHFR	3183	0.5319992303848267	0.558323	No	
row_74	NDUFS1	3267	0.502350926399231	0.5527466	No	
row_75	IDH2	3299	0.49185195565223694	0.5521335	No	
row_76	KLHL12	3403	0.4593718647956848	0.544421	No	
row_77	ABCB6	3672	0.37570568919181824	0.5203946	No	
row_78	AUNIP	3704	0.3694569170475006	0.51919025	No	
row_79	CEP78	3711	0.3668298125267029	0.5203837	No	
row_80	HDAC6	3807	0.3408142030239105	0.51286995	No	
row_81	BSN	3917	0.3128594756126404	0.5038712	No	
row_82	CD81	3953	0.3018966317176819	0.50195473	No	
row_83	SERPINE2	3975	0.29693809151649475	0.5013643	No	
row_84	MTM1	3986	0.2926710247993469	0.5018138	No	
