NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RREB1	241	3.6934123039245605	-0.0056788926	No	
row_1	RPL27	882	2.152318239212036	-0.05720816	No	
row_2	RPS9	975	2.021801710128784	-0.056463044	No	
row_3	CHDH	1025	1.9485068321228027	-0.051916294	No	
row_4	RPS16	1477	1.4720252752304077	-0.08844107	No	
row_5	RPL19	1645	1.3387044668197632	-0.09818743	No	
row_6	PRDM1	1695	1.303663730621338	-0.09671066	No	
row_7	TMPRSS3	1756	1.261720895767212	-0.096495345	No	
row_8	DUSP2	1776	1.2447173595428467	-0.09240346	No	
row_9	RAP2A	1947	1.1166869401931763	-0.10349638	No	
row_10	COLQ	2114	1.0015041828155518	-0.11475157	No	
row_11	PTS	2446	0.8340126276016235	-0.14273079	No	
row_12	CUL9	2503	0.7989294528961182	-0.14433265	No	
row_13	RBM39	2708	0.7123118042945862	-0.16063258	No	
row_14	THY1	2826	0.6595978736877441	-0.1687858	No	
row_15	AK3	3168	0.5367909669876099	-0.19914529	No	
row_16	COPRS	3398	0.46146732568740845	-0.21905257	No	
row_17	UFC1	3859	0.3271856904029846	-0.26189643	No	
row_18	PPOX	4005	0.2876009941101074	-0.27452338	No	
row_19	RNF19B	4110	0.26162853837013245	-0.2833164	No	
row_20	RAP1GDS1	4216	0.23695635795593262	-0.29232344	No	
row_21	PPP6C	4271	0.22232134640216827	-0.29647738	No	
row_22	SCG5	4460	0.17836998403072357	-0.31377488	No	
row_23	FYCO1	4463	0.17749673128128052	-0.31312293	No	
row_24	GBP4	4572	0.14846444129943848	-0.3228408	No	
row_25	SEC62	4615	0.1415102481842041	-0.32622117	No	
row_26	CMPK1	4616	0.14150820672512054	-0.32554746	No	
row_27	ART4	4800	0.10537771135568619	-0.34270987	No	
row_28	TMEM229B	5185	0.0377325601875782	-0.37959588	No	
row_29	PTPN18	5200	0.03463364392518997	-0.38078234	No	
row_30	NISCH	5365	0.0066586448810994625	-0.39658076	No	
row_31	RNF20	5456	-0.008616950362920761	-0.405227	No	
row_32	CSPP1	5467	-0.01118725910782814	-0.406139	No	
row_33	CCNL2	5620	-0.035141706466674805	-0.4206435	No	
row_34	CCNI	5721	-0.05011192709207535	-0.43005744	No	
row_35	PDLIM2	5927	-0.08446906507015228	-0.44944292	No	
row_36	TGM2	5981	-0.09345931559801102	-0.4541138	No	
row_37	MAP3K3	6008	-0.09803876280784607	-0.45615673	No	
row_38	MRPL9	6028	-0.1023571640253067	-0.4575034	No	
row_39	FBXW2	6128	-0.1200309544801712	-0.46648794	No	
row_40	WAS	6165	-0.12678654491901398	-0.46935925	No	
row_41	MTA3	6279	-0.14990860223770142	-0.4795529	No	
row_42	PHF8	6294	-0.1535048931837082	-0.48017344	No	
row_43	CD52	6340	-0.16249139606952667	-0.48374346	No	
row_44	NIPBL	6442	-0.18672648072242737	-0.49260354	No	
row_45	CHIC2	6490	-0.19729852676391602	-0.49620092	No	
row_46	SLC2A3	6555	-0.21141164004802704	-0.50137204	No	
row_47	PGS1	6571	-0.21708007156848907	-0.5017864	No	
row_48	SLC15A2	6719	-0.2536798417568207	-0.5147679	No	
row_49	TBC1D15	6721	-0.2544243037700653	-0.51365316	No	
row_50	GALNT10	6751	-0.26111793518066406	-0.51520926	No	
row_51	CHD8	6753	-0.2619738280773163	-0.51405853	No	
row_52	WDR13	6896	-0.299927681684494	-0.5263372	No	
row_53	SDF4	7015	-0.33366379141807556	-0.53613865	No	
row_54	SLA2	7091	-0.3545839488506317	-0.54168993	No	
row_55	TMEM123	7177	-0.3790740370750427	-0.54808986	No	
row_56	LASP1	7374	-0.4428003430366516	-0.5649007	No	
row_57	PI4KA	7449	-0.468283474445343	-0.56981415	No	
row_58	RAB4A	7488	-0.48596516251564026	-0.5711685	No	
row_59	CORO1B	7531	-0.5041528344154358	-0.5728224	No	
row_60	AFF4	7655	-0.5537289381027222	-0.5820588	No	
row_61	MAPK8IP3	7666	-0.5559005737304688	-0.58037746	No	
row_62	CXCR4	7717	-0.5765669345855713	-0.5824588	No	
row_63	ALKBH4	7783	-0.6059989333152771	-0.5858479	No	
row_64	SP4	7803	-0.6106578707695007	-0.5847746	No	
row_65	DVL2	7810	-0.6138753890991211	-0.58243126	No	
row_66	TEP1	7860	-0.6361818909645081	-0.5841322	No	
row_67	ANKIB1	7911	-0.6568270325660706	-0.58583146	No	
row_68	SHARPIN	7920	-0.6610668301582336	-0.5834564	No	
row_69	RSRP1	7948	-0.6726476550102234	-0.58286023	No	
row_70	ILK	8032	-0.7060341835021973	-0.5875105	No	
row_71	IL4	8102	-0.7383607029914856	-0.59065557	Yes	
row_72	PNRC1	8134	-0.7536782026290894	-0.5900597	Yes	
row_73	DAPP1	8143	-0.7605006098747253	-0.5872113	Yes	
row_74	SAT1	8203	-0.792125403881073	-0.5891351	Yes	
row_75	AKAP8L	8253	-0.8206706047058105	-0.58995783	Yes	
row_76	RANBP10	8254	-0.8211999535560608	-0.58604825	Yes	
row_77	PIWIL2	8314	-0.8481380343437195	-0.5877054	Yes	
row_78	SLC37A3	8339	-0.8607326149940491	-0.5859242	Yes	
row_79	ECI2	8365	-0.8806576132774353	-0.58414465	Yes	
row_80	HIP1R	8391	-0.9084157943725586	-0.582233	Yes	
row_81	SNN	8392	-0.9087029695510864	-0.57790685	Yes	
row_82	OAZ2	8431	-0.9340618848800659	-0.5771279	Yes	
row_83	ARHGAP18	8553	-1.0036951303482056	-0.584029	Yes	
row_84	WDFY1	8597	-1.026694893836975	-0.5832917	Yes	
row_85	BTG2	8615	-1.0376182794570923	-0.5799927	Yes	
row_86	PRKCH	8661	-1.0647869110107422	-0.5792671	Yes	
row_87	GOLPH3L	8688	-1.0823167562484741	-0.57662404	Yes	
row_88	MBTPS1	8695	-1.0850874185562134	-0.5720373	Yes	
row_89	FERMT3	8701	-1.0900110006332397	-0.56733054	Yes	
row_90	PLEKHF1	8758	-1.1227092742919922	-0.5673909	Yes	
row_91	APAF1	8804	-1.149645209312439	-0.56626135	Yes	
row_92	AP3M2	8820	-1.1657040119171143	-0.5621595	Yes	
row_93	ABI1	9035	-1.340325117111206	-0.57643485	Yes	
row_94	RNH1	9044	-1.346976637840271	-0.57079434	Yes	
row_95	RIOK3	9050	-1.3515956401824951	-0.5648422	Yes	
row_96	HLTF	9060	-1.3632489442825317	-0.5592208	Yes	
row_97	ING4	9083	-1.3908342123031616	-0.55472285	Yes	
