NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESR1	1169	1.7609390020370483	-0.10214701	No	
row_1	TREX1	1334	1.596392273902893	-0.10862612	No	
row_2	SLC25A42	1377	1.5599251985549927	-0.10358776	No	
row_3	CTSH	1542	1.419916033744812	-0.11109369	No	
row_4	PPP2R5D	1601	1.3721200227737427	-0.1086864	No	
row_5	XDH	1619	1.361143708229065	-0.10240105	No	
row_6	PADI2	1692	1.3074690103530884	-0.101715945	No	
row_7	IFITM3	1803	1.2187999486923218	-0.10520026	No	
row_8	NCKIPSD	1996	1.0825210809707642	-0.117361374	No	
row_9	PFKL	2306	0.8911892175674438	-0.14188467	No	
row_10	HEXIM1	2626	0.7511672973632812	-0.16818413	No	
row_11	IRF2BP1	2925	0.6195542812347412	-0.19323035	No	
row_12	AXIN1	2990	0.6001957058906555	-0.19589137	No	
row_13	TOB1	3287	0.4954148232936859	-0.22146758	No	
row_14	HDAC6	3807	0.3408142030239105	-0.2693836	No	
row_15	LITAF	3824	0.3364775478839874	-0.26896414	No	
row_16	SEC31B	3903	0.3163023591041565	-0.274623	No	
row_17	BTBD2	3998	0.2895375192165375	-0.28197592	No	
row_18	HMGN2	4079	0.26889440417289734	-0.28810292	No	
row_19	ZKSCAN5	4394	0.19499032199382782	-0.31715778	No	
row_20	CFP	4537	0.15885978937149048	-0.329886	No	
row_21	DNAJB1	4714	0.12124504894018173	-0.34610197	No	
row_22	PSD	4787	0.10733960568904877	-0.35239983	No	
row_23	CXCR6	4899	0.08829529583454132	-0.36255813	No	
row_24	PPARD	4947	0.07969795167446136	-0.3666132	No	
row_25	DGCR2	5195	0.035329610109329224	-0.39015535	No	
row_26	SIPA1	5231	0.030425917357206345	-0.3933434	No	
row_27	GDPD5	5265	0.025326166301965714	-0.3963688	No	
row_28	OPTN	5427	-0.004623185843229294	-0.4118212	No	
row_29	ZFPL1	5659	-0.03996145352721214	-0.43379807	No	
row_30	SLCO3A1	5756	-0.05781795457005501	-0.44269153	No	
row_31	PER1	5889	-0.07825518399477005	-0.4549273	No	
row_32	UBE2C	5907	-0.08143638074398041	-0.45608792	No	
row_33	SETD1B	6105	-0.11566299200057983	-0.4743554	No	
row_34	DDIT3	6206	-0.1352464109659195	-0.48318294	No	
row_35	HMGB2	6414	-0.18261617422103882	-0.5020223	No	
row_36	MAPK3	6441	-0.18602046370506287	-0.5034397	No	
row_37	SLC2A3	6555	-0.21141164004802704	-0.513074	No	
row_38	RAB31	6605	-0.22520974278450012	-0.51647466	No	
row_39	USP19	6860	-0.29087910056114197	-0.5392029	No	
row_40	RBM38	7061	-0.34510254859924316	-0.55642384	No	
row_41	MCL1	7216	-0.3892446458339691	-0.5689653	No	
row_42	ARID4B	7337	-0.43073880672454834	-0.5779964	No	
row_43	JUND	7397	-0.44979962706565857	-0.58105177	No	
row_44	NCAPD2	7597	-0.5275804400444031	-0.5971148	No	
row_45	GADD45A	7674	-0.5608150959014893	-0.6011587	No	
row_46	CXCR4	7717	-0.5765669345855713	-0.60184205	No	
row_47	FAM3A	7784	-0.6060426235198975	-0.6046613	No	
row_48	CBX4	7844	-0.6288133263587952	-0.6066751	No	
row_49	FOXO4	7884	-0.6469696760177612	-0.6066603	No	
row_50	CDC14A	7995	-0.6907142996788025	-0.6132173	No	
row_51	CYFIP2	8042	-0.7111965417861938	-0.61350185	No	
row_52	PHKG2	8050	-0.7145866751670837	-0.61001706	No	
row_53	PROZ	8085	-0.7317922711372375	-0.60902804	No	
row_54	ULK2	8087	-0.7336375713348389	-0.60485554	No	
row_55	ASL	8100	-0.7362556457519531	-0.60172534	No	
row_56	RASGRP2	8110	-0.7406843304634094	-0.59828097	No	
row_57	RECQL5	8304	-0.8409170508384705	-0.611944	No	
row_58	JUNB	8340	-0.8619195222854614	-0.610294	No	
row_59	IZUMO4	8499	-0.967854917049408	-0.6198534	No	
row_60	LFNG	8656	-1.0625503063201904	-0.6286695	Yes	
row_61	ATG13	8698	-1.0867246389389038	-0.6262883	Yes	
row_62	NUMA1	8733	-1.1068965196609497	-0.62311673	Yes	
row_63	RHBDL1	8859	-1.207434892654419	-0.62810934	Yes	
row_64	GAB2	8871	-1.2156171798706055	-0.62209386	Yes	
row_65	MYO9B	8890	-1.2258217334747314	-0.616692	Yes	
row_66	KDM2A	8945	-1.2713631391525269	-0.6144864	Yes	
row_67	ITGA6	8963	-1.2851909399032593	-0.608643	Yes	
row_68	MAPRE3	8971	-1.2914854288101196	-0.6018015	Yes	
row_69	CCDC69	8976	-1.2974004745483398	-0.59463716	Yes	
row_70	CTNNBIP1	9017	-1.33025062084198	-0.5907429	Yes	
row_71	MTSS1	9067	-1.376533031463623	-0.5874446	Yes	
row_72	OCRL	9096	-1.402130365371704	-0.5819783	Yes	
row_73	CORO1A	9252	-1.5723302364349365	-0.58773214	Yes	
row_74	ITGB2	9274	-1.5902782678604126	-0.58049816	Yes	
row_75	EYA2	9369	-1.6916613578796387	-0.5796928	Yes	
row_76	PIAS3	9466	-1.823637843132019	-0.57831186	Yes	
row_77	MAP4K2	9470	-1.8301607370376587	-0.5679515	Yes	
row_78	ALDH2	9522	-1.9062316417694092	-0.56176347	Yes	
row_79	PIK3IP1	9532	-1.918428897857666	-0.5514664	Yes	
row_80	FCHO1	9550	-1.9633564949035645	-0.54167706	Yes	
row_81	ADRB2	9657	-2.133375883102417	-0.53945535	Yes	
row_82	TRAF3IP2	9684	-2.1909000873565674	-0.52920735	Yes	
row_83	B3GALT4	9729	-2.2769908905029297	-0.52018905	Yes	
row_84	PTK2B	9731	-2.281625986099243	-0.5070095	Yes	
row_85	SIT1	9739	-2.308088779449463	-0.49425292	Yes	
row_86	ARHGEF11	9768	-2.358119249343872	-0.48322424	Yes	
