NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBX21	18	6.246183395385742	0.016479617	No	
row_1	ENDOD1	19	6.17973518371582	0.034505382	No	
row_2	B4GALT5	25	5.968021392822266	0.05143027	No	
row_3	CTSW	127	4.425944805145264	0.054577205	No	
row_4	PRMT3	426	3.0083892345428467	0.034546237	No	
row_5	GBP7	449	2.93876051902771	0.04099172	No	
row_6	TTC27	533	2.7842628955841064	0.041089978	No	
row_7	SCFD2	874	2.1655476093292236	0.01454058	No	
row_8	TBC1D16	1136	1.7963078022003174	-0.005449322	No	
row_9	RAB21	1466	1.4857068061828613	-0.032918446	No	
row_10	TNFSF8	1478	1.4705398082733154	-0.02969232	No	
row_11	XDH	1619	1.361143708229065	-0.039255086	No	
row_12	GGT1	1633	1.3484549522399902	-0.036578402	No	
row_13	KMT2A	1634	1.3461648225784302	-0.032651756	No	
row_14	INF2	1666	1.3244036436080933	-0.031785198	No	
row_15	DAPL1	1740	1.2716341018676758	-0.035132498	No	
row_16	ABCA1	1889	1.1595016717910767	-0.04605676	No	
row_17	DPY19L1	2056	1.0373413562774658	-0.05907732	No	
row_18	PPP1R21	2125	0.995190441608429	-0.06274766	No	
row_19	TTC39B	2290	0.9004746079444885	-0.075974114	No	
row_20	IFIH1	2524	0.7891051769256592	-0.096195325	No	
row_21	CD44	2610	0.7540613412857056	-0.10221232	No	
row_22	ADAMTS20	2751	0.6911698579788208	-0.11372934	No	
row_23	IL2RB	2894	0.6288431882858276	-0.1256215	No	
row_24	CREBL2	2964	0.6069478392601013	-0.13052097	No	
row_25	PIGQ	2982	0.6021792888641357	-0.13040777	No	
row_26	ST8SIA6	3115	0.557076632976532	-0.14154261	No	
row_27	TRAF5	3135	0.5507460236549377	-0.14177278	No	
row_28	PARN	3209	0.5214523673057556	-0.14730829	No	
row_29	SLC30A7	3278	0.4975801110267639	-0.15243012	No	
row_30	GNE	3530	0.41975462436676025	-0.17546865	No	
row_31	SMURF2	3613	0.3942797780036926	-0.1822451	No	
row_32	PTPN3	3634	0.3867753744125366	-0.18305022	No	
row_33	ADGRE5	3682	0.37315452098846436	-0.18650502	No	
row_34	RNF115	3718	0.364827036857605	-0.18882412	No	
row_35	SNTB2	3939	0.3072841465473175	-0.20919411	No	
row_36	RPRD2	4296	0.2187262922525406	-0.24296886	No	
row_37	MCTP2	4587	0.14601580798625946	-0.27057582	No	
row_38	ESRP2	4898	0.0883416160941124	-0.3002843	No	
row_39	IER5	4995	0.06994657218456268	-0.30936012	No	
row_40	HS3ST3B1	5283	0.02191006951034069	-0.33703908	No	
row_41	SPAG9	5319	0.01586678810417652	-0.34037608	No	
row_42	TMIE	6356	-0.16709284484386444	-0.44003367	No	
row_43	TMEM175	6527	-0.20603618025779724	-0.45586574	No	
row_44	RAB3IP	6546	-0.21051499247550964	-0.45699164	No	
row_45	NT5E	6630	-0.23115119338035583	-0.4643406	No	
row_46	KLHDC2	6970	-0.31958332657814026	-0.49617785	No	
row_47	MKNK1	7010	-0.3314376771450043	-0.49898103	No	
row_48	CLCF1	7031	-0.33714941143989563	-0.4999309	No	
row_49	GDI2	7131	-0.3663361072540283	-0.50843215	No	
row_50	ALS2	7157	-0.37408703565597534	-0.5097576	No	
row_51	APP	7231	-0.3921118378639221	-0.5156704	No	
row_52	TDRD7	7303	-0.41886112093925476	-0.5213118	No	
row_53	NBEAL1	7424	-0.46020978689193726	-0.53156924	No	
row_54	UBASH3B	7427	-0.46063750982284546	-0.53041893	No	
row_55	MLYCD	7484	-0.48520588874816895	-0.53441685	No	
row_56	CTSS	7522	-0.5006044507026672	-0.53653324	No	
row_57	ZBTB25	7533	-0.5054280757904053	-0.53602564	No	
row_58	NLRC5	7589	-0.5249650478363037	-0.5398109	No	
row_59	ATP10D	7755	-0.5938705205917358	-0.5540284	No	
row_60	DTX1	7764	-0.5962525606155396	-0.5530625	No	
row_61	TTC13	7831	-0.624234676361084	-0.55762154	No	
row_62	RRM2B	7842	-0.6285238265991211	-0.5567548	No	
row_63	ATP11B	7957	-0.6771389842033386	-0.5657995	No	
row_64	KLF3	8027	-0.7035914063453674	-0.57041705	No	
row_65	NUP210	8051	-0.7147834897041321	-0.5705554	No	
row_66	SESN1	8146	-0.7625043392181396	-0.57741773	No	
row_67	IFT80	8199	-0.7877734899520874	-0.5801465	No	
row_68	ADCY7	8208	-0.7937609553337097	-0.57860446	No	
row_69	APPL2	8223	-0.8021414279937744	-0.577618	No	
row_70	IPCEF1	8242	-0.812896192073822	-0.5769868	No	
row_71	PXYLP1	8275	-0.829282283782959	-0.57766116	No	
row_72	LDLRAP1	8358	-0.8759050965309143	-0.5830327	No	
row_73	CYB561A3	8372	-0.8858936429023743	-0.58170533	No	
row_74	PPP3CC	8401	-0.9138202667236328	-0.5817464	No	
row_75	PHYHD1	8501	-0.9686970114707947	-0.5884906	No	
row_76	CDIPT	8526	-0.9840806722640991	-0.5879401	No	
row_77	PDE3B	8558	-1.0068836212158203	-0.58799976	No	
row_78	SRGAP2	8561	-1.0073875188827515	-0.5852546	No	
row_79	ADAM19	8569	-1.0117589235305786	-0.58298004	No	
row_80	IGFBP4	8619	-1.0414354801177979	-0.5846788	No	
row_81	IGFLR1	8723	-1.1012389659881592	-0.59142315	Yes	
row_82	LY75	8730	-1.1062105894088745	-0.5887764	Yes	
row_83	ADGRG5	8749	-1.1171700954437256	-0.5872577	Yes	
row_84	CRLF3	8792	-1.1378581523895264	-0.58799857	Yes	
row_85	IL21R	8800	-1.1467132568359375	-0.58533037	Yes	
row_86	PLEKHM3	8801	-1.1481447219848633	-0.5819813	Yes	
row_87	ANKRD12	8845	-1.1946591138839722	-0.5826532	Yes	
row_88	ITPK1	8849	-1.1989740133285522	-0.5794459	Yes	
row_89	PLEKHA2	8881	-1.2212214469909668	-0.5788803	Yes	
row_90	BTBD11	8960	-1.2837167978286743	-0.5826757	Yes	
row_91	ITGA6	8963	-1.2851909399032593	-0.5791202	Yes	
row_92	SIDT1	8998	-1.3189029693603516	-0.5785597	Yes	
row_93	LMNTD2	9089	-1.3956363201141357	-0.5831886	Yes	
row_94	AMPD3	9119	-1.4298630952835083	-0.5818211	Yes	
row_95	GUCD1	9150	-1.4580206871032715	-0.5804681	Yes	
row_96	DNAJA4	9176	-1.4933487176895142	-0.57852876	Yes	
row_97	ALS2CL	9186	-1.5095834732055664	-0.57499546	Yes	
row_98	CCDC102A	9247	-1.5695993900299072	-0.57621694	Yes	
row_99	MYD88	9262	-1.582313060760498	-0.5729548	Yes	
row_100	EHBP1L1	9279	-1.5969544649124146	-0.56984323	Yes	
row_101	PRKDC	9296	-1.613518238067627	-0.5666834	Yes	
row_102	CCDC88C	9321	-1.642657995223999	-0.56421185	Yes	
row_103	AP1G2	9333	-1.651697039604187	-0.56045735	Yes	
row_104	MANBA	9344	-1.6665211915969849	-0.5565629	Yes	
row_105	NXPE3	9424	-1.7620359659194946	-0.5590597	Yes	
row_106	NTRK3	9477	-1.8398572206497192	-0.5587196	Yes	
row_107	IL18R1	9488	-1.8554984331130981	-0.5542739	Yes	
row_108	ABCD1	9534	-1.9262592792510986	-0.5530051	Yes	
row_109	TAP1	9554	-1.9691197872161865	-0.54909796	Yes	
row_110	STAT3	9593	-2.02829647064209	-0.54685485	Yes	
row_111	SMPDL3A	9599	-2.035938262939453	-0.54139954	Yes	
row_112	PANX1	9634	-2.09264874458313	-0.5385821	Yes	
row_113	HERC6	9658	-2.1392416954040527	-0.5345654	Yes	
row_114	MADD	9666	-2.1592280864715576	-0.5289438	Yes	
row_115	MAP3K5	9672	-2.1687748432159424	-0.523101	Yes	
row_116	TRAF3IP2	9684	-2.1909000873565674	-0.51777357	Yes	
row_117	KLF2	9693	-2.2065987586975098	-0.5121105	Yes	
row_118	SLC35D2	9727	-2.2680885791778564	-0.5086846	Yes	
row_119	PNPLA7	9763	-2.3523733615875244	-0.50520617	Yes	
row_120	PCED1B	9769	-2.3641607761383057	-0.49879345	Yes	
row_121	F2RL1	9866	-2.5537760257720947	-0.5006241	Yes	
row_122	MAN1C1	9877	-2.5683929920196533	-0.49409902	Yes	
row_123	SELPLG	9905	-2.6305978298187256	-0.48903573	Yes	
row_124	NOD1	9955	-2.787872791290283	-0.48564035	Yes	
row_125	TRAFD1	9959	-2.797914981842041	-0.47776905	Yes	
row_126	ACSBG1	10001	-2.908762216567993	-0.4732477	Yes	
row_127	KLHDC1	10047	-3.048352003097534	-0.46870583	Yes	
row_128	SAMD9L	10062	-3.100088596343994	-0.46101645	Yes	
row_129	SLC25A24	10070	-3.168741464614868	-0.45245016	Yes	
row_130	ARSB	10072	-3.1719448566436768	-0.44329453	Yes	
row_131	NCMAP	10097	-3.2443723678588867	-0.43615094	Yes	
row_132	DNAH8	10139	-3.4244182109832764	-0.43012547	Yes	
row_133	CRMP1	10157	-3.466961145401001	-0.42165592	Yes	
row_134	AHNAK	10184	-3.6063437461853027	-0.41364983	Yes	
row_135	FAM78A	10187	-3.6265575885772705	-0.4032648	Yes	
row_136	SPN	10202	-3.6835410594940186	-0.39387354	Yes	
row_137	MAF	10203	-3.6857266426086426	-0.38312256	Yes	
row_138	OAS2	10226	-3.812650442123413	-0.37412804	Yes	
row_139	TGFBR2	10227	-3.8226187229156494	-0.36297777	Yes	
row_140	HVCN1	10282	-4.205541610717773	-0.35593048	Yes	
row_141	IKZF3	10289	-4.232452392578125	-0.34416476	Yes	
row_142	TLR1	10301	-4.299626350402832	-0.33268642	Yes	
row_143	SLC12A7	10319	-4.440528392791748	-0.3213771	Yes	
row_144	TBC1D1	10333	-4.523566722869873	-0.30943888	Yes	
