NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO3	14	6.530847549438477	0.020837657	No	
row_1	MAPKAPK3	90	4.721996307373047	0.029626437	No	
row_2	GSAP	135	4.338417053222656	0.040111303	No	
row_3	SDHAF1	403	3.067816734313965	0.024701418	No	
row_4	FKBP1A	807	2.247637987136841	-0.006654662	No	
row_5	SP110	822	2.2316274642944336	-4.260562E-4	No	
row_6	ANXA6	868	2.1735904216766357	0.0026058198	No	
row_7	NFAT5	883	2.1515676975250244	0.008562377	No	
row_8	TBL1X	1128	1.8051038980484009	-0.008912849	No	
row_9	PTPN6	1261	1.6649576425552368	-0.01602734	No	
row_10	TNFSF8	1478	1.4705398082733154	-0.031930197	No	
row_11	GGT1	1633	1.3484549522399902	-0.042248875	No	
row_12	B4GALNT1	1663	1.326572299003601	-0.040547088	No	
row_13	SLC17A9	1773	1.2466098070144653	-0.046857707	No	
row_14	RAP2A	1947	1.1166869401931763	-0.059802365	No	
row_15	SETD5	1958	1.1071983575820923	-0.05700761	No	
row_16	FOXJ2	1965	1.103630542755127	-0.053837948	No	
row_17	IRF1	2314	0.888796865940094	-0.08448974	No	
row_18	NR4A2	2346	0.8737374544143677	-0.084520236	No	
row_19	HECTD2	2513	0.7951607704162598	-0.097880155	No	
row_20	LYSMD3	2667	0.7325611710548401	-0.11019492	No	
row_21	RELB	2989	0.6003455519676208	-0.13921441	No	
row_22	REEP5	3254	0.5097563862800598	-0.1630265	No	
row_23	TOB1	3287	0.4954148232936859	-0.1644393	No	
row_24	UBXN11	3500	0.43031713366508484	-0.18348989	No	
row_25	RHOF	3518	0.42339837551116943	-0.18369605	No	
row_26	RAPH1	3525	0.42141789197921753	-0.1828446	No	
row_27	SYNJ1	3618	0.39204299449920654	-0.19041419	No	
row_28	UBE2J1	3677	0.37380799651145935	-0.19475596	No	
row_29	SF3B1	3694	0.3711180090904236	-0.19504301	No	
row_30	FBRS	3722	0.36366596817970276	-0.19641973	No	
row_31	ANKRD37	3790	0.3442201614379883	-0.20173287	No	
row_32	IRF2BPL	3847	0.3310578763484955	-0.20602639	No	
row_33	MARVELD1	4284	0.22065621614456177	-0.24746333	No	
row_34	SLX4	4370	0.20260100066661835	-0.25499937	No	
row_35	FYCO1	4463	0.17749673128128052	-0.263298	No	
row_36	MTERF3	4648	0.13568125665187836	-0.28064054	No	
row_37	TNIP1	4729	0.11763042956590652	-0.2879815	No	
row_38	CREBBP	4802	0.1052137017250061	-0.2945906	No	
row_39	XPO6	4865	0.09401785582304001	-0.30027014	No	
row_40	TRAF3	4881	0.09214390069246292	-0.3014084	No	
row_41	LRIG1	5045	0.06197651848196983	-0.31696945	No	
row_42	RASA2	5258	0.026193803176283836	-0.33739328	No	
row_43	MAP4K3	5493	-0.013698585331439972	-0.35998824	No	
row_44	SMARCA2	5530	-0.01959836110472679	-0.36340496	No	
row_45	DOCK4	5575	-0.027445772662758827	-0.36756906	No	
row_46	IDNK	5715	-0.04961119964718819	-0.38084993	No	
row_47	EXTL3	5861	-0.07294320315122604	-0.39463207	No	
row_48	CHD3	6032	-0.10301496088504791	-0.41073096	No	
row_49	CERS5	6084	-0.11210277676582336	-0.41528472	No	
row_50	RFX3	6181	-0.12996524572372437	-0.4241319	No	
row_51	RAP2B	6286	-0.1515795886516571	-0.43367973	No	
row_52	BFAR	6341	-0.16345655918121338	-0.43834925	No	
row_53	RBM5	6373	-0.17100924253463745	-0.44076768	No	
row_54	ARF5	6558	-0.21228088438510895	-0.45784992	No	
row_55	MFHAS1	6559	-0.21243785321712494	-0.45712802	No	
row_56	KLHL18	6660	-0.23774193227291107	-0.46599603	No	
row_57	DOLPP1	6834	-0.28297334909439087	-0.4817737	No	
row_58	SLC26A6	6848	-0.28662940859794617	-0.48205757	No	
row_59	AKT3	7025	-0.33596229553222656	-0.49794546	No	
row_60	XKRX	7116	-0.362589955329895	-0.50542164	No	
row_61	NCOA3	7140	-0.36897969245910645	-0.50639325	No	
row_62	RUNDC1	7226	-0.3911796510219574	-0.5132885	No	
row_63	LDB1	7285	-0.40993696451187134	-0.5175075	No	
row_64	LASP1	7374	-0.4428003430366516	-0.5245176	No	
row_65	PIK3R3	7390	-0.44772499799728394	-0.52444756	No	
row_66	MFSD8	7421	-0.45893770456314087	-0.5257908	No	
row_67	RALGAPB	7461	-0.4755004048347473	-0.5279486	No	
row_68	TRIOBP	7468	-0.47824883460998535	-0.52690405	No	
row_69	ARAF	7545	-0.5098931193351746	-0.53252506	No	
row_70	FAAP20	7571	-0.5169318914413452	-0.53318745	No	
row_71	KLHDC8B	7594	-0.5266555547714233	-0.5335265	No	
row_72	ARHGEF6	7629	-0.5438196063041687	-0.5349684	No	
row_73	SLC25A40	7774	-0.6026061773300171	-0.5468539	No	
row_74	PARP3	7906	-0.6554837822914124	-0.5573019	No	
row_75	DDX3Y	8009	-0.6964774131774902	-0.5648046	No	
row_76	NUP210	8051	-0.7147834897041321	-0.56634283	No	
row_77	SETDB2	8068	-0.7225874662399292	-0.5654355	No	
row_78	DUSP1	8135	-0.7552176713943481	-0.56925535	No	
row_79	TMEM64	8213	-0.7958958148956299	-0.57400125	No	
row_80	RPH3AL	8274	-0.829251229763031	-0.5769889	No	
row_81	GMIP	8338	-0.8604612946510315	-0.5801608	No	
row_82	SLC37A3	8339	-0.8607326149940491	-0.57723594	No	
row_83	LYPLA2	8375	-0.8888447284698486	-0.57760215	No	
