NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT4	984	2.006254196166992	-0.084435426	No	
row_1	DAPL1	1740	1.2716341018676758	-0.15057309	No	
row_2	SAP18	1824	1.2057229280471802	-0.15245938	No	
row_3	FHOD1	3006	0.5939276814460754	-0.2629623	No	
row_4	SNTB1	3098	0.5597435832023621	-0.26888058	No	
row_5	ST8SIA6	3115	0.557076632976532	-0.26760426	No	
row_6	MEX3B	3438	0.4509989023208618	-0.29627272	No	
row_7	SLC35G1	3489	0.4325554668903351	-0.29889306	No	
row_8	LMAN2L	3547	0.41427141427993774	-0.30227852	No	
row_9	ADGRE5	3682	0.37315452098846436	-0.31327197	No	
row_10	CCDC117	3716	0.3653237521648407	-0.3145981	No	
row_11	CLK4	3984	0.2938206195831299	-0.33877465	No	
row_12	FAM160A2	4160	0.2499232441186905	-0.35433102	No	
row_13	FBXO33	4295	0.219321608543396	-0.36610153	No	
row_14	SENP2	4481	0.17369160056114197	-0.38300404	No	
row_15	SPOPL	4594	0.1449110209941864	-0.3930361	No	
row_16	KLHL21	4611	0.14237968623638153	-0.3938546	No	
row_17	RFXAP	4638	0.1372632384300232	-0.39566	No	
row_18	TMEM18	4658	0.1332927644252777	-0.39681274	No	
row_19	PARP11	4858	0.09533720463514328	-0.41545656	No	
row_20	PTPN18	5200	0.03463364392518997	-0.4480543	No	
row_21	RMND5A	5692	-0.045471105724573135	-0.49501348	No	
row_22	SMC4	5694	-0.04555817320942879	-0.49487945	No	
row_23	PARG	5725	-0.05072716623544693	-0.49750644	No	
row_24	LIG4	5867	-0.0733979344367981	-0.5106869	No	
row_25	GGPS1	5944	-0.08760909736156464	-0.5175485	No	
row_26	DCP1B	6200	-0.1340705305337906	-0.5413787	No	
row_27	VAPB	6265	-0.14804323017597198	-0.5467817	No	
row_28	EPM2AIP1	6372	-0.17097720503807068	-0.55610543	No	
row_29	MACF1	6419	-0.18323732912540436	-0.5596008	No	
row_30	PSIP1	6512	-0.20255692303180695	-0.56741947	No	
row_31	PPP1R3F	6598	-0.22447066009044647	-0.5744547	No	
row_32	CLK1	6768	-0.26570582389831543	-0.58935475	No	
row_33	SFXN2	6770	-0.2662157118320465	-0.58810604	No	
row_34	GOLGA1	6810	-0.27779433131217957	-0.590451	No	
row_35	ELF2	7005	-0.33079996705055237	-0.60742486	No	
row_36	SRPK1	7034	-0.3373333215713501	-0.60841185	No	
row_37	TMEM119	7210	-0.3878052532672882	-0.6232717	No	
row_38	CCNL1	7339	-0.4322313368320465	-0.63339007	No	
row_39	DEAF1	7366	-0.44135868549346924	-0.63365936	No	
row_40	USP28	7431	-0.4618493318557739	-0.6374773	No	
row_41	RANBP6	7437	-0.4634445309638977	-0.6356167	No	
row_42	CCS	7696	-0.5702628493309021	-0.65753186	No	
row_43	SLC35C1	7856	-0.6354522109031677	-0.669603	No	
row_44	PPM1H	8091	-0.7352428436279297	-0.68837816	No	
row_45	AMFR	8111	-0.7411768436431885	-0.6864602	No	
row_46	SLC39A6	8287	-0.8341041803359985	-0.69906557	Yes	
row_47	PPM1M	8328	-0.8559854626655579	-0.6985859	Yes	
row_48	ATAD2B	8354	-0.8712388873100281	-0.69658756	Yes	
row_49	LDLRAP1	8358	-0.8759050965309143	-0.6924513	Yes	
row_50	TSC22D3	8378	-0.8920244574546814	-0.68977135	Yes	
row_51	SCAI	8381	-0.8934754133224487	-0.6854502	Yes	
row_52	TBC1D23	8404	-0.9163640737533569	-0.6829356	Yes	
row_53	KRIT1	8445	-0.9391260147094727	-0.682036	Yes	
row_54	CDIPT	8526	-0.9840806722640991	-0.68475354	Yes	
row_55	IQGAP2	8536	-0.9879786968231201	-0.68062776	Yes	
row_56	PNRC2	8609	-1.031662940979004	-0.68233615	Yes	
row_57	LFNG	8656	-1.0625503063201904	-0.68138963	Yes	
row_58	CRLF3	8792	-1.1378581523895264	-0.68861634	Yes	
row_59	LCK	8866	-1.2135862112045288	-0.6895018	Yes	
row_60	GRAP2	8930	-1.257421612739563	-0.6892048	Yes	
row_61	FBXO30	8995	-1.316718339920044	-0.6887044	Yes	
row_62	PDE2A	9054	-1.3554414510726929	-0.68743163	Yes	
row_63	RIT1	9129	-1.4358183145523071	-0.68729067	Yes	
row_64	BCL11B	9257	-1.57498300075531	-0.69154036	Yes	
row_65	CDK5RAP3	9327	-1.6458935737609863	-0.68985766	Yes	
row_66	NXPE3	9424	-1.7620359659194946	-0.6901831	Yes	
row_67	GRAMD1A	9508	-1.8877383470535278	-0.68862426	Yes	
row_68	MALAT1	9513	-1.89641535282135	-0.679429	Yes	
row_69	CD96	9527	-1.911523461341858	-0.6710225	Yes	
row_70	NSG2	9699	-2.218636989593506	-0.6762495	Yes	
row_71	EML3	9707	-2.232490062713623	-0.66564494	Yes	
row_72	PINK1	9865	-2.55189847946167	-0.66784304	Yes	
row_73	FGD3	9894	-2.6029839515686035	-0.65738523	Yes	
row_74	TECPR1	9901	-2.615955114364624	-0.6447475	Yes	
row_75	CNGA1	9919	-2.672206163406372	-0.6328828	Yes	
row_76	EHD3	10022	-2.9539084434509277	-0.6277642	Yes	
row_77	PRKD2	10028	-2.9795100688934326	-0.6131939	Yes	
row_78	AXIN2	10069	-3.161546230316162	-0.60106784	Yes	
row_79	ZC3HAV1	10089	-3.2176694869995117	-0.58664	Yes	
row_80	NLRC3	10106	-3.273564577102661	-0.57164145	Yes	
row_81	FAM78A	10187	-3.6265575885772705	-0.56101066	Yes	
row_82	SLC25A45	10188	-3.627394914627075	-0.54268706	Yes	
row_83	VIPR1	10189	-3.6275923252105713	-0.52436244	Yes	
row_84	CYTIP	10205	-3.7029061317443848	-0.507099	Yes	
row_85	MATK	10224	-3.7953217029571533	-0.48965704	Yes	
row_86	GIMAP6	10264	-4.106285572052002	-0.47266254	Yes	
row_87	LEF1	10266	-4.113829612731934	-0.45197782	Yes	
row_88	STK38	10296	-4.284924030303955	-0.43311986	Yes	
row_89	PECAM1	10302	-4.327429294586182	-0.4117406	Yes	
row_90	PYHIN1	10356	-4.705828666687012	-0.393063	Yes	
row_91	CPEB1	10400	-5.194387912750244	-0.37095645	Yes	
row_92	KLHL6	10424	-5.421281814575195	-0.34578156	Yes	
row_93	ITGB7	10425	-5.435919761657715	-0.31832227	Yes	
row_94	ETS1	10427	-5.458327770233154	-0.2908459	Yes	
row_95	TMEM71	10438	-5.682821273803711	-0.26310048	Yes	
row_96	ADD3	10441	-5.712936878204346	-0.23443405	Yes	
row_97	SLC28A2	10451	-5.8392205238342285	-0.20580247	Yes	
row_98	ABLIM1	10460	-6.163349151611328	-0.17543747	Yes	
row_99	PRKCQ	10464	-6.2837066650390625	-0.14398393	Yes	
row_100	IL17RA	10468	-6.361509799957275	-0.11213739	Yes	
row_101	TRIB2	10482	-7.071285247802734	-0.07766653	Yes	
row_102	S1PR1	10497	-7.693912506103516	-0.040146597	Yes	
row_103	SELL	10504	-8.137715339660645	3.840435E-4	Yes	
