NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX31	676	2.459876298904419	-0.04499276	No	
row_1	NUDT19	1037	1.9328644275665283	-0.06394567	No	
row_2	RRN3	1664	1.3264187574386597	-0.11326051	No	
row_3	LYPD6B	2531	0.7864689230918884	-0.18991153	No	
row_4	COA4	2562	0.7701270580291748	-0.18659428	No	
row_5	TBC1D4	3054	0.5777767896652222	-0.22899327	No	
row_6	THEMIS	3059	0.5765212178230286	-0.22474143	No	
row_7	SNTB1	3098	0.5597435832023621	-0.22388211	No	
row_8	ST8SIA6	3115	0.557076632976532	-0.22093636	No	
row_9	EXOC8	3377	0.4680064022541046	-0.24218088	No	
row_10	VEZT	3669	0.3762262165546417	-0.2670377	No	
row_11	ENC1	3702	0.370060533285141	-0.26712853	No	
row_12	TMEM79	3858	0.3271975517272949	-0.27934894	No	
row_13	LATS1	4853	0.09616784006357193	-0.37381387	No	
row_14	PARP11	4858	0.09533720463514328	-0.37343064	No	
row_15	RNASEH2C	4967	0.07644814997911453	-0.3831638	No	
row_16	EMILIN1	4975	0.07443077117204666	-0.3832361	No	
row_17	SENP8	5079	0.055329449474811554	-0.39266	No	
row_18	KLHL42	5385	0.0033697590697556734	-0.42185587	No	
row_19	HACD1	5677	-0.042846594005823135	-0.44939297	No	
row_20	NRF1	5753	-0.05709018558263779	-0.45611995	No	
row_21	SLCO3A1	5756	-0.05781795457005501	-0.45584673	No	
row_22	CHD3	6032	-0.10301496088504791	-0.48136708	No	
row_23	OLFML3	6303	-0.15469856560230255	-0.5059928	No	
row_24	HDAC5	6388	-0.17441299557685852	-0.51263887	No	
row_25	NUDT18	6415	-0.1826784759759903	-0.5136613	No	
row_26	RAPGEF4	6424	-0.18399743735790253	-0.5129486	No	
row_27	PSTK	6643	-0.23359447717666626	-0.53195775	No	
row_28	TST	6777	-0.267561137676239	-0.5425497	No	
row_29	ZFP82	7083	-0.35269200801849365	-0.5689371	No	
row_30	RUNDC1	7226	-0.3911796510219574	-0.57939756	No	
row_31	CRACR2A	7414	-0.4576873779296875	-0.5936349	No	
row_32	SPNS1	7442	-0.46622708439826965	-0.5924735	No	
row_33	CXCR4	7717	-0.5765669345855713	-0.6140908	No	
row_34	SMAD7	7747	-0.5907418131828308	-0.61212	No	
row_35	ZNRF2	7827	-0.6220495104789734	-0.61468804	No	
row_36	ESYT2	8335	-0.8587178587913513	-0.65636134	No	
row_37	CSF1R	8363	-0.8792794942855835	-0.65187913	No	
row_38	PDE3B	8558	-1.0068836212158203	-0.66237175	No	
row_39	PHF20L1	8713	-1.0959069728851318	-0.6683161	No	
row_40	PDE2A	9054	-1.3554414510726929	-0.6899951	Yes	
row_41	ARAP2	9118	-1.4296255111694336	-0.6845375	Yes	
row_42	ITGA4	9147	-1.453834056854248	-0.67553174	Yes	
row_43	ALS2CL	9186	-1.5095834732055664	-0.66703594	Yes	
row_44	TMEM43	9200	-1.5262739658355713	-0.6560107	Yes	
row_45	PARP14	9224	-1.5484216213226318	-0.6457654	Yes	
row_46	LBR	9225	-1.5492476224899292	-0.63330984	Yes	
row_47	GPRC5B	9285	-1.6037062406539917	-0.6260694	Yes	
row_48	UNKL	9423	-1.7592945098876953	-0.6250515	Yes	
row_49	CDKN2AIP	9461	-1.815077781677246	-0.6140038	Yes	
row_50	SCML4	9509	-1.8913787603378296	-0.60330075	Yes	
row_51	CD96	9527	-1.911523461341858	-0.5895614	Yes	
row_52	IL16	9569	-1.9899578094482422	-0.5774909	Yes	
row_53	ADRB2	9657	-2.133375883102417	-0.56867486	Yes	
row_54	KLF2	9693	-2.2065987586975098	-0.5542878	Yes	
row_55	ENTPD5	9888	-2.596358060836792	-0.5520014	Yes	
row_56	SPO11	9981	-2.869368553161621	-0.5377472	Yes	
row_57	GTF2I	10086	-3.206472635269165	-0.5219325	Yes	
row_58	PITPNM1	10114	-3.3253238201141357	-0.4977846	Yes	
row_59	ARMC7	10143	-3.4351701736450195	-0.47284946	Yes	
row_60	FAM78A	10187	-3.6265575885772705	-0.44781277	Yes	
row_61	VIPR1	10189	-3.6275923252105713	-0.4187436	Yes	
row_62	ST6GAL1	10265	-4.109142780303955	-0.39289308	Yes	
row_63	SLC12A7	10319	-4.440528392791748	-0.36227039	Yes	
row_64	ST8SIA1	10366	-4.782962799072266	-0.3282239	Yes	
row_65	SKAP1	10409	-5.247424125671387	-0.29006004	Yes	
row_66	NDRG3	10428	-5.481781959533691	-0.2477125	Yes	
row_67	ADD3	10441	-5.712936878204346	-0.20293161	Yes	
row_68	RTP4	10467	-6.354841709136963	-0.15423556	Yes	
row_69	IL17RA	10468	-6.361509799957275	-0.103090554	Yes	
row_70	SEMA4F	10473	-6.466755390167236	-0.05148266	Yes	
row_71	ABTB2	10479	-6.808688640594482	0.0027784808	Yes	
