NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.021164834	Yes	
row_1	NHP2	20	6.136864185333252	0.042174153	Yes	
row_2	LARP1	26	5.96330451965332	0.062481824	Yes	
row_3	NFKBID	38	5.680312156677246	0.081223555	Yes	
row_4	PUS1	44	5.471492767333984	0.099816576	Yes	
row_5	WDR43	54	5.387223243713379	0.11772958	Yes	
row_6	LYAR	70	4.969549179077148	0.1336071	Yes	
row_7	MTAP	85	4.789093971252441	0.14895202	Yes	
row_8	HSPA9	100	4.595105171203613	0.16362064	Yes	
row_9	RCL1	110	4.508786678314209	0.17847107	Yes	
row_10	SLC7A1	120	4.465780258178711	0.19317158	Yes	
row_11	IFRD2	125	4.432302474975586	0.20823811	Yes	
row_12	RRP9	130	4.393106460571289	0.223168	Yes	
row_13	CCT3	166	4.142268180847168	0.23423024	Yes	
row_14	TNFRSF4	180	4.043571949005127	0.24707253	Yes	
row_15	PPA1	183	4.027491092681885	0.26092085	Yes	
row_16	SNRPD3	196	3.9591190814971924	0.27356526	Yes	
row_17	ECE2	214	3.878424644470215	0.2854456	Yes	
row_18	NSUN2	226	3.771775007247925	0.2975334	Yes	
row_19	DIMT1	243	3.689640522003174	0.3088521	Yes	
row_20	PFDN2	244	3.683461904525757	0.3216941	Yes	
row_21	EIF5	248	3.664923667907715	0.33418182	Yes	
row_22	RANBP1	263	3.5571353435516357	0.34523165	Yes	
row_23	CCT8	276	3.504429817199707	0.35629085	Yes	
row_24	CDV3	289	3.4604408740997314	0.36719668	Yes	
row_25	FKBP4	292	3.450495481491089	0.37903336	Yes	
row_26	PSMG1	298	3.4283275604248047	0.39050308	Yes	
row_27	REL	301	3.4120094776153564	0.4022056	Yes	
row_28	NAA15	306	3.3886873722076416	0.4136337	Yes	
row_29	SEH1L	320	3.3410847187042236	0.42402685	Yes	
row_30	DDX27	321	3.3397936820983887	0.43567067	Yes	
row_31	TOMM40	336	3.2899556159973145	0.445789	Yes	
row_32	EXOSC7	344	3.2569289207458496	0.4564681	Yes	
row_33	UTP15	366	3.2008845806121826	0.4656	Yes	
row_34	PRPF31	375	3.1682252883911133	0.4758733	Yes	
row_35	PRMT3	426	3.0083892345428467	0.48153406	Yes	
row_36	POLR1B	452	2.934499979019165	0.48935106	Yes	
row_37	TBL3	457	2.929062843322754	0.49917674	Yes	
row_38	ETF1	489	2.8532042503356934	0.506131	Yes	
row_39	LSM7	555	2.735093832015991	0.50939065	Yes	
row_40	RARA	589	2.6405277252197266	0.5154103	Yes	
row_41	NOL8	654	2.504379987716675	0.51796216	Yes	
row_42	RWDD1	659	2.4952878952026367	0.5262755	Yes	
row_43	INTS2	746	2.335207462310791	0.52611345	Yes	
row_44	SLC7A6	812	2.24470853805542	0.5276634	Yes	
row_45	HSPA8	818	2.2368874549865723	0.53497934	Yes	
row_46	EIF6	834	2.214841842651367	0.54125285	Yes	
row_47	PPP1R14B	844	2.202648401260376	0.54806316	Yes	
row_48	PDIA4	859	2.1886072158813477	0.5543418	Yes	
row_49	RBMXL1	879	2.158264636993408	0.56003183	Yes	
row_50	ERH	885	2.1491353511810303	0.5670418	Yes	
row_51	PHF5A	940	2.072814464569092	0.5690546	Yes	
row_52	NOA1	1056	1.8960367441177368	0.5645613	Yes	
row_53	DHX37	1063	1.8803589344024658	0.5705377	Yes	
row_54	EIF3B	1080	1.85782790184021	0.57547	Yes	
row_55	PRDX6	1089	1.8451075553894043	0.58113027	Yes	
row_56	PWP1	1092	1.8423036336898804	0.5873602	Yes	
row_57	MAPK1IP1L	1096	1.8366501331329346	0.5934738	Yes	
row_58	GNL2	1150	1.782841682434082	0.5945722	Yes	
row_59	CRELD2	1158	1.7704874277114868	0.6000689	Yes	
row_60	EHD1	1174	1.7531132698059082	0.6047327	Yes	
row_61	AMPD2	1192	1.738110065460205	0.609151	Yes	
row_62	SRFBP1	1226	1.7026687860488892	0.6119009	Yes	
row_63	PHLDA1	1236	1.691545844078064	0.61692935	Yes	
row_64	MRPS2	1237	1.6911718845367432	0.62282544	Yes	
row_65	SNUPN	1240	1.68474280834198	0.62850606	Yes	
row_66	GSPT1	1246	1.6815073490142822	0.6338857	Yes	
row_67	RMDN3	1356	1.5784977674484253	0.62886465	No	
row_68	HSPH1	1376	1.559981346130371	0.6324689	No	
row_69	MAP2K3	1526	1.431778907775879	0.6230742	No	
row_70	ACACA	1600	1.3733702898025513	0.62081397	No	
row_71	RRN3	1664	1.3264187574386597	0.6193555	No	
row_72	OSTC	1722	1.2857599258422852	0.61833465	No	
row_73	PFDN4	1834	1.1969703435897827	0.61179036	No	
row_74	ATP2A2	1847	1.1852773427963257	0.6147641	No	
row_75	ZMYND19	1943	1.1194096803665161	0.60949427	No	
row_76	ABCC1	1949	1.115222692489624	0.6128996	No	
row_77	CYB5B	2134	0.9894819855690002	0.5985836	No	
row_78	NFX1	2170	0.9735136032104492	0.59859824	No	
row_79	ETS2	2360	0.8678755760192871	0.5833755	No	
row_80	NUDT3	2598	0.7580106854438782	0.56313515	No	
