NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.034534752	Yes	
row_1	MRPL12	40	5.616093158721924	0.06337905	Yes	
row_2	NLE1	98	4.633648872375488	0.08360314	Yes	
row_3	WDR74	101	4.591402530670166	0.108877815	Yes	
row_4	NDUFAB1	109	4.53490686416626	0.13335867	Yes	
row_5	MRPL17	118	4.477055549621582	0.15742257	Yes	
row_6	MRPL15	128	4.421436786651611	0.18108188	Yes	
row_7	SLC7A5	147	4.288360118865967	0.20313826	Yes	
row_8	BYSL	156	4.244655609130859	0.2259131	Yes	
row_9	TBRG4	174	4.0942583084106445	0.24698897	Yes	
row_10	TOMM5	202	3.9275851249694824	0.26617944	Yes	
row_11	METTL16	221	3.7860822677612305	0.2854499	Yes	
row_12	PFDN2	244	3.683461904525757	0.30376676	Yes	
row_13	UGDH	262	3.5615103244781494	0.32188764	Yes	
row_14	RANBP1	263	3.5571353435516357	0.3416178	Yes	
row_15	RGS16	299	3.419492483139038	0.35722136	Yes	
row_16	TMEM70	347	3.247598171234131	0.37071842	Yes	
row_17	WDR36	350	3.2375288009643555	0.38848364	Yes	
row_18	DNMT3A	357	3.2205121517181396	0.40577012	Yes	
row_19	PRPF19	361	3.2075374126434326	0.4232729	Yes	
row_20	PRMT1	387	3.128174066543579	0.4382215	Yes	
row_21	NME6	401	3.0704476833343506	0.45400304	Yes	
row_22	FARSB	405	3.064000129699707	0.47070965	Yes	
row_23	TXNL4A	436	2.9675939083099365	0.48428714	Yes	
row_24	PDCD5	470	2.9063775539398193	0.49723685	Yes	
row_25	CCDC148	495	2.845773935317993	0.5107152	Yes	
row_26	ELAC2	498	2.8412015438079834	0.52628213	Yes	
row_27	ATXN1	500	2.8368144035339355	0.5419208	Yes	
row_28	TTC27	533	2.7842628955841064	0.5542893	Yes	
row_29	EIF2B3	551	2.750967025756836	0.56791437	Yes	
