NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.025557129	Yes	
row_1	GNL3	21	6.126562595367432	0.050787415	Yes	
row_2	BID	27	5.961404800415039	0.07523098	Yes	
row_3	HSPD1	42	5.5952887535095215	0.09727801	Yes	
row_4	CHCHD4	72	4.921378135681152	0.11506443	Yes	
row_5	HSPA9	100	4.595105171203613	0.1316791	Yes	
row_6	MAGOHB	121	4.447060585021973	0.14834821	Yes	
row_7	GPATCH4	157	4.244081020355225	0.16272566	Yes	
row_8	SMS	168	4.136326313018799	0.17905758	Yes	
row_9	DDX18	170	4.116891384124756	0.19617407	Yes	
row_10	COPS7A	173	4.098850727081299	0.21311891	Yes	
row_11	TMA16	179	4.058250904083252	0.2296054	Yes	
row_12	PPA1	183	4.027491092681885	0.2461557	Yes	
row_13	CCT6A	207	3.906320571899414	0.26027536	Yes	
row_14	RSL24D1	212	3.884611129760742	0.27613208	Yes	
row_15	GTPBP4	213	3.8796870708465576	0.292353	Yes	
row_16	TIMM9	216	3.8439483642578125	0.30823213	Yes	
row_17	NSUN2	226	3.771775007247925	0.32313606	Yes	
row_18	MPHOSPH10	269	3.5360121726989746	0.33387968	Yes	
row_19	EIF5A	271	3.5260114669799805	0.3485257	Yes	
row_20	JADE2	272	3.5159757137298584	0.36322594	Yes	
row_21	CCT8	276	3.504429817199707	0.37758932	Yes	
row_22	PRDX3	287	3.4644837379455566	0.3911123	Yes	
row_23	WDR75	334	3.293093204498291	0.40045547	Yes	
row_24	PRPF19	361	3.2075374126434326	0.41136494	Yes	
row_25	DOHH	376	3.164525270462036	0.42324898	Yes	
row_26	GEMIN6	390	3.106204032897949	0.43498537	Yes	
row_27	NCBP2	394	3.093069553375244	0.44762886	Yes	
row_28	FAM111A	423	3.010160446166992	0.45752072	Yes	
row_29	SRSF7	432	2.9767565727233887	0.4691969	Yes	
row_30	GBP7	449	2.93876051902771	0.47994462	Yes	
row_31	HSP90AA1	459	2.9273252487182617	0.49131793	Yes	
row_32	DDX21	460	2.9268064498901367	0.5035549	Yes	
row_33	LSM2	473	2.9005680084228516	0.5145277	Yes	
row_34	MRPL38	482	2.8814990520477295	0.5258056	Yes	
row_35	MRPL35	506	2.8266608715057373	0.53541124	Yes	
row_36	CDYL2	552	2.7500879764556885	0.5425803	Yes	
row_37	L2HGDH	587	2.6429829597473145	0.5503598	Yes	
row_38	NAA20	591	2.6348087787628174	0.5610873	Yes	
row_39	NDUFB6	592	2.632450819015503	0.57209355	Yes	
row_40	KDM2B	705	2.417909622192383	0.5714284	Yes	
row_41	CDK7	765	2.3018853664398193	0.57537675	Yes	
row_42	COPS5	775	2.2900633811950684	0.58408564	Yes	
row_43	AGFG1	824	2.2248640060424805	0.5887702	Yes	
row_44	MKKS	836	2.213735580444336	0.5969676	Yes	
row_45	LRPPRC	949	2.0660817623138428	0.59483147	Yes	
row_46	U2AF1	1072	1.8673869371414185	0.59090257	Yes	
row_47	RRS1	1087	1.8490773439407349	0.5972867	Yes	
row_48	RRP12	1091	1.8441919088363647	0.6047087	Yes	
row_49	TUBA1B	1176	1.7516191005706787	0.60395133	Yes	
row_50	TIPIN	1229	1.7008109092712402	0.60606	Yes	
row_51	CD274	1230	1.7002699375152588	0.61316884	Yes	
row_52	MAK16	1251	1.6765104532241821	0.6182543	Yes	
row_53	NDC1	1257	1.6700509786605835	0.62475574	Yes	
row_54	PPIH	1326	1.6012487411499023	0.624909	Yes	
row_55	SRSF1	1383	1.5568795204162598	0.62603104	Yes	
row_56	SERPINB9	1446	1.4980210065841675	0.62632984	Yes	
row_57	OTUD6B	1448	1.4965695142745972	0.6324908	Yes	
row_58	FITM2	1479	1.4704822301864624	0.63575286	Yes	
row_59	TRUB1	1553	1.4074712991714478	0.6346149	Yes	
row_60	HLCS	1587	1.3810374736785889	0.63721436	Yes	
row_61	TRAPPC4	1635	1.3448766469955444	0.63831586	Yes	
row_62	DAPL1	1740	1.2716341018676758	0.6336278	No	
row_63	MRPL21	1930	1.1286715269088745	0.6201649	No	
row_64	CASP4	1963	1.1040233373641968	0.6217024	No	
row_65	TTC7B	2186	0.9654123783111572	0.60438234	No	
row_66	DNAJC9	2194	0.9634799957275391	0.60773724	No	
row_67	URB2	2264	0.9147924780845642	0.6049242	No	
row_68	HYPK	2445	0.8340583443641663	0.5910953	No	
row_69	SFPQ	2502	0.7996888756752014	0.58905166	No	
row_70	RFC5	2539	0.7835363745689392	0.5888644	No	
row_71	MCU	2668	0.7322802543640137	0.57961243	No	
row_72	DHX9	2745	0.694375216960907	0.5752044	No	
row_73	LRR1	3094	0.5614394545555115	0.5440741	No	
row_74	ETV4	3114	0.5575171709060669	0.5445773	No	
row_75	TRIM37	3257	0.5076300501823425	0.5330393	No	
row_76	TPST1	3404	0.459107369184494	0.5209136	No	
row_77	CCDC116	3587	0.40243101119995117	0.50508773	No	
row_78	PLEK	3617	0.3936557173728943	0.5039438	No	
row_79	SNF8	3645	0.3841746151447296	0.50295264	No	
row_80	SVIL	3681	0.3732036054134369	0.50114596	No	
row_81	MTM1	3986	0.2926710247993469	0.4731248	No	
row_82	YRDC	4095	0.2645334303379059	0.4638412	No	
row_83	MCM3	4361	0.2048187106847763	0.43920454	No	
row_84	MTFR2	4756	0.11357814073562622	0.40177655	No	
row_85	CNRIP1	4782	0.10882937163114548	0.3998266	No	
row_86	POLE	5011	0.06793572753667831	0.378177	No	
row_87	SNIP1	5013	0.06753713637590408	0.37836316	No	
row_88	THRAP3	5060	0.05982588976621628	0.3741881	No	
row_89	BACE1	5101	0.05139455571770668	0.37055495	No	
row_90	TMEM229B	5185	0.0377325601875782	0.36272812	No	
row_91	RRM2	5245	0.02855096198618412	0.35717168	No	
row_92	PLXNA1	6046	-0.1048615500330925	0.28065002	No	
row_93	NDC80	6175	-0.1287662833929062	0.2688748	No	
row_94	SH3D19	6213	-0.13685481250286102	0.26588756	No	
row_95	RASAL1	6306	-0.1555844396352768	0.25768766	No	
row_96	CDCA5	6395	-0.17789427936077118	0.24996582	No	
row_97	DOLPP1	6834	-0.28297334909439087	0.20901328	No	
row_98	FHDC1	6847	-0.2865247130393982	0.20905684	No	
row_99	TOP2A	6863	-0.29128628969192505	0.2088317	No	
