NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.015005633	Yes	
row_1	RPF2	22	6.088015079498291	0.031714655	Yes	
row_2	WDR77	24	6.038822650909424	0.048287883	Yes	
row_3	NDUFAF4	30	5.845912456512451	0.06394159	Yes	
row_4	PNO1	31	5.830062389373779	0.08003529	Yes	
row_5	PPAN	35	5.748079776763916	0.09561244	Yes	
row_6	MRPL12	40	5.616093158721924	0.11072849	Yes	
row_7	CD83	47	5.451237678527832	0.12519597	Yes	
row_8	WDR43	54	5.387223243713379	0.13948673	Yes	
row_9	METTL1	65	5.024819850921631	0.1523901	Yes	
row_10	LYAR	70	4.969549179077148	0.16572137	Yes	
row_11	MRTO4	74	4.910591125488281	0.17898665	Yes	
row_12	MIR155HG	95	4.646803855895996	0.18987903	Yes	
row_13	NLE1	98	4.633648872375488	0.20247656	Yes	
row_14	WDR74	101	4.591402530670166	0.21495749	Yes	
row_15	RCL1	110	4.508786678314209	0.22662985	Yes	
row_16	PHB	113	4.494336128234863	0.23884283	Yes	
row_17	PSME2	119	4.474827766418457	0.2507117	Yes	
row_18	IFRD2	125	4.432302474975586	0.26246318	Yes	
row_19	SYNGR2	136	4.322700023651123	0.27342838	Yes	
row_20	HSP90AB1	138	4.3175764083862305	0.28525016	Yes	
row_21	EIF3G	151	4.25984525680542	0.29584834	Yes	
row_22	MYBBP1A	159	4.208714008331299	0.3067891	Yes	
row_23	POLR1C	175	4.08437442779541	0.31661266	Yes	
row_24	EBI3	219	3.8196070194244385	0.32299635	Yes	
row_25	CCDC86	225	3.77258563041687	0.3329267	Yes	
row_26	HIVEP3	228	3.7589104175567627	0.34310955	Yes	
row_27	DIMT1	243	3.689640522003174	0.3519402	Yes	
row_28	RRP15	247	3.667435646057129	0.3617738	Yes	
row_29	EIF5	248	3.664923667907715	0.3718907	Yes	
row_30	RPL7L1	305	3.392265558242798	0.375837	Yes	
row_31	PFAS	307	3.385099411010742	0.3850847	Yes	
row_32	POP1	315	3.353630781173706	0.39366505	Yes	
row_33	ZNHIT6	317	3.351102352142334	0.40281892	Yes	
row_34	CLUH	324	3.322787046432495	0.41141087	Yes	
row_35	NIFK	345	3.253063917160034	0.41845584	Yes	
row_36	GAR1	374	3.170020818710327	0.4244976	Yes	
row_37	PLSCR1	385	3.137037992477417	0.43218982	Yes	
row_38	MRPL20	386	3.131471633911133	0.44083413	Yes	
row_39	PRMT1	387	3.128174066543579	0.44946936	Yes	
row_40	ACY1	430	2.9844019412994385	0.45364425	Yes	
row_41	SNX11	438	2.9653565883636475	0.46115276	Yes	
row_42	DDX21	460	2.9268064498901367	0.4672004	Yes	
row_43	PES1	477	2.893566370010376	0.47364	Yes	
row_44	NAMPT	481	2.8823318481445312	0.48130634	Yes	
row_45	ETF1	489	2.8532042503356934	0.48850527	Yes	
row_46	DHX33	512	2.815446138381958	0.49414876	Yes	
row_47	ABCE1	543	2.7715656757354736	0.4988971	Yes	
row_48	MCCC2	550	2.753502368927002	0.50591755	Yes	
row_49	TAF1D	580	2.668393850326538	0.51047784	Yes	
row_50	NCLN	610	2.5911872386932373	0.514825	Yes	
row_51	EIF5B	627	2.5491981506347656	0.520314	Yes	
row_52	NAT10	637	2.530890464782715	0.5264297	Yes	
row_53	TSPAN31	640	2.520629644393921	0.5331943	Yes	
row_54	MRRF	666	2.4814040660858154	0.53762543	Yes	
row_55	SSBP1	738	2.3485801219940186	0.53723943	Yes	
row_56	CMSS1	743	2.3404786586761475	0.5433132	Yes	
row_57	NFKB1	798	2.2595603466033936	0.5443262	Yes	
row_58	KPNA6	815	2.240281343460083	0.5489625	Yes	
row_59	SRPRB	873	2.1657469272613525	0.5494262	Yes	
row_60	TRAP1	897	2.1300103664398193	0.5530808	Yes	
row_61	NXT1	988	2.0038511753082275	0.54990494	Yes	
