NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP7A	598	2.623284101486206	-0.046249256	No	
row_1	RPL12	1095	1.838354468345642	-0.086066484	No	
row_2	SRSF11	1475	1.474953532218933	-0.11618816	No	
row_3	ZNRF3	1492	1.4590340852737427	-0.11143102	No	
row_4	MTCH1	1848	1.183358907699585	-0.1405007	No	
row_5	MARS2	1870	1.1705772876739502	-0.13746998	No	
row_6	PDLIM5	2105	1.0053950548171997	-0.1556586	No	
row_7	IL9R	2156	0.9805499911308289	-0.15624003	No	
row_8	UBAP2	2480	0.8127974271774292	-0.18382837	No	
row_9	LGALS3	2842	0.6543209552764893	-0.21575916	No	
row_10	THEMIS	3059	0.5765212178230286	-0.23406598	No	
row_11	ST8SIA6	3115	0.557076632976532	-0.23695658	No	
row_12	NSD1	3419	0.4552982449531555	-0.26416248	No	
row_13	FILIP1L	3428	0.45316004753112793	-0.26297674	No	
row_14	DIDO1	3549	0.41376063227653503	-0.27274376	No	
row_15	SURF6	3563	0.4094582200050354	-0.272228	No	
row_16	RAD54B	3583	0.4038422107696533	-0.27231413	No	
row_17	SRCAP	3671	0.37596192955970764	-0.27906725	No	
row_18	SMG1	3825	0.3362318277359009	-0.29234594	No	
row_19	DOCK10	3905	0.3155228793621063	-0.29858974	No	
row_20	SLC22A5	3995	0.2901003360748291	-0.305906	No	
row_21	MLXIP	4825	0.10208696871995926	-0.38527668	No	
row_22	LANCL3	4920	0.08573213219642639	-0.3939564	No	
row_23	MRS2	5205	0.03422342613339424	-0.42115057	No	
row_24	SLC4A7	5233	0.030379226431250572	-0.42361885	No	
row_25	PPM1J	5407	-0.0015967689687386155	-0.44026738	No	
row_26	AR	5447	-0.007201645988970995	-0.443991	No	
row_27	AVEN	5558	-0.02393052913248539	-0.45447788	No	
row_28	GPR15	5775	-0.060654476284980774	-0.4750113	No	
row_29	CDK16	5794	-0.06327666342258453	-0.4764711	No	
row_30	STOM	5941	-0.08727029711008072	-0.49015045	No	
row_31	POLG2	6172	-0.12818381190299988	-0.51174027	No	
row_32	ANAPC5	6264	-0.14785954356193542	-0.519863	No	
row_33	TRIM39	6275	-0.1487649530172348	-0.5201836	No	
row_34	RAPGEF4	6424	-0.18399743735790253	-0.53363806	No	
row_35	NAB1	6459	-0.19040346145629883	-0.53608954	No	
row_36	FBXL22	6492	-0.19771413505077362	-0.53831697	No	
row_37	RAB3IP	6546	-0.21051499247550964	-0.54251087	No	
row_38	MFHAS1	6559	-0.21243785321712494	-0.5427492	No	
row_39	RHBDF2	6808	-0.27651792764663696	-0.56543165	No	
row_40	GSK3B	7422	-0.45999279618263245	-0.62246233	No	
row_41	RAB4A	7488	-0.48596516251564026	-0.6266226	No	
row_42	SEC24A	7647	-0.5495043396949768	-0.6394621	No	
row_43	PPP1R12B	7692	-0.5676084160804749	-0.6412483	No	
row_44	NEBL	7714	-0.5755117535591125	-0.640786	No	
row_45	SLAIN2	7731	-0.5823497176170349	-0.6398128	No	
row_46	ATP10D	7755	-0.5938705205917358	-0.63946384	No	
row_47	OSBPL3	7943	-0.6720224618911743	-0.6545665	No	
row_48	ARHGAP27	7947	-0.6722766757011414	-0.65195364	No	
row_49	LPP	7960	-0.6782810091972351	-0.6501813	No	
row_50	ELF4	7972	-0.6818517446517944	-0.6482973	No	
row_51	USP3	8017	-0.7003816962242126	-0.6495103	No	
row_52	KLF3	8027	-0.7035914063453674	-0.64733994	No	
row_53	ULK2	8087	-0.7336375713348389	-0.6498536	No	
row_54	SMCHD1	8153	-0.7649950385093689	-0.6528095	No	
row_55	PRR14	8205	-0.7925061583518982	-0.65429884	No	
row_56	LDLR	8215	-0.7963892221450806	-0.6517279	No	
row_57	TMOD3	8233	-0.8096892833709717	-0.64986974	No	
row_58	KAT2B	8269	-0.8255018591880798	-0.64967626	No	
row_59	PXYLP1	8275	-0.829282283782959	-0.64657825	No	
row_60	TNIK	8301	-0.8392533659934998	-0.64536273	No	
row_61	MYO1F	8508	-0.9730918407440186	-0.6609951	No	
row_62	GOLM1	8521	-0.980278730392456	-0.6579193	No	
row_63	IGFBP4	8619	-1.0414354801177979	-0.6627628	No	
row_64	CCR2	8756	-1.1208134889602661	-0.6710184	No	
row_65	ARL4C	9037	-1.3413797616958618	-0.69218546	Yes	
row_66	SIPA1L1	9047	-1.351192831993103	-0.68721986	Yes	
row_67	PACS1	9106	-1.4169113636016846	-0.68668807	Yes	
row_68	POLR3GL	9114	-1.4249906539916992	-0.68121135	Yes	
row_69	EHBP1L1	9279	-1.5969544649124146	-0.6901075	Yes	
row_70	CDKN1B	9292	-1.6107325553894043	-0.6843105	Yes	
row_71	ARID3B	9336	-1.655759572982788	-0.6813036	Yes	
row_72	ACAP2	9385	-1.7150239944458008	-0.67852235	Yes	
row_73	TTC17	9405	-1.7341346740722656	-0.67286664	Yes	
row_74	PITPNC1	9467	-1.8239916563034058	-0.6708666	Yes	
row_75	ATP2B1	9606	-2.0539207458496094	-0.67528725	Yes	
row_76	CRY1	9644	-2.1066462993621826	-0.6697566	Yes	
row_77	TMEM176B	9662	-2.1434268951416016	-0.66214174	Yes	
row_78	L1CAM	9670	-2.1627819538116455	-0.6534806	Yes	
row_79	TMPRSS13	9686	-2.192349433898926	-0.645462	Yes	
row_80	ARHGAP15	9740	-2.309075117111206	-0.640598	Yes	
row_81	ZNRF1	9744	-2.317399263381958	-0.6308844	Yes	
row_82	TGFBR3	9750	-2.3320326805114746	-0.62130016	Yes	
row_83	PDLIM1	9861	-2.5376486778259277	-0.6209372	Yes	
row_84	ENTPD5	9888	-2.596358060836792	-0.6122339	Yes	
row_85	TREML2	9912	-2.655015707015991	-0.60298854	Yes	
row_86	CRIP1	9921	-2.6834542751312256	-0.5921763	Yes	
row_87	IKZF1	9975	-2.8504042625427246	-0.58497584	Yes	
row_88	RTN4RL1	10016	-2.9463229179382324	-0.57610977	Yes	
row_89	KLHDC1	10047	-3.048352003097534	-0.5658406	Yes	
row_90	BCL9L	10051	-3.072838306427002	-0.55286634	Yes	
row_91	CACNB1	10056	-3.083112955093384	-0.539944	Yes	
row_92	AXIN2	10069	-3.161546230316162	-0.5274533	Yes	
row_93	ARSB	10072	-3.1719448566436768	-0.513955	Yes	
row_94	RBMS1	10074	-3.175111770629883	-0.5003467	Yes	
row_95	NLRC3	10106	-3.273564577102661	-0.48920175	Yes	
row_96	CYP2S1	10110	-3.2895493507385254	-0.47529212	Yes	
row_97	FLI1	10112	-3.3106637001037598	-0.4610988	Yes	
row_98	KCNA2	10141	-3.4292373657226562	-0.4489931	Yes	
row_99	ARMC7	10143	-3.4351701736450195	-0.43426237	Yes	
row_100	FUT7	10148	-3.4533958435058594	-0.41974178	Yes	
row_101	RAP1GAP2	10165	-3.4953043460845947	-0.4061956	Yes	
row_102	AHNAK	10184	-3.6063437461853027	-0.39236274	Yes	
row_103	VIPR1	10189	-3.6275923252105713	-0.37709028	Yes	
row_104	SPN	10202	-3.6835410594940186	-0.36234656	Yes	
row_105	CDC14B	10223	-3.7846715450286865	-0.3479365	Yes	
row_106	SETX	10253	-4.035808563232422	-0.33330896	Yes	
row_107	MAP4K4	10255	-4.0539021492004395	-0.31590766	Yes	
row_108	GABBR1	10326	-4.468960762023926	-0.30335775	Yes	
row_109	SYNE2	10338	-4.556899070739746	-0.28474814	Yes	
row_110	CAMK4	10374	-4.884162902832031	-0.26703653	Yes	
row_111	TXK	10378	-4.92585563659668	-0.24606422	Yes	
row_112	PTPRA	10392	-5.041976451873779	-0.22555342	Yes	
row_113	ADAM12	10395	-5.150798320770264	-0.20351392	Yes	
row_114	NIPAL1	10418	-5.306183815002441	-0.18272923	Yes	
row_115	TMEM71	10438	-5.682821273803711	-0.16003004	Yes	
row_116	TXNIP	10440	-5.710038661956787	-0.13548045	Yes	
row_117	CAPN2	10458	-6.0774149894714355	-0.11088557	Yes	
row_118	LGMN	10459	-6.161427021026611	-0.084291406	Yes	
row_119	PRKCQ	10464	-6.2837066650390625	-0.057554554	Yes	
row_120	RORC	10475	-6.577271461486816	-0.030128252	Yes	
row_121	S1PR1	10497	-7.693912506103516	0.0010587187	Yes	
