NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CORO2A	93	4.700887680053711	0.008359141	No	
row_1	IL2RA	102	4.590158939361572	0.024509942	No	
row_2	CD72	520	2.805400848388672	-0.005375046	No	
row_3	OGT	752	2.3278307914733887	-0.019077417	No	
row_4	RRAS2	779	2.2840752601623535	-0.013164907	No	
row_5	ARHGAP31	876	2.163715362548828	-0.014448976	No	
row_6	TSC22D1	1679	1.3140811920166016	-0.08697267	No	
row_7	R3HDM1	2375	0.862034022808075	-0.15084071	No	
row_8	B4GALT4	2393	0.8555641770362854	-0.14932649	No	
row_9	RPRD1A	2855	0.6480204463005066	-0.19140974	No	
row_10	RAB11FIP1	2881	0.6354473829269409	-0.19147877	No	
row_11	TEX2	3005	0.5940384268760681	-0.20115444	No	
row_12	ARHGAP5	3061	0.5757630467414856	-0.20433758	No	
row_13	ADARB1	3156	0.5400908589363098	-0.21141453	No	
row_14	KIF1B	3266	0.5030154585838318	-0.2200752	No	
row_15	SEC22A	3452	0.44492942094802856	-0.2362817	No	
row_16	SFMBT2	3809	0.34034931659698486	-0.26936996	No	
row_17	TAF4B	3851	0.3300398588180542	-0.27210847	No	
row_18	PARP8	3976	0.2969229221343994	-0.28297597	No	
row_19	TUFT1	4075	0.26969242095947266	-0.2914357	No	
row_20	FAM160A2	4160	0.2499232441186905	-0.2986177	No	
row_21	FNBP4	4175	0.24707187712192535	-0.2990574	No	
row_22	ZDHHC8	4247	0.22648924589157104	-0.3050717	No	
row_23	WWP1	4300	0.21776778995990753	-0.30928525	No	
row_24	ARID2	4423	0.18682633340358734	-0.32036573	No	
row_25	HS6ST1	4438	0.18366758525371552	-0.32103917	No	
row_26	NEDD4L	4535	0.15973587334156036	-0.32971132	No	
row_27	TANC1	4600	0.14423494040966034	-0.3353536	No	
row_28	LYSMD2	4805	0.10478941351175308	-0.354647	No	
row_29	DDX5	5008	0.06805035471916199	-0.3738829	No	
row_30	SESTD1	5020	0.06658640503883362	-0.37469858	No	
row_31	LRIG1	5045	0.06197651848196983	-0.37678534	No	
row_32	CAMSAP2	5294	0.019485708326101303	-0.40063787	No	
row_33	VPS13C	5879	-0.07650086283683777	-0.4566939	No	
row_34	TGM2	5981	-0.09345931559801102	-0.4660927	No	
row_35	IFNGR2	5984	-0.09447209537029266	-0.46593735	No	
row_36	ZMYM2	6009	-0.09807520359754562	-0.46789104	No	
row_37	EXOC6B	6043	-0.10424981266260147	-0.4706902	No	
row_38	MYO9A	6134	-0.12130334973335266	-0.4789252	No	
row_39	MYO10	6143	-0.12323981523513794	-0.47924262	No	
row_40	KLF7	6293	-0.15330913662910461	-0.49305132	No	
