NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S1PR3	12	6.601689338684082	0.022642734	No	
row_1	DUSP22	111	4.50754451751709	0.029421732	No	
row_2	MAGED2	314	3.355990171432495	0.021995578	No	
row_3	PSMC6	331	3.2981128692626953	0.032340445	No	
row_4	HEMK1	427	3.0045547485351562	0.03399033	No	
row_5	CCDC6	933	2.0815019607543945	-0.007320563	No	
row_6	UTP14A	1107	1.823742389678955	-0.017468026	No	
row_7	PHF20	1512	1.4460214376449585	-0.051307008	No	
row_8	KCMF1	1640	1.34348726272583	-0.05873946	No	
row_9	AIMP1	1680	1.3137344121932983	-0.057772662	No	
row_10	PRRC1	1771	1.2490370273590088	-0.061969053	No	
row_11	REXO4	1792	1.2330877780914307	-0.059456397	No	
row_12	SEC31A	1937	1.123115062713623	-0.06932672	No	
row_13	ID2	2030	1.0556106567382812	-0.07441385	No	
row_14	PEX13	2032	1.0527353286743164	-0.070714824	No	
row_15	RBM7	2034	1.052221417427063	-0.06701765	No	
row_16	FNDC3A	2298	0.896003782749176	-0.089209974	No	
row_17	STK38L	2424	0.841041624546051	-0.09826069	No	
row_18	MAPK9	2434	0.8379377722740173	-0.09610945	No	
row_19	PRNP	2448	0.833339273929596	-0.094361454	No	
row_20	MTMR7	2709	0.7116692662239075	-0.116928406	No	
row_21	CAMKK1	2763	0.6879249811172485	-0.119571306	No	
row_22	MCFD2	2823	0.6602442264556885	-0.122894004	No	
row_23	TMEM107	2845	0.6536510586738586	-0.1225672	No	
row_24	TAX1BP3	2980	0.6024186611175537	-0.13334827	No	
row_25	ZBTB7B	3327	0.4826715290546417	-0.16505408	No	
row_26	ZBTB21	3380	0.46760788559913635	-0.16839468	No	
row_27	FAU	3449	0.44550788402557373	-0.1733616	No	
row_28	STX18	3631	0.38755980134010315	-0.1894606	No	
row_29	SRA1	3654	0.38174721598625183	-0.19021083	No	
row_30	CDR2	4069	0.27046114206314087	-0.229255	No	
row_31	DNPEP	4237	0.22953179478645325	-0.24457048	No	
row_32	RAB2A	4391	0.1961943358182907	-0.25865284	No	
row_33	AFG3L2	4422	0.1869170069694519	-0.26087886	No	
row_34	CHM	4498	0.1695207953453064	-0.26751754	No	
row_35	SNAPC1	4539	0.15681035816669464	-0.27081874	No	
row_36	MCTP2	4587	0.14601580798625946	-0.27483553	No	
row_37	SH3GLB1	4604	0.14370141923427582	-0.27586403	No	
row_38	BLVRB	4668	0.13051097095012665	-0.28148338	No	
row_39	PPP1R3B	4833	0.10008014738559723	-0.2969756	No	
row_40	CACFD1	4970	0.07577618956565857	-0.30984885	No	
row_41	WDR47	5034	0.06342698633670807	-0.31571004	No	
row_42	COPG2	5117	0.04837806522846222	-0.32346216	No	
row_43	TBC1D19	5191	0.03632277250289917	-0.33038774	No	
row_44	PLA2G12A	5234	0.030370473861694336	-0.33433816	No	
row_45	NICN1	5274	0.02379102259874344	-0.33802232	No	
row_46	SLC30A4	5323	0.015227065421640873	-0.34260735	No	
row_47	PPM1J	5407	-0.0015967689687386155	-0.3506248	No	
row_48	WDR1	5470	-0.011236674152314663	-0.35657752	No	
row_49	COPA	5609	-0.03380760923027992	-0.36979538	No	
row_50	AMZ2	5741	-0.05441797524690628	-0.38226232	No	
row_51	PTTG1IP	5755	-0.057583194226026535	-0.38331133	No	
row_52	UBQLN1	5761	-0.05842795968055725	-0.383584	No	
row_53	RBBP8	5934	-0.0856907069683075	-0.39990142	No	
row_54	MYO10	6143	-0.12323981523513794	-0.4195634	No	
row_55	AVPI1	6183	-0.13042780756950378	-0.42286307	No	
row_56	GEM	6203	-0.13467556238174438	-0.42421412	No	
row_57	NTPCR	6292	-0.1530582457780838	-0.4321688	No	
row_58	ARMCX3	6327	-0.15994466841220856	-0.43487874	No	
row_59	HDAC5	6388	-0.17441299557685852	-0.44004977	No	
row_60	MAP2K6	6401	-0.17888788878917694	-0.44056478	No	
row_61	NUDT18	6415	-0.1826784759759903	-0.44116277	No	
row_62	SMIM20	6455	-0.18983666598796844	-0.44424823	No	
row_63	RBMS2	6581	-0.2201801836490631	-0.4555375	No	
row_64	ZBED3	6716	-0.25245872139930725	-0.46758035	No	
row_65	DDR1	6745	-0.2599541246891022	-0.4693497	No	
row_66	ARFGAP3	6910	-0.3037872016429901	-0.48410743	No	
row_67	GALNT6	6978	-0.3227454721927643	-0.48942032	No	
row_68	PLSCR3	7064	-0.34609168767929077	-0.496389	No	
row_69	UBE2F	7212	-0.38823017477989197	-0.50919896	No	
row_70	TSPAN6	7288	-0.41252419352531433	-0.5149615	No	
row_71	ZDHHC18	7293	-0.4158098101615906	-0.51384896	No	
row_72	DCTN4	7409	-0.45688506960868835	-0.5233181	No	
row_73	CTSB	7463	-0.4762096107006073	-0.52672434	No	
row_74	SEC24A	7647	-0.5495043396949768	-0.5424328	No	
row_75	NAGK	7720	-0.5772692561149597	-0.5473113	No	
row_76	PICALM	7760	-0.5947849750518799	-0.5489367	No	
row_77	GGACT	7817	-0.6170542240142822	-0.55212516	No	
row_78	RRM2B	7842	-0.6285238265991211	-0.5521789	No	
row_79	XRCC4	8036	-0.7076126933097839	-0.5682839	No	
row_80	CYFIP2	8042	-0.7111965417861938	-0.566203	No	
row_81	CSRNP1	8095	-0.7354151606559753	-0.568578	No	
row_82	METTL23	8174	-0.7729447484016418	-0.573331	No	
row_83	GPR18	8187	-0.7805295586585999	-0.57167673	No	
row_84	SAG	8329	-0.8561180233955383	-0.5822197	No	
row_85	NDUFAF3	8359	-0.8775787353515625	-0.5818589	No	
row_86	ECI2	8365	-0.8806576132774353	-0.57916695	No	
row_87	TBCEL	8438	-0.9361965656280518	-0.58275133	No	
row_88	PAPSS1	8483	-0.9568641185760498	-0.58355457	No	
row_89	ACOT8	8516	-0.9772012233734131	-0.5831245	No	
row_90	ORMDL3	8606	-1.0311745405197144	-0.5880098	No	
row_91	PPP1R15A	8633	-1.048406720161438	-0.58674294	No	
row_92	CTNNA1	8665	-1.0694835186004639	-0.5858835	No	
row_93	TULP3	8668	-1.0704392194747925	-0.58221734	No	
row_94	RBM22	8703	-1.0901057720184326	-0.5815735	No	
row_95	ZEB1	8705	-1.0908523797988892	-0.57773703	No	
row_96	IL21R	8800	-1.1467132568359375	-0.58268905	No	
row_97	CCDC186	8941	-1.2655587196350098	-0.59165907	Yes	
row_98	SMIM14	8949	-1.2741748094558716	-0.5877417	Yes	
row_99	NDRG1	8981	-1.3053408861160278	-0.5860318	Yes	
row_100	FRMD4B	9014	-1.3271347284317017	-0.58434004	Yes	
row_101	ETV6	9021	-1.3307774066925049	-0.5801218	Yes	
row_102	IFT43	9027	-1.336975336074829	-0.5757846	Yes	
row_103	ACAP1	9040	-1.3441946506500244	-0.5720981	Yes	
row_104	RNH1	9044	-1.346976637840271	-0.56753147	Yes	
row_105	RAB26	9066	-1.3755812644958496	-0.5646017	Yes	
row_106	RABGGTA	9122	-1.432963252067566	-0.5647517	Yes	
row_107	TBC1D22A	9152	-1.4620261192321777	-0.5622835	Yes	
row_108	TRPM4	9166	-1.475752353668213	-0.5582193	Yes	
row_109	SEC24D	9226	-1.5492674112319946	-0.55833656	Yes	
row_110	FURIN	9229	-1.5522592067718506	-0.55293316	Yes	
row_111	RORA	9249	-1.5698655843734741	-0.5491096	Yes	
row_112	WDR81	9278	-1.5954228639602661	-0.5460638	Yes	
row_113	ITGA3	9335	-1.6545482873916626	-0.5455115	Yes	
row_114	ACVR1B	9432	-1.7764832973480225	-0.54838616	Yes	
row_115	STOML1	9464	-1.8165850639343262	-0.54483294	Yes	
row_116	DHRS1	9478	-1.8401583433151245	-0.5394548	Yes	
row_117	NFE2L2	9486	-1.852473497390747	-0.53345233	Yes	
row_118	GRAMD1A	9508	-1.8877383470535278	-0.5286759	Yes	
row_119	RNF181	9559	-1.9740688800811768	-0.52639157	Yes	
row_120	TMUB2	9573	-2.000540018081665	-0.5204352	Yes	
row_121	DAZAP2	9595	-2.0289406776428223	-0.5151497	Yes	
row_122	SMOX	9620	-2.0720715522766113	-0.50999874	Yes	
row_123	ANXA2	9637	-2.100144386291504	-0.5039732	Yes	
row_124	CNPPD1	9646	-2.1142468452453613	-0.49712348	Yes	
row_125	YPEL5	9649	-2.123896837234497	-0.489659	Yes	
row_126	ABAT	9680	-2.1840767860412598	-0.48468417	Yes	
row_127	NDRG2	9682	-2.189516305923462	-0.47688642	Yes	
row_128	ARRB1	9691	-2.2050328254699707	-0.4697094	Yes	
row_129	WDFY2	9697	-2.2146666049957275	-0.46220762	Yes	
row_130	CREB3L2	9823	-2.471005439758301	-0.4653814	Yes	
row_131	NSF	9870	-2.5572941303253174	-0.46060756	Yes	
row_132	CAST	9886	-2.5867018699645996	-0.45273104	Yes	
row_133	ACBD4	9893	-2.6010546684265137	-0.44393283	Yes	
row_134	TREML2	9912	-2.655015707015991	-0.4361	Yes	
row_135	SUN1	9926	-2.7075793743133545	-0.42759433	Yes	
row_136	ECM1	9997	-2.901963710784912	-0.4238977	Yes	
row_137	UBE2H	10027	-2.9687628746032715	-0.415997	Yes	
row_138	ZFP36L2	10067	-3.1339731216430664	-0.40846723	Yes	
row_139	FAM189B	10080	-3.1877284049987793	-0.3981337	Yes	
row_140	SMPD1	10090	-3.2183468341827393	-0.3873998	Yes	
row_141	SMAD3	10096	-3.2441225051879883	-0.37618625	Yes	
row_142	MGRN1	10180	-3.591116428375244	-0.3712615	Yes	
row_143	CARHSP1	10209	-3.7373039722442627	-0.3604931	Yes	
row_144	CDC14B	10223	-3.7846715450286865	-0.34810394	Yes	
row_145	TNFAIP8L1	10284	-4.209028720855713	-0.33872798	Yes	
row_146	CORO7	10304	-4.351036071777344	-0.32487673	Yes	
row_147	AKAP13	10314	-4.412111759185791	-0.30983865	Yes	
row_148	YPEL3	10318	-4.4369940757751465	-0.29413083	Yes	
row_149	SLC12A7	10319	-4.440528392791748	-0.27812028	Yes	
row_150	IL21	10334	-4.536722183227539	-0.26311624	Yes	
row_151	FLOT1	10344	-4.6105055809021	-0.2473628	Yes	
row_152	ADPRM	10355	-4.705159664154053	-0.23136479	Yes	
row_153	PLEKHG2	10373	-4.869348049163818	-0.21545142	Yes	
row_154	SIRT7	10384	-4.986038684844971	-0.19844066	Yes	
row_155	LPXN	10399	-5.192124843597412	-0.1810735	Yes	
row_156	KLHL6	10424	-5.421281814575195	-0.16384678	Yes	
row_157	LIME1	10430	-5.521812438964844	-0.14442094	Yes	
row_158	PTPN1	10443	-5.717962741851807	-0.12496452	Yes	
row_159	CDKN2D	10446	-5.779692649841309	-0.10431889	Yes	
row_160	IFNAR2	10449	-5.816096782684326	-0.083542	Yes	
row_161	SEMA4F	10473	-6.466755390167236	-0.062449086	Yes	
row_162	SUSD3	10506	-8.73340129852295	-0.034053665	Yes	
row_163	SYT11	10508	-9.471718788146973	4.1663952E-7	Yes	
