NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.02433504	Yes	
row_1	LARP1	26	5.96330451965332	0.051057186	Yes	
row_2	BCL2L11	50	5.4120917320251465	0.07309371	Yes	
row_3	MAPKAPK3	90	4.721996307373047	0.09049657	Yes	
row_4	NLE1	98	4.633648872375488	0.11058609	Yes	
row_5	CCT4	103	4.571254730224609	0.13068502	Yes	
row_6	DKC1	112	4.5052490234375	0.15010284	Yes	
row_7	MRPS18B	145	4.292644023895264	0.16625604	Yes	
row_8	EIF4A1	149	4.282050132751465	0.18515533	Yes	
row_9	MYBBP1A	159	4.208714008331299	0.20314802	Yes	
row_10	UCHL5	198	3.9457056522369385	0.21716857	Yes	
row_11	ECE2	214	3.878424644470215	0.23310323	Yes	
row_12	PSME3	237	3.7232120037078857	0.24766804	Yes	
row_13	UCK2	238	3.7200465202331543	0.26433793	Yes	
row_14	MPHOSPH10	269	3.5360121726989746	0.27729326	Yes	
row_15	MARCKS	282	3.475938320159912	0.29171333	Yes	
row_16	UMPS	285	3.4682865142822266	0.3070624	Yes	
row_17	CDV3	289	3.4604408740997314	0.32227996	Yes	
row_18	TRMT6	316	3.3524951934814453	0.33479825	Yes	
row_19	PSMD7	328	3.3062021732330322	0.34855404	Yes	
row_20	PISD	330	3.2983338832855225	0.36323786	Yes	
row_21	EIF2S1	356	3.221670627593994	0.37526622	Yes	
row_22	NAF1	365	3.2023470401763916	0.38884562	Yes	
row_23	XPOT	389	3.1106975078582764	0.40056938	Yes	
row_24	PRMT3	426	3.0083892345428467	0.4105824	Yes	
row_25	NME2	441	2.955674648284912	0.42247844	Yes	
row_26	POLR1B	452	2.934499979019165	0.43466493	Yes	
row_27	TBL3	457	2.929062843322754	0.447405	Yes	
row_28	PDCD5	470	2.9063775539398193	0.45927283	Yes	
row_29	TRNAU1AP	476	2.896357536315918	0.47177002	Yes	
row_30	BOP1	478	2.8917932510375977	0.4846321	Yes	
row_31	WDR46	514	2.8123579025268555	0.49386302	Yes	
row_32	SURF2	538	2.7793314456939697	0.5041019	Yes	
row_33	PSMA3	546	2.765972852706909	0.5158222	Yes	
