NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKG7	11	6.694526195526123	0.027804071	No	
row_1	IL18	43	5.543048858642578	0.048718736	No	
row_2	CHST15	158	4.2371721267700195	0.05601479	No	
row_3	NOTCH2	235	3.7350733280181885	0.064803466	No	
row_4	IL10RA	464	2.9218716621398926	0.055456646	No	
row_5	ANXA6	868	2.1735904216766357	0.026040567	No	
row_6	CALCRL	1190	1.7393667697906494	0.002644583	No	
row_7	FCRL1	1254	1.6729055643081665	0.0037936256	No	
row_8	USP25	1451	1.4939078092575073	-0.008629832	No	
row_9	CTSH	1542	1.419916033744812	-0.0111701805	No	
row_10	MAP3K8	2482	0.8115199208259583	-0.09804675	No	
row_11	PHF21A	2882	0.6350165009498596	-0.13371125	No	
row_12	IL2RB	2894	0.6288431882858276	-0.13205877	No	
row_13	PTP4A3	3110	0.5582380294799805	-0.15034495	No	
row_14	PIK3C2B	3202	0.5247425436973572	-0.156841	No	
row_15	SLC15A4	3972	0.29779231548309326	-0.22957057	No	
row_16	MPZL1	4050	0.27595245838165283	-0.2357918	No	
row_17	FMNL3	4199	0.24041996896266937	-0.24899971	No	
row_18	ORMDL1	4383	0.19734683632850647	-0.26576197	No	
row_19	N4BP2L1	4401	0.1931421160697937	-0.26656544	No	
row_20	TLR2	4818	0.10330452769994736	-0.30615854	No	
row_21	PIP4K2A	5167	0.04054941609501839	-0.33947748	No	
row_22	CBX8	5206	0.03389546275138855	-0.3429887	No	
row_23	CCL5	5220	0.03164792060852051	-0.34410346	No	
row_24	ROGDI	5411	-0.0025441099423915148	-0.3623793	No	
row_25	PFKFB4	5461	-0.009501124732196331	-0.3670544	No	
row_26	EMID1	5671	-0.041935939341783524	-0.38698912	No	
row_27	PSD4	5716	-0.04962066188454628	-0.39101002	No	
row_28	ENPP1	5805	-0.06499175727367401	-0.3991995	No	
row_29	LRRC61	5965	-0.09074913710355759	-0.4141114	No	
row_30	RNF13	6020	-0.0999893769621849	-0.41887763	No	
row_31	SMAD4	6025	-0.10063740611076355	-0.41882873	No	
row_32	PIGV	6087	-0.11286653578281403	-0.42421314	No	
row_33	MYO10	6143	-0.12323981523513794	-0.42897534	No	
row_34	GGTA1	6201	-0.13411830365657806	-0.43388316	No	
row_35	GPR155	6339	-0.16245189309120178	-0.44636852	No	
row_36	RHOG	6480	-0.1951899379491806	-0.45900145	No	
row_37	SLC2A3	6555	-0.21141164004802704	-0.46521223	No	
row_38	ZFP3	6588	-0.22193124890327454	-0.46733528	No	
row_39	RAB31	6605	-0.22520974278450012	-0.46790424	No	
row_40	NDST1	6762	-0.26392775774002075	-0.48178077	No	
row_41	DPP4	6840	-0.2846488952636719	-0.4879645	No	
row_42	MLX	6843	-0.2858212888240814	-0.4869247	No	
row_43	FRMD4A	7012	-0.3323424160480499	-0.50166124	No	
row_44	XKRX	7116	-0.362589955329895	-0.5100114	No	
row_45	SENP7	7168	-0.3759271502494812	-0.51329917	No	
row_46	PSEN1	7286	-0.41038358211517334	-0.5227907	No	
row_47	FAM193B	7448	-0.4677239656448364	-0.5362698	No	
row_48	PICALM	7760	-0.5947849750518799	-0.56363803	No	
row_49	MAST4	7865	-0.6375397443771362	-0.570899	No	
row_50	NAA60	7893	-0.6490186452865601	-0.57069945	No	
row_51	STARD5	7988	-0.6868079900741577	-0.5767855	No	
row_52	ITSN2	8002	-0.6931973099708557	-0.5750481	No	
row_53	STXBP2	8062	-0.7180779576301575	-0.5776307	No	
row_54	TLN1	8080	-0.7290888428688049	-0.5761235	No	
row_55	RWDD2A	8094	-0.7353181838989258	-0.57420444	No	
row_56	SLAMF1	8097	-0.7358255386352539	-0.5712245	No	
row_57	NMI	8114	-0.7447152733802795	-0.5695537	No	
row_58	BBS9	8216	-0.7971977591514587	-0.5758375	No	
row_59	ZADH2	8258	-0.8230414986610413	-0.5762351	No	
