NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.02120895	No	
row_1	B4GALT5	25	5.968021392822266	0.03782277	No	
row_2	PSME2	119	4.474827766418457	0.042458728	No	
row_3	CTSW	127	4.425944805145264	0.05524951	No	
row_4	SYNGR2	136	4.322700023651123	0.0676296	No	
row_5	REXO2	190	3.9929111003875732	0.07466137	No	
row_6	PRELID2	201	3.9322762489318848	0.08566042	No	
row_7	PSME1	639	2.5216012001037598	0.051139116	No	
row_8	BHLHE40	751	2.3283045291900635	0.04750597	No	
row_9	NCF4	778	2.284764289855957	0.05194736	No	
row_10	PIM2	829	2.222820520401001	0.053882997	No	
row_11	APOBR	860	2.1878161430358887	0.05764319	No	
row_12	MYC	1183	1.7480862140655518	0.03187194	No	
row_13	PRKAR2A	1289	1.6382321119308472	0.026718458	No	
row_14	MTHFD1L	1418	1.5232001543045044	0.01899425	No	
row_15	IL15RA	1480	1.470443606376648	0.017578576	No	
row_16	INF2	1666	1.3244036436080933	0.0037459733	No	
row_17	DTD2	1826	1.2039904594421387	-0.007942626	No	
row_18	DPY19L1	2056	1.0373413562774658	-0.026896996	No	
row_19	TMCO4	2390	0.8570546507835388	-0.056441437	No	
row_20	CAPG	2392	0.8560428023338318	-0.05393334	No	
row_21	PTS	2446	0.8340126276016235	-0.056513034	No	
row_22	IFIH1	2524	0.7891051769256592	-0.06154664	No	
row_23	PSMB9	2558	0.7718732953071594	-0.06238434	No	
row_24	TAGLN2	2644	0.7401092648506165	-0.06833945	No	
row_25	THY1	2826	0.6595978736877441	-0.083808616	No	
row_26	IL2RB	2894	0.6288431882858276	-0.08836432	No	
row_27	TYMS	3053	0.5777892470359802	-0.10186168	No	
row_28	LRR1	3094	0.5614394545555115	-0.10401554	No	
row_29	ST8SIA6	3115	0.557076632976532	-0.1042516	No	
row_30	TRAF5	3135	0.5507460236549377	-0.10441037	No	
row_31	RFC2	3224	0.5177375078201294	-0.11133174	No	
row_32	UBXN11	3500	0.43031713366508484	-0.13657452	No	
row_33	SLBP	3569	0.4074488580226898	-0.1419004	No	
row_34	ADGRE5	3682	0.37315452098846436	-0.15157896	No	
row_35	PEPD	3697	0.37084564566612244	-0.15180235	No	
row_36	CISD3	3937	0.3076409101486206	-0.17394248	No	
row_37	CKAP2L	3987	0.29222825169563293	-0.17778443	No	
row_38	RAD51	3999	0.2890496551990509	-0.17796703	No	
row_39	SH3BP5	4042	0.2780650556087494	-0.1811762	No	
row_40	SYCE2	4122	0.25868338346481323	-0.1880168	No	
row_41	B2M	4265	0.22289039194583893	-0.20104916	No	
row_42	GSKIP	4355	0.20613248646259308	-0.20901519	No	
row_43	KCTD2	4471	0.17585177719593048	-0.21958373	No	
row_44	OIP5	4640	0.1371092051267624	-0.23538747	No	
row_45	PSPH	4939	0.08168978244066238	-0.26391172	No	
row_46	POLE2	4999	0.06921974569559097	-0.26939774	No	
row_47	RCN1	5018	0.06711136549711227	-0.2709315	No	
row_48	RHBDD3	5082	0.054741714149713516	-0.27684778	No	
row_49	NXT2	5271	0.024209102615714073	-0.2949261	No	
row_50	FAM174B	5485	-0.012944471091032028	-0.31545252	No	
row_51	AVEN	5558	-0.02393052913248539	-0.32233152	No	
row_52	IKZF4	5638	-0.03674320504069328	-0.32984743	No	
row_53	ENPP1	5805	-0.06499175727367401	-0.34567747	No	
row_54	MYO10	6143	-0.12323981523513794	-0.37784088	No	
row_55	CENPM	6288	-0.151901975274086	-0.39128232	No	
row_56	TMIE	6356	-0.16709284484386444	-0.397243	No	
row_57	CHST12	6553	-0.21124984323978424	-0.4155246	No	
row_58	KLHDC2	6970	-0.31958332657814026	-0.4547183	No	
row_59	IFI30	7041	-0.33922114968299866	-0.46044487	No	
row_60	ORAI3	7215	-0.38867563009262085	-0.47596595	No	
row_61	GPR19	7336	-0.4299297332763672	-0.4862442	No	
row_62	FOXN2	7467	-0.47802242636680603	-0.49734163	No	
row_63	CTSS	7522	-0.5006044507026672	-0.5010323	No	
row_64	SMAD7	7747	-0.5907418131828308	-0.52086276	No	
row_65	GGACT	7817	-0.6170542240142822	-0.52564746	No	
row_66	HDAC4	7849	-0.6304892301559448	-0.52672225	No	
row_67	PIM1	7940	-0.6715916395187378	-0.5333686	No	
row_68	KLF3	8027	-0.7035914063453674	-0.53953135	No	
row_69	MID1IP1	8148	-0.7636829018592834	-0.5487941	No	
row_70	NINJ2	8149	-0.7638754844665527	-0.54646987	No	
row_71	TMEM64	8213	-0.7958958148956299	-0.5501311	No	
row_72	APPL2	8223	-0.8021414279937744	-0.5485594	No	
row_73	PELI1	8238	-0.8114405274391174	-0.5474422	No	
row_74	TSC22D3	8378	-0.8920244574546814	-0.558149	No	
row_75	MIF4GD	8435	-0.9349538683891296	-0.5607112	No	
row_76	DENND2C	8453	-0.9431770443916321	-0.5594828	No	
row_77	CASP7	8485	-0.9575551152229309	-0.55956244	No	
row_78	ARL2BP	8537	-0.9888471364974976	-0.5614779	No	
row_79	LGALS1	8616	-1.0387541055679321	-0.56584847	No	
