NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.025228685	Yes	
row_1	LARP1	26	5.96330451965332	0.04504703	Yes	
row_2	PPAN	35	5.748079776763916	0.064961955	Yes	
row_3	SWAP70	37	5.738617897033691	0.08552046	Yes	
row_4	HSPD1	42	5.5952887535095215	0.10527266	Yes	
row_5	MAT2A	62	5.25180196762085	0.12233645	Yes	
row_6	WDR74	101	4.591402530670166	0.13518392	Yes	
row_7	SLC7A1	120	4.465780258178711	0.14951535	Yes	
row_8	IFRD2	125	4.432302474975586	0.16508155	Yes	
row_9	MRPL15	128	4.421436786651611	0.18080224	Yes	
row_10	HSP90AB1	138	4.3175764083862305	0.19547148	Yes	
row_11	CCT3	166	4.142268180847168	0.20776722	Yes	
row_12	POLR2H	169	4.124131202697754	0.22241782	Yes	
row_13	PPAT	176	4.081175804138184	0.23652656	Yes	
row_14	POLR2E	182	4.038355350494385	0.25057802	Yes	
row_15	IFRD1	185	4.0230488777160645	0.26486477	Yes	
row_16	RSL24D1	212	3.884611129760742	0.2763299	Yes	
row_17	GTPBP4	213	3.8796870708465576	0.2902943	Yes	
row_18	IRF5	255	3.5797979831695557	0.29921022	Yes	
row_19	RANBP1	263	3.5571353435516357	0.31133598	Yes	
row_20	RPP14	270	3.5332984924316406	0.3234727	Yes	
row_21	PRDX3	287	3.4644837379455566	0.33439374	Yes	
row_22	FKBP4	292	3.450495481491089	0.34642607	Yes	
row_23	THUMPD1	312	3.3666422367095947	0.3567045	Yes	
row_24	IMPDH2	381	3.1444082260131836	0.36143956	Yes	
row_25	ALG3	448	2.944918394088745	0.3656502	Yes	
row_26	PDCD5	470	2.9063775539398193	0.37407836	Yes	
row_27	PES1	477	2.893566370010376	0.3839125	Yes	
row_28	ETF1	489	2.8532042503356934	0.39311734	Yes	
row_29	MTHFD1	527	2.79106068611145	0.39958155	Yes	
row_30	SUPV3L1	528	2.790513277053833	0.4096256	Yes	
row_31	LSM7	555	2.735093832015991	0.4169532	Yes	
row_32	RHBDF1	605	2.61249041557312	0.42161304	Yes	
row_33	WDR5	668	2.4804391860961914	0.42453906	Yes	
row_34	PSMD11	672	2.468003273010254	0.43313187	Yes	
row_35	MAGOH	717	2.381319761276245	0.43744364	Yes	
row_36	PPIE	736	2.3520004749298096	0.44416684	Yes	
row_37	MRPL40	768	2.2957513332366943	0.44942906	Yes	
row_38	STIP1	832	2.217149257659912	0.45131063	Yes	
row_39	QTRT1	848	2.1976094245910645	0.45776853	Yes	
row_40	DNAJC11	872	2.1686692237854004	0.46334782	Yes	
row_41	MRPS22	875	2.165330648422241	0.47094798	Yes	
row_42	TRMT10C	891	2.133017063140869	0.4771734	Yes	
row_43	UQCC2	908	2.1178205013275146	0.48324728	Yes	
row_44	MRPL32	912	2.11415433883667	0.49056646	Yes	
row_45	KAT2A	928	2.095154285430908	0.49665558	Yes	
row_46	RCC1	942	2.0711886882781982	0.502852	Yes	
row_47	HMBS	944	2.0696840286254883	0.5102048	Yes	
row_48	NSUN5	950	2.0657243728637695	0.517156	Yes	
row_49	NXT1	988	2.0038511753082275	0.52078676	Yes	
row_50	TELO2	1000	1.985379934310913	0.526868	Yes	
row_51	NDUFAF5	1016	1.9645626544952393	0.5324871	Yes	
row_52	XRCC5	1030	1.941595435142517	0.53821707	Yes	
row_53	TTC1	1041	1.9297778606414795	0.544195	Yes	
row_54	AASDHPPT	1054	1.8984553813934326	0.54986656	Yes	
row_55	DHX37	1063	1.8803589344024658	0.55586016	Yes	
row_56	CCT2	1144	1.7901852130889893	0.55455923	Yes	
row_57	YDJC	1204	1.7223981618881226	0.5550472	Yes	
row_58	MRPS2	1237	1.6911718845367432	0.55803657	Yes	
row_59	GTF3C6	1267	1.659589409828186	0.5612027	Yes	
row_60	CARM1	1282	1.6495705842971802	0.5657848	Yes	
row_61	DOT1L	1299	1.627127766609192	0.5700925	Yes	
row_62	PPIA	1314	1.6134892702102661	0.5745448	Yes	
row_63	POLE4	1336	1.5921993255615234	0.5782427	Yes	
row_64	ISY1	1385	1.5559405088424683	0.57919645	Yes	
row_65	WDR12	1485	1.4665417671203613	0.5748913	Yes	
row_66	NDUFAF7	1495	1.4571915864944458	0.579265	Yes	
row_67	PRPF3	1497	1.456421971321106	0.58441037	Yes	
row_68	CSE1L	1530	1.4280651807785034	0.5864527	Yes	
row_69	MVP	1539	1.4209229946136475	0.59079266	Yes	
row_70	LAGE3	1555	1.4065083265304565	0.59440315	Yes	
row_71	TARBP2	1609	1.3674923181533813	0.59419453	Yes	
row_72	ELP2	1685	1.3109264373779297	0.59165263	Yes	
row_73	NUP85	1694	1.3062076568603516	0.5955797	Yes	
row_74	CPSF1	1743	1.2679423093795776	0.5954968	Yes	
row_75	ABT1	1748	1.2659112215042114	0.599666	Yes	
row_76	NOL12	1861	1.1767942905426025	0.5930595	Yes	
row_77	PMPCA	1873	1.1701725721359253	0.5962065	Yes	
row_78	PCNA	1898	1.1550743579864502	0.5980407	Yes	
row_79	FAM210A	1920	1.1340858936309814	0.6000898	Yes	
row_80	EIF2AK4	1997	1.08085036277771	0.5966229	Yes	
row_81	RCE1	2039	1.049466609954834	0.5964313	Yes	
row_82	MTG2	2043	1.047109603881836	0.5999098	Yes	
row_83	TRIM44	2058	1.0364248752593994	0.60228497	Yes	
row_84	CYB5B	2134	0.9894819855690002	0.5985861	No	
row_85	TADA2A	2262	0.9173595309257507	0.58959365	No	
row_86	POLR2C	2342	0.8762421607971191	0.58509994	No	
row_87	TMEM183A	2354	0.8707576394081116	0.58716923	No	
row_88	UBTD2	2408	0.8484716415405273	0.58509254	No	
row_89	MLLT1	2419	0.8439542055130005	0.58716214	No	
row_90	LCMT1	2491	0.8061845302581787	0.58319074	No	
row_91	COX10	2620	0.7521944046020508	0.573507	No	
row_92	NEDD8	2661	0.733597457408905	0.5722753	No	
