NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.029650118	Yes	
row_1	NKG7	11	6.694526195526123	0.057649523	Yes	
row_2	LAP3	16	6.480844020843506	0.08455546	Yes	
row_3	HSPD1	42	5.5952887535095215	0.1056995	Yes	
row_4	WDR43	54	5.387223243713379	0.12732232	Yes	
row_5	NOP56	78	4.855929374694824	0.14554623	Yes	
row_6	GCSH	105	4.552402019500732	0.16220152	Yes	
row_7	DKC1	112	4.5052490234375	0.18059397	Yes	
row_8	SMYD5	129	4.412929058074951	0.19762976	Yes	
row_9	CASP1	133	4.365180492401123	0.2157227	Yes	
row_10	TSPAN2	143	4.296870231628418	0.23294723	Yes	
row_11	MYBBP1A	159	4.208714008331299	0.24921979	Yes	
row_12	APIP	177	4.073735237121582	0.26473033	Yes	
row_13	RRP15	247	3.667435646057129	0.2734969	Yes	
row_14	RANBP1	263	3.5571353435516357	0.28702542	Yes	
row_15	WDR61	335	3.291626214981079	0.29401577	Yes	
row_16	NIFK	345	3.253063917160034	0.30684444	Yes	
row_17	NAF1	365	3.2023470401763916	0.3184917	Yes	
row_18	GAR1	374	3.170020818710327	0.33106747	Yes	
row_19	ABI3	418	3.0213074684143066	0.3396294	Yes	
row_20	TCP1	425	3.0090830326080322	0.351721	Yes	
row_21	MRPL39	443	2.9550678730010986	0.36252043	Yes	
row_22	SHMT2	458	2.9282169342041016	0.37349716	Yes	
row_23	HSP90AA1	459	2.9273252487182617	0.38582516	Yes	
row_24	SEC11C	490	2.8496668338775635	0.3949225	Yes	
row_25	RAN	494	2.8468964099884033	0.4066214	Yes	
row_26	LSM3	539	2.776625871658325	0.41405612	Yes	
row_27	MRPS15	568	2.693054676055908	0.42268747	Yes	
row_28	NDUFA12	603	2.6164188385009766	0.4304154	Yes	
row_29	SMYD2	608	2.5967161655426025	0.4409639	Yes	
row_30	XRCC6	622	2.5539777278900146	0.45046136	Yes	
row_31	SAMSN1	734	2.3531298637390137	0.4496279	Yes	
row_32	METAP2	750	2.3296051025390625	0.45798686	Yes	
row_33	BHLHE40	751	2.3283045291900635	0.46779218	Yes	
row_34	DTYMK	782	2.2796010971069336	0.47448877	Yes	
row_35	MRPL47	785	2.2734968662261963	0.48386967	Yes	
row_36	PIM2	829	2.222820520401001	0.48906893	Yes	
row_37	PPP1R14B	844	2.202648401260376	0.49699003	Yes	
row_38	SNRPD1	861	2.183228015899658	0.50463575	Yes	
row_39	RPS27L	866	2.179076671600342	0.51342547	Yes	
row_40	LMAN1	893	2.132596254348755	0.5198901	Yes	
row_41	HNRNPD	1049	1.9044471979141235	0.51290846	Yes	
row_42	SF3A3	1118	1.8166595697402954	0.5139776	Yes	
row_43	CBX5	1127	1.8060111999511719	0.520809	Yes	
row_44	MRPL41	1149	1.785048246383667	0.52629393	Yes	
row_45	EHD1	1174	1.7531132698059082	0.531354	Yes	
row_46	HDLBP	1177	1.7510087490081787	0.5385346	Yes	
row_47	TAMM41	1238	1.6884112358093262	0.53983784	Yes	
row_48	NDUFA10	1258	1.6689893007278442	0.5450276	Yes	
row_49	RMDN3	1356	1.5784977674484253	0.5422869	Yes	
row_50	BCS1L	1382	1.55715811252594	0.546425	Yes	
row_51	DNAJC24	1434	1.5083930492401123	0.5478412	Yes	
row_52	SERPINB9	1446	1.4980210065841675	0.55308527	Yes	
row_53	CKS2	1473	1.4795353412628174	0.55679965	Yes	
row_54	RGS1	1483	1.468706488609314	0.56211376	Yes	
row_55	APOO	1589	1.3795971870422363	0.55776113	Yes	
row_56	SLIRP	1591	1.3781195878982544	0.5634681	Yes	
row_57	NUDCD2	1597	1.3749452829360962	0.5687745	Yes	
row_58	NUP85	1694	1.3062076568603516	0.5649839	Yes	
row_59	HINT1	1725	1.2823779582977295	0.56748086	Yes	
row_60	PIGF	1786	1.2397270202636719	0.5668946	Yes	
row_61	NMNAT1	1867	1.1722371578216553	0.56408834	Yes	
row_62	COX5A	1872	1.1703475713729858	0.5686299	Yes	
row_63	SNRPB2	1879	1.167508840560913	0.572966	Yes	
row_64	GEMIN2	1885	1.1631345748901367	0.5773804	Yes	
row_65	MRPL21	1930	1.1286715269088745	0.577875	Yes	
row_66	DCUN1D5	1971	1.1000487804412842	0.5786362	Yes	
row_67	PSMD14	2033	1.052733302116394	0.5771657	Yes	
