NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKG7	11	6.694526195526123	0.025474114	Yes	
row_1	LAP3	16	6.480844020843506	0.05077852	Yes	
row_2	GNL3	21	6.126562595367432	0.07467848	Yes	
row_3	C1QBP	32	5.812370300292969	0.0967523	Yes	
row_4	BCL2L1	51	5.405547618865967	0.116439246	Yes	
row_5	LYAR	70	4.969549179077148	0.1343978	Yes	
row_6	CHCHD4	72	4.921378135681152	0.15381046	Yes	
row_7	MRTO4	74	4.910591125488281	0.17318034	Yes	
row_8	GCSH	105	4.552402019500732	0.188324	Yes	
row_9	RCL1	110	4.508786678314209	0.20581076	Yes	
row_10	DKC1	112	4.5052490234375	0.22357377	Yes	
row_11	PLAC8	114	4.489916801452637	0.24127601	Yes	
row_12	GPATCH4	157	4.244081020355225	0.25403622	Yes	
row_13	TBRG4	174	4.0942583084106445	0.26871848	Yes	
row_14	PPA1	183	4.027491092681885	0.28391019	Yes	
row_15	UCHL5	198	3.9457056522369385	0.29819706	Yes	
row_16	CCT5	233	3.7453911304473877	0.3097545	Yes	
row_17	HK2	261	3.5615415573120117	0.32126048	Yes	
row_18	NME1	281	3.48171067237854	0.33322415	Yes	
row_19	UMPS	285	3.4682865142822266	0.3466829	Yes	
row_20	RUVBL1	329	3.3010473251342773	0.35560796	Yes	
row_21	NIFK	345	3.253063917160034	0.3670523	Yes	
row_22	NOC4L	359	3.213181495666504	0.37853205	Yes	
row_23	NAF1	365	3.2023470401763916	0.39074302	Yes	
row_24	EIF2B1	373	3.171718120574951	0.40263903	Yes	
row_25	GAR1	374	3.170020818710327	0.4152057	Yes	
row_26	FARSB	405	3.064000129699707	0.424449	Yes	
row_27	NUDT5	409	3.0517897605895996	0.43625665	Yes	
row_28	TCP1	425	3.0090830326080322	0.4467338	Yes	
row_29	SHMT2	458	2.9282169342041016	0.45524532	Yes	
row_30	TSR1	466	2.9159536361694336	0.46612743	Yes	
row_31	RAN	494	2.8468964099884033	0.4748004	Yes	
