NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKG7	11	6.694526195526123	0.02589372	Yes	
row_1	NHP2	20	6.136864185333252	0.049832057	Yes	
row_2	GNL3	21	6.126562595367432	0.07450291	Yes	
row_3	C1QBP	32	5.812370300292969	0.096941054	Yes	
row_4	BCL2L1	51	5.405547618865967	0.116966985	Yes	
row_5	WDR43	54	5.387223243713379	0.13846712	Yes	
row_6	CHCHD4	72	4.921378135681152	0.15664011	Yes	
row_7	MRTO4	74	4.910591125488281	0.17631765	Yes	
row_8	NOP56	78	4.855929374694824	0.19558159	Yes	
row_9	GCSH	105	4.552402019500732	0.21139802	Yes	
row_10	RCL1	110	4.508786678314209	0.2291673	Yes	
row_11	DKC1	112	4.5052490234375	0.24721259	Yes	
row_12	PLAC8	114	4.489916801452637	0.2651961	Yes	
row_13	SHMT1	115	4.489349365234375	0.28327414	Yes	
row_14	GPATCH4	157	4.244081020355225	0.29639778	Yes	
row_15	MYBBP1A	159	4.208714008331299	0.31324893	Yes	
row_16	TBRG4	174	4.0942583084106445	0.32838148	Yes	
row_17	CCND2	217	3.8307712078094482	0.33974403	Yes	
row_18	TXN2	232	3.7528345584869385	0.3535017	Yes	
row_19	CCT5	233	3.7453911304473877	0.3685839	Yes	
row_20	HK2	261	3.5615415573120117	0.38031352	Yes	
row_21	NME1	281	3.48171067237854	0.39249566	Yes	
row_22	RUVBL1	329	3.3010473251342773	0.40124133	Yes	
row_23	NIFK	345	3.253063917160034	0.41288975	Yes	
row_24	NOC4L	359	3.213181495666504	0.42457104	Yes	
row_25	NAF1	365	3.2023470401763916	0.43698272	Yes	
row_26	MRPL42	369	3.1783347129821777	0.4494912	Yes	
row_27	EIF2B1	373	3.171718120574951	0.46197304	Yes	
row_28	GAR1	374	3.170020818710327	0.4747383	Yes	
row_29	TCP1	425	3.0090830326080322	0.482018	Yes	
row_30	SHMT2	458	2.9282169342041016	0.49071357	Yes	
row_31	TSR1	466	2.9159536361694336	0.5017785	Yes	
row_32	RAN	494	2.8468964099884033	0.5106303	Yes	
row_33	CDK4	505	2.8296611309051514	0.5210575	Yes	
row_34	LSM3	539	2.776625871658325	0.5290459	Yes	
row_35	AGPAT5	547	2.7621889114379883	0.5394916	Yes	
row_36	CAD	560	2.7120721340179443	0.54925174	Yes	
row_37	OLA1	565	2.6991260051727295	0.55973375	Yes	
row_38	CMSS1	743	2.3404786586761475	0.55203396	Yes	
row_39	POLR3K	767	2.299379348754883	0.559068	Yes	
row_40	DTYMK	782	2.2796010971069336	0.56689316	Yes	
row_41	NUP43	788	2.2719192504882812	0.5755581	Yes	
row_42	AHSA1	801	2.256523370742798	0.5834839	Yes	
row_43	MIPEP	821	2.2328717708587646	0.5906371	Yes	
row_44	PIM2	829	2.222820520401001	0.59891087	Yes	
