NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RREB1	241	3.6934123039245605	-0.013224483	No	
row_1	GBP7	449	2.93876051902771	-0.025218979	No	
row_2	IL7R	582	2.6633541584014893	-0.03071941	No	
row_3	HUWE1	869	2.1705210208892822	-0.052434556	No	
row_4	CALCRL	1190	1.7393667697906494	-0.07860684	No	
row_5	RPL17	1358	1.576369285583496	-0.09044581	No	
row_6	TRIM36	1641	1.341259479522705	-0.11403145	No	
row_7	TNFSF10	1856	1.1795953512191772	-0.13148955	No	
row_8	ARID1A	2565	0.7693360447883606	-0.19777519	No	
row_9	PIK3R5	2766	0.686710000038147	-0.21522252	No	
row_10	ID3	3066	0.5741572976112366	-0.24253769	No	
row_11	TPP2	3089	0.5621250867843628	-0.24313267	No	
row_12	PDCD2	3159	0.5389865040779114	-0.24832992	No	
row_13	GATA1	3239	0.513775110244751	-0.2545616	No	
row_14	MEX3B	3438	0.4509989023208618	-0.27245724	No	
row_15	FAM3C	3504	0.4280962646007538	-0.27756995	No	
row_16	DOCK10	3905	0.3155228793621063	-0.31534368	No	
row_17	OSM	3925	0.3112547993659973	-0.31633165	No	
row_18	NADK2	4124	0.25833168625831604	-0.33475167	No	
row_19	RBM4B	4529	0.16124644875526428	-0.37333155	No	
row_20	MBTD1	4590	0.1453421413898468	-0.37873086	No	
row_21	DCAF7	4831	0.10062247514724731	-0.40163648	No	
row_22	ZSCAN26	4838	0.09891501069068909	-0.40194678	No	
row_23	MCOLN3	4914	0.08691760897636414	-0.40895382	No	
row_24	AQR	4984	0.07281941175460815	-0.41541973	No	
row_25	SLC4A7	5233	0.030379226431250572	-0.43928915	No	
row_26	HS3ST3B1	5283	0.02191006951034069	-0.44396198	No	
row_27	EIF4E3	5318	0.01587275229394436	-0.44720253	No	
row_28	GAB3	5766	-0.059448760002851486	-0.49021247	No	
row_29	PIK3R1	5826	-0.06818898022174835	-0.49572518	No	
row_30	SMAD4	6025	-0.10063740611076355	-0.51457435	No	
row_31	GRK4	6202	-0.13447968661785126	-0.5312066	No	
row_32	DYRK2	6249	-0.1446993201971054	-0.53525555	No	
row_33	RAPGEF4	6424	-0.18399743735790253	-0.5515599	No	
row_34	NCK1	6565	-0.21319305896759033	-0.56450105	No	
row_35	PGS1	6571	-0.21708007156848907	-0.56439316	No	
row_36	DCTN6	6586	-0.2214113473892212	-0.56514275	No	
row_37	PSTK	6643	-0.23359447717666626	-0.56991553	No	
