NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.018584624	Yes	
row_1	CISH	8	7.22438907623291	0.03725322	Yes	
row_2	NHP2	20	6.136864185333252	0.052130144	Yes	
row_3	LARP1	26	5.96330451965332	0.06713635	Yes	
row_4	C1QBP	32	5.812370300292969	0.081750505	Yes	
row_5	NIP7	34	5.753580570220947	0.09659869	Yes	
row_6	PPAN	35	5.748079776763916	0.111529276	Yes	
row_7	EEF1E1	48	5.450740337371826	0.12452731	Yes	
row_8	BCL2L1	51	5.405547618865967	0.1383748	Yes	
row_9	ERGIC1	59	5.327289581298828	0.1515356	Yes	
row_10	MAT2A	62	5.25180196762085	0.16498373	Yes	
row_11	CHCHD4	72	4.921378135681152	0.17689681	Yes	
row_12	NOP2	91	4.713138580322266	0.18739884	Yes	
row_13	NLE1	98	4.633648872375488	0.1988546	Yes	
row_14	FBL	99	4.607914924621582	0.21082361	Yes	
row_15	HSPA9	100	4.595105171203613	0.22275935	Yes	
row_16	WDR74	101	4.591402530670166	0.23468548	Yes	
row_17	GCSH	105	4.552402019500732	0.24622025	Yes	
row_18	NDUFAB1	109	4.53490686416626	0.25770956	Yes	
row_19	PHB	113	4.494336128234863	0.2690935	Yes	
row_20	SHMT1	115	4.489349365234375	0.28065786	Yes	
row_21	IFRD2	125	4.432302474975586	0.2913006	Yes	
row_22	SMYD5	129	4.412929058074951	0.30247307	Yes	
row_23	HOMER1	140	4.307103157043457	0.3126939	Yes	
row_24	NOLC1	141	4.301348686218262	0.3238666	Yes	
row_25	ATAD3A	144	4.294410705566406	0.33482793	Yes	
row_26	SLC7A5	147	4.288360118865967	0.34577352	Yes	
row_27	EIF3G	151	4.25984525680542	0.3565484	Yes	
row_28	BYSL	156	4.244655609130859	0.3671871	Yes	
row_29	MYBBP1A	159	4.208714008331299	0.37792584	Yes	
row_30	CCT3	166	4.142268180847168	0.3881052	Yes	
row_31	TBRG4	174	4.0942583084106445	0.39806324	Yes	
row_32	REXO2	190	3.9929111003875732	0.40698454	Yes	
row_33	DCTD	200	3.9393889904022217	0.4163469	Yes	
row_34	RRP1B	220	3.8092150688171387	0.42440432	Yes	
row_35	SRM	224	3.7798802852630615	0.43393245	Yes	
row_36	CCDC86	225	3.77258563041687	0.44373173	Yes	
row_37	UCK2	238	3.7200465202331543	0.4522343	Yes	
row_38	DIMT1	243	3.689640522003174	0.46143135	Yes	
row_39	HK2	261	3.5615415573120117	0.4690388	Yes	
row_40	G3BP1	295	3.441646099090576	0.4747879	Yes	
row_41	PSMG1	298	3.4283275604248047	0.48349956	Yes	
row_42	HSPA4	318	3.348585844039917	0.4903605	Yes	
row_43	EXOSC7	344	3.2569289207458496	0.49640325	Yes	
row_44	WDR36	350	3.2375288009643555	0.50432926	Yes	
row_45	ADSL	351	3.2343363761901855	0.5127304	Yes	
row_46	EIF2S1	356	3.221670627593994	0.52071196	Yes	
row_47	NOC4L	359	3.213181495666504	0.5288648	Yes	
row_48	UTP15	366	3.2008845806121826	0.536599	Yes	
row_49	EXOSC2	368	3.179539918899536	0.5447611	Yes	
row_50	PRPF31	375	3.1682252883911133	0.5524104	Yes	
row_51	PRMT1	387	3.128174066543579	0.5594723	Yes	
row_52	MRPS10	388	3.1142706871032715	0.5675616	Yes	
row_53	XPOT	389	3.1106975078582764	0.57564163	Yes	
row_54	FARSB	405	3.064000129699707	0.58215004	Yes	
row_55	HEMK1	427	3.0045547485351562	0.587924	Yes	
row_56	EBNA1BP2	428	3.00347900390625	0.59572554	Yes	
row_57	DIS3	442	2.955152988433838	0.6021446	Yes	
row_58	SOD2	469	2.9084057807922363	0.60718536	Yes	
row_59	BOP1	478	2.8917932510375977	0.6139233	Yes	
row_60	GEMIN4	504	2.829960823059082	0.618857	Yes	
row_61	MTHFD1	527	2.79106068611145	0.62397975	Yes	
row_62	ATIC	530	2.7891526222229004	0.63103116	Yes	
