NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSAP	135	4.338417053222656	6.660955E-4	No	
row_1	TG	914	2.1136372089385986	-0.06794369	No	
row_2	GRAP	1643	1.3400813341140747	-0.13416266	No	
row_3	LZTFL1	1840	1.1933987140655518	-0.14935541	No	
row_4	TTC39B	2290	0.9004746079444885	-0.18996239	No	
row_5	CYTH3	2300	0.894260823726654	-0.18800287	No	
row_6	LCMT1	2491	0.8061845302581787	-0.20384055	No	
row_7	LYPD6B	2531	0.7864689230918884	-0.20512584	No	
row_8	TSC1	2817	0.6633746027946472	-0.23061027	No	
row_9	SPOP	2863	0.6440607905387878	-0.23292704	No	
row_10	PHF21A	2882	0.6350165009498596	-0.23265919	No	
row_11	YPEL2	3130	0.5514518022537231	-0.25482002	No	
row_12	AK3	3168	0.5367909669876099	-0.25670204	No	
row_13	TTC9C	3198	0.5265980958938599	-0.257842	No	
row_14	ARL4D	3199	0.5263484716415405	-0.25617597	No	
row_15	MTMR14	3680	0.37326130270957947	-0.3014521	No	
row_16	ADGRE5	3682	0.37315452098846436	-0.30036774	No	
row_17	SKA1	3731	0.3621281683444977	-0.30386728	No	
row_18	PARP8	3976	0.2969229221343994	-0.3265434	No	
row_19	SNRNP25	3985	0.29268619418144226	-0.32639125	No	
row_20	RTN3	4093	0.2652877867221832	-0.3359077	No	
row_21	RIN3	4126	0.2577902674674988	-0.3381889	No	
row_22	MBD1	4280	0.2211337387561798	-0.3522973	No	
row_23	N4BP2L1	4401	0.1931421160697937	-0.36330035	No	
row_24	AP1S3	4487	0.17176596820354462	-0.37098354	No	
row_25	TLK1	4667	0.13066664338111877	-0.38789475	No	
row_26	CENPP	4691	0.1262054443359375	-0.3897214	No	
row_27	TMEM218	4819	0.10304763168096542	-0.40168712	No	
row_28	RFX5	5066	0.058100443333387375	-0.42531273	No	
row_29	FAM221A	5077	0.05588589981198311	-0.4261037	No	
row_30	PIP4K2A	5167	0.04054941609501839	-0.4345894	No	
row_31	TMEM229B	5185	0.0377325601875782	-0.43611532	No	
row_32	BRDT	5307	0.018048152327537537	-0.44776937	No	
row_33	OTUD1	5320	0.015748772770166397	-0.44888097	No	
row_34	TAPBPL	5376	0.005018854048103094	-0.45418835	No	
row_35	IK	5424	-0.004442313220351934	-0.45872325	No	
row_36	IVD	5445	-0.0070094880647957325	-0.4606368	No	
row_37	IFT122	5628	-0.035797636955976486	-0.47813866	No	
row_38	CCDC173	5636	-0.03637457638978958	-0.47870106	No	
row_39	CEP128	5649	-0.03875697776675224	-0.47973981	No	
row_40	PTTG1IP	5755	-0.057583194226026535	-0.48972014	No	
row_41	STARD3	5886	-0.07792176306247711	-0.50205576	No	
row_42	MAP3K3	6008	-0.09803876280784607	-0.51345664	No	
row_43	ANKRD13A	6021	-0.10030078142881393	-0.5143006	No	
row_44	MRPL9	6028	-0.1023571640253067	-0.5145573	No	
row_45	AIDA	6062	-0.10793081670999527	-0.5174097	No	
row_46	SORD	6082	-0.1118866354227066	-0.51889443	No	
row_47	TOX4	6086	-0.11234739422798157	-0.5188292	No	
row_48	CAT	6311	-0.15716595947742462	-0.54001194	No	
row_49	MAP2K6	6401	-0.17888788878917694	-0.5480597	No	
row_50	GLT8D1	6478	-0.19510692358016968	-0.55479795	No	
row_51	KIZ	6658	-0.23705103993415833	-0.57137245	No	
row_52	MTHFS	6682	-0.24627086520195007	-0.572819	No	
row_53	STXBP3	6755	-0.26203009486198425	-0.5789583	No	
row_54	SPICE1	6923	-0.30780428647994995	-0.5941473	No	
row_55	UMAD1	6951	-0.31516608595848083	-0.59576297	No	
row_56	PMM2	7066	-0.34677624702453613	-0.605699	No	
row_57	CENPL	7103	-0.3591451048851013	-0.60804653	No	
row_58	GDI2	7131	-0.3663361072540283	-0.6095002	No	
row_59	PGM2L1	7155	-0.3735770583152771	-0.61054385	No	
row_60	CENPT	7247	-0.3983195722103119	-0.6180906	No	
row_61	AP5M1	7291	-0.41392233967781067	-0.6209423	No	
row_62	AKR1A1	7697	-0.5702935457229614	-0.65833575	No	
row_63	ZPBP2	7704	-0.5723975896835327	-0.6571047	No	
row_64	DZIP1	7734	-0.5829924941062927	-0.65806615	No	
row_65	SLA	7821	-0.6192576289176941	-0.6644297	No	
row_66	NEU3	7872	-0.6414663791656494	-0.6672386	No	
row_67	SDF2	7889	-0.6479706168174744	-0.6667362	No	
row_68	UROD	7898	-0.6534981727600098	-0.665442	No	
row_69	ZRANB3	7977	-0.6838748455047607	-0.6708267	No	
row_70	MDM1	8073	-0.7237777709960938	-0.67773044	No	
row_71	KLC4	8142	-0.7599345445632935	-0.6819066	No	
row_72	SESN1	8146	-0.7625043392181396	-0.6797834	No	
row_73	RAB43	8161	-0.7677028179168701	-0.6787084	No	
row_74	ERLEC1	8167	-0.7694961428642273	-0.6767567	No	
row_75	LRIF1	8176	-0.7742648124694824	-0.6750802	No	
row_76	CD9	8193	-0.7851164937019348	-0.6741437	No	
row_77	HSDL2	8219	-0.7999860048294067	-0.67403114	No	
row_78	RANBP10	8254	-0.8211999535560608	-0.67472255	No	
row_79	MSRB1	8278	-0.8310242295265198	-0.67431825	No	
row_80	TSTD1	8316	-0.8493260145187378	-0.675211	No	
row_81	ESYT2	8335	-0.8587178587913513	-0.6742351	No	
row_82	HIP1R	8391	-0.9084157943725586	-0.67668295	No	
row_83	GSE1	8406	-0.9172617793083191	-0.6751346	No	
row_84	NGLY1	8543	-0.9949406385421753	-0.6851483	No	
row_85	ARHGAP18	8553	-1.0036951303482056	-0.68284243	No	
row_86	ACTN1	8660	-1.0645071268081665	-0.6897323	No	
row_87	POLR3C	8697	-1.0863491296768188	-0.6897781	No	
row_88	IFT140	8715	-1.0981591939926147	-0.68794745	No	
