NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2L11	50	5.4120917320251465	0.015547486	No	
row_1	RGS16	299	3.419492483139038	0.0044354135	No	
row_2	SFR1	462	2.923854351043701	-2.2383564E-4	No	
row_3	IL7R	582	2.6633541584014893	-0.0017044366	No	
row_4	CBX1	1137	1.7949566841125488	-0.04853767	No	
row_5	L3MBTL3	1437	1.5054184198379517	-0.07179278	No	
row_6	PPP2R5D	1601	1.3721200227737427	-0.082393326	No	
row_7	GRAP	1643	1.3400813341140747	-0.08131229	No	
row_8	LZTFL1	1840	1.1933987140655518	-0.095778406	No	
row_9	NEK1	1899	1.1546097993850708	-0.09704051	No	
row_10	SLAIN1	2057	1.0364990234375	-0.10832473	No	
row_11	ADORA2A	2270	0.9115440249443054	-0.12540027	No	
row_12	CYTH3	2300	0.894260823726654	-0.124837525	No	
row_13	OSER1	2508	0.7977854609489441	-0.14185785	No	
row_14	LYPD6B	2531	0.7864689230918884	-0.1410239	No	
row_15	SPOP	2863	0.6440607905387878	-0.17061897	No	
row_16	YPEL2	3130	0.5514518022537231	-0.19427475	No	
row_17	DNAJB4	3149	0.5446807146072388	-0.19396454	No	
row_18	TTC9C	3198	0.5265980958938599	-0.19662464	No	
row_19	TOB1	3287	0.4954148232936859	-0.20327178	No	
row_20	SH3RF1	3505	0.427676796913147	-0.22265351	No	
row_21	ZBTB44	3508	0.4264105558395386	-0.22124092	No	
row_22	MSL3	3550	0.4135715365409851	-0.22364955	No	
row_23	MTMR14	3680	0.37326130270957947	-0.23472312	No	
row_24	PTGIR	4041	0.2783951163291931	-0.2685009	No	
row_25	KHNYN	4053	0.27441638708114624	-0.26853147	No	
row_26	CD5	4221	0.2353437840938568	-0.2838006	No	
row_27	RPRD2	4296	0.2187262922525406	-0.29013553	No	
row_28	N4BP2L1	4401	0.1931421160697937	-0.299469	No	
row_29	SLC38A7	4507	0.1678219884634018	-0.3089946	No	
row_30	RBM4B	4529	0.16124644875526428	-0.3104188	No	
row_31	TNIP1	4729	0.11763042956590652	-0.329227	No	
row_32	CCNF	4758	0.11305660009384155	-0.3315099	No	
row_33	DUSP10	4839	0.09873043745756149	-0.3388772	No	
row_34	ARHGAP12	4960	0.07761739194393158	-0.35019365	No	
row_35	UBE2T	5035	0.06332289427518845	-0.3571139	No	
row_36	FAM221A	5077	0.05588589981198311	-0.36086974	No	
row_37	ZFAND4	5132	0.04560348019003868	-0.3659219	No	
row_38	PIP4K2A	5167	0.04054941609501839	-0.36905834	No	
row_39	OTUD1	5320	0.015748772770166397	-0.3837035	No	
row_40	ASB3	5389	0.0031316489912569523	-0.39027	No	
row_41	AURKB	5465	-0.010311707854270935	-0.39748666	No	
row_42	GPATCH8	5559	-0.02443583309650421	-0.4063914	No	
row_43	SERTAD3	5581	-0.027985896915197372	-0.40831757	No	
row_44	ALDH6A1	5735	-0.05349041149020195	-0.42291728	No	
row_45	PTTG1IP	5755	-0.057583194226026535	-0.42453846	No	
row_46	TESK2	5789	-0.06254637241363525	-0.4274953	No	
row_47	KIF20A	5836	-0.07009918987751007	-0.4316813	No	
row_48	KIF2C	5946	-0.08824736624956131	-0.44189358	No	
row_49	ORC5	5967	-0.09113157540559769	-0.4434851	No	
row_50	MAP3K3	6008	-0.09803876280784607	-0.44698545	No	
row_51	RNF13	6020	-0.0999893769621849	-0.447673	No	
row_52	NDC80	6175	-0.1287662833929062	-0.46208593	No	
row_53	NRIP1	6241	-0.14331868290901184	-0.4678342	No	
row_54	TMIE	6356	-0.16709284484386444	-0.47823322	No	
row_55	MAP2K6	6401	-0.17888788878917694	-0.481816	No	
row_56	FBXL20	6431	-0.18465019762516022	-0.48392597	No	
row_57	HECA	6449	-0.18828436732292175	-0.48486137	No	
row_58	CHST12	6553	-0.21124984323978424	-0.4940299	No	
row_59	ZFAND3	6615	-0.22728438675403595	-0.499075	No	
row_60	PNPLA8	6681	-0.24582843482494354	-0.50443715	No	
row_61	ARRDC3	6702	-0.2501319944858551	-0.50542986	No	
row_62	USP53	6853	-0.28925153613090515	-0.5188514	No	
row_63	CDCA3	6865	-0.29135867953300476	-0.51881814	No	
row_64	AP5S1	6882	-0.2965088486671448	-0.51924914	No	
row_65	DHX40	6918	-0.30577266216278076	-0.52148336	No	
row_66	CENPL	7103	-0.3591451048851013	-0.5379308	No	
row_67	PGM2L1	7155	-0.3735770583152771	-0.5414575	No	
row_68	SENP7	7168	-0.3759271502494812	-0.5412024	No	
row_69	MASTL	7276	-0.40741437673568726	-0.5500191	No	
row_70	KIF18B	7349	-0.4357752501964569	-0.55534303	No	
row_71	KDM4B	7369	-0.44217464327812195	-0.55551565	No	
row_72	USP28	7431	-0.4618493318557739	-0.55967724	No	
row_73	BCL9	7528	-0.5033649802207947	-0.56706834	No	
row_74	FOXO3	7536	-0.5068802833557129	-0.56583637	No	
row_75	ZPBP2	7704	-0.5723975896835327	-0.579836	No	
row_76	SLC37A4	7707	-0.5737424492835999	-0.5778685	No	
row_77	DZIP1	7734	-0.5829924941062927	-0.57818794	No	
row_78	SLA	7821	-0.6192576289176941	-0.58417517	No	
row_79	NEU3	7872	-0.6414663791656494	-0.5865961	No	
row_80	RSRP1	7948	-0.6726476550102234	-0.5913181	No	
row_81	VIPAS39	8004	-0.6948633193969727	-0.59402156	No	
row_82	FBXO25	8010	-0.6965882778167725	-0.5918816	No	
row_83	MDM1	8073	-0.7237777709960938	-0.5951534	No	
row_84	SESN1	8146	-0.7625043392181396	-0.5992467	No	
row_85	CBLB	8189	-0.7821959853172302	-0.6003637	No	
row_86	SSC4D	8222	-0.8014039397239685	-0.60044086	No	
row_87	IPCEF1	8242	-0.812896192073822	-0.5992172	No	
row_88	RANBP10	8254	-0.8211999535560608	-0.5971883	No	
row_89	CTNS	8255	-0.8222112655639648	-0.5940915	No	
row_90	PXYLP1	8275	-0.829282283782959	-0.59280604	No	
row_91	MAT2B	8279	-0.8315067291259766	-0.5899644	No	
row_92	LDLRAP1	8358	-0.8759050965309143	-0.59421104	No	
row_93	KCNN4	8362	-0.8791665434837341	-0.5911899	No	
row_94	TSC22D3	8378	-0.8920244574546814	-0.58928126	No	
row_95	INSR	8390	-0.906408965587616	-0.5869314	No	
row_96	OAZ2	8431	-0.9340618848800659	-0.5872829	No	
row_97	OXR1	8523	-0.9810870289802551	-0.592391	No	
row_98	NGLY1	8543	-0.9949406385421753	-0.59048164	No	
row_99	ABHD4	8641	-1.0542234182357788	-0.5958947	No	
row_100	MBNL2	8736	-1.1091755628585815	-0.6008106	No	
row_101	PAIP2	8854	-1.2047653198242188	-0.6075914	Yes	
row_102	UEVLD	8886	-1.2244961261749268	-0.6059783	Yes	
row_103	EVL	8910	-1.2374809980392456	-0.6035424	Yes	
row_104	SPATA13	8921	-1.2503145933151245	-0.5998005	Yes	
row_105	IP6K1	8966	-1.287354826927185	-0.5992083	Yes	
row_106	GLCCI1	9013	-1.3266266584396362	-0.59866166	Yes	
row_107	ACBD5	9038	-1.3434947729110718	-0.5959232	Yes	
row_108	NARF	9065	-1.3742307424545288	-0.59326243	Yes	
row_109	ING4	9083	-1.3908342123031616	-0.58966845	Yes	
row_110	GALNT9	9136	-1.4406975507736206	-0.58927256	Yes	
row_111	ZYG11B	9212	-1.5354424715042114	-0.59074485	Yes	
row_112	CEP120	9231	-1.555519461631775	-0.58662736	Yes	
row_113	CROT	9307	-1.6279956102371216	-0.5877511	Yes	
row_114	CCDC28A	9313	-1.6323086023330688	-0.58208674	Yes	
row_115	JDP2	9362	-1.6865943670272827	-0.58037776	Yes	
row_116	TSPAN32	9381	-1.708196759223938	-0.5756852	Yes	
row_117	FBXO32	9436	-1.7783372402191162	-0.57421106	Yes	
row_118	OSBPL9	9457	-1.8096983432769775	-0.5693297	Yes	
row_119	CDKN2AIP	9461	-1.815077781677246	-0.5627835	Yes	
row_120	CCDC28B	9484	-1.8488267660140991	-0.55794823	Yes	
row_121	ATG12	9487	-1.8543875217437744	-0.5511572	Yes	
row_122	NBR1	9514	-1.8975062370300293	-0.54652554	Yes	
row_123	PIK3IP1	9532	-1.918428897857666	-0.5409444	Yes	
row_124	RNF181	9559	-1.9740688800811768	-0.5360244	Yes	
row_125	NFATC3	9563	-1.9812945127487183	-0.5288521	Yes	
row_126	IL16	9569	-1.9899578094482422	-0.5218407	Yes	
row_127	TMUB2	9573	-2.000540018081665	-0.5145959	Yes	
row_128	TMEM106B	9594	-2.028791666030884	-0.5088894	Yes	
row_129	TDRP	9631	-2.08907413482666	-0.50450355	Yes	
row_130	YPEL5	9649	-2.123896837234497	-0.49814853	Yes	
row_131	MAF1	9770	-2.3664391040802	-0.5008442	Yes	
row_132	SGMS1	9801	-2.434734344482422	-0.49457604	Yes	
row_133	ANKRD46	9811	-2.449921131134033	-0.48621914	Yes	
row_134	LRRC28	9843	-2.50716495513916	-0.47977492	Yes	
row_135	FAM117B	9852	-2.526242971420288	-0.4710338	Yes	
row_136	CREBRF	9907	-2.632249593734741	-0.4663435	Yes	
row_137	IFNGR1	9928	-2.7109415531158447	-0.4580676	Yes	
row_138	ARMCX2	9936	-2.738664150238037	-0.4484297	Yes	
row_139	TRAF3IP3	9960	-2.79927659034729	-0.4401113	Yes	
row_140	RDH12	9991	-2.8841347694396973	-0.4321505	Yes	
row_141	KLHL24	9998	-2.9028820991516113	-0.42179734	Yes	
row_142	P4HA2	10000	-2.9068033695220947	-0.41094568	Yes	
row_143	UBE2H	10027	-2.9687628746032715	-0.40227917	Yes	
row_144	NATD1	10030	-2.9834532737731934	-0.39123556	Yes	
row_145	ASAP1	10048	-3.05025315284729	-0.38139144	Yes	
row_146	FRMD8	10063	-3.1187262535095215	-0.37099922	Yes	
row_147	FAM189B	10080	-3.1877284049987793	-0.36054057	Yes	
row_148	RPS6KA5	10101	-3.255859375	-0.35021228	Yes	
row_149	CYP2S1	10110	-3.2895493507385254	-0.3385962	Yes	
row_150	CTDSP2	10128	-3.3786418437957764	-0.32751524	Yes	
row_151	CCNG2	10144	-3.4478213787078857	-0.31598023	Yes	
row_152	TCF7	10154	-3.4658560752868652	-0.30379683	Yes	
row_153	FAS	10185	-3.6099801063537598	-0.29310215	Yes	
row_154	MTURN	10192	-3.6389193534851074	-0.2799767	Yes	
row_155	SLC43A2	10216	-3.762531280517578	-0.26803026	Yes	
row_156	ARHGEF18	10244	-3.9867897033691406	-0.2556261	Yes	
row_157	ZC3H12D	10277	-4.177733898162842	-0.24298649	Yes	
row_158	TNFAIP8L1	10284	-4.209028720855713	-0.22771375	Yes	
row_159	IRF9	10293	-4.257012844085693	-0.21245375	Yes	
row_160	STK38	10296	-4.284924030303955	-0.1965082	Yes	
