NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCF4	45	5.465462684631348	0.015666302	No	
row_1	PRKCA	46	5.457050800323486	0.035649627	No	
row_2	NRP1	215	3.874541759490967	0.033606034	No	
row_3	ACAA2	402	3.0699868202209473	0.026877088	No	
row_4	GPHN	741	2.3432023525238037	0.00280072	No	
row_5	STAMBPL1	819	2.2355799674987793	0.0035476377	No	
row_6	RABGAP1L	952	2.0648324489593506	-0.0016447186	No	
row_7	TBC1D16	1136	1.7963078022003174	-0.012747929	No	
row_8	ESR1	1169	1.7609390020370483	-0.0093912855	No	
row_9	CALCRL	1190	1.7393667697906494	-0.004954218	No	
row_10	SLC25A51	1569	1.397600531578064	-0.036358044	No	
row_11	SLC17A9	1773	1.2466098070144653	-0.051406577	No	
row_12	LRRC57	2188	0.9651710987091064	-0.08787219	No	
row_13	CAPG	2392	0.8560428023338318	-0.104350954	No	
row_14	ADPGK	2425	0.8402116894721985	-0.104365945	No	
row_15	RAB33B	2589	0.7606990933418274	-0.11732911	No	
row_16	SMURF1	2781	0.6805956959724426	-0.13329093	No	
row_17	IFT88	2947	0.6136314272880554	-0.14698589	No	
row_18	TAX1BP3	2980	0.6024186611175537	-0.14787166	No	
row_19	TUBGCP4	3000	0.5953181385993958	-0.1475274	No	
row_20	SH3BGRL2	3056	0.577094554901123	-0.15072812	No	
row_21	GATA1	3239	0.513775110244751	-0.16643126	No	
row_22	ITIH5	3270	0.5017693042755127	-0.16749236	No	
row_23	UBXN11	3500	0.43031713366508484	-0.18804218	No	
row_24	ADAMTS6	3591	0.40054288506507874	-0.19527107	No	
row_25	SARDH	3665	0.3772243857383728	-0.20094284	No	
row_26	UBE2J1	3677	0.37380799651145935	-0.20063679	No	
row_27	ADGRE5	3682	0.37315452098846436	-0.1996568	No	
row_28	UBP1	3708	0.3678887188434601	-0.20072508	No	
row_29	SOCS2	3828	0.3359053432941437	-0.2109926	No	
