NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	32	5.812370300292969	0.017079094	Yes	
row_1	DENR	104	4.5703301429748535	0.026073776	Yes	
row_2	GCSH	105	4.552402019500732	0.041875426	Yes	
row_3	RCL1	110	4.508786678314209	0.05713868	Yes	
row_4	MRPL17	118	4.477055549621582	0.072001554	Yes	
row_5	MRPS7	150	4.276183605194092	0.083845206	Yes	
row_6	RABGGTB	164	4.174664497375488	0.097077966	Yes	
row_7	ST14	186	4.016826629638672	0.108988866	Yes	
row_8	PRMT7	189	3.9930367469787598	0.12265542	Yes	
row_9	FUBP1	199	3.9419846534729004	0.13546753	Yes	
row_10	CCND2	217	3.8307712078094482	0.14711963	Yes	
row_11	FASTKD3	229	3.7586262226104736	0.15910178	Yes	
row_12	TXN2	232	3.7528345584869385	0.17193459	Yes	
row_13	PSME3	237	3.7232120037078857	0.18447107	Yes	
row_14	RANBP1	263	3.5571353435516357	0.19439936	Yes	
row_15	CDV3	289	3.4604408740997314	0.20399202	Yes	
row_16	HSPA4	318	3.348585844039917	0.21290617	Yes	
row_17	NIFK	345	3.253063917160034	0.22168227	Yes	
row_18	NUDCD1	352	3.2331490516662598	0.23232421	Yes	
row_19	NOC4L	359	3.213181495666504	0.24289685	Yes	
row_20	NAF1	365	3.2023470401763916	0.25352862	Yes	
row_21	IMPDH2	381	3.1444082260131836	0.26299182	Yes	
row_22	FARSA	412	3.0402119159698486	0.2706421	Yes	
row_23	TXNL4A	436	2.9675939083099365	0.27871755	Yes	
row_24	FOXK2	445	2.9486021995544434	0.28817832	Yes	
row_25	ALG3	448	2.944918394088745	0.2982068	Yes	
row_26	POLR1A	471	2.9052910804748535	0.30616274	Yes	
row_27	BOP1	478	2.8917932510375977	0.31561983	Yes	
row_28	POLR3D	485	2.8637447357177734	0.32497954	Yes	
row_29	TTC27	533	2.7842628955841064	0.3300967	Yes	
row_30	NOL11	537	2.7793469429016113	0.3394537	Yes	
row_31	MRPS15	568	2.693054676055908	0.345899	Yes	
row_32	UTP20	572	2.6815292835235596	0.35491645	Yes	
row_33	TSEN2	576	2.6739089488983154	0.36390752	Yes	
row_34	ALAD	586	2.6503446102142334	0.37223625	Yes	
row_35	NAA20	591	2.6348087787628174	0.38099483	Yes	
