NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	740	2.347698926925659	-0.064167626	No	
row_1	PIM2	829	2.222820520401001	-0.06568992	No	
row_2	ATP8B4	1493	1.4585410356521606	-0.12520733	No	
row_3	GGT1	1633	1.3484549522399902	-0.13440846	No	
row_4	ZFPM1	1798	1.2269208431243896	-0.14640863	No	
row_5	CCDC115	2017	1.0621628761291504	-0.16414753	No	
row_6	PRPF38B	2336	0.8777543306350708	-0.19213435	No	
row_7	TMEM161A	2487	0.8090083003044128	-0.20409437	No	
row_8	LYPD6B	2531	0.7864689230918884	-0.20578004	No	
row_9	SNHG8	2542	0.7824587821960449	-0.20428777	No	
row_10	COX10	2620	0.7521944046020508	-0.20936842	No	
row_11	PIK3R5	2766	0.686710000038147	-0.22122937	No	
row_12	DUSP6	2831	0.6576946377754211	-0.22535014	No	
row_13	CDPF1	2897	0.6274207234382629	-0.22966272	No	
row_14	THEMIS	3059	0.5765212178230286	-0.24341692	No	
row_15	AP4M1	3178	0.533877432346344	-0.25314772	No	
row_16	LAIR1	3197	0.5267273187637329	-0.25323263	No	
row_17	ARFIP1	3442	0.4487529397010803	-0.27541313	No	
row_18	PCYT2	3667	0.3771277070045471	-0.29588506	No	
row_19	ENC1	3702	0.370060533285141	-0.29800928	No	
row_20	CCDC141	3752	0.3558439612388611	-0.30162844	No	
row_21	FBXL14	3799	0.34230419993400574	-0.3050001	No	
row_22	AP2A2	3989	0.2916494607925415	-0.32235673	No	
row_23	PCCB	4063	0.27135026454925537	-0.32856184	No	
row_24	FNBP4	4175	0.24707187712192535	-0.33851725	No	
row_25	GRIPAP1	4431	0.18559642136096954	-0.3625883	No	
row_26	KCTD2	4471	0.17585177719593048	-0.3658063	No	
row_27	USP12	4546	0.15558376908302307	-0.37247193	No	
row_28	EDEM3	4577	0.14812156558036804	-0.37490693	No	
row_29	MCTP2	4587	0.14601580798625946	-0.37531817	No	
row_30	CCDC71L	4593	0.14492087066173553	-0.37534615	No	
row_31	TANC1	4600	0.14423494040966034	-0.37547293	No	
row_32	HIPK1	4619	0.1405995488166809	-0.37677136	No	
row_33	DOLK	4672	0.1297227293252945	-0.38139123	No	
row_34	CLN3	4893	0.08924904465675354	-0.40238118	No	
row_35	LANCL3	4920	0.08573213219642639	-0.4046255	No	
row_36	FAM120AOS	4981	0.07326292246580124	-0.41019627	No	
row_37	NXF1	5007	0.06832557171583176	-0.41239864	No	
row_38	HS3ST3B1	5283	0.02191006951034069	-0.43891782	No	
row_39	OTUD1	5320	0.015748772770166397	-0.44234893	No	
row_40	SLC30A4	5323	0.015227065421640873	-0.44249445	No	
row_41	TMEM186	5344	0.01161795575171709	-0.4443916	No	
row_42	AAK1	5457	-0.008900073356926441	-0.4551922	No	
row_43	MAD2L1BP	5647	-0.03835811838507652	-0.4733449	No	
row_44	EVI2A	5822	-0.06700418889522552	-0.48995727	No	
row_45	ITGB3	5874	-0.07494158297777176	-0.49465263	No	
row_46	RNF146	5905	-0.08131274580955505	-0.49729759	No	
row_47	METTL9	5949	-0.08847486227750778	-0.50117695	No	
row_48	SLC20A1	5993	-0.09565047919750214	-0.50503373	No	
row_49	DYRK2	6249	-0.1446993201971054	-0.52923334	No	
row_50	RAPGEF4	6424	-0.18399743735790253	-0.54547805	No	
row_51	PPP6R3	6626	-0.23015636205673218	-0.5641881	No	
row_52	GALNT10	6751	-0.26111793518066406	-0.57535625	No	
row_53	EIF2AK3	6815	-0.27901333570480347	-0.58057046	No	
row_54	PKNOX1	7746	-0.590642511844635	-0.66863006	No	
row_55	GPBP1L1	7757	-0.5939687490463257	-0.6677302	No	
row_56	GPR171	7782	-0.6057239770889282	-0.6681469	No	
row_57	ALKBH4	7783	-0.6059989333152771	-0.6662424	No	
row_58	CBX4	7844	-0.6288133263587952	-0.6700672	No	
row_59	FAM160B1	7923	-0.6622071862220764	-0.67552733	No	
row_60	KBTBD2	7993	-0.6903537511825562	-0.68002886	No	
row_61	SETDB2	8068	-0.7225874662399292	-0.6849125	No	
row_62	PAG1	8069	-0.7227782011032104	-0.68264097	No	
row_63	PPM1H	8091	-0.7352428436279297	-0.6823606	No	
row_64	RMND5B	8159	-0.7671687006950378	-0.68642735	No	
row_65	ATP6V0A2	8175	-0.7733311653137207	-0.6854472	No	
row_66	TLE4	8210	-0.7947510480880737	-0.6862367	No	
row_67	APPL2	8223	-0.8021414279937744	-0.68487597	No	
row_68	ITK	8224	-0.8023334741592407	-0.6823544	No	
row_69	STK26	8227	-0.8047160506248474	-0.68001866	No	
row_70	RANBP10	8254	-0.8211999535560608	-0.6799516	No	
row_71	PXYLP1	8275	-0.829282283782959	-0.67927897	No	
row_72	CD4	8336	-0.8603073954582214	-0.68237627	No	
row_73	ANKRD13D	8351	-0.8691954016685486	-0.6809981	No	
row_74	ITPR1	8481	-0.9564635753631592	-0.6904643	No	
row_75	PEX5	8509	-0.9733248949050903	-0.69001585	No	
row_76	PDE3B	8558	-1.0068836212158203	-0.6914922	No	
row_77	CHD7	8612	-1.0361218452453613	-0.69336015	No	
row_78	MBOAT4	8640	-1.05341374874115	-0.6926599	No	
row_79	ARHGAP29	8657	-1.0630815029144287	-0.6908658	No	
row_80	UGCG	8791	-1.137513518333435	-0.7001498	No	
row_81	INPP1	8869	-1.214926838874817	-0.7037762	No	
row_82	PLEKHA2	8881	-1.2212214469909668	-0.70100164	No	
row_83	TTLL12	8917	-1.2440911531448364	-0.70047563	No	
row_84	GRAP2	8930	-1.257421612739563	-0.697684	No	
row_85	ARL4C	9037	-1.3413797616958618	-0.7037168	No	
row_86	DNAJC6	9052	-1.353574275970459	-0.7008164	No	
row_87	MSRA	9143	-1.4471125602722168	-0.70496994	Yes	
row_88	GUCD1	9150	-1.4580206871032715	-0.7009677	Yes	
row_89	INPP5B	9163	-1.471326470375061	-0.69750386	Yes	
row_90	ST3GAL6	9178	-1.4954259395599365	-0.6941576	Yes	
row_91	ALS2CL	9186	-1.5095834732055664	-0.6900901	Yes	
row_92	LBR	9225	-1.5492476224899292	-0.6888951	Yes	
row_93	PLEKHO1	9227	-1.550732135772705	-0.68411815	Yes	
row_94	PARP16	9244	-1.5665947198867798	-0.6807416	Yes	
row_95	ZAP70	9258	-1.5798618793487549	-0.6770333	Yes	
row_96	LONP2	9290	-1.6077255010604858	-0.6749777	Yes	
row_97	PGAP1	9303	-1.6213523149490356	-0.6710424	Yes	
row_98	LYST	9329	-1.6490334272384644	-0.66827685	Yes	
row_99	CLIP1	9394	-1.7250268459320068	-0.66904324	Yes	
row_100	MAP3K1	9403	-1.732509970664978	-0.6643717	Yes	
row_101	MOB3B	9407	-1.7363722324371338	-0.6592047	Yes	
row_102	ICAM2	9427	-1.7718204259872437	-0.65547323	Yes	
row_103	NTRK3	9477	-1.8398572206497192	-0.6544285	Yes	
row_104	NFE2L2	9486	-1.852473497390747	-0.64937997	Yes	
row_105	ATP2A3	9490	-1.858436942100525	-0.64382935	Yes	
row_106	SCML4	9509	-1.8913787603378296	-0.63962543	Yes	
row_107	SEMA4A	9557	-1.9723838567733765	-0.63797075	Yes	
row_108	CCSAP	9586	-2.018148183822632	-0.6343353	Yes	
row_109	TNFRSF1A	9604	-2.048508644104004	-0.6295408	Yes	
row_110	TDRP	9631	-2.08907413482666	-0.62548906	Yes	
row_111	B3GALT4	9729	-2.2769908905029297	-0.62771124	Yes	
row_112	TGFBR3	9750	-2.3320326805114746	-0.6223158	Yes	
row_113	TMEM9B	9756	-2.3397529125213623	-0.61544585	Yes	
row_114	PDLIM4	9766	-2.3554177284240723	-0.6089134	Yes	
