NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.06539257	Yes	
row_1	NHP2	20	6.136864185333252	0.1269684	Yes	
row_2	MRPL12	40	5.616093158721924	0.18202668	Yes	
row_3	TNFSF11	67	5.015333652496338	0.23033132	Yes	
row_4	DENR	104	4.5703301429748535	0.2731727	Yes	
row_5	GCSH	105	4.552402019500732	0.31927618	Yes	
row_6	TMA16	179	4.058250904083252	0.35339227	Yes	
row_7	TIMM9	216	3.8439483642578125	0.38887736	Yes	
row_8	THYN1	346	3.2529804706573486	0.40948144	Yes	
row_9	PRPF19	361	3.2075374126434326	0.4406259	Yes	
row_10	LSM7	555	2.735093832015991	0.44986314	Yes	
row_11	NAA20	591	2.6348087787628174	0.4731986	Yes	
row_12	PSMA7	652	2.5079452991485596	0.49285784	Yes	
row_13	TIMM10	729	2.355945110321045	0.5094472	Yes	
row_14	PTPN11	740	2.347698926925659	0.5322665	Yes	
row_15	CMSS1	743	2.3404786586761475	0.55577785	Yes	
row_16	MRPL40	768	2.2957513332366943	0.5767318	Yes	
row_17	UCHL3	770	2.295365810394287	0.59988195	Yes	
row_18	GTPBP8	809	2.2467544078826904	0.6190005	Yes	
row_19	ERH	885	2.1491353511810303	0.6335911	Yes	
row_20	YBX3	911	2.1144206523895264	0.65261304	Yes	
row_21	PHF5A	940	2.072814464569092	0.67092663	Yes	
row_22	PPIH	1326	1.6012487411499023	0.6503149	Yes	
row_23	MRPL50	1343	1.5899300575256348	0.66488606	Yes	
row_24	ANGPTL4	1398	1.5442438125610352	0.6753596	Yes	
row_25	DOC2A	1433	1.5088932514190674	0.68738824	Yes	
row_26	TIMP3	1594	1.3759791851043701	0.68601805	Yes	
row_27	ITGA9	1603	1.3718935251235962	0.69914633	Yes	
row_28	CETN3	1659	1.3280514478683472	0.70733476	Yes	
row_29	TTL	1762	1.2563644647598267	0.7103013	Yes	
row_30	SH3BGRL	1832	1.2002707719802856	0.71585643	Yes	
row_31	SPARC	1978	1.0963846445083618	0.7130895	No	
row_32	TAGLN2	2644	0.7401092648506165	0.6569728	No	
row_33	ARL4D	3199	0.5263484716415405	0.6093092	No	
row_34	ORMDL2	3220	0.5185922384262085	0.612648	No	
row_35	XRCC2	3247	0.5115050673484802	0.61534107	No	
row_36	TMEM238	3423	0.45418885350227356	0.6032008	No	
row_37	EMG1	3521	0.4217608571052551	0.5981933	No	
row_38	SNF8	3645	0.3841746151447296	0.59031814	No	
row_39	ADGRE5	3682	0.37315452098846436	0.59065354	No	
row_40	CCDC141	3752	0.3558439612388611	0.5876569	No	
row_41	LARP7	3760	0.35394009947776794	0.59057176	No	
row_42	CD160	4218	0.23575451970100403	0.549244	No	
row_43	TPMT	4504	0.1684628427028656	0.5236878	No	
row_44	BACE1	5101	0.05139455571770668	0.46719658	No	
row_45	TOB2	5174	0.03979254141449928	0.46071225	No	
row_46	EXTL3	5861	-0.07294320315122604	0.39583015	No	
row_47	PIGT	5865	-0.07317356020212173	0.39628422	No	
row_48	PMS1	6191	-0.13219574093818665	0.36653444	No	
row_49	CENPM	6288	-0.151901975274086	0.3588897	No	
row_50	PTMS	6644	-0.234588623046875	0.32730713	No	
row_51	EGR3	7649	-0.5504176020622253	0.23684159	No	
row_52	FAM204A	8121	-0.7469865679740906	0.19935201	No	
row_53	ZSCAN29	8864	-1.2110944986343384	0.14063948	No	
row_54	RYR3	9312	-1.6317421197891235	0.114405856	No	
