NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S2	60	5.300622940063477	0.020158673	Yes	
row_1	TNFSF11	67	5.015333652496338	0.044134438	Yes	
row_2	IARS	92	4.711326599121094	0.06488383	Yes	
row_3	PLIN2	116	4.487641334533691	0.0846346	Yes	
row_4	PSME2	119	4.474827766418457	0.10635026	Yes	
row_5	IFRD1	185	4.0230488777160645	0.11977117	Yes	
row_6	CCND2	217	3.8307712078094482	0.13553348	Yes	
row_7	EIF5	248	3.664923667907715	0.15058036	Yes	
row_8	HK2	261	3.5615415573120117	0.16685903	Yes	
row_9	MORF4L2	286	3.4675424098968506	0.18151885	Yes	
row_10	TARS	536	2.781351089477539	0.17109464	Yes	
row_11	RBPJ	691	2.440864086151123	0.16817595	Yes	
row_12	RPL7	704	2.4203128814697266	0.17886716	Yes	
row_13	MAGOH	717	2.381319761276245	0.18936747	Yes	
row_14	BHLHE40	751	2.3283045291900635	0.1975806	Yes	
row_15	GARS	758	2.3121449947357178	0.20832156	Yes	
row_16	RPL36AL	761	2.307328224182129	0.21942513	Yes	
row_17	RPL23	858	2.1888885498046875	0.22087283	Yes	
row_18	CLDND1	899	2.124824285507202	0.22741386	Yes	
row_19	IFNG	953	2.0643882751464844	0.2324038	Yes	
row_20	DUSP4	1052	1.9000099897384644	0.23224404	Yes	
row_21	ADO	1233	1.6988766193389893	0.2231822	Yes	
row_22	RPS11	1270	1.6573717594146729	0.22782078	Yes	
row_23	PPFIA1	1290	1.6372419595718384	0.23400222	Yes	
row_24	PGAM1	1330	1.5988037586212158	0.2380644	Yes	
row_25	ABL2	1390	1.550107479095459	0.2399571	Yes	
row_26	UBE2D3	1397	1.5447965860366821	0.24694109	Yes	
row_27	RPL9	1458	1.4907288551330566	0.24844652	Yes	
row_28	CKS2	1473	1.4795353412628174	0.2543386	Yes	
row_29	STRN3	1528	1.4311004877090454	0.25613138	Yes	
row_30	RPS25	1558	1.4029964208602905	0.2602004	Yes	
row_31	MKLN1	1656	1.330600380897522	0.2573494	Yes	
row_32	RRN3	1664	1.3264187574386597	0.26316768	Yes	
row_33	RPL31	1785	1.2412376403808594	0.25765842	Yes	
row_34	CHMP2B	1812	1.2125968933105469	0.2610849	Yes	
row_35	PFDN4	1834	1.1969703435897827	0.26491767	Yes	
row_36	CDKN1A	1852	1.1818578243255615	0.26906264	Yes	
row_37	RPS19	1859	1.1772502660751343	0.27424714	Yes	
row_38	SERTAD2	1903	1.1499584913253784	0.27572554	Yes	
row_39	CCRL2	1908	1.1447722911834717	0.28094414	Yes	
row_40	RPL23A	1911	1.142180323600769	0.28634316	Yes	
row_41	EIF1	2010	1.0731416940689087	0.28213507	Yes	
row_42	RPL24	2021	1.0603479146957397	0.286361	Yes	
row_43	TMED5	2041	1.0488826036453247	0.28966182	Yes	
