NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.024227737	No	
row_1	CD22	68	4.99036979675293	0.042448405	No	
row_2	NCF1	83	4.803915977478027	0.062542	No	
row_3	PISD	330	3.2983338832855225	0.053498723	No	
row_4	NFKB2	503	2.830190658569336	0.04951526	No	
row_5	NFKB1	798	2.2595603466033936	0.031196875	No	
row_6	BCLAF1	837	2.2105209827423096	0.037393868	No	
row_7	NADK	1088	1.8482177257537842	0.021490324	No	
row_8	FCRL1	1254	1.6729055643081665	0.013016692	No	
row_9	PTPN6	1261	1.6649576425552368	0.019869896	No	
row_10	RPS11	1270	1.6573717594146729	0.026495999	No	
row_11	IRF4	1416	1.5249395370483398	0.019294165	No	
row_12	GRAP	1643	1.3400813341140747	0.003440976	No	
row_13	IMMP2L	1667	1.3243732452392578	0.0071311877	No	
row_14	PRPF4B	1713	1.2905137538909912	0.008544636	No	
row_15	LUC7L2	2205	0.9563838243484497	-0.034625366	No	
row_16	MCCC1	2564	0.7694173455238342	-0.06577981	No	
row_17	CASP8	2579	0.7647655606269836	-0.063718304	No	
row_18	GPX1	2627	0.7510102987289429	-0.06490661	No	
row_19	ALG2	2650	0.7382604479789734	-0.06373638	No	
row_20	TMEM115	2651	0.7380450367927551	-0.060441505	No	
row_21	CPSF7	2735	0.7001048922538757	-0.06533533	No	
row_22	RPS21	2853	0.6483086347579956	-0.07374542	No	
row_23	LPGAT1	3044	0.5805614590644836	-0.08951109	No	
row_24	KCTD6	3234	0.5152081847190857	-0.1054719	No	
row_25	REEP5	3254	0.5097563862800598	-0.10503193	No	
row_26	ALG1	3264	0.5035995244979858	-0.10365327	No	
row_27	ACP2	3347	0.47652357816696167	-0.10944861	No	
row_28	CD79B	3437	0.4513517916202545	-0.11603267	No	
row_29	RHOF	3518	0.42339837551116943	-0.12187195	No	
row_30	NUDT6	3678	0.3736454248428345	-0.13556619	No	
row_31	WFS1	3769	0.352314293384552	-0.14268899	No	
row_32	BTBD1	3884	0.3209478557109833	-0.15227067	No	
row_33	CISD3	3937	0.3076409101486206	-0.15592141	No	
row_34	STAT6	3943	0.3055528700351715	-0.15504043	No	
row_35	MFSD3	3968	0.2985301613807678	-0.15602653	No	
row_36	PARD6G	4094	0.2648322582244873	-0.16692153	No	
row_37	METTL3	4170	0.2477288842201233	-0.17306195	No	
row_38	FNBP4	4175	0.24707187712192535	-0.17234541	No	
row_39	YIPF6	4263	0.22386851906776428	-0.1797518	No	
row_40	ZDHHC13	4311	0.2150399535894394	-0.18333285	No	
row_41	RGP1	4390	0.19632621109485626	-0.18999262	No	
row_42	EP300	4880	0.09217341989278793	-0.23682751	No	
row_43	LYRM5	4916	0.08672916889190674	-0.23982196	No	
row_44	ZCCHC2	5115	0.048545852303504944	-0.25873566	No	
row_45	TMEM229B	5185	0.0377325601875782	-0.26523387	No	
row_46	SIPA1	5231	0.030425917357206345	-0.26944587	No	
row_47	TM9SF2	5267	0.024660812690854073	-0.27271742	No	
row_48	SPAG9	5319	0.01586678810417652	-0.27757412	No	
row_49	TEX264	5512	-0.0173022523522377	-0.2960476	No	
row_50	PIK3R4	5571	-0.02695922739803791	-0.30153114	No	
row_51	IQSEC1	5662	-0.040372442454099655	-0.31004652	No	
row_52	TRIM11	5714	-0.049213968217372894	-0.31475437	No	
row_53	GLO1	5736	-0.05358201265335083	-0.31654415	No	
row_54	CLCN5	5768	-0.05962057784199715	-0.31927314	No	
row_55	CDK16	5794	-0.06327666342258453	-0.32140613	No	
row_56	GPS2	6024	-0.10059428960084915	-0.34308264	No	
row_57	AIDA	6062	-0.10793081670999527	-0.34617567	No	
row_58	CHIC1	6090	-0.11344973742961884	-0.3482779	No	
row_59	RSBN1	6236	-0.14229163527488708	-0.3616523	No	
row_60	SIPA1L3	6410	-0.1821078062057495	-0.3775543	No	
row_61	GLT8D1	6478	-0.19510692358016968	-0.38315672	No	
row_62	CTSC	6793	-0.27107152342796326	-0.41228473	No	
row_63	SPICE1	6923	-0.30780428647994995	-0.42337435	No	
row_64	TMEM55A	6928	-0.30887892842292786	-0.4223819	No	
row_65	BTD	6932	-0.3092099726200104	-0.42129135	No	
row_66	GALNT6	6978	-0.3227454721927643	-0.42419833	No	
row_67	RFK	6983	-0.32509756088256836	-0.42313346	No	
row_68	SDF4	7015	-0.33366379141807556	-0.42463905	No	
row_69	CFLAR	7021	-0.3355939984321594	-0.42362392	No	
row_70	CRADD	7099	-0.35716649889945984	-0.42946905	No	
row_71	PPCS	7105	-0.35965585708618164	-0.4283465	No	
row_72	AZI2	7136	-0.3674864172935486	-0.42960447	No	
row_73	NPC1	7257	-0.4014928638935089	-0.43940628	No	
row_74	LDB1	7285	-0.40993696451187134	-0.4401849	No	
row_75	MED12	7316	-0.4226683974266052	-0.4411965	No	
row_76	KLHL17	7350	-0.4359271824359894	-0.4424388	No	
row_77	TBC1D20	7353	-0.4369753301143646	-0.44068122	No	
row_78	FAM120B	7439	-0.46449244022369385	-0.44682014	No	
row_79	SPNS1	7442	-0.46622708439826965	-0.44493198	No	
row_80	FAM193B	7448	-0.4677239656448364	-0.443327	No	
row_81	DNAJB14	7614	-0.5320262908935547	-0.4568939	No	
row_82	SLC37A4	7707	-0.5737424492835999	-0.46322143	No	
row_83	TNFRSF13B	7762	-0.5961757898330688	-0.46577728	No	
row_84	CNR2	7835	-0.6254152059555054	-0.46994177	No	
row_85	SLC35B3	7859	-0.6361356377601624	-0.46932405	No	
row_86	FICD	8040	-0.7094703912734985	-0.48354805	No	
row_87	INPP4B	8194	-0.7856826782226562	-0.49482313	No	
row_88	ATE1	8212	-0.7958212494850159	-0.49291283	No	
row_89	GOLGA5	8225	-0.8031691312789917	-0.49048662	No	
row_90	IPCEF1	8242	-0.812896192073822	-0.4884035	No	
row_91	PHF7	8327	-0.8555642366409302	-0.49269992	No	
row_92	MXD4	8427	-0.9306526780128479	-0.49811038	No	
row_93	IQGAP1	8451	-0.9415448307991028	-0.49612924	No	
row_94	SLC9A8	8464	-0.9484387040138245	-0.49305454	No	
row_95	NFRKB	8482	-0.9567661285400391	-0.49042574	No	
row_96	MMS19	8671	-1.0713229179382324	-0.50380725	Yes	
row_97	PIGX	8700	-1.089127779006958	-0.50165033	Yes	
row_98	GIMAP1	8729	-1.10590398311615	-0.49941853	Yes	
row_99	PLCG1	8752	-1.1184204816818237	-0.49655116	Yes	
row_100	CRLF3	8792	-1.1378581523895264	-0.4952395	Yes	
row_101	PTPRE	8880	-1.2204941511154175	-0.4981966	Yes	
row_102	UBE3B	8923	-1.2541499137878418	-0.49665564	Yes	
row_103	GRAP2	8930	-1.257421612739563	-0.49162182	Yes	
row_104	PAN2	8955	-1.2768125534057617	-0.48824054	Yes	
row_105	IP6K1	8966	-1.287354826927185	-0.48345956	Yes	
row_106	SIDT2	9000	-1.319553017616272	-0.48075706	Yes	
row_107	INPP5F	9011	-1.325411319732666	-0.47580615	Yes	
row_108	HSD17B4	9032	-1.338549256324768	-0.4717628	Yes	
row_109	CALCOCO1	9036	-1.3410576581954956	-0.46606573	Yes	
row_110	INADL	9070	-1.3802049160003662	-0.46309248	Yes	
row_111	RELA	9112	-1.4220902919769287	-0.46070513	Yes	
row_112	UBA7	9116	-1.4259389638900757	-0.45462915	Yes	
row_113	LATS2	9187	-1.5097771883010864	-0.45465228	Yes	
row_114	ZYG11B	9212	-1.5354424715042114	-0.4501164	Yes	
row_115	PARP14	9224	-1.5484216213226318	-0.44426656	Yes	
row_116	NUCB2	9286	-1.6043180227279663	-0.44299808	Yes	
row_117	DIP2B	9311	-1.6306447982788086	-0.4380372	Yes	
row_118	TSPAN32	9381	-1.708196759223938	-0.4370779	Yes	
row_119	CLIP1	9394	-1.7250268459320068	-0.43053624	Yes	
row_120	ANKZF1	9402	-1.7315741777420044	-0.42348224	Yes	
row_121	BAZ2B	9419	-1.7562237977981567	-0.41718778	Yes	
row_122	UNKL	9423	-1.7592945098876953	-0.4096236	Yes	
row_123	PIAS3	9466	-1.823637843132019	-0.40554023	Yes	
row_124	LTB	9517	-1.9022566080093384	-0.40187886	Yes	
row_125	RNF181	9559	-1.9740688800811768	-0.3970273	Yes	
row_126	PIK3CG	9577	-2.0050432682037354	-0.38971868	Yes	
row_127	SAMHD1	9578	-2.0054101943969727	-0.38076586	Yes	
row_128	DAZAP2	9595	-2.0289406776428223	-0.3732539	Yes	
row_129	PCIF1	9635	-2.092867374420166	-0.3676788	Yes	
row_130	SLC46A3	9652	-2.125354766845703	-0.35973638	Yes	
row_131	BAZ2A	9668	-2.161909818649292	-0.3515342	Yes	
row_132	CIZ1	9669	-2.1624932289123535	-0.3418801	Yes	
row_133	CD47	9735	-2.2922310829162598	-0.33792704	Yes	
row_134	CHMP1B	9748	-2.3274364471435547	-0.32869604	Yes	
row_135	TMEM9B	9756	-2.3397529125213623	-0.31892693	Yes	
row_136	GRN	9817	-2.459601879119873	-0.31374356	Yes	
row_137	CAST	9886	-2.5867018699645996	-0.30876574	Yes	
row_138	SUN1	9926	-2.7075793743133545	-0.30044633	Yes	
row_139	RAB37	9930	-2.716784715652466	-0.28860757	Yes	
row_140	ABCC5	9935	-2.7236404418945312	-0.27683485	Yes	
row_141	SPTBN1	9971	-2.8436357975006104	-0.26752156	Yes	
row_142	MDP1	9977	-2.8604702949523926	-0.25523457	Yes	
row_143	HSH2D	10054	-3.0788211822509766	-0.24883272	Yes	
row_144	ARSB	10072	-3.1719448566436768	-0.23631462	Yes	
row_145	FAM189B	10080	-3.1877284049987793	-0.22275989	Yes	
row_146	SMPD1	10090	-3.2183468341827393	-0.2092617	Yes	
row_147	FLI1	10112	-3.3106637001037598	-0.1965108	Yes	
row_148	BCAS3	10131	-3.379657030105591	-0.18316205	Yes	
row_149	PBXIP1	10150	-3.4621076583862305	-0.1694452	Yes	
row_150	CD84	10230	-3.858182430267334	-0.15985386	Yes	
row_151	TMC6	10242	-3.978999137878418	-0.14315312	Yes	
row_152	HVCN1	10282	-4.205541610717773	-0.12814632	Yes	
row_153	DHRS7	10283	-4.2076311111450195	-0.10936208	Yes	
row_154	GNG2	10363	-4.767880439758301	-0.095709555	Yes	
row_155	LSP1	10368	-4.812562942504883	-0.07461118	Yes	
row_156	RBL2	10455	-6.031911373138428	-0.055991936	Yes	
row_157	GRAMD3	10465	-6.316985130310059	-0.028660417	Yes	
row_158	CPM	10490	-7.328808307647705	0.0017389354	Yes	
