NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.040638603	Yes	
row_1	MRPL15	128	4.421436786651611	0.05448765	Yes	
row_2	ECI1	132	4.3715972900390625	0.07925657	Yes	
row_3	APIP	177	4.073735237121582	0.09835751	Yes	
row_4	THYN1	346	3.2529804706573486	0.10077539	Yes	
row_5	DNMT3A	357	3.2205121517181396	0.118269905	Yes	
row_6	CUL2	465	2.9173736572265625	0.12465661	Yes	
row_7	CPD	479	2.8889482021331787	0.13996075	Yes	
row_8	SEC11C	490	2.8496668338775635	0.15532951	Yes	
row_9	SDHD	577	2.670950412750244	0.16233227	Yes	
row_10	PHGDH	607	2.5995421409606934	0.17443189	Yes	
row_11	TMEM147	643	2.5165061950683594	0.18547593	Yes	
row_12	PSMA7	652	2.5079452991485596	0.1990791	Yes	
row_13	PPP1R11	662	2.4871809482574463	0.21246663	Yes	
row_14	GMPS	724	2.3660964965820312	0.22013691	Yes	
row_15	GUK1	766	2.3008155822753906	0.22936498	Yes	
row_16	SLC7A6	812	2.24470853805542	0.23788503	Yes	
row_17	EIF6	834	2.214841842651367	0.24855228	Yes	
row_18	UBE2G1	880	2.1582391262054443	0.2565767	Yes	
row_19	AARSD1	991	2.002941370010376	0.2574319	Yes	
row_20	DNAJA3	1048	1.9157612323760986	0.2630038	Yes	
row_21	TNFRSF8	1053	1.898692011833191	0.273501	Yes	
row_22	ATP5O	1100	1.8301807641983032	0.27954832	Yes	
row_23	SHQ1	1135	1.7969648838043213	0.28656444	Yes	
row_24	JMJD8	1217	1.7127563953399658	0.28855768	Yes	
row_25	COX17	1296	1.630185604095459	0.2903674	Yes	
row_26	NDUFB8	1340	1.5902373790740967	0.2953291	Yes	
row_27	PDZD11	1410	1.530951738357544	0.2974394	Yes	
row_28	PPP2R2D	1481	1.470238208770752	0.29910508	Yes	
row_29	ASCC3	1508	1.4506813287734985	0.30490902	Yes	
row_30	LAGE3	1555	1.4065083265304565	0.30852777	Yes	
row_31	DIS3L	1604	1.3707448244094849	0.31174833	Yes	
row_32	NFIC	1621	1.3579256534576416	0.31798658	Yes	
row_33	UXS1	1651	1.334388256072998	0.32283413	Yes	
row_34	PNPO	1657	1.3304612636566162	0.32997757	Yes	
row_35	RRBP1	1673	1.3179630041122437	0.33608335	Yes	
row_36	ALG9	1764	1.2546958923339844	0.3345815	Yes	
row_37	PIGB	1801	1.2191252708435059	0.33809215	Yes	
row_38	USP15	1831	1.2017498016357422	0.3421794	Yes	
row_39	TNFSF10	1856	1.1795953512191772	0.34662262	Yes	
row_40	TBRG1	1868	1.170906662940979	0.35227185	Yes	
row_41	UBA3	1931	1.128387689590454	0.35275078	Yes	
row_42	RPN2	2036	1.0504803657531738	0.34872594	No	
row_43	UBE2L3	2106	1.0051602125167847	0.3478223	No	
row_44	AKAP1	2214	0.9472447037696838	0.34291592	No	
row_45	DYNC2H1	2230	0.9386007785797119	0.34684712	No	
row_46	ARF1	2281	0.9073037505149841	0.34721795	No	
row_47	POLR2C	2342	0.8762421607971191	0.34644476	No	
row_48	GLCE	2379	0.861060380935669	0.3479029	No	
row_49	ARL5A	2440	0.8355869054794312	0.34689665	No	
row_50	HSPA14	2467	0.8183649778366089	0.34907606	No	
row_51	TIMM17B	2504	0.7985379695892334	0.35017583	No	
row_52	CDC123	2595	0.7595726847648621	0.34583583	No	
row_53	PMM1	2705	0.7132356762886047	0.33939487	No	
row_54	PIK3R5	2766	0.686710000038147	0.3375352	No	
row_55	THY1	2826	0.6595978736877441	0.33561677	No	
row_56	CXCL10	2850	0.649720311164856	0.33711928	No	
row_57	CHCHD3	2893	0.6291822791099548	0.33666867	No	
row_58	ZZZ3	2902	0.6256899833679199	0.33948243	No	
row_59	RNF7	2911	0.6242469549179077	0.3422879	No	
row_60	UQCRQ	2948	0.6133402585983276	0.3423261	No	
row_61	TBL2	3079	0.5690394043922424	0.33302996	No	
row_62	LRR1	3094	0.5614394545555115	0.33489582	No	
row_63	TBC1D7	3101	0.5595333576202393	0.33752358	No	
row_64	AK3	3168	0.5367909669876099	0.33422497	No	
row_65	METTL6	3208	0.5214971303939819	0.3334469	No	
row_66	CCAR1	3320	0.4847407639026642	0.32550293	No	
row_67	NDUFB7	3390	0.46475595235824585	0.3215016	No	
row_68	NDUFS6	3483	0.43470489978790283	0.31510624	No	
row_69	ATF6B	3514	0.4245508015155792	0.31464183	No	
row_70	PRCC	3632	0.38726046681404114	0.30555952	No	
row_71	STX12	3686	0.3725469410419464	0.30257523	No	
row_72	COX6B1	3786	0.3460179567337036	0.2949953	No	
row_73	PLA2G4C	3872	0.324433296918869	0.28864405	No	
row_74	CHTF18	3906	0.3151910901069641	0.28726298	No	
row_75	MRPS21	4084	0.26757583022117615	0.27169862	No	
row_76	RTN3	4093	0.2652877867221832	0.27244648	No	
row_77	YRDC	4095	0.2645334303379059	0.27386624	No	
row_78	RNF19B	4110	0.26162853837013245	0.27401355	No	
row_79	CENPK	4146	0.25288093090057373	0.27208212	No	
row_80	RAB2A	4391	0.1961943358182907	0.24963641	No	
row_81	BCL2L14	4521	0.1634102314710617	0.23811175	No	
row_82	LMO4	4585	0.1465422362089157	0.23286597	No	
row_83	SH3GLB1	4604	0.14370141923427582	0.2319509	No	
row_84	TLK1	4667	0.13066664338111877	0.22671072	No	
row_85	BCKDK	4673	0.1297195553779602	0.2269713	No	
row_86	PBK	4716	0.12093323469161987	0.22360732	No	
row_87	CBY1	4775	0.11043238639831543	0.21863756	No	
row_88	PPP2CA	4827	0.10092534869909286	0.21428949	No	
row_89	ZBTB38	4928	0.08404409140348434	0.20511128	No	
row_90	RAD51AP1	4936	0.08213125914335251	0.20490587	No	
row_91	PSPH	4939	0.08168978244066238	0.20518093	No	
row_92	EBAG9	5042	0.06275369971990585	0.19568747	No	
row_93	AURKA	5215	0.03251472860574722	0.1792587	No	
row_94	IL20RB	5241	0.0290360264480114	0.17701015	No	
row_95	HMMR	5287	0.02126924879848957	0.17278509	No	
row_96	BRWD3	5350	0.009533699601888657	0.16685055	No	
row_97	KIF18A	5372	0.005730786826461554	0.16485481	No	
row_98	TAPBPL	5376	0.005018854048103094	0.16459379	No	
row_99	PPP1R10	5519	-0.018097268417477608	0.15098037	No	
row_100	CKAP2	5548	-0.022583043202757835	0.14840502	No	
row_101	CASS4	5587	-0.03002256527543068	0.14490633	No	
row_102	NEK7	5658	-0.03992215543985367	0.13837318	No	
row_103	FADS1	5667	-0.04145345464348793	0.137838	No	
row_104	CTBS	5690	-0.04523516073822975	0.13597211	No	
row_105	SLC4A1AP	5854	-0.07210841029882431	0.1206397	No	
row_106	PER1	5889	-0.07825518399477005	0.11780388	No	
row_107	IKBIP	6002	-0.09686873853206635	0.10753998	No	
row_108	GOSR2	6027	-0.10174953192472458	0.10580484	No	
row_109	MAPRE2	6066	-0.10877898335456848	0.10275759	No	
row_110	DDIT3	6206	-0.1352464109659195	0.09010549	No	
row_111	CDC25C	6323	-0.1592627912759781	0.07981285	No	
row_112	ZBTB2	6429	-0.18460986018180847	0.07072809	No	
row_113	PSIP1	6512	-0.20255692303180695	0.06396801	No	
row_114	SPC25	6701	-0.24989597499370575	0.04723971	No	
row_115	HEXIM2	6743	-0.2587782144546509	0.044762485	No	
row_116	ARHGAP21	6773	-0.26682284474372864	0.043490566	No	
row_117	MLX	6843	-0.2858212888240814	0.038463563	No	
row_118	GOLGA3	6991	-0.32789546251296997	0.026142959	No	
row_119	ACBD3	6999	-0.3293018341064453	0.027354375	No	
row_120	CENPE	7030	-0.33704477548599243	0.02638838	No	
row_121	ZDHHC2	7050	-0.3416605591773987	0.026511442	No	
row_122	APP	7231	-0.3921118378639221	0.011371148	No	
row_123	TM9SF1	7494	-0.4892478287220001	-0.011133521	No	
row_124	ICT1	7501	-0.49288511276245117	-0.008887819	No	
row_125	TINF2	7823	-0.6196753978729248	-0.036344238	No	
row_126	UHRF2	7833	-0.6246545314788818	-0.03363301	No	
row_127	SLC35C1	7856	-0.6354522109031677	-0.032115687	No	
row_128	UROD	7898	-0.6534981727600098	-0.03233031	No	
row_129	IER2	7961	-0.6785240173339844	-0.034430083	No	
row_130	RHOA	8056	-0.7166740894317627	-0.03940236	No	
row_131	PPM1H	8091	-0.7352428436279297	-0.038472213	No	
row_132	NEIL3	8348	-0.8656178712844849	-0.058239866	No	
row_133	SCCPDH	8517	-0.9778880476951599	-0.0688632	No	
row_134	LSR	8518	-0.9784714579582214	-0.06325444	No	
row_135	OXR1	8523	-0.9810870289802551	-0.058017083	No	
row_136	CD2BP2	8539	-0.9920408725738525	-0.05377953	No	
row_137	REEP4	8579	-1.0166442394256592	-0.051719345	No	
row_138	GALNS	8607	-1.031328558921814	-0.04841579	No	
row_139	MBNL2	8736	-1.1091755628585815	-0.054422572	No	
row_140	VAMP4	8739	-1.1112556457519531	-0.04824587	No	
row_141	LMF2	8740	-1.111284613609314	-0.041875802	No	
row_142	SERINC3	8808	-1.152504324913025	-0.041741636	No	
row_143	RAB3D	8856	-1.2058218717575073	-0.039369848	No	
row_144	RNF103	8877	-1.2184782028198242	-0.034317322	No	
row_145	NANOS1	8900	-1.2315908670425415	-0.029382832	No	
row_146	RIOK3	9050	-1.3515956401824951	-0.036028616	No	
row_147	SLC12A4	9294	-1.6121716499328613	-0.050261103	No	
row_148	GPSM2	9346	-1.6681851148605347	-0.045625374	No	
row_149	KCNAB2	9354	-1.67844557762146	-0.03668044	No	
row_150	ZCCHC18	9373	-1.6989128589630127	-0.028680785	No	
row_151	ANKRD6	9502	-1.878289818763733	-0.030278875	No	
row_152	SRGN	9931	-2.717839479446411	-0.056044433	No	
row_153	SMPD1	10090	-3.2183468341827393	-0.052859083	No	
row_154	KIF5C	10218	-3.776057481765747	-0.043482255	No	
row_155	CTSE	10407	-5.243509769439697	-0.031586327	No	
row_156	TESC	10486	-7.195598125457764	0.0021252634	No	
