NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD22	68	4.99036979675293	0.017703613	No	
row_1	ECI1	132	4.3715972900390625	0.032880865	No	
row_2	TSPAN2	143	4.296870231628418	0.052810565	No	
row_3	RREB1	241	3.6934123039245605	0.06140807	No	
row_4	TRMT6	316	3.3524951934814453	0.070567824	No	
row_5	RGS3	339	3.2832818031311035	0.08441031	No	
row_6	CD72	520	2.805400848388672	0.080677986	No	
row_7	NAE1	619	2.5645463466644287	0.08368947	No	
row_8	STAMBPL1	819	2.2355799674987793	0.07535223	No	
row_9	ANKRD49	851	2.19596791267395	0.08303857	No	
row_10	ABHD6	1026	1.947605013847351	0.075714074	No	
row_11	ADCK1	1109	1.8232181072235107	0.076665014	No	
row_12	TEF	1126	1.806465744972229	0.08390515	No	
row_13	LANCL1	1210	1.7191740274429321	0.08425362	No	
row_14	EARS2	1287	1.6401481628417969	0.08489347	No	
row_15	ADI1	1409	1.5342639684677124	0.080674805	No	
row_16	G6PC3	1465	1.485777497291565	0.082591005	No	
row_17	BCOR	1531	1.4264729022979736	0.08325357	No	
row_18	AHDC1	1650	1.3344948291778564	0.07835303	No	
row_19	RRBP1	1673	1.3179630041122437	0.08263851	No	
row_20	PIGB	1801	1.2191252708435059	0.07630822	No	
row_21	IMP3	1887	1.1601253747940063	0.07374508	No	
row_22	GLCE	2379	0.861060380935669	0.030538447	No	
row_23	UBTD2	2408	0.8484716415405273	0.031961717	No	
row_24	RPS18	2559	0.7717136144638062	0.021235667	No	
row_25	SPG20	2616	0.7531446814537048	0.019492676	No	
row_26	TIAL1	2670	0.7316328883171082	0.017934652	No	
row_27	NUP160	2771	0.6851981282234192	0.011614145	No	
row_28	FHOD1	3006	0.5939276814460754	-0.008084558	No	
row_29	PHC3	3139	0.5502033829689026	-0.018150326	No	
row_30	APOBEC2	3171	0.5358638763427734	-0.018536787	No	
row_31	ZYX	3231	0.5163856744766235	-0.021720674	No	
row_32	WWOX	3268	0.5022889971733093	-0.02275303	No	
row_33	NCF2	3271	0.5009078979492188	-0.02051025	No	
row_34	VPS54	3392	0.463849812746048	-0.02983764	No	
row_35	FILIP1L	3428	0.45316004753112793	-0.031012377	No	
row_36	ELL3	3684	0.3728184401988983	-0.053813323	No	
row_37	COQ2	3796	0.34315431118011475	-0.06285891	No	
row_38	CDC37L1	3993	0.2902902066707611	-0.080366194	No	
row_39	ARFRP1	4156	0.25119534134864807	-0.09478174	No	
row_40	SIRT4	4310	0.21512016654014587	-0.10850399	No	
row_41	UNC50	4470	0.17607103288173676	-0.12299527	No	
row_42	SLC38A7	4507	0.1678219884634018	-0.12565409	No	
row_43	CNPY3	4518	0.16470958292484283	-0.12581839	No	
row_44	USP12	4546	0.15558376908302307	-0.12766798	No	
row_45	CHD1L	4934	0.08254988491535187	-0.16462177	No	
row_46	IER5	4995	0.06994657218456268	-0.17007314	No	
row_47	DDX5	5008	0.06805035471916199	-0.17090052	No	
