NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNL3	21	6.126562595367432	0.029134749	Yes	
row_1	IFRD2	125	4.432302474975586	0.04172785	Yes	
row_2	DDX56	142	4.30035400390625	0.062056378	Yes	
row_3	APIP	177	4.073735237121582	0.07949287	Yes	
row_4	SLC39A4	275	3.5075361728668213	0.08796173	Yes	
row_5	SLCO4A1	297	3.429145574569702	0.103375554	Yes	
row_6	PSMD7	328	3.3062021732330322	0.117294356	Yes	
row_7	IFITM2	355	3.2235448360443115	0.13117921	Yes	
row_8	EIF2S1	356	3.221670627593994	0.14756685	Yes	
row_9	MRPS10	388	3.1142706871032715	0.16041273	Yes	
row_10	ACADVL	408	3.05755615234375	0.17412965	Yes	
row_11	MTX2	542	2.773937463760376	0.17538832	Yes	
row_12	SDHD	577	2.670950412750244	0.18568929	Yes	
row_13	TRABD	585	2.6554665565490723	0.19852042	Yes	
row_14	ALAD	586	2.6503446102142334	0.2120019	Yes	
row_15	NAA20	591	2.6348087787628174	0.22501786	Yes	
row_16	PSMB7	613	2.588310718536377	0.23615462	Yes	
row_17	RPLP0	635	2.5317580699920654	0.2470037	Yes	
row_18	PSMD6	674	2.4623825550079346	0.25585723	Yes	
row_19	GMPS	724	2.3660964965820312	0.26315808	Yes	
row_20	MRPL55	759	2.3091914653778076	0.27161887	Yes	
row_21	GUK1	766	2.3008155822753906	0.28274265	Yes	
row_22	TOMM20	796	2.2638473510742188	0.29145592	Yes	
row_23	EIF6	834	2.214841842651367	0.29914692	Yes	
row_24	ERH	885	2.1491353511810303	0.30524752	Yes	
row_25	ALDH18A1	932	2.0833988189697266	0.31140026	Yes	
row_26	UQCRB	948	2.066093683242798	0.32046044	Yes	
row_27	SIVA1	967	2.0341873168945312	0.32906842	Yes	
row_28	AARSD1	991	2.002941370010376	0.3370343	Yes	
row_29	YARS	1034	1.936134934425354	0.3428245	Yes	
row_30	IPO11	1066	1.8727980852127075	0.34935537	Yes	
row_31	ATP5O	1100	1.8301807641983032	0.3554762	Yes	
row_32	PSMD1	1112	1.8214486837387085	0.36367846	Yes	
row_33	JMJD8	1217	1.7127563953399658	0.36234143	Yes	
row_34	NDUFB8	1340	1.5902373790740967	0.3586419	Yes	
row_35	ATP5G3	1365	1.56884765625	0.36430308	Yes	
row_36	CLTB	1442	1.5001189708709717	0.36459002	Yes	
row_37	ASCC3	1508	1.4506813287734985	0.36568838	Yes	
row_38	EDF1	1775	1.2460802793502808	0.34632385	No	
row_39	MDH2	1863	1.1763404607772827	0.34390092	No	
row_40	DNAJC1	1890	1.1593209505081177	0.34728572	No	
row_41	TPI1	1910	1.1432522535324097	0.35126516	No	
row_42	NSDHL	1917	1.137221097946167	0.35647008	No	
row_43	CANX	1998	1.0800354480743408	0.35423365	No	
row_44	GCDH	2006	1.074533462524414	0.3590231	No	
row_45	PELO	2025	1.0591275691986084	0.36267126	No	
row_46	ZNHIT1	2162	0.9760594964027405	0.3544948	No	
row_47	DPAGT1	2272	0.9114482402801514	0.34859863	No	
row_48	RNASEH2B	2345	0.8749719858169556	0.34609216	No	
row_49	NMT1	2400	0.8536575436592102	0.34521654	No	
row_50	TIMM17B	2504	0.7985379695892334	0.33932582	No	
row_51	ETFDH	2517	0.7919130325317383	0.3421945	No	
row_52	ARF4	2543	0.7823454737663269	0.34375834	No	
row_53	ARFIP2	2557	0.7725796699523926	0.34643206	No	
row_54	MAN1B1	2659	0.7359650731086731	0.34041628	No	
row_55	HAUS1	2672	0.7310096025466919	0.34297517	No	
row_56	ARIH1	2773	0.6840888261795044	0.33679217	No	
row_57	FKBP2	2962	0.6085118651390076	0.32172146	No	
row_58	LRR1	3094	0.5614394545555115	0.31191912	No	
row_59	ABHD14A	3152	0.541592538356781	0.30916625	No	
row_60	AK3	3168	0.5367909669876099	0.3104473	No	
row_61	DHFR	3183	0.5319992303848267	0.31180066	No	
row_62	CLPTM1	3253	0.5100756883621216	0.30772793	No	
row_63	IMMT	3336	0.4792611598968506	0.3022423	No	
row_64	HCFC2	3424	0.4541482627391815	0.29614583	No	
row_65	GNE	3530	0.41975462436676025	0.28813508	No	
row_66	RECQL4	3536	0.41802510619163513	0.2897783	No	
row_67	PRIM1	3646	0.3838987350463867	0.28119865	No	
row_68	RILPL1	3700	0.3701583445072174	0.27796027	No	
row_69	DNA2	3703	0.36946743726730347	0.27964637	No	
row_70	CHTF18	3906	0.3151910901069641	0.26173088	No	
row_71	MCM6	3990	0.2910557687282562	0.25519127	No	
row_72	DDX50	4109	0.2617614269256592	0.2451207	No	
row_73	GLRX2	4288	0.22031226754188538	0.22904164	No	
row_74	DNAJC13	4290	0.22003845870494843	0.23006429	No	
row_75	RAB2A	4391	0.1961943358182907	0.22139949	No	
row_76	UNC50	4470	0.17607103288173676	0.21475814	No	
row_77	AP2B1	4737	0.11636481434106827	0.1896471	No	
row_78	PLK4	4979	0.07392414659261703	0.16673586	No	
row_79	SHCBP1	5052	0.06066122278571129	0.16008723	No	
row_80	UHRF1	5119	0.0478641577064991	0.15395327	No	
row_81	TOR1B	5163	0.041156016290187836	0.15000762	No	
row_82	HS2ST1	5188	0.03766950964927673	0.14788017	No	
row_83	HSPB6	5197	0.03493024408817291	0.14728482	No	
row_84	AURKA	5215	0.03251472860574722	0.14580755	No	
row_85	DYM	5329	0.01435833889991045	0.13496165	No	
row_86	EZH2	5422	-0.00432036817073822	0.12609388	No	
row_87	RNF187	5500	-0.015268469229340553	0.118731216	No	
row_88	PFDN6	5514	-0.017652664333581924	0.11756485	No	
row_89	PPP1R10	5519	-0.018097268417477608	0.117270395	No	
row_90	ACER3	5541	-0.0216397512704134	0.11535129	No	
row_91	PADI4	5543	-0.022157613188028336	0.11536737	No	
row_92	ACTR10	5577	-0.02768286131322384	0.11231947	No	
row_93	CASS4	5587	-0.03002256527543068	0.11160254	No	
row_94	PYCR2	5590	-0.03016325831413269	0.111562714	No	
row_95	LAPTM4A	5664	-0.04056468605995178	0.104715236	No	
row_96	LTF	5762	-0.058698948472738266	0.09564093	No	
row_97	ABI2	5868	-0.0734407976269722	0.08586859	No	
row_98	EHD4	5899	-0.0792982429265976	0.08337313	No	
row_99	DNAJB11	6102	-0.11552237719297409	0.06444196	No	
row_100	HSPA1B	6104	-0.11560181528329849	0.06493336	No	
row_101	TRAIP	6146	-0.12359704077243805	0.061600327	No	
row_102	BUB1	6154	-0.12456119805574417	0.06155754	No	
row_103	HBS1L	6157	-0.1250276416540146	0.06200026	No	
row_104	EIF4EBP1	6211	-0.13647885620594025	0.057573218	No	
row_105	CEP192	6267	-0.14822545647621155	0.053012673	No	
row_106	ESPL1	6273	-0.14867261052131653	0.053285785	No	
row_107	FOSB	6307	-0.1559673398733139	0.050890427	No	
row_108	CDCA5	6395	-0.17789427936077118	0.043388713	No	
row_109	TCF19	6412	-0.18235810101032257	0.042770267	No	
row_110	FAM117A	6462	-0.19100508093833923	0.039007094	No	
row_111	NCAPH	6515	-0.20336703956127167	0.03501692	No	
row_112	PDCL	6532	-0.20711670815944672	0.034524415	No	
row_113	DLGAP5	6552	-0.21108505129814148	0.033762213	No	
