NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD86	0	8.165655136108398	0.035472274	No	
row_1	NPM1	10	7.208190441131592	0.065918945	No	
row_2	IRF8	13	6.579859733581543	0.09430988	No	
row_3	CD74	33	5.807124614715576	0.11770765	No	
row_4	IL18	43	5.543048858642578	0.1409208	No	
row_5	GBP2	79	4.838768482208252	0.15857185	No	
row_6	FGR	88	4.757086753845215	0.17846699	No	
row_7	IL2RA	102	4.590158939361572	0.1971557	No	
row_8	CCND2	217	3.8307712078094482	0.20282373	No	
row_9	EIF5A	271	3.5260114669799805	0.21303946	No	
row_10	NME1	281	3.48171067237854	0.227298	No	
row_11	EIF3A	293	3.449751377105713	0.24122518	No	
row_12	CXCR3	379	3.1531972885131836	0.2467412	No	
row_13	ABCE1	543	2.7715656757354736	0.24309145	No	
row_14	EIF3D	583	2.6590957641601562	0.2508888	No	
row_15	RIPK2	699	2.424180746078491	0.25035024	No	
row_16	NCF4	778	2.284764289855957	0.2527675	No	
row_17	BCAT1	845	2.1989550590515137	0.25596708	No	
row_18	GLMN	921	2.1042823791503906	0.25788906	No	
row_19	UBE2N	926	2.0959300994873047	0.26660895	No	
row_20	IFNG	953	2.0643882751464844	0.27307418	No	
row_21	RPS9	975	2.021801710128784	0.27983567	No	
row_22	CCND3	982	2.0100550651550293	0.28798997	No	
row_23	PTPN6	1261	1.6649576425552368	0.2684636	No	
row_24	IRF4	1416	1.5249395370483398	0.26026472	No	
row_25	MRPL3	1447	1.4973969459533691	0.26388186	No	
row_26	RPL9	1458	1.4907288551330566	0.26939514	No	
row_27	DEGS1	1498	1.4562771320343018	0.27196738	No	
row_28	SOCS5	1537	1.4227523803710938	0.2744902	No	
row_29	STAT1	1746	1.2662103176116943	0.25996956	No	
row_30	TNF	1857	1.1795778274536133	0.2545056	No	
row_31	RPS19	1859	1.1772502660751343	0.25952342	No	
row_32	AKT1	2128	0.993401050567627	0.23804232	No	
row_33	TGFB1	2265	0.914728045463562	0.22892521	No	
row_34	IL12RB1	2329	0.8821876049041748	0.2266934	No	
row_35	CAPG	2392	0.8560428023338318	0.22444427	No	
row_36	RPL39	2435	0.8374152183532715	0.22403933	No	
row_37	MTIF2	2519	0.7916451692581177	0.21948908	No	
row_38	GZMB	2775	0.6828221678733826	0.19791013	No	
row_39	THY1	2826	0.6595978736877441	0.1959627	No	
row_40	IL2RB	2894	0.6288431882858276	0.19224532	No	
row_41	PSMB10	3037	0.5839934945106506	0.18111393	No	
row_42	IL2	3659	0.3795311450958252	0.12298788	No	
row_43	GPR65	3717	0.3649837076663971	0.119086824	No	
row_44	ST8SIA4	3749	0.35781702399253845	0.11765729	No	
row_45	F2R	3823	0.3365781009197235	0.11209275	No	
row_46	ICAM1	3876	0.32317405939102173	0.10849135	No	
row_47	LIF	4205	0.239633709192276	0.077960484	No	
row_48	B2M	4265	0.22289039194583893	0.07324965	No	
row_49	MAP3K7	4369	0.20298291742801666	0.0642171	No	
row_50	CFP	4537	0.15885978937149048	0.048832502	No	
row_51	TLR2	4818	0.10330452769994736	0.022329684	No	
row_52	CCL5	5220	0.03164792060852051	-0.01613135	No	
row_53	CD40LG	5655	-0.039466988295316696	-0.057734855	No	
row_54	IFNGR2	5984	-0.09447209537029266	-0.08889631	No	
row_55	EIF4G3	5994	-0.09581960737705231	-0.089346364	No	
row_56	WAS	6165	-0.12678654491901398	-0.10515906	No	
row_57	CD79A	6180	-0.12954016029834747	-0.1059439	No	
row_58	TRAF2	6266	-0.1481858640909195	-0.1134819	No	
row_59	CCL4	6321	-0.15914732217788696	-0.117988355	No	
row_60	GALNT1	6355	-0.1665896773338318	-0.12044112	No	
row_61	NCK1	6565	-0.21319305896759033	-0.13963242	No	
row_62	CSK	6725	-0.2557651698589325	-0.153826	No	
row_63	BRCA1	6780	-0.2684691250324249	-0.15785755	No	
row_64	CD3E	6803	-0.27544668316841125	-0.15877862	No	
row_65	IL2RG	6831	-0.2824488878250122	-0.16015054	No	
row_66	UBE2D1	7474	-0.48130252957344055	-0.21985584	No	
row_67	CTSS	7522	-0.5006044507026672	-0.22220519	No	
row_68	ITGAL	7652	-0.5520721673965454	-0.23222393	No	
row_69	ELF4	7972	-0.6818517446517944	-0.25996748	No	
row_70	IKBKB	8000	-0.6924185156822205	-0.25955844	No	
row_71	IL4	8102	-0.7383607029914856	-0.26607275	No	
row_72	TLR6	8158	-0.7671622037887573	-0.26803422	No	
row_73	HCLS1	8200	-0.7879077792167664	-0.26855797	No	
row_74	ITK	8224	-0.8023334741592407	-0.26728642	No	
row_75	ACVR2A	8248	-0.8163962960243225	-0.2659538	No	
row_76	CD4	8336	-0.8603073954582214	-0.2705908	No	
row_77	CD3G	8425	-0.9289950728416443	-0.2750257	No	
row_78	TPD52	8578	-1.015432596206665	-0.28524542	No	
row_79	GCNT1	8710	-1.0951194763183594	-0.29309762	No	
row_80	LY75	8730	-1.1062105894088745	-0.29012102	No	
row_81	CCR2	8756	-1.1208134889602661	-0.28765848	No	
row_82	SOCS1	8781	-1.1314507722854614	-0.28505352	No	
row_83	LCK	8866	-1.2135862112045288	-0.28786707	No	
row_84	TAPBP	8956	-1.2785625457763672	-0.29087964	No	
row_85	TAP2	8975	-1.2963107824325562	-0.28698096	No	
row_86	ABI1	9035	-1.340325117111206	-0.28683758	No	
row_87	LCP2	9146	-1.45304274559021	-0.29111356	No	
row_88	ZAP70	9258	-1.5798618793487549	-0.29493487	No	
row_89	ITGB2	9274	-1.5902782678604126	-0.2894704	No	
row_90	BCL10	9474	-1.8390239477157593	-0.3006364	Yes	
row_91	LTB	9517	-1.9022566080093384	-0.2964156	Yes	
row_92	CD96	9527	-1.911523461341858	-0.2889781	Yes	
row_93	CD3D	9548	-1.9608653783798218	-0.28238505	Yes	
row_94	TAP1	9554	-1.9691197872161865	-0.27431232	Yes	
row_95	IL16	9569	-1.9899578094482422	-0.26701534	Yes	
row_96	STAT4	9579	-2.0064103603363037	-0.25916564	Yes	
row_97	CD247	9582	-2.0098631381988525	-0.25062713	Yes	
row_98	CD7	9675	-2.1717429161071777	-0.25004843	Yes	
