NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA3	630	2.541857957839966	0.10357541	No	
row_1	NCOA6	1197	1.7310899496078491	0.16106349	No	
row_2	THY1	2826	0.6595978736877441	0.048383024	No	
row_3	IL2RB	2894	0.6288431882858276	0.082474664	No	
row_4	CD160	4218	0.23575451970100403	-0.028422758	No	
row_5	ADAM10	5255	0.027035124599933624	-0.12540568	No	
row_6	ADIPOR2	5674	-0.04229773208498955	-0.16251543	No	
row_7	TMEM8B	5916	-0.08258511126041412	-0.18016525	No	
row_8	BRCA1	6780	-0.2684691250324249	-0.24512237	No	
row_9	IL2RG	6831	-0.2824488878250122	-0.23170684	No	
row_10	APP	7231	-0.3921118378639221	-0.24448983	No	
row_11	CROCC	7546	-0.5099994540214539	-0.24158497	No	
row_12	B4GALT1	8614	-1.0373306274414062	-0.2764931	Yes	
row_13	RTN4RL1	10016	-2.9463229179382324	-0.22035438	Yes	
row_14	FLOT2	10272	-4.150363445281982	0.022489091	Yes	
