NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINC1	9	7.208410739898682	0.10146237	No	
row_1	CTSH	1542	1.419916033744812	-0.02490072	No	
row_2	TIMP3	1594	1.3759791851043701	-0.010246328	No	
row_3	PDGFB	1709	1.2922385931015015	-0.0028058803	No	
row_4	SPARC	1978	1.0963846445083618	-0.012873957	No	
row_5	ISCU	2160	0.9774832725524902	-0.016309254	No	
row_6	P2RY1	2239	0.9300537109375	-0.010567008	No	
row_7	PREP	2439	0.8360342383384705	-0.017731667	No	
row_8	ARF4	2543	0.7823454737663269	-0.016477106	No	
row_9	DUSP6	2831	0.6576946377754211	-0.03458951	No	
row_10	GNG12	2839	0.6560561656951904	-0.02594629	No	
row_11	GNB2	3313	0.4880295991897583	-0.064255916	No	
row_12	CFB	3316	0.4864901304244995	-0.057541482	No	
row_13	PLEK	3617	0.3936557173728943	-0.08064521	No	
row_14	S100A1	3746	0.3583570420742035	-0.08780012	No	
row_15	MMP14	3878	0.32299891114234924	-0.09574386	No	
row_16	RABIF	4512	0.16748550534248352	-0.15390581	No	
row_17	WDR1	5470	-0.011236674152314663	-0.24527271	No	
row_18	LTA4H	5562	-0.025409124791622162	-0.25361517	No	
row_19	ANXA1	5606	-0.03330446779727936	-0.25725487	No	
row_20	CASP9	5814	-0.06608112156391144	-0.2761141	No	
row_21	DUSP14	5819	-0.0663662925362587	-0.2755546	No	
row_22	ITGB3	5874	-0.07494158297777176	-0.2796553	No	
row_23	CSRP1	6238	-0.14261338114738464	-0.3123478	No	
row_24	KLF7	6293	-0.15330913662910461	-0.3153361	No	
row_25	MAFF	6438	-0.18591786921024323	-0.326469	No	
row_26	RAC1	6477	-0.19509465992450714	-0.3273339	No	
row_27	ADAM9	6483	-0.1963540017604828	-0.32502487	No	
row_28	DPP4	6840	-0.2846488952636719	-0.35503173	No	
row_29	PROS1	7104	-0.3596104085445404	-0.37508008	No	
row_30	KLK8	7113	-0.362337589263916	-0.37070182	No	
row_31	CPQ	7273	-0.4069695770740509	-0.38013148	No	
row_32	CTSB	7463	-0.4762096107006073	-0.39144745	No	
row_33	CRIP2	7479	-0.482893705368042	-0.3860274	No	
row_34	MMP10	7572	-0.5174583792686462	-0.38748085	No	
row_35	PROZ	8085	-0.7317922711372375	-0.4260602	No	
row_36	PEF1	8191	-0.7845463156700134	-0.42496568	No	
row_37	CD9	8193	-0.7851164937019348	-0.41391662	No	
row_38	USP11	8273	-0.8287628889083862	-0.4097078	No	
row_39	MSRB2	8506	-0.9726372361183167	-0.41808948	No	
row_40	C8G	8717	-1.0994462966918945	-0.42256707	No	
row_41	MST1	8867	-1.2141696214675903	-0.41958216	No	
row_42	FURIN	9229	-1.5522592067718506	-0.43207353	Yes	
row_43	FYN	9380	-1.7078537940979004	-0.42217642	Yes	
row_44	LAMP2	9417	-1.7494860887527466	-0.40078554	Yes	
row_45	S100A13	9896	-2.607954978942871	-0.4094811	Yes	
row_46	SIRT2	9984	-2.8742432594299316	-0.3770019	Yes	
row_47	CTSO	10162	-3.487454652786255	-0.3444257	Yes	
row_48	PECAM1	10302	-4.327429294586182	-0.2962918	Yes	
row_49	GSN	10360	-4.751636028289795	-0.23429392	Yes	
row_50	CTSE	10407	-5.243509769439697	-0.16426188	Yes	
row_51	CAPN2	10458	-6.0774149894714355	-0.082775146	Yes	
row_52	LGMN	10459	-6.161427021026611	0.004686077	Yes	
