NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR2H	169	4.124131202697754	0.013437067	Yes	
row_1	POLR1C	175	4.08437442779541	0.042394802	Yes	
row_2	POLR2E	182	4.038355350494385	0.07092445	Yes	
row_3	NME1	281	3.48171067237854	0.086574405	Yes	
row_4	UMPS	285	3.4682865142822266	0.111284226	Yes	
row_5	SRSF6	296	3.436363697052002	0.13508925	Yes	
row_6	IMPDH2	381	3.1444082260131836	0.14965737	Yes	
row_7	NCBP2	394	3.093069553375244	0.1707952	Yes	
row_8	POLR2F	444	2.94885516166687	0.1873273	Yes	
row_9	BCAM	486	2.8634915351867676	0.20401517	Yes	
row_10	SAC3D1	596	2.6246695518493652	0.21242744	Yes	
row_11	GTF2H1	663	2.4859423637390137	0.22398436	Yes	
row_12	POLR2D	720	2.3721086978912354	0.23568463	Yes	
row_13	GUK1	766	2.3008155822753906	0.24793127	Yes	
row_14	MRPL40	768	2.2957513332366943	0.2643824	Yes	
row_15	BOLA2	994	1.9994499683380127	0.2571074	Yes	
row_16	DUT	1009	1.9733777046203613	0.2699819	Yes	
row_17	APRT	1032	1.9387704133987427	0.28183582	Yes	
row_18	SF3A3	1118	1.8166595697402954	0.2867373	Yes	
row_19	POLR2J	1276	1.6527076959609985	0.28351727	Yes	
row_20	COX17	1296	1.630185604095459	0.29343614	Yes	
row_21	POLR2K	1328	1.6005332469940186	0.3019846	Yes	
row_22	POLE4	1336	1.5921993255615234	0.3127863	Yes	
row_23	RPA3	1395	1.5474492311477661	0.31834975	Yes	
row_24	POLR1D	1500	1.4543356895446777	0.31880835	Yes	
row_25	TAF9	1516	1.4415918588638306	0.32775337	Yes	
row_26	GTF2H3	1532	1.4261752367019653	0.33658728	Yes	
row_27	POLD3	1556	1.4044435024261475	0.34449345	Yes	
row_28	TARBP2	1609	1.3674923181533813	0.3493381	Yes	
row_29	ADA	1744	1.2677233219146729	0.34556004	Yes	
row_30	EDF1	1775	1.2460802793502808	0.3516501	Yes	
row_31	ZWINT	1846	1.185945749282837	0.35345125	Yes	
row_32	AAAS	1878	1.1684528589248657	0.35888535	Yes	
row_33	PCNA	1898	1.1550743579864502	0.36537966	Yes	
row_34	RAE1	1991	1.0874595642089844	0.36435047	Yes	
row_35	ALYREF	2003	1.0773075819015503	0.3710553	Yes	
row_36	DGCR8	2046	1.0452390909194946	0.37454107	Yes	
row_37	RFC3	2146	0.9860947132110596	0.37210655	Yes	
row_38	NFX1	2170	0.9735136032104492	0.37690666	Yes	
row_39	SSRP1	2219	0.9458783864974976	0.37909794	Yes	
row_40	RPA2	2252	0.9245012998580933	0.3826773	Yes	
row_41	POLR2C	2342	0.8762421607971191	0.3804148	Yes	
row_42	RBX1	2381	0.8602858185768127	0.382953	Yes	
row_43	GTF2B	2420	0.8432407379150391	0.38536832	Yes	
row_44	DDB1	2422	0.8429474830627441	0.3913478	Yes	
row_45	RFC5	2539	0.7835363745689392	0.3858147	Yes	
row_46	ERCC2	2596	0.7591966390609741	0.3858893	Yes	
row_47	ADRM1	2607	0.7549996376037598	0.3903674	Yes	
row_48	SNAPC4	2655	0.7370554804801941	0.39114988	Yes	
row_49	POM121	2767	0.6865628957748413	0.38539973	Yes	
row_50	GTF2A2	2779	0.681442141532898	0.38925126	Yes	
row_51	ERCC8	2786	0.6784504055976868	0.39356312	Yes	
row_52	POLA2	2790	0.676858127117157	0.39815268	Yes	
row_53	TAF13	2804	0.6695955395698547	0.40172604	Yes	
row_54	SEC61A1	2830	0.658231258392334	0.40406084	Yes	
row_55	POLR2I	2932	0.6184554696083069	0.39878365	No	
row_56	POLD1	2999	0.5968096852302551	0.39672393	No	
row_57	TYMS	3053	0.5777892470359802	0.39578012	No	
row_58	POLB	3088	0.5643375515937805	0.39657068	No	
row_59	AK3	3168	0.5367909669876099	0.39282537	No	
row_60	GTF2H5	3184	0.5308347940444946	0.39520577	No	
row_61	RFC2	3224	0.5177375078201294	0.39517853	No	
row_62	NUDT9	3281	0.4968526065349579	0.39336216	No	
row_63	GTF3C5	3368	0.46998900175094604	0.38846064	No	
row_64	NME3	3399	0.46135467290878296	0.38889447	No	
row_65	SURF1	3421	0.4551877975463867	0.3901513	No	
row_66	CSTF3	3455	0.4439847469329834	0.39017078	No	
row_67	NUDT21	3484	0.4346807897090912	0.3906051	No	
row_68	POLR2G	3580	0.40411433577537537	0.38436127	No	
row_69	TAF12	3638	0.38583025336265564	0.38164833	No	
row_70	PRIM1	3646	0.3838987350463867	0.38374072	No	
row_71	GTF2F1	3663	0.3781844973564148	0.38492444	No	
row_72	FEN1	3804	0.34133413434028625	0.37389076	No	
row_73	TMED2	3817	0.33834123611450195	0.37517285	No	
row_74	RAD51	3999	0.2890496551990509	0.3598105	No	
row_75	UPF3B	4002	0.287942111492157	0.3616932	No	
row_76	POLH	4054	0.2742810845375061	0.35875452	No	
row_77	BRF2	4100	0.26342546939849854	0.3563159	No	
row_78	RFC4	4233	0.23128023743629456	0.34526005	No	
row_79	POLR2A	4251	0.22594185173511505	0.34525007	No	
row_80	LIG1	4346	0.20847102999687195	0.33769244	No	
row_81	MPG	4472	0.1757591813802719	0.32691112	No	
row_82	POLA1	4526	0.16215980052947998	0.3229715	No	
row_83	GMPR2	4608	0.1429917812347412	0.31619495	No	
row_84	CANT1	5023	0.06563130766153336	0.2767644	No	
row_85	PNP	5063	0.059339042752981186	0.27343306	No	
row_86	ERCC4	5087	0.053788162767887115	0.27160388	No	
row_87	MPC2	5125	0.046927787363529205	0.26837587	No	
row_88	STX3	5204	0.03431958705186844	0.26110518	No	
row_89	DAD1	5326	0.014677729457616806	0.24954832	No	
row_90	RNMT	5328	0.014369888231158257	0.24955551	No	
row_91	TAF6	5398	-1.6449599934276193E-4	0.2429061	No	
row_92	NELFE	5503	-0.015585987828671932	0.23299433	No	
row_93	EIF1B	5555	-0.02337203547358513	0.22824714	No	
row_94	ITPA	5610	-0.0339323915541172	0.2232869	No	
row_95	TSG101	5622	-0.035333648324012756	0.22248134	No	
row_96	CETN2	5673	-0.04223699867725372	0.2179665	No	
row_97	DGUOK	6047	-0.10499795526266098	0.1827715	No	
row_98	BCAP31	6048	-0.10563605278730392	0.18353292	No	
row_99	TAF10	6089	-0.1131172627210617	0.18049283	No	
row_100	ERCC3	6122	-0.11857705563306808	0.17826319	No	
row_101	CLP1	6133	-0.12128626555204391	0.17817354	No	
row_102	REV3L	6155	-0.1246405690908432	0.17704785	No	
row_103	NELFCD	6214	-0.13704368472099304	0.17244527	No	
row_104	XPC	6247	-0.1445593684911728	0.1704029	No	
row_105	NT5C	6367	-0.16960541903972626	0.16015552	No	
row_106	SMAD5	6404	-0.17984220385551453	0.15798192	No	
row_107	RALA	6484	-0.19635535776615143	0.15178277	No	
row_108	SNAPC5	6513	-0.2029723823070526	0.15054697	No	
row_109	RAD52	6579	-0.22002074122428894	0.1458678	No	
row_110	ELL	7315	-0.42241784930229187	0.07806916	No	
row_111	DCTN4	7409	-0.45688506960868835	0.07239847	No	
