NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYAR	70	4.969549179077148	0.021670701	Yes	
row_1	NOP56	78	4.855929374694824	0.048793785	Yes	
row_2	SHMT1	115	4.489349365234375	0.07100886	Yes	
row_3	NOLC1	141	4.301348686218262	0.09321318	Yes	
row_4	TBRG4	174	4.0942583084106445	0.11355376	Yes	
row_5	PA2G4	254	3.623271942138672	0.12664491	Yes	
row_6	TFRC	256	3.5780036449432373	0.14703284	Yes	
row_7	RANBP1	263	3.5571353435516357	0.16681693	Yes	
row_8	SYNCRIP	264	3.5561676025390625	0.1871767	Yes	
row_9	NME1	281	3.48171067237854	0.20556027	Yes	
row_10	PRPS1	341	3.2786359786987305	0.21861574	Yes	
row_11	EIF2S1	356	3.221670627593994	0.23570426	Yes	
row_12	RAN	494	2.8468964099884033	0.23873198	Yes	
row_13	CDK4	505	2.8296611309051514	0.25396365	Yes	
row_14	AK2	519	2.8063290119171143	0.26877114	Yes	
row_15	XRCC6	622	2.5539777278900146	0.27351233	Yes	
row_16	LUC7L3	696	2.4307961463928223	0.28035754	Yes	
row_17	POLD2	702	2.421182155609131	0.29373494	Yes	
row_18	NAP1L1	725	2.3648576736450195	0.30514306	Yes	
row_19	TRA2B	904	2.119415283203125	0.3000341	Yes	
row_20	PHF5A	940	2.072814464569092	0.3085109	Yes	
row_21	PAICS	965	2.0372884273529053	0.31784987	Yes	
row_22	ORC6	981	2.0106232166290283	0.32790804	Yes	
row_23	DUT	1009	1.9733777046203613	0.3365905	Yes	
row_24	HNRNPD	1049	1.9044471979141235	0.34371588	Yes	
row_25	ASF1A	1113	1.821175456047058	0.3480396	Yes	
row_26	CBX5	1127	1.8060111999511719	0.35712007	Yes	
row_27	HELLS	1145	1.7875621318817139	0.3657074	Yes	
row_28	HUS1	1173	1.7532744407653809	0.37312973	Yes	
row_29	MLH1	1181	1.748903751373291	0.38246447	Yes	
row_30	MYC	1183	1.7480862140655518	0.39237574	Yes	
row_31	TIPIN	1229	1.7008109092712402	0.39775404	Yes	
row_32	GSPT1	1246	1.6815073490142822	0.40583107	Yes	
row_33	EED	1297	1.6300023794174194	0.4103196	Yes	
row_34	CDC25A	1333	1.5965558290481567	0.41606972	Yes	
row_35	POLE4	1336	1.5921993255615234	0.42499164	Yes	
row_36	SRSF1	1383	1.5568795204162598	0.42944902	Yes	
row_37	RPA3	1395	1.5474492311477661	0.43724293	Yes	
row_38	CKS2	1473	1.4795353412628174	0.43825448	Yes	
row_39	CSE1L	1530	1.4280651807785034	0.44100568	Yes	
row_40	PPP1R8	1543	1.4186731576919556	0.4479654	Yes	
row_41	POLD3	1556	1.4044435024261475	0.45484367	Yes	
row_42	NASP	1562	1.400080680847168	0.46237507	Yes	
row_43	SMC3	1622	1.357905387878418	0.46443394	Yes	
row_44	SNRPB	1742	1.2680326700210571	0.46016604	Yes	
row_45	PNN	1772	1.2482728958129883	0.4645034	Yes	
row_46	IPO7	1802	1.2189699411392212	0.468673	Yes	
row_47	RAD50	1837	1.194657802581787	0.47221902	Yes	
row_48	CDKN1A	1852	1.1818578243255615	0.4776292	Yes	
row_49	RBBP7	1881	1.1664161682128906	0.48159477	Yes	
row_50	UNG	1882	1.1658742427825928	0.48826966	Yes	
row_51	PCNA	1898	1.1550743579864502	0.49342963	Yes	
row_52	ORC2	2026	1.0583261251449585	0.48718613	Yes	
row_53	EXOSC8	2085	1.0178048610687256	0.48739475	Yes	
row_54	TRIP13	2104	1.006113052368164	0.49141127	Yes	
row_55	RFC3	2146	0.9860947132110596	0.49308515	Yes	
row_56	SSRP1	2219	0.9458783864974976	0.49152577	Yes	
row_57	DCTPP1	2226	0.9430134892463684	0.4963435	Yes	
row_58	SRSF2	2240	0.9295855760574341	0.5004062	Yes	
row_59	RPA2	2252	0.9245012998580933	0.5046336	Yes	
row_60	RAD1	2478	0.8132739067077637	0.48749378	No	
row_61	MTHFD2	2555	0.773978054523468	0.48456275	No	
row_62	DSCC1	2726	0.7049956917762756	0.47213092	No	
row_63	POLA2	2790	0.676858127117157	0.4699032	No	
row_64	DCLRE1B	2835	0.6570178866386414	0.46940243	No	
row_65	NUP153	2836	0.6569348573684692	0.47316352	No	
row_66	SUV39H1	2837	0.6564461588859558	0.4769218	No	
row_67	MMS22L	2851	0.6489154100418091	0.47937766	No	
row_68	PSMC3IP	2918	0.6218574047088623	0.4765444	No	
row_69	HMGB3	2924	0.6197666525840759	0.47960836	No	
row_70	POLD1	2999	0.5968096852302551	0.47585675	No	
row_71	SMC6	3205	0.5232197046279907	0.4589937	No	
row_72	RFC2	3224	0.5177375078201294	0.4602142	No	
row_73	NUP205	3229	0.5165188312530518	0.46278387	No	
row_74	NUP107	3296	0.49228328466415405	0.45920882	No	
row_75	WEE1	3324	0.4831099510192871	0.4593592	No	
row_76	UBR7	3334	0.4798157513141632	0.4612344	No	
row_77	BRCA2	3344	0.4769555628299713	0.46309322	No	
row_78	SPC24	3401	0.4606136679649353	0.46030554	No	
row_79	RNASEH2A	3472	0.4373248517513275	0.45602834	No	
row_80	NUDT21	3484	0.4346807897090912	0.4574514	No	
row_81	SLBP	3569	0.4074488580226898	0.45164695	No	
row_82	MCM5	3629	0.38817083835601807	0.4481539	No	
row_83	XPO1	3637	0.38586992025375366	0.449685	No	
row_84	MCM2	3767	0.35269156098365784	0.43920788	No	
row_85	ILF3	3871	0.32448360323905945	0.43108788	No	
row_86	MCM6	3990	0.2910557687282562	0.42132345	No	
row_87	POP7	4046	0.2766779959201813	0.4175796	No	
row_88	CHEK1	4049	0.276346892118454	0.418968	No	
row_89	CKS1B	4077	0.2695036232471466	0.41789544	No	
row_90	GINS4	4083	0.2679566740989685	0.4189452	No	
row_91	USP1	4127	0.257389098405838	0.41625333	No	
row_92	GINS1	4165	0.24898847937583923	0.4140946	No	
row_93	RFC1	4189	0.24435576796531677	0.41326556	No	
row_94	PRDX4	4195	0.24266017973423004	0.41417047	No	
row_95	MCM4	4269	0.2225242406129837	0.40837288	No	
row_96	LIG1	4346	0.20847102999687195	0.40220425	No	
row_97	MCM3	4361	0.2048187106847763	0.40202066	No	
row_98	MCM7	4424	0.1866273134946823	0.39708313	No	
row_99	NBN	4580	0.14777961373329163	0.3829142	No	
row_100	PRIM2	4651	0.13524143397808075	0.3769075	No	
row_101	PMS2	4697	0.125033438205719	0.37326413	No	
row_102	CHEK2	4708	0.12316101044416428	0.37300056	No	
row_103	ATAD2	4727	0.11806109547615051	0.3719328	No	
row_104	CCNE1	4748	0.11507700383663177	0.37065423	No	
row_105	UBE2S	4751	0.1142919585108757	0.37111482	No	
row_106	ING3	4776	0.10990817099809647	0.36941916	No	
row_107	KPNA2	4792	0.10701455175876617	0.36857876	No	
row_108	TUBG1	4807	0.10444916784763336	0.36782056	No	
row_109	MYBL2	4824	0.10217687487602234	0.36685562	No	
row_110	DONSON	4864	0.09404048323631287	0.36361605	No	
row_111	CDK1	4927	0.08435365557670593	0.358093	No	
row_112	RAD51AP1	4936	0.08213125914335251	0.35778823	No	
row_113	MSH2	4963	0.07725507766008377	0.35571188	No	
row_114	MAD2L1	4971	0.07565922290086746	0.35546696	No	
row_115	PLK4	4979	0.07392414659261703	0.3552121	No	
row_116	POLE	5011	0.06793572753667831	0.35259804	No	
row_117	UBE2T	5035	0.06332289427518845	0.35073254	No	
row_118	BUB1B	5056	0.06017187982797623	0.3491396	No	
row_119	AURKA	5215	0.03251472860574722	0.33402014	No	
row_120	RRM2	5245	0.02855096198618412	0.33137432	No	
row_121	TIMELESS	5279	0.022741777822375298	0.32830778	No	
row_122	DEK	5286	0.021423442289233208	0.3278492	No	
row_123	HMMR	5287	0.02126924879848957	0.32797098	No	
row_124	DNMT1	5289	0.020726501941680908	0.32799277	No	
row_125	TK1	5353	0.00922568328678608	0.32194272	No	
row_126	MELK	5419	-0.0030927739571779966	0.3156638	No	
row_127	EZH2	5422	-0.00432036817073822	0.3154948	No	
row_128	AURKB	5465	-0.010311707854270935	0.31148526	No	
row_129	CDC20	5494	-0.014125377871096134	0.30885375	No	
row_130	TMPO	5560	-0.02467113733291626	0.30269837	No	
row_131	PPM1D	5625	-0.03540150448679924	0.29670128	No	
row_132	SMC4	5694	-0.04555817320942879	0.29037488	No	
row_133	PLK1	5706	-0.04740852862596512	0.28958073	No	
row_134	ZW10	5807	-0.06549198925495148	0.28026858	No	
row_135	CDCA8	5808	-0.06554873287677765	0.28064385	No	
row_136	CCP110	5855	-0.07213462889194489	0.27660078	No	
row_137	TACC3	5908	-0.08166879415512085	0.27203104	No	
row_138	GINS3	5911	-0.08191314339637756	0.27230626	No	
row_139	ANP32E	5932	-0.08530618995428085	0.27085724	No	
row_140	KIF2C	5946	-0.08824736624956131	0.27010316	No	
row_141	E2F8	6049	-0.10585783421993256	0.26082838	No	
row_142	ESPL1	6273	-0.14867261052131653	0.2400773	No	
row_143	CENPM	6288	-0.151901975274086	0.23959078	No	
row_144	CCNB2	6334	-0.16132594645023346	0.2361552	No	
row_145	TCF19	6412	-0.18235810101032257	0.22974017	No	
row_146	HMGB2	6414	-0.18261617422103882	0.23068881	No	
row_147	PSIP1	6512	-0.20255692303180695	0.222452	No	
row_148	WDR90	6523	-0.20452089607715607	0.22265421	No	
row_149	CDKN3	6536	-0.20826172828674316	0.2226841	No	
row_150	DLGAP5	6552	-0.21108505129814148	0.22243954	No	
row_151	MKI67	6632	-0.23145423829555511	0.21611184	No	
row_152	SPC25	6701	-0.24989597499370575	0.21095532	No	
row_153	NAA38	6711	-0.25193238258361816	0.21152584	No	
row_154	BIRC5	6713	-0.25199952721595764	0.21287172	No	
row_155	SPAG5	6738	-0.2582606077194214	0.2120254	No	
row_156	BRCA1	6780	-0.2684691250324249	0.20959073	No	
row_157	TOP2A	6863	-0.29128628969192505	0.20331497	No	
row_158	CDCA3	6865	-0.29135867953300476	0.2048862	No	
row_159	STMN1	6914	-0.30452960729599	0.20197988	No	
row_160	STAG1	6949	-0.3146795630455017	0.20048787	No	
row_161	ASF1B	6965	-0.3185229003429413	0.20085841	No	
row_162	CIT	6992	-0.3283645510673523	0.20021972	No	
row_163	CENPE	7030	-0.33704477548599243	0.19856514	No	
